id,trimestre_nacimiento,anios_educacion,log_ingresos,habilidad
116,1,11.1,9.5231,1.466
117,4,12,8.7576,0.0471
118,1,10.5,7.322,-1.3749
119,1,9.6,9.3093,-0.7316
120,1,10.1,9.1243,-0.7857
121,4,12.1,9.5779,0.454
122,1,12.9,8.8893,-0.1583
123,1,10.5,7.1376,-1.0856
124,1,11.4,9.161,0.6957
125,4,14.2,8.803,-0.1507
126,4,14.1,9.8837,0.2527
127,3,10.5,8.1444,-0.1119
128,4,12.6,8.4194,0.0231
129,2,11.9,9.055,1.7357
130,4,13.7,9.4021,1.5299
131,4,13.3,8.8547,1.1243
132,3,11.3,9.8298,1.0888
133,2,14,10.0921,1.6795
134,3,11.7,9.213,0.8041
135,4,12.3,8.2681,-0.5311
136,3,11.7,8.7279,-0.1245
137,4,11.7,8.5654,-0.7283
138,1,10.1,8.0883,-0.1619
139,1,10.2,8.4596,-0.6948
140,3,12.2,9.4387,0.8106
141,1,11.8,9.7854,0.7107
142,4,12.5,8.1069,-0.2349
143,3,12.2,10.3175,1.466
144,1,11.7,8.6459,-0.0205
145,1,11.9,9.4488,-0.2141
146,1,11,9.8587,0.9661
147,4,11.8,9.3035,-1.5187
148,4,14.3,9.8642,1.3659
149,1,11.9,9.1733,0.0993
150,2,9.6,9.0183,-1.0785
151,1,11.4,8.7581,0.319
152,1,12,8.8006,0.2858
153,2,10.6,8.385,-1.0899
154,2,11.3,8.0906,-0.7336
155,2,10.8,8.8816,-0.0628
156,1,12.4,9.067,0.3033
157,4,11.1,8.8086,-0.7864
158,2,11.1,9.0416,-0.6824
159,2,13.7,9.5261,1.822
160,3,11.8,8.7185,-0.5375
161,4,12.6,8.4722,0.1076
162,1,10.6,9.2118,-0.4648
163,1,11.8,7.999,-0.9761
164,4,13.1,9.3571,0.4
165,1,13.9,8.6293,-0.1116
166,4,10.9,8.4121,-1.5568
167,4,12.6,8.5158,-0.5297
168,2,12,8.8154,-0.9304
169,3,10.1,8.5857,-0.8846
170,1,11.9,9.2559,0.86240000000000006
171,4,13.9,9.6816,1.7318
172,1,10.5,8.9216,-0.3877
173,1,11.3,8.6227,-0.3301
174,1,12.1,8.7936,0.1461
175,1,12.7,10.1545,1.1604
176,4,11,8.9912,-1.1619
177,4,12.9,9.695,-0.0226
178,2,11.9,9.5755,0.1845
179,1,11.1,8.4289,-1.0167
180,3,11.2,9.3071,-0.0348
181,2,11.4,8.5229,-0.3502
182,1,11.5,8.6937,0.1093
183,3,11.2,9.0009,0.1849
184,2,10.1,8.5281,-0.9367
185,1,13.5,10.1022,1.2795
186,4,13.1,8.1745,-1.1948
187,2,11.5,8.6558,-0.9686
188,4,12.7,8.8524,0.6494
189,3,13.2,9.1287,0.6194
190,1,13.1,9.0466,0.1608
191,1,10.3,7.1561,-1.8879
192,3,14.9,9.7589,1.2315
193,1,12.9,9.871,1.4714
194,2,12.5,7.8328,-0.5888
195,4,12.6,7.6978,-1.0948
196,4,11.7,9.0593,0.3329
197,4,13.3,8.8476,0.8912
198,3,11.2,8.5216,-1.4582
199,4,10.9,8.1435,-1.8326
200,1,9.5,8.3321,-0.5216
201,2,11.2,8.483,-0.3489
202,1,10.5,9.6941,1.0683
203,2,10.7,9.0563,-0.0058
204,1,10.8,8.7554,0.5604
205,4,15.7,10.4461,2.5333
206,1,11.4,8.8532,0.4367
207,4,13,9.7632,0.5848
208,2,11.3,8.5418,-0.7817
209,3,12.8,9.0954,0.3985
210,3,14,8.8912,-0.2491
211,1,12.3,10.1648,1.2538
212,3,14.1,9.5961,1.8195
213,3,13.1,8.2024,-0.6627
214,3,14.7,9.1806,-0.2258
215,3,11.1,9.5357,0.0391
216,4,13.2,8.0073,0.0412
217,4,10.5,8.5264,-0.6781
218,3,12.9,9.2425,0.228
219,2,9.5,8.3421,-0.5972
220,3,12.8,8.9849,-0.4967
221,3,11.1,8.4422,-0.7613
222,2,9.7,7.7894,-1.4243
223,3,12.7,9.0161,0.0256
224,1,12.5,8.3979,0.2429
225,1,10.1,7.9338,-0.3514
226,1,12,8.9051,0.144
227,1,9.9,8.9971,0.1262
228,4,12.5,9.4728,0.4643
229,2,12.8,9.3843,-0.028
230,4,11.6,9.006,-0.2167
231,2,13.6,9.1336,0.5071
232,4,13.3,9.9879,0.7927
233,2,12,10.3085,1.3301
234,1,10,8.0611,-0.5563
235,4,14.1,9.3708,1.0069
236,2,9.3,7.7129,-1.6897
237,1,10,9.2782,-0.2051
238,1,11.2,8.6165,-0.4261
239,2,11.6,8.5396,-0.272
240,2,11,8.5762,-0.3719
241,1,10.1,9.3414,0.3193
242,4,11.9,9.4822,0.7414
243,2,12.2,8.7453,-1.0729
244,2,10.7,8.5527,-0.3225
245,3,11.3,8.7389,-1.2661
246,1,9.3,8.1542,-0.5932
247,1,11.2,8.7544,-0.1892
248,4,13.4,8.6458,-0.5324
249,1,12.8,9.3788,1.2661
250,3,10.6,7.6624,-1.0915
251,1,12.4,8.8755,1.2531
252,3,12.1,9.2988,0.2971
253,2,12.1,9.4767,0.4547
254,1,11.2,9.4094,1.1066
255,4,11.8,9.0998,1.0807
256,3,11.6,9.2757,1.109
257,3,12.1,9.4313,0.8968
258,1,9.2,8.0303,-1.1434
259,2,13,9.5455,0.2219
260,3,13,8.8602,0.4039
261,2,13.4,8.9428,0.4186
262,2,12.9,8.7324,0.4254
263,1,11.4,9.0944,-0.4135
264,3,12.4,9.6107,0.718
265,3,10.5,7.5009,-1.8574
266,1,13.6,9.0159,-0.6151
267,4,13.7,9.7167,0.099
268,4,10.3,8.4706,-0.8699
269,4,13.6,9.2414,1.1575
270,4,14.3,10.1657,2.5778
271,2,9.6,7.0465,-1.7262
272,4,14.3,10.457,0.7422
273,2,13.1,9.2666,1.6657
274,2,10.8,7.9957,-1.8858
275,1,10.2,7.7053,-1.4273
276,1,11.4,8.1686,-0.8993
277,2,14.2,9.1034,0.2519
278,1,11,9.5617,0.4089
279,1,9.6,8.7655,-0.8457
280,3,12.5,9.3811,0.862
281,3,11.6,8.414,-1.1721
282,1,11,8.7057,0.8771
283,2,13.8,10.2989,1.012
284,2,11.4,8.3295,-1.007
285,3,10.2,7.9841,-1.0915
286,1,11.3,9.745,0.5323
287,3,11.1,8.6616,0.0292
288,3,12,8.662,-0.3483
289,1,11.2,9.8206,1.0442
290,4,11,8.5301,-0.681
291,4,12.3,8.644,0.4443
292,4,12.7,8.7982,-0.5305
293,3,12.4,8.9163,0.052
294,2,9.2,7.1635,-1.553
295,4,14.6,10.2605,1.1687
296,2,12.5,9.2113,0.3578
297,3,10.2,7.8683,-2.0457
298,3,11.3,8.4266,-0.8477
299,1,13,9.2572,0.9025
300,4,13.8,10.1066,1.2934
301,1,11,9.1759,0.6525
302,1,10.9,8.36,-0.0869
303,3,12.5,9.4603,0.9228
304,2,13.7,9.7065,0.5814
305,3,10.8,7.539,-1.4318
306,3,11.2,8.4921,-0.0508
307,1,9.1,7.9332,-0.9767
308,1,10.3,9.9309,0.6008
309,2,10.3,7.6023,-1.2256
310,1,14.1,9.8449,1.5898
311,2,10,8.4404,-0.1581
312,2,10.1,8.6917,-1.1813
313,2,11.9,9.4948,0.7975
314,1,10.6,9.2263,0.3015
315,4,11.6,7.63,-1.4377
316,2,13.3,9.918,0.2828
317,2,11.9,9.2177,1.1168
318,4,13.8,9.4966,0.6886
319,4,13.6,9.6195,0.964
320,1,10,8.8167,-0.2478
321,1,12.5,9.2478,0.2427
322,3,13.3,8.8851,0.6385
323,1,9.5,8.1877,-1.2022
324,4,10.4,9.0015,-0.7548
325,1,11.8,9.3494,0.8957
326,4,11.8,8.9194,-0.363
327,4,12.3,8.9957,0.7283
328,2,14,10.5673,2.815
329,4,12.4,8.5903,-0.4364
330,1,11.5,9.384,0.1548
331,2,11.1,8.3073,0.1775
332,2,10.8,8.712,-0.4713
333,4,13,9.5334,-0.0473
334,1,10.8,8.8704,-0.2177
335,4,13.2,9.4568,1.6098
336,2,12.9,9.7351,0.7478
337,1,11.1,8.9434,-0.4004
338,1,14.2,9.6998,1.8815
339,2,12.7,9.3041,1.3966
340,2,13,10.2353,1.5337
341,4,12.7,10.0716,0.9744
342,1,13,8.0948,-0.8475
343,3,13.4,9.307,0.414
344,3,12.6,9.2786,1.2684
345,1,10.3,9.1026,-0.3705
346,4,10.2,8.9857,-1.4025
347,3,11.7,8.9014,-0.4013
348,2,11.3,8.5795,-1.2596
349,3,13,9.7454,1.1888
350,2,14,9.3569,-0.2368
351,1,10.1,9.4148,-0.0995
352,2,12.9,8.1853,-1.0389
353,2,13.3,9.435,0.0584
354,3,12.6,9.2845,0.2462
355,2,12.2,9.5518,0.3582
356,2,11.7,8.8824,-0.2918
357,4,11.8,8.7135,-1.5409
358,3,12.3,9.1966,-0.6176
359,4,12.7,8.7853,0.6057
360,4,14.5,9.1388,0.3783
361,2,12.6,9.6315,0.7576
362,2,11.5,9.4569,0.638
363,4,14.1,8.5194,-0.4637
364,1,12.5,9.4513,0.324
365,1,12.4,8.6277,-0.1214
366,3,12.5,9.0802,0.034
367,2,10.1,9.3415,-1.1842
368,3,15,9.9766,1.5291
369,4,13.7,8.652,-0.3767
370,1,12.6,8.8295,0.1556
371,2,13.6,10.0429,1.3124
372,4,16.4,11.1072,2.9476
373,4,11.8,8.4676,-0.5267
374,3,11.9,8.9781,0.43120000000000003
375,1,11.4,9.6909,0.9003
376,1,15.5,11.232,2.264
377,4,12.6,8.5953,-1.9215
378,2,13.8,10.3122,1.9284
379,3,11.5,9.3584,0.2157
380,4,12.6,8.3779,-0.2361
381,2,10.7,9.2312,-0.4121
382,4,10.4,8.2001,-0.5161
383,2,12.8,8.8972,0.352
384,3,10.2,8.8627,-0.4397
385,3,12.8,9.71,1.6997
386,3,11.4,9.3947,-0.109
387,3,11.8,8.284,-0.5267
388,1,11.9,8.4628,-1.1393
389,2,14.3,10.4066,2.7082
390,1,11.4,7.6723,-1.5835
391,4,12.6,9.5735,1.0595
392,3,13.1,9.0601,1.1333
393,2,10.6,8.8148,-0.3357
394,2,12.9,8.9368,-0.3207
395,1,11.2,8.6591,0.338
396,4,12.2,9.2762,0.3932
397,1,11.6,7.5651,-2.2445
398,3,12.2,8.8184,-0.7706
399,4,10.5,7.5287,-2.0876
400,3,12.3,8.9872,0.3854
401,3,14.7,10.2987,1.83
402,1,10.8,9.086,-0.261
403,4,12.6,8.9104,-0.1392
404,2,10.9,8.4999,-0.5918
405,4,11.9,7.6074,-1.5328
406,3,10.8,8.2731,-1.3996
407,2,10.7,8.7152,-0.9745
408,4,10.6,8.2628,-0.9856
409,3,12.2,8.5583,0.0985
410,3,11.7,9.0508,0.4678
411,3,12.7,9.1289,0.382
412,2,11.7,9.0557,0.2013
413,2,12.1,9.0114,0.953
414,4,13.8,10.719,2.5718
415,2,10.9,8.4752,-0.5688
416,3,11.9,9.4504,0.3513
417,3,14.3,9.3755,1.8497
418,2,10.6,8.9197,-1.4054
419,3,12.9,9.3089,0.917
420,1,12,8.4075,-1.5378
421,4,12.8,8.528,-1.0294
422,4,10.6,8.0637,-1.6416
423,4,13.1,8.8101,-0.4158
424,2,9.4,9.5931,0.6547
425,1,11.3,9.0872,0.3007
426,1,11.9,8.4566,-0.6762
427,3,12.9,9.6977,0.4523
428,1,8.7,8.1745,-1.9571
429,2,13,9.5985,-0.339
430,1,11.5,9.8882,0.5602
431,2,10.7,8.3814,-0.4225
432,2,11.9,9.2009,0.238
433,4,12.8,9.701,0.5179
434,4,14.3,10.0284,1.3314
435,1,11.3,8.4518,-0.1685
436,4,13.8,9.6308,1.0312
437,4,13.7,9.6995,1.3522
438,2,12.2,9.5638,-0.275
439,2,9.5,7.8952,-1.5256
440,3,9.6,7.3501,-2.6935
441,3,13.1,9.1301,0.3002
442,2,10.7,7.5548,-1.9496
443,1,14.9,10.1926,0.9769
444,1,10.9,8.5691,0.6798
445,2,12.5,9.1004,-0.1086
446,1,10,8.0832,-0.7514
447,2,11.8,9.1586,0.5209
448,4,12.5,8.3759,-1.2738
449,1,12.3,9.437,0.7532
450,3,12.1,8.7607,-0.2479
451,1,10.3,8.509,0.3778
452,3,10.8,8.8748,0.3953
453,3,11.8,8.9531,-0.4033
454,4,11.8,9.2352,-0.6506
455,4,14.2,10.1143,0.7691
456,1,11.4,9.7199,1.0566
457,2,12.8,9.4366,1.3319
458,2,13.4,9.698,0.5134
459,2,14.1,8.7262,-0.138
460,4,11.4,8.9559,-0.2614
461,2,10.7,8.9394,-0.3408
462,1,10,8.7166,-0.195
463,4,11.2,7.6554,-1.339
464,1,12.9,10.1263,1.476
465,1,15.4,9.2254,0.4709
466,1,12.4,9.3333,0.7565
467,3,10.7,8.4943,-0.2695
468,3,12,9.0148,-0.4528
469,1,11.5,9.3485,-0.0371
470,4,14.8,11.1659,2.449
471,1,13.2,8.2175,1.089
472,2,11,8.9518,-0.4159
473,3,11.4,9.0579,-0.7513
474,2,11.5,9.2433,0.9454
475,2,10.9,7.9755,-1.2634
476,4,13.3,9.4617,0.7693
477,3,11.7,10.1994,0.8686
478,1,11,8.1694,-0.6397
479,4,12.4,9.3094,-0.1852
480,2,11.8,8.7014,0.7855
481,3,13.1,9.57,0.499
482,1,12.9,9.8149,1.2953
483,2,11,8.8326,-0.2767
484,4,10.2,8.5756,-1.8003
485,2,12.6,8.9649,0.8323
486,1,9.9,8.4849,-1.2727
487,4,11.6,9.5274,1.5825
488,4,15.1,10.0331,1.4457
489,4,11.7,8.3854,-1.7392
490,3,12.4,9.2686,-1.14
491,1,12.3,8.9484,-0.2687
492,2,9.9,8.2307,-1.2952
493,2,10.1,7.6372,-2.2734
494,4,13.6,9.8043,0.3161
495,1,11.7,9.4925,0.0312
496,3,14.2,10.3026,2.7373
497,2,10.2,7.9633,-2.2302
498,2,10.7,7.9828,-0.2945
499,3,13.6,7.8529,-0.2036
500,1,10.3,8.3027,-1.5284
501,2,9.7,7.7137,-1.0134
502,4,14.3,9.0613,0.6756
503,3,11.3,8.6676,-0.1594
504,1,11.1,8.6953,-0.451
505,3,11.9,8.4849,-0.8922
506,1,13.7,10.2317,0.6075
507,4,13.1,8.6194,0.818
508,4,12.9,9.4582,0.8456
509,4,12.5,10.1407,0.4792
510,4,13.7,10.001,1.0883
511,4,14,8.965,0.8118
512,2,10.6,8.316,-0.3912
513,2,12,10.0982,0.7825
514,2,10.8,8.7528,-0.8613
515,1,12,9.3955,-0.0186
516,1,13.3,9.57,1.3106
517,2,13.1,9.3572,-0.1135
518,1,10.6,9.6557,0.5154
519,4,12.6,8.5982,0.0091
520,1,10.5,8.7119,0.9158
521,1,11,8.6036,0.2723
522,2,12.6,9.9392,0.6113
523,3,10.2,9.0972,-1.2596
524,4,13.6,9.3084,0.083
525,3,11.8,8.6571,-0.6633
526,1,11.1,8.6878,-0.426
527,4,12.9,9.2501,0.6793
528,4,12.3,9.247,-0.2121
529,1,11.1,9.5554,0.6928
530,2,13.5,8.9075,-0.2599
531,3,12.4,8.7988,-0.4069
532,1,11.8,8.6114,-1.233
533,2,11.1,8.8487,0.2791
534,3,13.3,9.6971,0.487
535,3,12.9,9.5824,-0.4103
536,3,12.4,9.4976,1.0672
537,1,13.2,10.2535,1.8665
538,4,13.2,8.5457,-0.2033
539,3,9.4,7.5161,-1.0624
540,2,12.8,8.203,-0.7253
541,1,12.4,9.5315,0.304
542,3,14,8.9353,-0.2269
543,4,12.1,8.2788,-0.8758
544,4,11.7,9.1048,-0.6551
545,3,11,9.3852,0.255
546,1,10.3,8.5525,-0.2642
547,3,12.9,8.2877,-0.4136
548,4,13.9,8.3633,-0.6893
549,3,14.6,9.5935,2.426
550,3,12.5,9.8189,1.1758
551,3,12.2,8.5169,-0.3334
552,4,11.5,8.6678,-0.5051
553,1,11,9.3037,0.0133
554,2,13.4,9.2944,1.1216
555,3,14.4,10.3148,2.3288
556,1,9.6,8.6725,-0.3534
557,3,13.3,9.2959,0.965
558,2,14.1,9.8667,0.7678
559,3,11.6,8.6758,-0.6042
560,4,12.9,10.2321,2.5494
561,4,13.7,9.1278,-0.8595
562,4,13.7,9.6727,0.722
563,1,12.1,8.5969,-0.2235
564,1,10.2,8.6131,0.1712
565,1,10.2,7.8638,-1.5675
566,2,11.8,8.6197,-0.6389
567,1,9.7,7.571,-1.8323
568,3,10.3,8.0849,-0.8202
569,1,9.5,8.5005,-1.1526
570,2,10.7,8.6032,-0.2604
571,1,10,8.9312,-0.8992
572,2,12.5,9.2179,-0.4355
573,3,10.3,8.7779,-1.5387
574,1,12.2,8.907,0.1259
575,4,11.9,9.2024,-0.7124
576,1,10.5,8.684,-1.3586
577,3,12.4,9.7049,-0.0617
578,1,12.8,9.2074,-0.2898
579,3,14.1,10.1065,2.0378
580,2,13.8,9.2039,0.6227
581,1,13.8,10.6294,2.1108
582,3,11,8.031,-0.4413
583,3,12.1,8.4351,-0.0659
584,1,10,10.2173,1.165
585,3,11.2,9.4035,0.2048
586,4,10.9,7.6653,-2.0921
587,2,10.5,7.0593,-1.8279
588,4,14.1,8.7379,0.0216
589,3,11.3,8.863,-0.9746
590,1,10.6,8.2337,-0.7053
591,1,11.5,8.8043,0.6315
592,1,10.6,8.0198,-1.142
593,1,12.3,9.3353,0.8942
594,1,14.1,8.6643,0.2779
595,2,12.8,10.0358,1.1545
596,2,9.4,7.753,-1.3555
597,1,13.7,10.1205,1.9352
598,3,11.6,9.5467,0.5978
599,1,9.8,7.9672,-2.4096
600,1,12,9.0949,-0.115
601,4,14.1,9.3085,0.3484
602,2,11.5,9.091,0.6385
603,4,12.5,9.2429,0.9539
604,3,12.1,9.498,1.3409
605,1,12.8,9.5044,1.4463
606,4,12.9,9.8343,0.1284
607,2,12.5,9.2468,0.7557
608,1,10.8,7.7384,-1.802
609,1,11.9,8.5728,-0.4829
610,4,9.7,7.2797,-2.1259
611,3,10.1,8.1917,-1.913
612,1,12.6,9.6993,0.4031
613,3,12.4,9.0763,0.4296
614,2,14.1,8.8333,-0.3047
615,1,11.7,9.1064,0.5897
616,4,13.6,9.228,1.3904
617,4,11.5,8.5587,-1.8263
618,4,12.4,9.6822,1.289
619,1,11.4,8.8267,0.3737
620,1,9.4,8.4391,-1.6405
621,3,10.5,8.3901,-0.3862
622,2,10.2,7.8347,-1.0313
623,3,9.8,8.1657,-0.3781
624,1,9.5,8.7744,0.0244
625,1,8.7,8.7857,-1.0264
626,4,12.5,8.9479,-0.0506
627,3,12.1,9.1004,-0.7687
628,1,11.4,8.3012,-0.5078
629,4,14.8,9.6014,1.145
630,4,12.4,8.7917,-0.1693
631,3,13.6,8.892,0.7831
632,4,9.7,8.2245,-1.5674
633,2,12.4,10.4112,1.8182
634,4,12.4,9.162,0.423
635,4,12.8,9.0193,-0.9177
636,2,12.8,9.7041,1.6187
637,2,11.4,8.8492,-0.5295
638,2,11.4,7.9984,0.12
639,3,10.6,7.4138,-1.6687
640,1,9.8,8.5066,-0.7347
641,4,12.8,7.9699,-1.3869
642,3,10,8.8751,-1.4985
643,3,12.8,9.2681,-0.2192
644,3,13.1,10.0913,1.0593
645,4,11.8,10.2467,0.1954
646,4,11.8,8.4159,-0.1989
647,1,12.2,9.1002,0.8069
648,2,13.3,8.7979,1.7692
649,2,11.5,8.3522,-0.3667
650,3,12.1,9.6703,0.3174
651,3,14.6,10.1134,0.979
652,4,13.5,9.9408,0.2525
653,4,13.8,10.0614,0.475
654,4,13.3,8.6368,0.8988
655,1,12.1,8.2921,0.058
656,4,13.8,9.6893,1.6411
657,3,14,9.6841,1.0162
658,2,10.2,8.7013,-0.9278
659,1,10.8,9.3335,1.4139
660,2,14.1,9.0324,0.2249
661,1,11.8,7.7102,-1.4789
662,1,10.2,7.8054,-0.5418
663,2,14.2,9.7442,1.024
664,3,10.4,9.5568,1.0943
665,4,10.6,8.7003,0.0278
666,1,9.4,8.8603,-0.329
667,2,10.8,8.0865,0.3012
668,2,12.6,9.714,0.3909
669,2,11.8,8.997,0.4335
670,2,12,9.3128,0.9678
671,4,12,8.4103,-0.8401
672,2,11.8,9.0964,-0.3876
673,4,11.5,8.2535,-1.0714
674,1,10.6,7.7168,-1.1053
675,2,10.5,8.0441,-0.9431
676,1,11.1,9.7709,1.0928
677,4,12.4,9.1934,-0.3397
678,2,12.1,8.4006,-0.8844
679,2,12.2,8.9602,-0.833
680,1,11.3,9.0822,0.6375
681,2,10.1,9.4522,-0.853
682,2,11.2,9.249,0.0374
683,1,8.4,8.0854,-0.6941
684,4,14.7,9.197,-0.1643
685,1,10,8.3321,-0.599
686,1,13.2,9.2442,0.4678
687,3,12.3,9.8624,0.1257
688,2,10.7,8.1802,0.2218
689,4,11.7,9.1559,1.5013
690,1,9.8,8.5024,-0.3699
691,4,13.6,8.7225,-0.195
692,4,13.9,10.0505,2.3226
693,3,11.5,8.5752,-0.6113
694,3,13.6,9.7361,-0.4208
695,2,13.3,9.5672,0.5339
696,3,12.9,9.3774,-0.4181
697,1,12.7,9.3702,0.4957
698,2,10,8.3249,-0.9211
699,2,13.3,10.324,1.7339
700,4,13.7,9.8835,2.4608
701,1,11.2,9.3991,0.4521
702,2,12.8,10.0769,0.7698
703,3,13,9.6892,0.704
704,4,13.6,9.4523,0.7463
705,1,9.6,8.7117,-1.3109
706,4,11.5,9.3408,-0.2121
707,3,12.1,9.1401,0.0928
708,3,12.7,9.5656,1.4555
709,1,12.4,9.6433,0.5657
710,2,12.8,9.2353,-0.1436
711,4,12.1,9.0013,0.051
712,3,10.1,8.2714,-1.1746
713,3,12.7,9.2469,0.5485
714,2,9.9,9.5,0.0889
715,2,11.9,8.9555,1.3616
716,2,11.7,8.8669,-0.4586
717,2,10.5,9.2974,-0.0831
718,4,13.5,8.7498,-0.3403
719,3,13,10.7602,1.7133
720,4,12.7,8.8945,0.2938
721,2,10.3,8.808,-0.1381
722,2,15.4,10.1202,2.4832
723,1,10.9,8.9635,-0.3115
724,1,13,9.5888,1.5661
725,1,10.4,9.2962,-1.2656
726,4,12.9,9.1789,-0.2055
727,1,10.3,7.9342,-1.5403
728,2,12.9,8.7839,-0.1258
729,1,11.9,9.0598,-1e-4
730,1,11.2,9.2906,0.4948
731,2,12.6,8.9132,0.389
732,2,11.1,8.414,-0.3349
733,1,11.6,8.9691,-0.2182
734,1,9.7,9.4064,0.191
735,2,11.5,8.7774,-0.4803
736,2,10,8.3656,-1.2905
737,1,12.1,8.912,1.3489
738,4,11.3,9.1803,-0.1797
739,1,10.9,8.6293,0.1091
740,4,15.3,8.9172,-0.0092
741,2,10.8,9.6047,-0.1469
742,1,13.9,9.4715,1.468
743,2,11.4,8.0488,-1.0077
744,4,12.3,9.8395,0.178
745,3,13.2,8.5571,0.6308
746,3,12.2,9.1007,-0.2218
747,3,12.8,9.2738,-0.448
748,2,10,7.8251,-1.4256
749,1,11.2,9.2612,-0.0206
750,1,12.7,9.7986,1.1418
751,4,13.6,9.1143,0.8684
752,1,9.9,8.2706,-0.606
753,4,12.1,8.3838,-0.5475
754,3,13.5,9.0382,0.5154
755,2,11.2,9.5507,1.5822
756,1,12.5,10.4932,1.8062
757,2,11.9,9.068,0.0741
758,3,11.7,8.1868,-0.6794
759,2,11.5,8.7688,0.509
760,4,10.2,8.5375,-1.6159
761,1,9.7,9.4034,0.7415
762,4,9.4,7.3573,-2.4146
763,2,9.3,8.274,-0.1244
764,3,11.7,9.1044,0.4338
765,3,10.8,7.525,-2.3536
766,2,12.9,9.3263,-0.3372
767,2,12.1,9.4553,0.724
768,1,9.5,8.4209,-0.9124
769,1,15,9.6496,0.3573
770,4,14.6,9.4517,0.1284
