clave_municipio,pct_pobreza,pct_carencia_educativa,pct_carencia_salud,ingreso_promedio_mxn,pct_poblacion_rural,pct_acceso_internet,densidad_pob_km2,tasa_alfabetizacion,grado_marginacion_idx
MUN056,89.5,60.52,66.86,1607,81.63,16.29,28.86,71.49,1.63
MUN057,36.48,26.57,40.69,7414,40.5,57.53,504.7,95.42,0.57
MUN058,60.6,46.41,51.08,3849,67.65,33.61,59.68,80.56,1.22
MUN059,70.39,59.23,68.62,4459,82.35,7.74,33.86,67.85,1.45
MUN060,20.08,8.07,24.41,19280,5.91,80.26,477.97,97.15,0.33
MUN061,21.18,10.8,7.82,15264,14.76,73.36,415.01,96.67,0.35
MUN062,82.23,65.16,65.55,2868,85.87,9.89,38.28,74.44,1.61
MUN063,79.68,68.7,64.55,1961,92.1,22.27,38.44,69.55,1.6
MUN064,68.02,62.85,72.25,3842,89.64,1,42.39,68.74,1.56
MUN065,24.97,12.92,19.14,16612,12.15,77.5,1811.52,93.02,0.45
MUN066,13,6.42,8.12,15492,0,65.76,1353.96,100,0.14
MUN067,23.04,6.77,19.08,14706,0,82.91,1013.24,99.66,0.38
MUN068,29.09,8.52,13.65,13448,24.51,85.15,856.19,92.25,0.48
MUN069,51.22,46.76,51.43,6187,67,36.41,128.55,87.22,1.14
MUN070,85.03,58.35,66.61,6093,87.15,31.31,40.19,66.54,1.55
MUN071,63.01,45.23,44.62,7306,85.44,36.57,111.45,85.88,1.15
MUN072,80.82,65.1,64.38,3012,100,4.84,34.62,67.51,1.67
MUN073,35.13,5.43,21.08,15593,11.66,82.73,1,99.23,0.49
MUN074,44.87,27.18,29.63,9105,25.49,55.26,582.28,93.06,0.84
MUN075,45.91,25.13,24.27,10561,41.18,49.9,213.09,90.02,0.8
MUN076,21.16,19.12,16.72,14686,22.68,91.32,1331.23,88.82,0.37
MUN077,43.46,34.52,27.18,7978,33.78,53.25,319.39,92.04,0.89
MUN078,70.69,62.17,62.61,3755,86.02,6.38,24.12,66.26,1.45
MUN079,21.81,9.93,16.74,13579,18.67,69.74,760.97,96.13,0.38
MUN080,15.96,1,17.74,15788,25.82,81.84,1417.4,96.31,0.29
MUN081,80.97,65.01,71.17,3138,90.58,17.71,57.27,71.81,1.65
MUN082,49.25,38.28,30.34,4887,35.14,56.04,494.04,94.94,1.01
MUN083,32.5,23.95,32.45,6452,42.55,36.6,375.76,97.07,0.7
MUN084,44.07,23.96,27.5,6976,36.74,59.81,389.79,97.2,0.66
MUN085,43.44,39.94,29.76,7921,23.14,44.08,317.61,84.86,0.92
MUN086,39.85,31.36,35.13,6527,33.18,51.07,383.4,93.66,0.77
MUN087,42.75,31.48,27.52,7485,32.25,63.43,383.6,87.36,0.94
MUN088,69.13,48.15,50.34,7001,68.92,29.32,80.91,80.44,1.32
MUN089,84.3,63.59,69.76,3368,91.71,5.34,22.13,69.74,1.67
MUN090,36.98,29.39,21.31,9537,38.46,49.46,186.16,87.69,0.74
MUN091,58.03,40.75,41.41,5051,72.64,24.06,158.13,84.25,1.09
MUN092,66.9,60.89,54.02,3926,92.48,14.97,34.39,72.7,1.37
MUN093,35.11,29.62,41.66,7456,44.1,47.04,434.44,91.52,0.67
MUN094,18.03,10.95,3.46,11355,10.09,70,861.2,94.28,0.34
MUN095,99,59.45,71.18,5634,88.45,13.45,41.32,71.29,1.75
MUN096,34.63,23.39,22.79,NA,25.91,53.82,563.07,90.54,0.64
MUN097,26.3,14.47,17.33,16652,33.46,74.36,1390.69,95.61,0.44
MUN098,60.4,46.6,45.74,5577,72.73,29.5,95.2,83.27,1.18
MUN099,35.71,27.97,38.63,6225,39.9,67.75,350.99,81.33,0.68
MUN100,50.64,26.1,30.09,8019,38.78,41.63,198.29,94.72,0.85
MUN101,70.56,60.87,64.52,5439,90.53,12.41,41.5,71.85,1.47
MUN102,48.16,36.86,30.42,9541,42.84,60.18,180.44,90.59,0.98
MUN103,51.58,23.8,31.95,6650,44.68,56.03,273.54,89.77,0.83
MUN104,83.04,67.45,61.12,5657,93.89,14.86,20.09,73.22,1.72
MUN105,26.5,5.58,22.19,16069,18.28,79.86,880.73,95.64,0.32
MUN106,66.44,41.44,49.12,NA,68.62,26.6,153.92,78.64,1.24
MUN107,41.24,28.42,40.61,6268,52.09,42.54,316.41,92.56,0.66
MUN108,43.99,27.83,38.52,9619,38.97,61.66,359.98,86.84,0.74
MUN109,55.78,44.6,54.44,4762,64.01,16.95,134.55,79.98,1.01
MUN110,66.59,57.88,69.73,1500,75.95,21,44.2,68.91,1.49
MUN111,84.37,61.33,73.59,3096,81.4,4.84,34.73,68.79,1.6
MUN112,62.87,62.78,61.89,2314,77.33,15.18,36.87,68.19,1.4
MUN113,41.13,35.79,34.08,9839,26.36,34.91,408.32,90.7,0.78
MUN114,42.37,42.15,57.69,5117,69.36,22.42,25.44,84.16,1.01
MUN115,77.1,59.42,68.67,2005,94.35,6.57,32.6,64.74,1.58
MUN116,44.12,26.09,35.34,6162,40.02,46.87,262.32,91.02,0.81
MUN117,53.89,49.51,50.71,3880,77.33,31.83,109.85,73.81,1.17
MUN118,79.96,61.81,66.35,1500,80.07,7.15,37.27,74.22,1.51
MUN119,19.26,13.03,16.3,14594,15.58,84.08,1942.14,100,0.39
MUN120,37.93,32.77,29.55,10386,32.87,64.98,249.38,90.29,0.78
MUN121,41.8,22.84,27.36,7404,37.55,55.51,211.15,89.65,0.75
MUN122,40.2,29.87,30.04,7559,35.44,32.62,393.1,90.07,0.68
MUN123,81.14,60.77,69.86,1500,95.78,17.62,39.25,68.28,1.59
MUN124,25.68,17.1,8.22,NA,8.06,66.55,1633.5,99.07,0.44
MUN125,58.25,49.17,58.85,NA,62.27,25.58,115.57,80.58,1.15
MUN126,63.97,45.13,57.36,6710,60.76,28.54,82.57,79.9,1.26
MUN127,65.84,58.64,66.05,1500,100,6.8,31.17,75.34,1.38
MUN128,55.27,44.65,61.17,3772,68.05,32.11,131.9,81.41,1.11
MUN129,86.08,61.98,66.66,3606,85.88,18.55,31,71.03,1.7
MUN130,26.03,12.49,20.92,15569,18.25,82.17,1522.6,100,0.48
MUN131,55.81,51.73,43.51,3949,77.29,17.46,98.23,83.63,1.16
MUN132,78.77,68.24,68.23,3633,93.73,20.26,26.25,71.62,1.62
MUN133,45.18,20.48,35.88,6631,31.93,67.89,231.61,82.21,0.71
MUN134,86.92,60.18,66.82,4267,79.97,24.99,11.8,69.11,1.56
MUN135,54.15,41.45,59.24,4511,71.15,28.37,122.01,77.07,1.06
MUN136,42.36,25.15,35.02,7896,32.63,58.18,365.46,88.81,0.73
MUN137,30.22,13.25,19.85,16332,15.48,75.31,976.65,94.96,0.51
MUN138,83.81,61.76,64.74,1500,96.34,17.44,43.5,74.03,1.65
MUN139,27.14,11.83,22.88,12251,11.8,87.62,1518.65,97.3,0.45
MUN140,17.23,27.99,25.73,16545,0,84.15,822.86,98.3,0.49
MUN141,23.96,7.25,15.58,18766,21.49,75.59,2234.71,97.75,0.38
MUN142,24.91,15.88,12.51,12876,7.79,77.1,1665.11,95.21,0.58
MUN143,43.67,26.99,41.09,8633,25.86,56.89,479.64,87.1,0.69
MUN144,29.78,32.01,29.35,6855,34.24,67.83,483.53,90.52,0.75
MUN145,32.69,14.77,6.46,NA,8.5,92.73,1313.74,100,0.55
MUN146,54.73,47.15,50.22,5095,71.68,27.05,38.72,78.34,1.12
MUN147,81.22,63.91,58.6,4096,90.93,22.71,57.43,69.36,1.67
MUN148,84.85,57.12,56.27,2643,89.69,19.83,56.89,72.39,1.63
MUN149,34.89,15.84,24.13,16438,20.39,80.04,867.54,100,0.54
MUN150,56.5,51.71,51.86,NA,75.77,28.79,73.83,86.19,1.19
MUN151,64.94,37.14,56.68,9068,63.62,40.76,127.57,81.94,1.04
MUN152,15.67,17.69,13.23,16723,13.61,74.63,872.94,100,0.33
MUN153,39.47,34.88,35.83,7512,26.66,54.1,240.5,95.29,0.94
MUN154,49.32,31.24,33.13,10897,36.05,55.99,297.62,90.18,1.03
MUN155,76.18,62.31,68.09,4606,83.37,23.98,52.59,64.56,1.48
MUN156,86.63,61.93,57.4,5091,79.07,13.5,55.76,63.68,1.68
MUN157,41.43,21.13,37.04,6487,33.96,49.39,271.95,90.92,0.66
MUN158,23.94,14.93,12.24,15638,9.89,71.62,1476.01,99.58,0.45
MUN159,22.12,12.88,10.87,13600,1.24,80.79,1188.14,95.76,0.38
MUN160,35.64,9.3,16.39,15208,0,84.76,1226.43,100,0.44
MUN161,83.15,55.69,60.44,2957,87.38,21.03,18.95,66.19,1.5
MUN162,58.82,49.36,51.03,3498,57.2,36.57,158.85,86.44,1.21
MUN163,76.57,61.95,57.94,4793,85.99,9.24,35.98,68.2,1.54
MUN164,39.83,26.16,32.85,7832,30.28,53.21,501.14,87.9,0.74
MUN165,69.73,63.17,55.93,1500,82.71,19.99,30.3,71.51,1.51
MUN166,36.16,27.41,21.28,NA,29.77,49.58,565.66,89.39,0.7
MUN167,39.79,24.33,28.18,7454,40.69,54.12,99.27,81.98,0.7
MUN168,80.87,60.99,56.85,1500,95.65,11.51,35.41,69.16,1.52
MUN169,25.76,9.96,20.29,12846,22.69,68.7,1493.9,95.35,0.46
MUN170,59.65,43.47,42.64,7024,83.8,30.75,87.33,90.76,1.13
MUN171,9.89,18.76,11.47,15453,3.28,78.34,903.09,95.5,0.3
MUN172,53.95,44.72,48.83,4927,73.6,34.16,119.61,82.77,1.18
MUN173,23.4,11.98,16.63,14692,20.96,79.96,866.51,95.66,0.38
MUN174,54.92,48.23,48.84,3830,75.84,31.22,90.4,75.21,1.22
MUN175,45.12,23.03,40.15,9971,43.49,54.61,379.74,91.09,0.74
MUN176,78.03,65.28,61.82,1500,96.94,10.14,61.66,72.34,1.58
MUN177,9.9,9.66,20.23,15063,21.71,60.19,1128.48,99.1,0.19
MUN178,15.02,11.54,14.34,13233,13.4,76.32,646.21,98.72,0.35
MUN179,74.21,65.59,65.73,1500,100,7.15,13.32,71.85,1.53
MUN180,10.27,9.24,19.83,15019,32.74,69.64,970.57,98.37,0.22
MUN181,32.85,10.16,27.12,15195,16.39,74.93,1224.95,89.67,0.56
MUN182,49.23,29.52,46.05,10242,35.56,55.94,96.59,86.58,0.92
MUN183,46,25.71,27.75,NA,30.12,60.5,444.27,90.79,0.81
MUN184,68.15,51.72,78.43,4541,90.97,22.7,39.26,72.21,1.23
MUN185,61.28,38.16,42.96,3849,86.27,37.84,136.63,88.4,1.04
MUN186,60.27,46.78,47.25,6481,69.35,32.87,76.84,83.18,1.23
MUN187,53.43,53.1,41.83,3850,68.89,11.87,118.65,77.38,1.25
MUN188,98.86,58.27,68.98,1690,88.2,13.69,13.58,70.29,1.68
MUN189,84.93,58.39,71.23,4094,86.16,17.66,36.63,66.85,1.57
MUN190,38.57,24.26,38.67,8797,37.88,49.54,294.81,91.23,0.65
MUN191,27.78,23.81,21.53,9317,36.17,56.36,468.88,84.32,0.53
MUN192,39.72,28.59,28.71,7593,34.14,39.97,385.63,95.68,0.75
MUN193,78.6,53.69,50.98,1500,89.46,13.94,4.99,73.98,1.5
MUN194,23.78,6.41,16.89,14839,0,75.27,1780.82,94.38,0.3
MUN195,58.08,49.28,46.9,3694,66.67,31.19,92.72,87.08,1.21
MUN196,40.84,24.19,46.2,9635,33.18,63.26,409.55,82.26,0.67
MUN197,83.82,53.16,57.22,1500,87.24,12.59,62.21,67.18,1.55
MUN198,58.49,53.43,49.88,4351,56.79,27.86,51.92,86.88,1.29
MUN199,45.99,22.13,34.18,10436,36.05,55.95,317.55,86.7,0.82
MUN200,79.72,66.59,54.56,1968,80.6,12.17,24.65,68.73,1.66
MUN201,32.97,26.99,28,10992,39.14,63.32,374.41,84.94,0.65
MUN202,25.86,6.01,12.03,9896,4.27,76.58,1075.91,94.67,0.28
MUN203,82.84,54.22,68.14,4445,84.65,16.2,73.56,68.33,1.5
MUN204,34.4,26.69,31.06,6484,41.66,50.2,364.53,90.07,0.68
MUN205,17.85,6.2,23.5,12905,7.57,74.66,293.52,99.39,0.26
MUN206,57.1,46.86,63.3,4384,78.5,33.65,103.23,84.33,1.13
MUN207,24.7,16.56,21.15,15912,17.36,75.41,628.58,100,0.46
MUN208,32.43,23.77,22.42,17118,13.4,78.38,1107.8,92.31,0.6
MUN209,21.58,12.12,23.99,NA,0.67,87.93,1097.85,100,0.45
MUN210,27.54,5.52,5.84,13639,27.8,69.98,605.11,97.08,0.28
MUN211,23.36,11.47,10.37,14525,16.78,83.26,1468.26,100,0.46
MUN212,56.25,39.33,49.85,6016,60.09,28.63,92.73,81.42,1.05
MUN213,63.31,44.63,45.86,NA,73.1,33.51,59.78,78.15,1.15
MUN214,61.12,36.99,41.01,2821,65.79,28.82,130.09,76.72,1.09
MUN215,43.55,30.27,24.33,6591,43.71,52.88,429.24,93.51,0.69
MUN216,68.51,44.43,45.32,5809,56.77,37.61,140.64,84.05,1.27
MUN217,36.24,21.35,26.76,7926,27.45,47.96,494.8,88.72,0.75
MUN218,54.92,48.22,45.45,5314,59.9,34.25,105.74,76.09,1.25
MUN219,45.81,30.42,24.88,7778,41.97,59.63,352.59,91.18,0.92
MUN220,57.94,41.94,56.82,4788,64.8,17.52,92.56,77.36,1.2
MUN221,70.99,55.86,72.99,5967,91.97,28.01,18.93,70.97,1.41
MUN222,66.78,53.58,43.94,6894,79.4,26.27,81.21,77.29,1.39
MUN223,38.7,24.12,27.68,8421,36.95,48.79,232.07,89.18,0.69
MUN224,44.11,25.82,22.46,8094,31.69,57.4,138.66,80.66,0.67
MUN225,17.17,7.12,17.88,13706,16.44,78.67,911.37,98.82,0.2
MUN226,63.44,43.37,40.88,5682,76.64,38.14,98.91,73.31,1.16
MUN227,58.65,48.94,57.72,4970,63.68,37.13,93.24,82.74,1.17
MUN228,39,34.41,44.92,8190,35.1,45.46,200.45,89.25,0.81
MUN229,45.4,29.77,31.4,6083,40.99,55.94,340.61,93.22,0.91
MUN230,46.24,29,36.59,9183,40.66,60.01,259.84,87.21,0.83
MUN231,40.04,26.62,33.12,8035,24.48,45.77,98.86,88.87,0.82
MUN232,28.87,11.14,8.45,14659,3.28,85.09,395.07,94.6,0.5
MUN233,53.95,49.59,44.56,7278,61.5,29.42,48.5,83.36,1.24
MUN234,54.52,40.65,50.2,1500,65.63,32.86,58.4,80.93,1.18
MUN235,40.73,24.77,30.99,NA,28.9,55.95,239.98,89.45,0.66
MUN236,75.99,55.25,64.95,NA,89.06,11.62,38.17,71.62,1.36
MUN237,25.33,13.51,7.07,14210,15.85,72.79,2191.01,94.98,0.43
MUN238,64.51,40.54,56.12,3958,71.09,33.43,79.66,87.08,1.18
MUN239,45.85,34.39,45.47,3104,60.1,35.35,158.82,79.32,0.81
MUN240,48.88,45.19,51.6,5989,77.04,36.43,101.6,79.82,1.08
MUN241,56.9,42.51,46.32,6957,64.74,22.26,81.46,82.01,1.13
MUN242,57.4,53.35,52.98,5060,57.13,30.03,110.93,82.02,1.31
MUN243,63.79,47.37,55.37,6835,65.1,26.83,90.7,90.25,1.22
MUN244,29.55,5.69,16.42,14376,3.96,73.82,1663.35,94.52,0.43
MUN245,46.22,26.36,25.84,9316,28.11,57.81,157.38,91.55,0.87
MUN246,63.7,58.49,41.77,3236,74.98,12.95,39.22,81.3,1.38
MUN247,45.11,38.77,30.19,9894,30.03,48.9,337.85,86.45,0.87
MUN248,38.18,29.83,32.02,9674,32.41,52.59,368.85,84.43,0.75
MUN249,14.77,17.15,4.12,16121,13.87,76.9,1908.15,97.27,0.32
MUN250,79.92,58.2,60.6,1500,76.81,14.63,42.22,70.18,1.52
MUN251,74.95,60.28,76.74,5380,100,21.3,54.12,64.3,1.49
MUN252,67.32,76.95,62.89,4276,79.99,18.52,24.81,70.16,1.56
MUN253,34.32,26.11,17.05,6352,25.62,52.31,333.78,90.04,0.62
MUN254,11.79,13.52,30.49,15413,14.37,74.57,1049.41,96.16,0.26
MUN255,51.14,59.18,42.24,3859,59.26,31.57,129.03,85.43,1.09
MUN256,45.12,38.27,53.56,2699,80.27,26.05,54.96,81.89,0.88
MUN257,16.28,5.58,19.04,10846,22.66,74.88,1773.11,95.74,0.31
MUN258,39.69,29.87,21.16,5584,23.32,51.79,174.08,91.03,0.76
MUN259,44.8,26.37,24.84,10342,40.37,37.26,333.56,87.32,0.85
MUN260,36.65,30.91,40.64,8495,41.25,56.38,383.19,82.1,0.77
MUN261,37.4,24.63,46.07,8480,34.21,63.11,355.4,89.71,0.78
MUN262,21.23,5.52,15.87,16017,20.04,69.06,1738.19,92.14,0.32
MUN263,48.89,33.6,49.49,3928,77.02,29.18,109.07,86.7,0.93
MUN264,73.25,63.37,65.09,3455,97.59,24.94,20.31,70.33,1.53
MUN265,24.49,15.51,18.19,14452,22.68,89.83,1685.9,94.51,0.47
MUN266,21.5,9.08,14.72,NA,14.36,64.65,1201.07,100,0.35
MUN267,22.56,16.27,22.86,15920,15.24,77.83,1068.14,96.05,0.5
MUN268,35.99,30.52,30.14,7995,45.59,68.82,415.38,90.29,0.7
MUN269,19.63,13.37,14.77,17672,7.34,73.96,1428.99,98.13,0.4
MUN270,25.11,5.4,16.42,15222,8.7,77.32,1034.54,90.76,0.36
MUN271,79.14,71.58,72.48,4536,78.49,26.8,20.96,61.07,1.65
MUN272,8.56,12.19,6.61,16484,15.64,79.17,985.08,97.05,0.25
MUN273,61.13,49.77,55.92,6372,74.99,28.25,131.25,78.9,1.22
MUN274,57.03,38.52,51.16,5809,58.2,34.62,62.74,80.91,1.1
MUN275,52.63,28.33,38.28,8225,29.1,61.74,520.95,87.1,1.02
MUN276,41.91,21.22,23.52,8089,36.68,57.07,341.19,92.12,0.74
MUN277,24.25,12.39,10.79,18498,3.04,99,1744.78,100,0.4
MUN278,78.98,69.62,67.2,5719,76.53,3.6,25.6,66.81,1.62
MUN279,46.77,33.64,29.06,8671,36.63,55.02,122.31,86.29,0.86
MUN280,27.97,13.65,10.94,11778,14.58,76.13,439.03,100,0.46
MUN281,77.56,66.46,63.58,2820,93.96,4.37,21.15,70.41,1.58
MUN282,22.3,12.18,1,13158,21.63,84.19,287.16,97.21,0.35
MUN283,73.06,46.43,57.11,3507,66.52,33.52,140.53,88.26,1.33
MUN284,64.85,47.9,41.41,3822,61.12,26,78.77,84.99,1.34
MUN285,62.98,36.65,52.51,5907,71.73,30.82,135.5,86.17,1.22
MUN286,78.83,68.28,52.39,2003,84.83,13.85,17.02,63.21,1.71
MUN287,35.54,30.84,30.79,7832,17.34,56.87,322.93,94.05,0.76
MUN288,54.31,25.68,39.34,7567,51.3,55.34,375.75,90.02,0.95
MUN289,83.29,55.18,66.08,4432,91.66,1,47.59,69.49,1.46
MUN290,72.33,61.13,71.47,4353,82.94,17.11,25.16,67.56,1.52
MUN291,52.74,33.98,33.43,6579,40.2,55.26,296.26,94.19,1.02
MUN292,8.84,6.72,3.39,15586,7.68,82.05,1235.09,100,0.24
MUN293,71.47,70.12,63.67,1500,79.9,27.36,38.66,73.72,1.59
MUN294,60.15,49.04,54.03,4689,77.22,28.49,104.99,84.48,1.26
MUN295,80.69,64.8,63.11,2437,81.32,22.28,27.98,68.65,1.52
MUN296,29.35,31.35,28.61,5958,36.37,62.3,524.93,88.3,0.71
MUN297,71.28,51.75,61.19,1963,78.48,8.71,37.06,70.32,1.32
MUN298,79.87,67.93,80.78,5322,95.63,3.48,29.01,71.64,1.58
MUN299,69.46,61.97,65.68,1500,86.6,16.73,32.8,64.17,1.43
MUN300,29.96,16.74,14.43,14817,18.06,85.7,1828.5,97.99,0.56
MUN301,44.65,28.01,36.41,5919,32.59,48.55,404.59,90.94,0.89
MUN302,44.48,26.61,26.42,9846,31.53,39.37,409.56,89.99,0.82
MUN303,73.1,59.75,63.61,4854,74.96,19.87,40.39,64.26,1.53
MUN304,15.52,14.91,5.85,15984,16.72,78.12,1103.96,100,0.36
MUN305,21.38,12.53,10.87,14168,24.05,63.67,1867.76,100,0.34
MUN306,58.73,38.86,39.71,4103,60.46,17.97,13.44,82.28,1.2
MUN307,47.32,31.17,28.45,7189,27.83,57.03,464.1,87.24,0.88
MUN308,56.73,46.35,49.43,7937,68.3,24.8,61.31,86.23,1.09
MUN309,90.95,62.45,66.9,3669,93.54,13.25,54.47,68.82,1.71
MUN310,41.93,31.19,24.5,7987,37.2,56.6,404.93,85.51,0.85
MUN311,44.73,17.85,29.24,9088,28.32,52.33,494.49,84.65,0.71
MUN312,83.23,61.91,73.52,3151,89.81,16.43,17.93,70.09,1.66
MUN313,63.47,43.23,52.78,5867,63.78,29.74,77.97,83.22,1.15
MUN314,47.69,32.91,30.79,9262,32.54,46.89,374.12,95.79,0.85
MUN315,19.01,11.44,21.94,15071,19.79,83.74,1880.73,94.33,0.41
MUN316,81.34,65.34,64.22,6341,87.66,25.15,25.34,69.57,1.62
MUN317,67.18,46.72,55.26,5072,64.47,48.48,54.97,85.56,1.26
MUN318,76.79,58.11,60.9,3307,82.4,12,45.93,65.68,1.46
MUN319,77.89,66.5,65.44,6069,71.09,22.4,8.9,66.11,1.59
MUN320,44.53,45.28,39.96,5491,65.74,26.75,47.49,84.36,0.93
MUN321,53.17,40.24,41.7,5281,60.79,26.9,130.08,82.43,0.97
MUN322,18.86,10.74,7.86,14056,20.06,85.98,937.13,96.25,0.35
MUN323,53.52,34.93,58.64,6297,58.41,31.63,85.55,85.8,0.98
MUN324,59.85,42.74,42.89,6795,70.86,35.49,76.16,77.41,1.14
MUN325,77.64,60.75,63.63,3949,98.11,6.04,20.4,71.56,1.52
MUN326,58.77,56.32,59.78,7205,48.74,23.53,67.32,83.31,1.27
MUN327,32.29,28.48,33.4,8087,38.02,50.5,223.85,95.7,0.66
MUN328,78.95,69.79,59.49,2065,78.33,9.99,48.61,71.85,1.68
MUN329,24.19,16.1,13.31,13796,8.28,75.62,1439.03,92.2,0.48
MUN330,34.5,25.32,22.8,8860,27.85,55.13,291.53,89.68,0.77
MUN331,82.74,55.81,62.56,3096,85.21,25.61,43.35,65.3,1.59
MUN332,65.54,41.44,49.73,5346,83.56,20.58,84.49,81.43,1.3
MUN333,21.95,9.6,22.98,15851,3.33,88.36,1668.55,88.89,0.37
MUN334,38.5,23.11,30.65,10530,9.53,55.6,233.49,92.18,0.7
MUN335,54.38,40.3,41.15,5601,78.33,32.83,127.27,80.23,1.09
MUN336,42.17,31.23,27.86,9179,34.63,65.26,244.46,92.84,0.77
MUN337,49.74,42.75,32.18,NA,68.1,20.21,92.35,81.35,1.01
MUN338,86.41,55.44,61.25,NA,93.13,21.64,21.1,67.13,1.5
MUN339,77.2,55.01,64.63,6387,81.75,19.82,41.77,63.94,1.44
MUN340,85.21,64.34,49.01,2733,90.6,11.6,43.31,61.66,1.67
MUN341,61.13,52.72,55.1,5868,60.54,27.38,107.29,85.6,1.2
MUN342,45.54,31.55,36.36,8354,31.51,59.32,136.11,88.58,0.91
MUN343,40.97,37.35,24.74,8343,49.78,58.24,158.38,84.88,0.88
MUN344,24.45,16.24,17.66,13006,12.79,64.69,678.36,100,0.4
MUN345,26.5,14.89,13.84,14968,23.83,83.98,1385.94,94.83,0.53
MUN346,41.3,25.77,36.07,9194,40.38,56.07,346.89,88.32,0.74
