hogar_id,consumo_kwh,temp_promedio_c,grados_calor,metros_cuadrados,ocupantes,antiguedad_anios,aislamiento,tarifa_horaria
H0100,388.9459226928726,26.847129552722233,4.847129552722233,65.30416701266243,3,36,alto,fija
H0101,437.66935297781305,31.08133240569675,9.081332405696749,66.50370439526586,5,31,medio,variable
H0102,303.05386692416164,22.530783821929486,0.5307838219294858,121.41749984637035,3,0,alto,fija
H0103,360.229605363408,23.86107639511406,1.8610763951140612,72.28408022962986,4,28,medio,fija
H0104,339.1382153746372,19.441755564763632,0,90.66854577761299,1,31,basico,fija
H0105,292.99152042067175,29.97916544704812,7.979165447048121,69.88297134863258,4,28,alto,variable
H0106,368.4591728875717,27.809144454730436,5.809144454730436,107.10910497168635,4,16,medio,fija
H0107,219.22769730315628,17.178607217420605,0,72.8818882323712,2,26,medio,fija
H0108,355.1225680469745,32.40538509552655,10.405385095526547,107.69102233108178,4,22,alto,fija
H0109,432.2783691428577,19.153974249438832,0,75.9423435473804,6,9,basico,fija
H0110,496.70266754225497,19.739932312668223,0,176.21705395027485,1,50,basico,fija
H0111,375.5345458278521,17.640772375854876,0,105.9021886401452,5,4,medio,fija
H0112,280.97709720037966,19.032815396179075,0,47.902967865098,4,15,medio,variable
H0113,422.9622376139715,23.260102876540316,1.2601028765403157,148.86118973595663,3,39,medio,variable
H0114,220.07837561258583,27.66411271574709,5.664112715747091,89.62885854597188,2,3,alto,fija
H0115,349.2474079866424,21.445057120745787,0,99.63529227607121,3,33,basico,variable
H0116,369.12984749606704,24.00505431183798,2.0050543118379807,149.57803721173033,3,20,alto,fija
H0117,319.5742686902833,23.59313338240768,1.5931333824076788,106.04105406413774,2,19,medio,fija
H0118,445.23424029029525,30.854631376024894,8.854631376024894,225.4880663247353,3,0,alto,fija
H0119,378.4111861506951,36.4436659296,14.443665929600002,76.52147937922345,2,15,medio,fija
H0120,362.53646371569215,19.655716927504617,0,104.07701613833746,6,29,medio,fija
H0121,507.4760442957755,34.531020942812106,12.531020942812106,108.6460093369037,4,19,medio,variable
H0122,489.9533558753818,35.658988592394344,13.658988592394344,121.38354976383104,3,40,medio,variable
H0123,390.1614071261796,26.15728181507676,4.157281815076761,123.06755563994085,2,25,basico,variable
H0124,482.2264853490419,29.48472868913598,7.484728689135981,111.47862321728891,3,24,basico,fija
H0125,320.27117746702686,16.3060364382424,0,59.56048398107231,2,23,alto,fija
H0126,357.8019999653916,27.344239700677658,5.344239700677658,79.60755185526641,3,29,medio,variable
H0127,489.78336427479564,22.279261634011306,0.27926163401130566,94.31611982069943,5,41,medio,fija
H0128,472.6028282957855,24.172929230957763,2.172929230957763,77.38503694045264,6,35,medio,fija
H0129,325.02030163268364,27.760832812864066,5.7608328128640665,102.98040432383944,1,35,medio,variable
H0130,400.3393020964369,30.166651058017482,8.166651058017482,69.61905997164288,1,44,medio,fija
H0131,328.1307410290429,24.769105976082272,2.7691059760822725,126.37823501313848,1,18,medio,variable
H0132,482.3713169033387,38.19353656297895,16.19353656297895,98.93145926147331,4,23,alto,fija
H0133,499.99134416411687,27.94502874612509,5.9450287461250895,111.44524775839588,2,48,basico,fija
H0134,331.70947510737375,23.98811332885394,1.9881133288539417,85.13133890521128,2,18,basico,fija
H0135,272.2930427859538,27.20780069001191,5.207800690011911,72.4690492118344,1,33,basico,variable
H0136,457.8285793526262,24.498711489585826,2.4987114895858262,153.3524016174309,3,28,medio,fija
H0137,371.0413304370498,19.532980040044457,0,68.02741708844596,3,51,medio,fija
H0138,266.026975448604,27.51623669291325,5.51623669291325,69.52276325152522,2,45,alto,variable
H0139,430.8979225912022,29.746200455588177,7.746200455588177,72.38426119989248,3,27,basico,variable
H0140,549.3082798008835,26.91401028011156,4.914010280111562,174.0341421095354,6,32,medio,fija
H0141,472.0174829777739,26.857891054490267,4.857891054490267,88.68831104381093,5,0,basico,variable
H0142,439.90180045149356,25.78608200825712,3.7860820082571216,135.7486021369337,2,23,basico,fija
H0143,356.6473567850374,29.239699449876873,7.239699449876873,64.2097998094006,2,33,basico,variable
H0144,528.9325829603247,18.58303671747412,0,79.30850096473903,5,56,basico,fija
H0145,342.758249038993,30.791393040448007,8.791393040448007,87.01550147765057,4,26,basico,variable
H0146,361.63211323561296,20.45446893417006,0,115.83286946841227,1,32,basico,fija
H0147,481.56441861895223,26.674953525842906,4.674953525842906,82.72947789908834,6,25,medio,fija
H0148,436.6962818050472,28.879270409582038,6.879270409582038,117.3998415469679,3,8,basico,fija
H0149,293.21720166742233,26.18570076138004,4.1857007613800405,95.70388263854588,2,25,alto,fija
H0150,475.779868032459,17.200649327064,0,97.99126808610717,5,32,basico,fija
H0151,343.54620088050706,25.121633755944412,3.121633755944412,193.29357125544962,3,28,alto,fija
H0152,436.5557224623839,26.673175945791435,4.673175945791435,72.58459954581022,5,34,basico,fija
H0153,466.19616487502157,29.947054995735694,7.947054995735694,129.4295153508129,3,24,basico,fija
H0154,430.1279800231243,27.501875567707987,5.501875567707987,135.07863544033808,4,18,medio,fija
H0155,416.86511238326574,27.884539327277256,5.884539327277256,164.90566916424493,2,37,alto,variable
H0156,347.1536788541241,30.713454700595527,8.713454700595527,103.05167132272673,3,7,medio,variable
H0157,268.943017112159,21.46276092788511,0,100.44027891157603,2,34,alto,fija
H0158,309.32852082233404,21.90720179509436,0,97.07139875122236,3,26,medio,fija
H0159,297.3237923258365,24.95842901928772,2.9584290192877205,118.169358161001,5,0,medio,variable
H0160,494.39333474575824,26.694598669763444,4.694598669763444,113.9179148378655,3,17,basico,variable
H0161,465.55663336633756,32.02703149423416,10.027031494234159,83.35867351268925,2,41,basico,variable
H0162,357.50093727154075,20.673650738186826,0,125.44757272020966,3,0,basico,fija
H0163,395.0265207030128,20.630230216899538,0,113.26531664617598,2,43,medio,fija
H0164,476.1914373052319,28.871591004124497,6.871591004124497,117.5460269501114,2,43,basico,fija
H0165,507.373124767821,22.99054879241374,0.9905487924137404,246.41276967858693,2,39,medio,fija
H0166,270.98556717072995,23.92431084732053,1.9243108473205304,101.36885679192181,1,23,medio,fija
H0167,377.77718443162945,28.026280652570055,6.026280652570055,76.859504742284,4,17,basico,variable
H0168,209.18788531146367,21.927161581762622,0,106.65118228663104,5,4,alto,variable
H0169,137.32863398522684,21.377885342877942,0,83.83420158851169,1,23,alto,fija
H0170,138.28854345134758,23.715286814091115,1.7152868140911153,70.25732683060984,2,21,alto,variable
H0171,316.541160843743,23.039636318252203,1.039636318252203,80.641495624733,3,49,medio,variable
H0172,365.85596253823013,21.566490191276717,0,95.618527427557,4,27,medio,fija
H0173,421.0491330302581,29.37920170065409,7.3792017006540895,129.30643810322263,4,17,basico,variable
H0174,410.1268789050722,22.59471006978754,0.5947100697875385,104.24422703652,5,37,alto,fija
H0175,275.65054964984125,25.341787954340482,3.3417879543404823,68.9464431092954,4,35,alto,variable
H0176,354.1856754201726,25.68512446407924,3.685124464079241,87.12273219376738,3,18,basico,fija
H0177,372.9621871560289,15.70615740564709,0,53.859982716385055,4,30,basico,fija
H0178,352.85331445552134,26.7313828568026,4.7313828568026,85.71338075579305,3,16,medio,fija
H0179,367.9658461798696,32.50816909973463,10.50816909973463,58.134398605803135,5,15,medio,fija
H0180,345.03022908311766,24.931309398352997,2.9313093983529974,56.55767695381453,1,12,basico,fija
H0181,303.75937043755977,21.12377401244485,0,128.83556825878625,3,19,alto,fija
H0182,416.971225897614,31.55579067838099,9.55579067838099,86.43921104469521,2,11,medio,fija
H0183,411.6775368066202,26.30262278277421,4.302622782774211,92.10598616026357,1,35,basico,fija
H0184,547.5158409140734,30.070085038128763,8.070085038128763,110.04109478500129,5,33,basico,variable
H0185,288.9875518043673,26.077971042373264,4.077971042373264,78.42692787399662,5,22,alto,fija
H0186,339.26848184925745,28.06702313045994,6.0670231304599405,85.45348008865113,2,45,medio,variable
H0187,442.2323480085621,32.22994240531013,10.229942405310133,75.29354241657244,3,31,basico,fija
H0188,323.7053489883698,28.290429503725903,6.290429503725903,81.2979579730351,3,33,medio,fija
H0189,328.0037760500564,26.876172482457456,4.876172482457456,63.714296267870594,4,19,alto,fija
H0190,327.460351072834,21.626558620309105,0,121.23411481405368,2,42,alto,fija
H0191,456.0713749090032,27.90240286648137,5.902402866481371,114.26492206154258,3,26,basico,fija
H0192,320.05652958347946,22.92885333886694,0.92885333886694,69.87930955585846,5,18,basico,fija
H0193,559.8990227539748,35.90251992696209,13.902519926962093,171.6315443815419,2,36,basico,fija
H0194,405.07748865255815,26.714288218251287,4.714288218251287,84.29424393475219,5,14,medio,variable
H0195,334.9198667236959,21.00987669046422,0,82.79804816634471,4,10,basico,fija
H0196,464.4795881092,33.205180831268265,11.205180831268265,54.4358170343234,5,41,medio,fija
H0197,266.15092450932644,22.69997444174374,0.6999744417437412,93.10803157131615,2,37,alto,variable
H0198,403.81835405340814,17.06764505696911,0,66.88147676086126,2,38,basico,fija
H0199,479.17580103427395,19.77542162964106,0,104.03980149490138,6,33,basico,fija
H0200,376.01687791318216,25.208268329428797,3.2082683294287975,98.51251577624556,3,27,basico,variable
H0201,333.0357714927548,22.8398681126133,0.8398681126132992,124.29515896753108,2,12,medio,variable
H0202,351.3580835494097,27.292955738433996,5.292955738433996,72.66314274009157,5,17,medio,fija
H0203,174.18283860321336,23.853240069703396,1.8532400697033964,51.41261647353139,3,21,medio,fija
H0204,385.7730268093422,15.715188950795845,0,105.45713851263908,2,36,basico,fija
H0205,341.8780955611804,23.551629135094235,1.5516291350942346,107.36847025106596,3,22,basico,variable
H0206,379.8435064082935,33.83570618934594,11.835706189345942,144.19645643206607,2,33,alto,fija
H0207,396.22214224556274,22.78658551349592,0.7865855134959183,86.89265849256437,2,32,medio,fija
H0208,462.70241610447613,22.055677989992166,0.05567798999216578,109.57812247580132,5,19,basico,fija
H0209,342.35949921224403,24.397058708235495,2.3970587082354946,108.07646658423317,2,7,medio,variable
H0210,575.9440193809396,33.26530640930903,11.265306409309026,77.87382300098096,5,22,basico,fija
H0211,187.8452962042802,20.64322715685128,0,53.354789053184575,1,19,medio,fija
H0212,324.50072297935793,28.903341354288912,6.903341354288912,72.28601558239947,1,3,basico,fija
H0213,422.5454950019519,21.930610653406692,0,96.90500446505797,3,19,basico,fija
H0214,385.7754204100807,23.362043443469755,1.362043443469755,96.46583448475887,5,41,alto,fija
H0215,291.93438863362746,23.223919920492236,1.2239199204922357,56.90987822797001,4,15,medio,fija
H0216,365.9530067362035,28.9046703718342,6.9046703718342,89.0503811557078,2,15,basico,variable
H0217,351.97186185049327,28.04335085892713,6.0433508589271305,62.20378189150068,2,47,basico,fija
H0218,551.144312257633,30.380895087367392,8.380895087367392,119.39987477727946,5,25,basico,variable
H0219,413.3867049436343,30.327788261566077,8.327788261566077,94.53569444100638,3,3,medio,fija
H0220,294.1588732664603,35.808232064146296,13.808232064146296,77.23197071092547,3,8,alto,variable
H0221,488.2568064719369,25.352282410261456,3.3522824102614557,113.96584459408467,2,52,medio,fija
H0222,344.1910174795847,12.32387390203413,0,67.87219189044345,4,39,alto,variable
H0223,319.0016506083541,22.293329276383044,0.2933292763830444,138.3717458236208,3,22,medio,fija
H0224,318.8504799689367,21.12030213229427,0,70.27263786199799,4,0,alto,fija
H0225,221.4120006368564,23.520222908801188,1.5202229088011876,48.874366111490616,2,0,medio,fija
H0226,457.1910564018665,30.756864527116882,8.756864527116882,66.73139740126346,4,6,basico,variable
H0227,223.15575854561502,22.15556066234242,0.15556066234242039,81.2092165022778,6,6,alto,fija
H0228,276.7013366191056,20.97106829987484,0,86.48705760452644,1,20,medio,fija
H0229,311.7764719011147,27.46296930920819,5.462969309208191,69.54886717592667,2,40,alto,fija
H0230,319.4026408647991,28.503791686661216,6.503791686661216,80.18286414461475,1,18,basico,variable
H0231,382.511508777793,23.78437354224958,1.784373542249579,101.24996454994422,2,14,basico,fija
H0232,332.40903422774693,27.06240588461238,5.062405884612382,100.69924185271346,2,8,basico,fija
H0233,360.9032695881198,27.490826546793993,5.490826546793993,95.62485725044277,3,8,basico,variable
H0234,293.1698756510227,26.838395573115168,4.838395573115168,66.78524575169521,4,19,medio,variable
H0235,386.19468422778664,22.146985654051498,0.14698565405149822,99.11852978310851,4,7,basico,fija
H0236,516.1986117120495,28.694082588571842,6.694082588571842,150.3485020780786,4,46,medio,fija
H0237,197.74559727928354,13.658543371675268,0,69.32713541310862,2,20,alto,variable
H0238,612.1382630567421,28.07020520026233,6.070205200262329,180.12036536747186,5,37,basico,variable
H0239,404.20490228101556,27.0181790299996,5.018179029999601,124.55815142262642,5,15,medio,variable
H0240,319.91420914268457,35.25789663349655,13.25789663349655,59.111227126024104,2,25,alto,fija
H0241,319.5097862768892,26.316224936075013,4.316224936075013,65.82301307693106,3,11,medio,fija
H0242,243.56082292741996,25.55210594723331,3.5521059472333114,82.73221408540994,2,14,alto,fija
H0243,483.21906772301253,30.978818106437018,8.978818106437018,91.92907127802171,3,18,basico,fija
H0244,432.84660540828213,28.666547568165516,6.666547568165516,66.83411159392264,4,22,medio,fija
H0245,452.8533934687616,24.97744154229179,2.977441542291789,73.28921516769617,2,26,basico,fija
H0246,300.5120625294001,24.893922502024832,2.8939225020248323,104.95140717255101,3,26,alto,fija
H0247,542.2268245258165,25.69250866490787,3.6925086649078693,101.4014418998986,4,34,basico,fija
H0248,389.7838428103726,19.64936465023362,0,70.6428051081409,5,14,basico,fija
H0249,305.91346033056135,31.18031033488429,9.18031033488429,77.96101747880489,3,37,medio,variable
H0250,256.59046237783764,22.300949526322906,0.3009495263229063,66.81355155531377,4,31,medio,variable
H0251,166.99587080694454,23.51885542671966,1.5188554267196608,36.98948484035676,4,4,alto,fija
H0252,262.6650779966669,28.44109401674819,6.441094016748188,74.74444930159076,2,7,medio,fija
H0253,385.1654887543976,23.004963481360658,1.004963481360658,73.56325246935964,6,44,alto,fija
H0254,461.41788941288405,24.482575735752565,2.4825757357525653,88.65191573109794,4,26,medio,fija
H0255,417.15237278014115,32.6476702029771,10.647670202977103,65.28006281949769,2,20,basico,fija
H0256,345.1824334964518,21.82681770775583,0,108.68686915867704,3,27,medio,fija
H0257,214.65121579380423,23.86572705451136,1.8657270545113604,56.117720018347356,4,7,alto,fija
H0258,564.1612430216442,32.50542046366401,10.50542046366401,162.8190856443849,2,21,basico,variable
H0259,303.4241392256744,23.287682588106826,1.2876825881068257,61.991266874004864,3,33,medio,fija
H0260,337.1588663989387,22.231362219942586,0.23136221994258577,107.2589987140364,2,17,medio,variable
H0261,425.24338153264466,26.288134353494794,4.288134353494794,178.93384545779622,5,15,medio,variable
H0262,323.64348699154584,28.065608793262285,6.065608793262285,71.9896550317932,4,14,medio,variable
H0263,227.5733741816037,21.73856316611213,0,80.77599201238816,3,42,alto,fija
H0264,331.77835121783585,24.308594854565527,2.308594854565527,72.5526452871106,2,30,basico,fija
H0265,336.7195465857037,24.381809990654006,2.3818099906540056,95.32542142007412,2,5,medio,variable
H0266,260.9102085840826,20.176473918083147,0,111.65754117168687,3,15,alto,fija
H0267,277.607562455845,25.09521592007658,3.09521592007658,54.00146784499724,4,0,alto,fija
H0268,273.32315934093447,33.45846176599531,11.45846176599531,64.34416934132534,2,24,medio,variable
H0269,301.8667052251646,29.429045357370843,7.429045357370843,56.54573777818801,1,27,medio,fija
H0270,345.28524586041266,21.350349272587373,0,107.06728896314071,3,20,medio,fija
H0271,292.7048713184735,26.759423415490065,4.759423415490065,104.70879165338906,4,9,alto,fija
H0272,292.9001525603489,23.763345533699027,1.7633455336990274,71.76994542879598,3,1,medio,variable
H0273,211.9513221138859,24.182040841383394,2.182040841383394,64.40274691179678,1,17,medio,fija
H0274,250.49743253103247,29.361802801041232,7.361802801041232,51.80710947408889,3,0,alto,variable
H0275,469.2695160575432,28.029691069416586,6.029691069416586,116.83202930443642,3,37,basico,variable
H0276,370.7051458237283,29.636204063064095,7.6362040630640955,70.71316234164077,2,15,medio,fija
H0277,435.4538165299615,27.29022218325604,5.290222183256041,118.21103935387946,2,0,basico,fija
H0278,586.2792245973876,20.994429878925523,0,184.9414095909077,6,37,medio,fija
H0279,447.5972311945368,22.514384235022302,0.5143842350223018,147.368508371634,2,28,medio,fija
H0280,392.01185238823626,18.93516092572805,0,68.88035991749598,6,0,basico,fija
H0281,466.8829266721427,28.098562996782125,6.098562996782125,137.0370580105378,5,20,basico,fija
H0282,461.6542275260205,31.798316289781013,9.798316289781013,72.74995997716731,4,10,basico,variable
H0283,475.69585449879355,16.894676186431017,0,101.76797275720074,2,41,basico,fija
H0284,451.74341270706657,25.397797496777688,3.397797496777688,97.42985317191872,2,49,basico,fija
H0285,288.4162936875444,27.562965686533765,5.562965686533765,111.28401332826274,2,26,alto,fija
H0286,428.3895281846183,23.9044903092456,1.904490309245599,92.28899014207559,3,37,basico,fija
H0287,383.44055431935936,20.870306526647298,0,101.87967725764254,4,43,medio,fija
H0288,400.0482643324188,19.932108779440796,0,114.78073487194017,3,18,basico,fija
H0289,331.8849519652158,31.410331230141555,9.410331230141555,43.77160955049375,3,30,alto,fija
H0290,182.20332978165385,23.93927750410191,1.9392775041019092,83.61290866124656,3,21,alto,fija
H0291,533.6402362115283,30.92438618313203,8.924386183132029,105.06014070170976,3,16,basico,fija
H0292,363.2047525441518,21.746937816138566,0,98.92704220151745,3,29,medio,variable
H0293,469.1184815420644,31.436836350292644,9.436836350292644,96.28523614347917,4,20,medio,fija
H0294,556.3507156650635,27.694666078316587,5.694666078316587,168.5013745789106,5,35,basico,fija
H0295,248.0857043987204,25.127702769019532,3.127702769019532,87.85313437909828,3,19,alto,fija
H0296,445.71873728580226,30.819737663623023,8.819737663623023,94.95010951910321,3,11,medio,fija
H0297,347.09674283069194,23.161871339414144,1.1618713394141444,88.1340540049146,4,31,basico,fija
H0298,575.0633440099494,23.183152152493122,1.183152152493122,209.26129102616014,3,35,basico,variable
H0299,155.30179438473783,24.966233176272766,2.966233176272766,73.99235734386416,3,4,alto,fija
H0300,470.7125104856441,24.497637505676792,2.497637505676792,135.01915030925662,6,6,medio,fija
H0301,288.7705880633743,24.2570396081944,2.2570396081944004,137.0127684857259,3,25,alto,fija
H0302,243.71698802180094,24.085236222815332,2.0852362228153325,70.98995349740476,1,26,medio,fija
H0303,401.2383622902741,20.70926081173125,0,141.87940425784728,4,16,basico,fija
H0304,473.030570625091,29.79079591089002,7.790795910890019,113.08677407679012,3,43,medio,fija
H0305,387.6047785964602,20.804615290838484,0,130.89362943889174,3,3,medio,variable
H0306,218.67786616656707,21.201378603441583,0,49.811022744054625,1,5,medio,fija
H0307,335.63742169690784,20.667425902318932,0,70.18169087380092,2,19,medio,fija
H0308,341.581815473952,33.29512834340695,11.295128343406951,80.35314426541204,2,26,alto,variable
H0309,250.79990018153947,27.784711386052596,5.784711386052596,98.26915691772318,4,9,medio,variable
H0310,382.01305291934483,28.006930648311073,6.006930648311073,90.02687633125866,4,37,alto,fija
H0311,380.1770712633778,15.151065894478785,0,87.34385613292378,6,20,basico,variable
