id_reserva,dias_anticipacion,num_noches,num_noches_finde,num_adultos,num_ninos,num_solicitudes_especiales,num_estancias_previas,precio_total_mxn,descuento_aplicado_pct,tipo_habitacion,canal_reserva,regimen,temporada,forma_pago,pais_origen,cliente_recurrente,tiene_promocion,cancelo
33,66,5,1,1,0,2,0,25386,0,estandar,telefono,media_pension,media,deposito_50pct,mexico,no,no,no
34,56,6,3,2,1,0,2,1994,7.3,junior,web_propio,solo_habitacion,alta,en_hotel,mexico,si,si,si
35,61,1,0,1,0,3,4,14202,24.5,junior,ota,media_pension,baja,en_hotel,eua_canada,si,si,no
36,40,3,1,1,1,2,1,17904,0,suite,ota,solo_habitacion,alta,deposito_50pct,eua_canada,si,no,no
37,21,2,1,2,0,0,2,13997,12.3,estandar,agencia,media_pension,media,deposito_50pct,mexico,si,si,no
38,17,10,5,2,0,0,0,12964,0,ejecutiva,ota,solo_habitacion,baja,anticipado,mexico,no,no,no
39,19,1,1,1,0,0,1,23492,0,estandar,agencia,desayuno,media,en_hotel,europa,si,no,no
40,104,4,2,4,2,1,1,26695,22.1,estandar,ota,desayuno,media,deposito_50pct,NA,si,si,no
41,96,5,1,2,0,3,4,25272,0.5,suite,ota,desayuno,media,deposito_50pct,eua_canada,si,si,no
42,132,2,1,2,2,0,1,1618,7.1,junior,web_propio,desayuno,media,anticipado,mexico,si,si,no
43,98,7,1,2,2,0,0,7823,0,junior,ota,desayuno,alta,anticipado,otro,no,no,no
44,69,2,1,2,0,0,3,26174,15.8,suite,web_propio,media_pension,baja,deposito_50pct,mexico,si,si,no
45,28,2,1,2,0,1,0,25752,3.9,suite,ota,solo_habitacion,baja,en_hotel,eua_canada,no,si,si
46,50,6,2,1,2,0,1,22879,2.2,suite,ota,solo_habitacion,media,anticipado,mexico,si,si,si
47,190,2,1,3,0,0,2,27752,16.2,estandar,web_propio,desayuno,alta,en_hotel,eua_canada,si,si,si
48,73,4,1,2,0,3,2,25860,24.5,estandar,web_propio,todo_incluido,alta,en_hotel,otro,si,si,si
49,107,5,2,4,1,0,1,8948,2.7,estandar,ota,solo_habitacion,media,deposito_50pct,mexico,si,si,si
50,58,8,3,3,0,0,0,5301,23.7,junior,ota,media_pension,media,deposito_50pct,mexico,no,si,si
51,12,4,1,2,0,4,1,24406,13.1,estandar,web_propio,desayuno,alta,en_hotel,mexico,si,si,no
52,119,1,0,1,0,1,1,20713,12.7,estandar,ota,desayuno,media,en_hotel,mexico,si,si,si
53,48,6,2,1,0,2,0,23479,19.9,estandar,ota,todo_incluido,media,deposito_50pct,mexico,no,si,no
54,31,13,2,2,0,0,3,23693,5.5,estandar,ota,desayuno,alta,anticipado,eua_canada,si,si,no
55,17,6,3,1,0,1,0,8314,3.5,suite,ota,desayuno,alta,anticipado,eua_canada,no,si,si
56,112,7,2,2,1,0,1,24389,0,junior,ota,desayuno,alta,en_hotel,europa,si,no,si
57,27,1,0,4,0,0,3,9445,3.5,estandar,telefono,solo_habitacion,alta,en_hotel,mexico,si,si,no
58,154,2,1,2,0,1,0,26312,3.8,junior,telefono,solo_habitacion,media,anticipado,mexico,no,si,no
59,50,7,1,2,0,1,3,6765,22.6,junior,ota,solo_habitacion,baja,en_hotel,eua_canada,si,si,no
60,166,5,2,2,0,0,1,1566,34.3,junior,ota,desayuno,baja,anticipado,europa,si,si,no
61,78,5,2,3,0,3,3,15032,0,junior,ota,solo_habitacion,alta,deposito_50pct,mexico,si,no,si
62,42,2,1,2,2,1,0,26147,37.7,estandar,web_propio,desayuno,baja,en_hotel,eua_canada,no,si,si
63,138,1,0,1,0,0,0,6355,8.3,suite,ota,media_pension,alta,anticipado,mexico,no,si,si
64,345,4,1,2,0,1,1,22184,20.5,suite,ota,solo_habitacion,baja,en_hotel,mexico,si,si,si
65,16,2,1,2,0,2,2,21279,8,suite,ota,solo_habitacion,alta,en_hotel,eua_canada,si,si,no
66,32,3,1,1,2,0,1,NA,20.3,estandar,web_propio,desayuno,media,anticipado,mexico,si,si,si
67,19,4,2,2,0,0,1,25809,4.9,estandar,ota,media_pension,alta,deposito_50pct,NA,si,si,no
68,81,2,1,2,0,0,1,4532,30.4,junior,ota,desayuno,alta,deposito_50pct,eua_canada,si,si,no
69,62,2,1,2,1,1,4,12904,6.4,estandar,web_propio,solo_habitacion,alta,anticipado,eua_canada,si,si,no
70,22,2,0,2,0,0,2,4329,3.2,suite,web_propio,desayuno,media,en_hotel,mexico,si,si,no
71,23,6,2,1,2,0,0,26125,8.5,estandar,telefono,desayuno,baja,anticipado,mexico,no,si,no
72,7,4,1,2,1,2,0,11425,17.3,junior,ota,media_pension,alta,anticipado,mexico,no,si,no
73,67,4,2,2,1,1,0,27146,1,junior,agencia,desayuno,baja,deposito_50pct,eua_canada,no,si,si
74,40,3,1,2,0,0,0,9776,2.4,estandar,web_propio,desayuno,media,deposito_50pct,europa,no,si,no
75,62,2,1,2,0,0,1,3968,14.4,estandar,web_propio,solo_habitacion,baja,anticipado,otro,si,si,no
76,60,6,2,4,1,0,2,12909,20.3,estandar,ota,solo_habitacion,baja,en_hotel,europa,si,si,si
77,39,3,2,3,2,0,3,11568,4.1,estandar,ota,solo_habitacion,media,anticipado,eua_canada,si,si,no
78,96,2,1,2,0,0,0,6254,24.2,junior,ota,desayuno,alta,deposito_50pct,mexico,no,si,si
79,89,1,0,3,0,2,0,6499,0,estandar,agencia,solo_habitacion,baja,en_hotel,europa,no,no,no
80,153,1,1,2,1,0,2,10055,0,estandar,telefono,desayuno,baja,deposito_50pct,eua_canada,si,no,si
81,59,7,1,2,1,1,2,26678,22.1,estandar,ota,solo_habitacion,baja,en_hotel,mexico,si,si,no
82,97,7,2,2,0,3,1,2099,10.1,junior,web_propio,solo_habitacion,alta,en_hotel,europa,si,si,no
83,107,4,1,2,1,0,0,14570,0,estandar,web_propio,desayuno,alta,en_hotel,mexico,no,no,si
84,15,1,1,2,0,1,0,11771,4.6,junior,ota,solo_habitacion,alta,en_hotel,mexico,no,si,no
85,78,4,0,2,0,1,1,16606,17,junior,agencia,desayuno,media,anticipado,mexico,si,si,no
86,11,3,1,1,0,0,5,12698,NA,estandar,web_propio,desayuno,media,deposito_50pct,mexico,si,si,no
87,81,6,2,2,0,0,1,15948,2.4,estandar,web_propio,solo_habitacion,baja,en_hotel,eua_canada,si,si,no
88,7,7,1,2,0,0,2,9289,4.2,estandar,ota,media_pension,media,deposito_50pct,mexico,si,si,no
89,66,1,0,1,0,3,0,6980,22.3,ejecutiva,agencia,desayuno,baja,deposito_50pct,mexico,no,si,si
90,154,1,0,2,2,0,3,4630,0,suite,web_propio,solo_habitacion,alta,deposito_50pct,mexico,si,no,no
91,52,14,2,2,0,5,0,NA,NA,estandar,agencia,solo_habitacion,baja,deposito_50pct,mexico,no,si,no
92,42,1,0,2,3,0,0,22692,0,suite,ota,solo_habitacion,media,deposito_50pct,mexico,no,no,no
93,37,1,0,2,1,0,2,19765,0,junior,ota,solo_habitacion,baja,en_hotel,otro,si,no,no
94,174,5,1,2,0,0,2,6593,9.2,estandar,ota,solo_habitacion,alta,anticipado,mexico,si,si,no
95,81,6,1,2,1,0,2,12371,6.4,estandar,ota,solo_habitacion,alta,deposito_50pct,mexico,si,si,no
96,57,2,0,4,2,1,1,13959,0,estandar,telefono,todo_incluido,media,deposito_50pct,eua_canada,si,no,no
97,123,8,3,2,1,1,0,9784,15.1,estandar,web_propio,solo_habitacion,alta,deposito_50pct,mexico,no,si,si
98,126,3,1,3,0,0,1,3475,7.5,ejecutiva,web_propio,desayuno,alta,deposito_50pct,mexico,si,si,no
99,64,4,1,2,0,2,0,12994,16.6,estandar,ota,media_pension,media,en_hotel,eua_canada,no,si,no
100,131,2,1,3,2,1,2,7125,23,estandar,ota,desayuno,alta,deposito_50pct,NA,si,si,si
101,42,2,0,1,0,1,1,24642,5.1,suite,web_propio,desayuno,media,deposito_50pct,mexico,si,si,no
102,71,7,2,2,1,1,0,14939,NA,estandar,web_propio,media_pension,media,en_hotel,eua_canada,no,si,si
103,114,2,1,2,1,1,1,11920,9.2,estandar,ota,desayuno,media,anticipado,mexico,si,si,si
104,119,4,2,2,0,0,2,2140,NA,estandar,ota,solo_habitacion,alta,en_hotel,mexico,si,si,si
105,60,1,1,1,0,0,2,22107,2.9,junior,ota,desayuno,media,anticipado,NA,si,si,no
106,88,3,1,1,0,0,0,14524,3.5,suite,agencia,todo_incluido,media,anticipado,mexico,no,si,si
107,38,5,3,3,0,0,0,19445,17.4,junior,ota,desayuno,baja,deposito_50pct,eua_canada,no,si,si
108,8,1,0,2,0,2,2,18033,5.3,ejecutiva,ota,desayuno,media,deposito_50pct,mexico,si,si,no
109,85,2,0,2,0,0,2,19414,0,estandar,ota,desayuno,media,en_hotel,mexico,si,no,si
110,28,8,4,2,0,0,0,23547,0,suite,ota,solo_habitacion,alta,anticipado,mexico,no,no,si
111,76,7,3,2,0,2,2,19721,11,estandar,ota,solo_habitacion,media,anticipado,mexico,si,si,no
112,127,4,1,2,0,0,1,18841,13.9,junior,web_propio,solo_habitacion,baja,en_hotel,eua_canada,si,si,si
113,102,5,1,2,2,1,2,20323,7.3,estandar,ota,desayuno,media,deposito_50pct,europa,si,si,no
114,17,4,2,2,0,1,0,26651,10.9,junior,ota,media_pension,baja,anticipado,mexico,no,si,si
115,44,2,0,2,0,0,1,12288,12.8,ejecutiva,web_propio,todo_incluido,media,en_hotel,eua_canada,si,si,no
116,122,7,1,4,1,0,1,8044,17.4,estandar,ota,solo_habitacion,media,anticipado,otro,si,si,no
117,80,6,3,2,0,0,1,23514,9.7,ejecutiva,ota,todo_incluido,alta,anticipado,mexico,si,si,no
118,121,5,3,1,1,1,1,12559,18.9,estandar,ota,solo_habitacion,media,anticipado,mexico,si,si,si
119,76,2,0,2,0,0,2,2735,13.8,estandar,ota,solo_habitacion,media,deposito_50pct,mexico,si,si,si
120,197,5,1,2,0,1,0,19047,6.4,suite,ota,desayuno,baja,en_hotel,mexico,no,si,si
121,153,6,2,3,0,1,1,19974,19.4,estandar,web_propio,media_pension,media,anticipado,mexico,si,si,si
122,136,5,1,1,0,0,0,16191,1.1,estandar,web_propio,solo_habitacion,media,deposito_50pct,eua_canada,no,si,si
123,58,3,1,3,0,3,1,8826,22.4,junior,agencia,todo_incluido,alta,anticipado,eua_canada,si,si,no
124,49,6,1,3,2,0,1,19604,16.8,junior,ota,solo_habitacion,alta,deposito_50pct,mexico,si,si,si
125,16,2,1,2,0,1,1,14069,22.5,estandar,ota,media_pension,alta,en_hotel,eua_canada,si,si,no
126,49,2,1,4,2,0,0,7093,18.4,estandar,web_propio,solo_habitacion,media,anticipado,mexico,no,si,no
127,44,4,2,2,0,2,1,2927,15,estandar,ota,desayuno,baja,en_hotel,eua_canada,si,si,si
128,82,4,2,2,0,1,0,5577,2.6,estandar,ota,desayuno,baja,en_hotel,eua_canada,no,si,no
129,126,3,1,3,0,0,2,9499,5.6,estandar,web_propio,solo_habitacion,baja,en_hotel,eua_canada,si,si,si
130,85,2,1,2,0,1,2,9809,7.9,estandar,ota,solo_habitacion,baja,anticipado,mexico,si,si,no
131,44,2,0,2,0,1,1,6126,0,estandar,web_propio,todo_incluido,alta,deposito_50pct,mexico,si,no,no
132,67,1,1,2,1,0,3,6803,14.4,estandar,ota,solo_habitacion,alta,en_hotel,mexico,si,si,no
133,158,2,1,2,0,1,1,21386,2.2,estandar,ota,solo_habitacion,media,anticipado,eua_canada,si,si,si
134,165,4,1,1,2,0,0,12351,0,estandar,ota,solo_habitacion,media,anticipado,mexico,no,no,no
135,31,5,2,2,0,1,2,4934,13.1,estandar,ota,solo_habitacion,alta,anticipado,mexico,si,si,no
136,109,1,0,2,2,0,1,25115,NA,estandar,agencia,todo_incluido,media,deposito_50pct,mexico,si,no,si
137,108,10,5,2,2,0,2,5049,10.2,estandar,agencia,solo_habitacion,alta,en_hotel,mexico,si,si,no
138,95,3,1,2,1,4,2,4482,0,suite,ota,todo_incluido,baja,en_hotel,europa,si,no,no
139,46,1,0,3,0,0,0,16624,9,suite,ota,desayuno,media,anticipado,mexico,no,si,no
140,106,4,1,2,2,1,1,5688,0,junior,agencia,solo_habitacion,media,deposito_50pct,mexico,si,no,no
141,41,1,1,1,0,4,0,16294,24.6,estandar,web_propio,desayuno,baja,en_hotel,eua_canada,no,si,no
142,108,3,1,1,0,0,1,24350,12.9,estandar,ota,desayuno,baja,anticipado,eua_canada,si,si,si
143,11,2,1,4,1,4,0,NA,21.6,estandar,ota,media_pension,media,deposito_50pct,europa,no,si,no
144,46,3,0,1,3,0,1,18033,14,estandar,web_propio,desayuno,baja,en_hotel,europa,si,si,si
145,51,2,1,2,0,1,3,2635,1.1,estandar,web_propio,solo_habitacion,alta,en_hotel,mexico,si,si,no
146,43,5,2,2,1,3,2,8754,0,suite,ota,media_pension,alta,en_hotel,mexico,si,no,no
147,152,2,1,1,1,0,3,18369,21.8,ejecutiva,agencia,solo_habitacion,media,deposito_50pct,mexico,si,si,si
148,79,6,1,2,0,0,0,4458,NA,estandar,web_propio,media_pension,media,anticipado,eua_canada,no,si,no
149,61,3,1,1,0,1,0,3052,11.3,estandar,ota,solo_habitacion,baja,anticipado,mexico,no,si,no
150,28,3,1,2,0,0,1,8611,15.6,estandar,web_propio,solo_habitacion,alta,deposito_50pct,mexico,si,si,no
151,35,2,1,2,0,0,1,2681,7.4,estandar,web_propio,media_pension,alta,en_hotel,otro,si,si,no
152,237,1,1,1,0,0,1,10980,2.7,estandar,ota,desayuno,baja,anticipado,mexico,si,si,no
153,98,1,0,2,0,0,0,4374,0,estandar,ota,solo_habitacion,alta,deposito_50pct,eua_canada,no,no,no
154,45,4,1,2,0,0,2,26408,16.9,junior,ota,desayuno,alta,deposito_50pct,eua_canada,si,si,no
155,69,2,0,2,0,0,1,12021,4.3,estandar,telefono,solo_habitacion,baja,anticipado,mexico,si,si,no
156,13,7,4,2,0,0,1,23858,4.2,estandar,web_propio,solo_habitacion,alta,anticipado,europa,si,si,no
157,54,3,0,2,0,1,0,16732,20.7,estandar,agencia,desayuno,baja,anticipado,mexico,no,si,no
158,29,4,2,2,0,1,1,11233,9.5,estandar,telefono,desayuno,baja,deposito_50pct,mexico,si,si,si
159,58,9,1,2,0,1,1,18199,0,junior,ota,todo_incluido,alta,en_hotel,mexico,si,no,no
160,91,2,1,1,0,0,1,13185,24.1,estandar,ota,desayuno,baja,en_hotel,mexico,si,si,si
161,103,3,2,2,0,0,0,14740,0,estandar,agencia,solo_habitacion,baja,deposito_50pct,mexico,no,no,si
162,56,4,1,2,2,0,2,27173,0,junior,web_propio,solo_habitacion,alta,en_hotel,europa,si,no,si
163,68,2,1,4,0,0,2,9351,0,suite,web_propio,solo_habitacion,media,deposito_50pct,mexico,si,no,no
164,63,7,1,3,0,1,1,NA,4.7,estandar,web_propio,solo_habitacion,baja,en_hotel,mexico,si,si,no
165,110,1,0,2,0,0,2,20184,25.3,junior,telefono,media_pension,baja,deposito_50pct,mexico,si,si,si
166,217,12,7,2,1,1,2,19725,0,suite,web_propio,todo_incluido,alta,en_hotel,europa,si,no,si
167,27,7,4,2,0,0,1,10623,NA,estandar,ota,solo_habitacion,alta,en_hotel,mexico,si,no,no
168,41,2,1,1,0,2,2,20220,21.9,junior,web_propio,todo_incluido,baja,anticipado,mexico,si,si,no
169,36,10,2,2,0,1,1,NA,11.8,estandar,web_propio,media_pension,alta,anticipado,mexico,si,si,no
170,68,2,1,1,0,0,1,26981,23.4,junior,ota,desayuno,media,anticipado,mexico,si,si,si
171,156,3,1,2,0,1,3,27870,7.2,junior,ota,solo_habitacion,baja,en_hotel,mexico,si,si,si
172,124,1,0,2,0,0,2,8522,19.4,estandar,ota,solo_habitacion,alta,deposito_50pct,mexico,si,si,no
173,71,9,2,3,2,1,1,11765,26,suite,web_propio,desayuno,media,en_hotel,mexico,si,si,no
174,190,9,3,1,0,0,0,27019,9,ejecutiva,ota,desayuno,baja,anticipado,eua_canada,no,si,si
175,107,5,1,2,0,1,2,9855,25,estandar,web_propio,solo_habitacion,media,en_hotel,mexico,si,si,si
176,52,5,1,2,1,1,1,27341,13.7,estandar,ota,media_pension,media,en_hotel,eua_canada,si,si,si
177,17,1,0,2,1,5,1,19458,22.3,junior,telefono,desayuno,alta,deposito_50pct,eua_canada,si,si,no
178,59,1,0,2,0,5,3,16987,12.4,estandar,agencia,desayuno,baja,deposito_50pct,mexico,si,si,si
179,11,6,2,2,0,1,1,10267,0,junior,ota,todo_incluido,media,en_hotel,mexico,si,no,no
180,228,2,1,2,0,0,0,13213,NA,estandar,web_propio,desayuno,baja,deposito_50pct,eua_canada,no,si,si
181,46,2,1,2,0,1,2,21441,14,junior,ota,solo_habitacion,alta,anticipado,eua_canada,si,si,si
182,61,2,1,2,1,0,1,23070,0.2,estandar,web_propio,media_pension,alta,anticipado,otro,si,si,si
183,105,3,1,1,1,1,0,23305,0,junior,ota,desayuno,media,en_hotel,europa,no,no,si
184,76,2,1,2,0,0,2,27859,6.3,junior,ota,desayuno,media,anticipado,otro,si,si,si
185,87,4,2,2,0,0,2,18159,9.7,estandar,web_propio,solo_habitacion,baja,en_hotel,otro,si,si,no
186,66,1,0,1,1,1,3,26333,11.2,junior,web_propio,solo_habitacion,media,deposito_50pct,europa,si,si,no
187,56,2,1,2,0,3,3,25054,0,estandar,ota,media_pension,baja,en_hotel,europa,si,no,si
188,6,4,1,1,2,0,2,16483,12.4,ejecutiva,ota,todo_incluido,alta,anticipado,mexico,si,si,no
189,112,4,1,1,1,0,0,20232,3.7,junior,ota,desayuno,alta,deposito_50pct,mexico,no,si,si
190,8,5,1,1,0,0,2,18561,2.2,estandar,telefono,desayuno,baja,anticipado,eua_canada,si,si,no
191,58,3,1,2,0,0,1,21903,9.8,estandar,ota,solo_habitacion,baja,en_hotel,mexico,si,si,si
192,28,2,1,1,0,0,0,7378,3.1,estandar,web_propio,media_pension,alta,en_hotel,mexico,no,si,no
193,73,5,1,2,0,0,1,3379,12.8,estandar,ota,solo_habitacion,media,anticipado,NA,si,si,no
194,28,5,3,1,0,0,1,11254,6.6,estandar,ota,solo_habitacion,media,en_hotel,mexico,si,si,no
195,47,6,3,2,0,0,0,24267,0,estandar,web_propio,desayuno,baja,deposito_50pct,mexico,no,no,no
196,54,3,1,2,0,2,1,27524,10.4,estandar,ota,desayuno,media,anticipado,NA,si,si,no
197,88,3,0,3,3,2,0,22542,1.1,suite,ota,desayuno,alta,deposito_50pct,mexico,no,si,si
198,137,1,0,2,0,0,2,23243,0,ejecutiva,ota,solo_habitacion,baja,anticipado,eua_canada,si,no,no
199,15,4,2,2,0,0,0,7866,9,estandar,agencia,desayuno,media,anticipado,eua_canada,no,si,no
200,22,14,2,1,0,0,2,11459,13.5,junior,web_propio,media_pension,alta,en_hotel,mexico,si,si,no
201,123,1,1,2,0,1,1,19784,0,estandar,ota,solo_habitacion,alta,anticipado,mexico,si,no,no
202,36,6,1,3,0,0,3,15545,4.4,estandar,ota,media_pension,baja,en_hotel,europa,si,si,no
203,123,3,1,4,1,2,2,27497,0,estandar,ota,desayuno,alta,deposito_50pct,mexico,si,no,si
204,93,1,0,1,0,0,0,16371,NA,estandar,agencia,desayuno,media,en_hotel,mexico,no,no,si
205,115,3,1,1,0,4,1,3748,NA,estandar,agencia,todo_incluido,baja,anticipado,mexico,si,si,no
206,16,4,1,2,0,0,1,24691,2.4,suite,telefono,todo_incluido,baja,anticipado,otro,si,si,si
207,24,5,3,2,0,0,1,22832,12.5,junior,web_propio,solo_habitacion,alta,anticipado,mexico,si,si,si
208,25,7,1,3,0,0,3,NA,21.3,estandar,telefono,solo_habitacion,alta,anticipado,europa,si,si,no
209,88,1,1,2,0,0,3,13285,2,estandar,ota,solo_habitacion,media,anticipado,mexico,si,si,no
210,72,3,1,1,0,0,1,14642,14.8,estandar,telefono,media_pension,baja,deposito_50pct,eua_canada,si,si,no
211,19,5,2,2,0,4,2,18723,7.9,suite,web_propio,desayuno,baja,en_hotel,eua_canada,si,si,no
212,58,2,0,2,0,0,1,24121,18.5,suite,agencia,desayuno,alta,en_hotel,mexico,si,si,si
213,81,2,0,2,0,0,4,10616,25.7,estandar,web_propio,solo_habitacion,media,en_hotel,eua_canada,si,si,si
214,26,1,0,4,0,1,0,8976,NA,ejecutiva,ota,media_pension,media,deposito_50pct,mexico,no,si,no
215,15,1,0,2,0,2,2,4752,19,junior,ota,todo_incluido,media,en_hotel,otro,si,si,no
216,36,2,0,1,0,4,1,20905,5.9,estandar,web_propio,todo_incluido,alta,deposito_50pct,eua_canada,si,si,no
217,45,11,6,1,0,1,2,27076,26.9,ejecutiva,ota,desayuno,media,deposito_50pct,mexico,si,si,si
218,47,1,1,1,0,0,2,1644,11.8,estandar,web_propio,desayuno,media,en_hotel,eua_canada,si,si,no
219,9,7,3,2,0,0,1,22918,37.5,estandar,web_propio,desayuno,baja,anticipado,mexico,si,si,si
220,199,7,1,2,0,3,1,23024,13.5,estandar,ota,solo_habitacion,media,deposito_50pct,eua_canada,si,si,si
221,23,1,1,2,0,0,1,21707,3.2,junior,ota,solo_habitacion,baja,en_hotel,mexico,si,si,si
222,90,4,2,2,0,0,0,22337,0,ejecutiva,ota,solo_habitacion,baja,en_hotel,europa,no,no,si
223,56,6,3,2,1,1,1,27226,1.9,estandar,ota,todo_incluido,alta,deposito_50pct,europa,si,si,si
224,203,1,0,1,0,0,2,26310,8.1,suite,ota,desayuno,baja,deposito_50pct,eua_canada,si,si,si
225,50,10,5,1,0,3,0,22721,0,junior,ota,media_pension,alta,deposito_50pct,europa,no,no,no
226,71,3,1,2,1,0,1,16816,18.2,junior,agencia,solo_habitacion,baja,en_hotel,mexico,si,si,no
227,6,4,1,2,0,0,1,19081,3.2,estandar,telefono,media_pension,alta,anticipado,eua_canada,si,si,no
228,50,5,3,2,0,2,0,3192,8.8,estandar,web_propio,solo_habitacion,alta,anticipado,mexico,no,si,no
229,117,1,0,2,0,0,3,20239,7.5,estandar,agencia,solo_habitacion,media,anticipado,mexico,si,si,no
230,53,2,1,2,1,0,2,26788,14.8,estandar,web_propio,desayuno,alta,anticipado,mexico,si,si,si
231,89,2,1,2,0,1,1,14174,4.1,junior,web_propio,desayuno,media,anticipado,mexico,si,si,no
232,98,5,3,2,1,0,1,4526,17.3,estandar,agencia,solo_habitacion,baja,deposito_50pct,mexico,si,si,si
233,15,3,1,1,0,0,2,13620,6.8,suite,web_propio,todo_incluido,baja,deposito_50pct,europa,si,si,no
234,11,3,0,2,0,0,2,2060,5.4,ejecutiva,web_propio,solo_habitacion,baja,deposito_50pct,NA,si,si,no
235,36,3,1,2,0,0,2,12306,9.7,estandar,agencia,todo_incluido,alta,en_hotel,eua_canada,si,si,si
236,66,7,2,2,0,2,0,23851,0,suite,web_propio,media_pension,alta,deposito_50pct,eua_canada,no,no,no
237,25,3,1,2,1,1,0,10018,0.9,estandar,agencia,solo_habitacion,alta,anticipado,mexico,no,si,no
238,173,9,1,2,0,4,0,3864,18.9,suite,telefono,todo_incluido,alta,deposito_50pct,otro,no,si,no
239,92,4,1,2,0,0,1,2893,16.5,ejecutiva,ota,desayuno,baja,deposito_50pct,NA,si,si,si
240,61,3,1,2,0,1,1,3886,25.4,estandar,ota,solo_habitacion,baja,deposito_50pct,eua_canada,si,si,si
241,23,1,0,2,0,2,1,14590,11.2,estandar,web_propio,media_pension,alta,deposito_50pct,mexico,si,si,no
242,21,4,1,2,2,0,2,2644,7.4,ejecutiva,ota,desayuno,alta,deposito_50pct,mexico,si,si,si
243,64,1,1,1,0,0,0,14506,0,suite,ota,desayuno,media,en_hotel,mexico,no,no,no
244,48,1,1,1,0,3,2,21084,19.7,estandar,ota,desayuno,alta,en_hotel,otro,si,si,si
245,54,2,0,2,1,0,0,25319,6,estandar,web_propio,desayuno,media,deposito_50pct,mexico,no,si,no
246,36,1,0,1,0,1,1,25371,0,estandar,agencia,solo_habitacion,alta,anticipado,NA,si,no,no
