ph,dureza_mg_l,solidos_disueltos_ppm,cloraminas_ppm,sulfatos_mg_l,conductividad_us_cm,carbono_organico_ppm,trihalometanos_ug_l,turbidez_ntu,potable
7.88,183.1,10462,9.68,418.9,218.3,10.85,39.8,4.48,no
7.32,213.5,33683,6.58,329,667.1,18.79,48,4.54,si
4.6,214.7,-4,5.84,NA,67.7,15.87,84,4.37,si
5.65,176.7,26459,9.01,NA,477.4,14.14,66,5.08,no
7.34,175.7,17561,8.92,349.3,338.3,16.47,89.5,6.11,no
6.42,177,22401,3.62,265.5,414.7,14.38,89.4,4.65,no
6.26,171.7,14821,7.33,329.2,271.4,11.37,36.4,4.66,no
8.96,173,16527,7.56,341,335.7,14.62,74.3,3.63,no
6.67,182.5,34735,9.59,358,640.8,17.37,53.8,4.18,no
10.56,237.7,23952,8.41,267.8,435.6,16.24,59.5,4.5,no
6.88,189.9,31690,7.83,373,631,11.11,56.7,3.36,no
7.52,145.7,30949,8.1,337.6,589.8,13.58,77.9,3.34,no
8.41,185.3,11990,8.64,301.1,270.1,14.29,72.1,3.75,no
6.66,181.3,15363,7.57,350.7,336.5,10.91,43.2,4.11,no
9.12,237.9,8446,4.54,330.4,176.3,12.6,51.3,4.06,si
7.4,215.5,14788,5.86,308.5,330.1,10.78,80.9,3.77,si
8.03,255.4,26258,6.88,316.5,508.6,16.32,88.7,4.31,no
7.37,256.2,19791,7.59,278.5,375.2,12.17,55.3,1.76,no
NA,175.8,19371,10.06,309.6,390.1,17.55,63.9,4.87,si
6.65,219.7,25460,6.33,351.1,443.2,15.01,79.7,4.18,si
9.09,160.3,20888,8.15,295.6,376.3,11.71,40.9,2.43,no
8.02,175.3,21984,7.94,324,388.2,13.55,62.9,2.54,no
6.31,242.9,19196,5.93,NA,364.2,18.35,75,5.4,no
7.58,201.4,35869,7.08,367.8,679.5,7.74,28.3,3.45,no
9.29,143.7,32475,6.62,297.2,614.8,14.73,74.1,5.81,no
6.23,244,26713,5.44,332.1,521.6,17.41,77.2,3.95,si
7.09,279.6,32966,7.14,269.2,633.8,13.14,72.5,4.16,si
4.64,226.3,30953,7.08,422.2,603.2,17.39,73.3,3.98,no
5.72,165.6,30016,6.19,377.6,592.4,13.49,50.8,3.27,si
8.04,218.5,21395,7.22,328.3,386.1,15.36,81.3,4.99,no
6.68,183.4,16781,8.82,329.4,295.9,14.12,109.5,4.44,no
8.82,170.5,30065,4.82,334.2,548.6,13.94,63.7,2.59,no
4.68,200.8,39550,8.75,305.6,757.8,11.82,35.3,3.34,no
5.41,179.6,42548,8.69,277.9,778.5,17.86,67.7,2.84,no
8.76,183,20194,6.73,305.6,391.4,7.76,62.7,4.78,no
6.57,177.4,20703,8.15,301.2,392.1,17.66,51.4,4.39,no
10.27,187.3,28532,5.59,269.7,483.4,16.19,70.4,4.56,no
9.01,205.4,33134,5.66,381.3,644.8,20.75,81.8,2.77,no
8.64,159,9295,5.03,332,195.4,15.83,67.9,5.43,no
8.15,156.7,29419,7.17,403,547.1,17.12,76.3,3.99,no
8.16,161.4,42637,5.99,325.1,853.2,13.85,32.3,4.44,no
6.12,160.7,24612,7.02,319,492.5,14.79,49.2,4.59,no
7.37,216.3,25565,5.81,338.7,483.1,15.77,54.4,4.93,no
6.34,234.5,16509,9.05,313.6,297.8,12.17,75.2,4.37,si
8.24,213.6,20692,7.36,457.8,384.2,10.78,57,4.48,no
6.88,149.3,13902,4.35,372.4,261.1,14.32,32.1,3.96,si
9.84,240.5,24814,6.96,293.5,480.7,19.95,36.8,3.32,no
7.55,163.3,8520,8.3,272.7,158.9,14.9,51.9,3.87,si
7.45,162.2,28420,8.64,212.5,537.1,14.45,84.6,4.72,si
5.06,195.6,-3525,9.79,382.5,-58.2,11.79,102.9,5.56,no
6.32,191.5,35216,6.31,333.1,678.1,19.16,76.4,4.47,no
8.27,179.4,32739,6.1,300.5,617.9,16.77,39.6,3.82,si
6.18,226.8,26592,7.77,330.7,516.1,16.13,33.3,4.48,si
6.03,156.1,33060,7.74,368.2,608.3,14.73,64.4,4.15,si
7.06,182.9,26036,5.73,295.6,490.1,7.66,83,4.76,no
7.34,163.2,26081,4.62,337.8,491.4,12.62,30.8,2.37,no
6.08,219.1,29253,7.51,299.8,565.9,13.88,68.3,3.29,si
6.65,235,28481,5.62,296.1,547.7,12.84,70.6,3.91,si
6.49,144.5,22622,6.81,NA,454.9,13.12,78.1,3.56,si
7.99,212.5,27980,5.75,NA,525.7,14.87,75.3,3.19,no
7.82,197.2,21583,6.8,NA,428.8,17.85,49.9,3.91,si
6.79,204.9,38520,9.29,351,712.1,11.84,72.3,5.07,si
4.61,192.8,20032,3.31,333.5,373.2,12.75,80.7,3.44,no
6.44,180.6,17615,8.93,NA,355.8,15.77,52.3,4.84,no
7.2,186.4,24759,7.38,283.3,465.5,11.97,61.7,2.73,no
7.5,182.8,30152,7.79,358,563.6,18.19,79.9,4.17,no
7.28,205.9,21160,8.29,360.9,448.6,13.45,52.4,2.91,no
5.35,258.1,28369,6.18,320.7,523,12.25,56.1,3.29,no
6.56,236.4,22003,6.34,300.8,446.7,13.44,51.2,2.7,no
4.21,214.8,24705,7.51,318.6,446,19.49,92.5,4.38,no
6.76,179.4,14715,8.22,365.9,264.7,11.85,61.1,3.36,si
4.91,196.8,21477,7.35,328.9,386.1,16.66,54.7,4.15,si
5.44,179.7,22609,5.55,312.7,397.5,17.98,78.2,3.26,no
6.78,206.2,28766,8.29,393.3,536.5,8.79,54.7,3.47,si
8.99,179.7,19943,6.71,236.4,399.7,6.81,65.1,5.27,no
7.12,228.6,18885,6.81,NA,374.5,12.66,102.2,3.44,no
7.8,239.5,31113,6.83,302.2,629.8,14.68,78.7,5.36,no
7.9,215.8,32254,7.52,380.9,588.5,10.41,66.7,3.44,no
7.43,244.3,9584,7.77,393,179.8,18.91,54.3,5.01,no
NA,183.8,15680,5.81,305.5,311.1,8.25,31.4,3.45,no
8.32,191.5,19942,6.99,298,335.6,16.81,69.5,3.14,no
7.14,216.5,35543,9.93,302.3,660,12.75,57.1,4.2,si
6.77,178.5,33823,6.3,296.6,634.6,12.49,61,4.59,si
6.39,240.6,36520,10.5,280.3,705.8,15.39,82,4.35,si
10.4,232.5,25767,6.17,332.8,478.4,20.42,56.2,2.58,no
11.21,176.2,22399,9.56,281.6,394.2,17.19,55.9,4.32,no
6.56,196.1,35990,6.69,399.7,622.7,8.25,68.2,3.69,si
7.83,139.5,24660,9.56,351.4,489.2,16.92,41.5,3.79,si
7.29,160.9,20832,7.41,409.5,364.3,13.82,47.7,4.33,no
6.13,146.3,15510,6.2,NA,308.2,11.6,70.5,3.6,si
6.47,207.2,21937,5.73,269.1,442,7.28,87.7,4.9,no
6.88,167.2,24908,9.49,307.4,478.2,13.68,70,3.59,si
5.77,180.1,28753,4.85,338.8,528.7,11.84,53.8,3.72,si
3.55,253.1,28653,6.26,379.3,532.6,15.82,90.3,3.63,no
7.11,232.5,17750,5.01,NA,327.8,17.45,56.7,4.55,si
4.82,181.9,25498,8.04,334.7,452.7,18.45,47.9,3.76,no
4.38,213.6,31678,9.48,329.2,630.8,17.7,87.5,2.9,no
8.11,211,23522,7.97,297.6,462.8,17.89,66.3,3.93,no
7.86,154.7,17007,9.65,336.3,350.4,14.03,74,3.68,si
9.76,168.4,10856,8.21,NA,182.5,11.92,66.4,2.86,no
5.72,204,23044,7.26,366.7,467.5,10.92,56.8,5.07,no
9.59,202.3,13006,11.32,289.7,211.1,21.17,65,2.49,no
8.36,184.9,18791,6.41,NA,358.6,16.55,70.5,2.87,no
6.38,211.8,34126,5.21,321.7,627.1,13.54,64.7,3.53,si
7.54,199.5,13713,8.52,320,255.9,15.87,86.7,2.34,no
7.23,140.3,27354,6.14,386.9,549.3,15.99,48.1,3.49,no
5.67,211.4,24909,7.15,333,480.4,15.01,65.7,3.59,si
7.14,193.2,20134,6.81,318.4,397.8,18.08,45.9,3.33,no
7.01,208.6,50745,4.23,302.8,961.1,10.44,45.4,5.23,no
5.78,167.7,11954,5.13,325.1,184.8,21.57,56.6,3.09,si
7.27,184.7,36804,9.03,329.7,690.6,6.95,48.8,3.53,no
7.22,186.6,12011,6.82,355.5,223.1,11.98,71,4.15,si
8.72,151.6,38009,6.54,307.4,723.6,8.95,83.4,5.22,no
7.12,95.2,9443,6.99,325.7,207.5,15.64,76.3,4.54,si
10.12,198,37921,7.89,NA,752.4,15.17,43.7,3.47,no
6.75,148.7,18075,7.35,304.9,394.2,19.53,99.7,3.97,no
6.88,184.8,26884,6.41,325.3,547,11.95,64.2,3.47,si
7,214.1,32154,6.46,329.1,590.3,15.37,79.8,3.68,si
7.86,214.5,13390,5.83,370.3,242.4,12.8,63.9,3.73,si
5.67,140.5,20211,5.61,381.1,334.1,15.9,71.7,4.32,no
7.75,158.9,42115,5.48,345.3,822.8,9.5,60.3,5.25,si
4.69,182,10675,5.66,433.1,165,7.91,62.2,2.61,no
4.36,178.2,10611,7.92,347.8,155.9,15.52,62.3,4.29,no
7.7,168.4,15146,7.14,432.8,240.1,14,70.4,5.19,no
10.2,162,21896,4.17,353.9,388.4,14.49,82.4,3.5,no
5.13,166.3,23371,8.01,339.8,450.8,13.65,81.3,5.04,no
5.64,242.5,29550,7.07,331.1,533.6,20.85,72.6,3.62,si
9.08,197.5,19596,6.3,237.3,372,15.53,78.8,3.23,no
9.7,190.7,27079,7.59,377.9,525.4,11.38,82.7,3.33,no
NA,133.2,22833,7.18,337.1,450.5,13.54,71.3,4.53,no
6.66,270.5,27210,5.69,376.2,541.2,14.63,60,4.34,si
7.47,193.1,23878,7.84,NA,460.7,21.57,71.3,4.19,si
7.66,186.2,45207,7.46,366.9,833.5,13.79,59.3,3.8,si
8.81,215.1,16872,5.31,389.8,321,22.13,66.2,3.47,no
5.16,163.5,11864,9.16,329.6,237.3,13.37,72.6,3.91,no
5.9,209.2,37684,5.99,250.6,734.1,14.02,71,4.48,si
6.28,223.7,3628,8.17,346.2,64.2,11.61,49,3.38,si
8.07,153.8,30147,5.39,379.7,573.2,20.42,91.6,2.53,no
4.89,131.9,17373,8.82,359.2,337,16.03,72.6,3.53,no
5.76,145.1,17834,7.15,373.5,353.4,11.17,67.1,4.3,no
9,192,20484,5.69,289.5,363.2,16.29,57.8,4.12,no
3.44,235.4,19108,7.56,387,359,10.57,87.6,4.42,no
9.19,139.9,6106,9.01,287.4,142.1,14.44,64.8,3.08,no
6.98,166.6,21043,8.91,276.2,410.4,13.4,94.1,2.74,no
6.06,218.2,31353,7.08,290.5,661.2,21.96,40.6,2.85,no
5.77,187.1,24080,7.29,318.6,499.5,10.25,78.3,4.01,si
7.16,186.7,31338,7.67,295.2,594.3,12.26,71.6,4.5,si
9.96,221.1,38423,5.41,291.2,728.5,12.99,52.5,3.77,no
5.87,214.7,25482,7.8,273.7,504.1,12.78,63,3.58,si
5.76,198.3,29665,7.85,404.7,539.2,14.77,98.9,5.27,no
8.47,196.7,34540,8.17,240.6,660.3,9.64,75,3.27,si
7.56,226.3,23759,8.58,379.9,428.4,13.97,71.5,4.92,si
6.95,177.6,20683,6.32,358.1,391.2,13.59,53.1,5.84,no
8,232.6,19752,7.05,383.2,368.6,9.2,89.6,3.46,no
6.54,221,21054,7.64,308.6,384.6,16.56,53.3,3.49,si
7.63,180.8,18805,5.62,276.4,382.1,5.33,53.4,3.1,si
8.7,173.4,15206,6.68,360.5,296.8,9.93,79.9,4.61,no
7.54,197.6,16822,5.12,393.9,282.3,7.29,49.7,3.35,no
7.07,193.3,21562,4.64,364.4,442,10.31,71,5.36,no
6.24,188,24005,7.44,302.6,425.1,8.6,27.9,3.4,no
9.31,156.2,21140,5.36,309,350,14.84,53.4,4.29,si
NA,225.2,21083,6.95,355.7,414.1,14.07,87.4,3.04,no
6.54,122.9,20750,8.28,253,391,14.15,75.6,2.13,no
8.12,208.9,12013,6.59,293.7,214.3,17.55,96.6,4.42,no
5.57,157.7,17687,7.53,282.6,321.1,18.05,53,2.64,no
6.85,153,22558,6.22,326.4,457.3,14.95,67.5,3.03,si
6.69,196,13815,5.3,290.2,267.2,11.02,70.2,3.58,si
5.62,218.3,35155,8.1,323.2,652.9,10.53,43.7,3.63,no
7.33,197.4,35631,9.2,338.5,709,17.67,57.4,4.05,si
5.57,271.4,7886,5,378.2,187.3,16.78,69.3,1.93,no
7.32,268,36439,5.73,371,689.7,19.06,60.2,4.47,si
5.93,133.9,40673,7.56,412,778.4,15.66,73.7,4.51,no
7.7,199.1,7433,10.75,361.2,130.7,12.48,83,4.89,no
5.85,147.3,18094,6.33,249.2,363.7,15.55,61.3,3.19,si
7.81,161.4,19905,5.36,260.5,388.7,14.44,72.3,4.54,no
6.02,177.8,39700,6.68,347.1,767,20.91,58.1,3.54,no
6.33,200.3,21171,6.74,341.5,395.4,11.42,70.6,4.45,si
7.62,173,19997,6.76,387.9,365.1,20,31.1,2.1,no
6.38,203.7,18610,4.91,311,368.8,19.4,57.5,4.89,si
7.46,179.7,23074,5.19,329.9,410.4,18.17,93.9,4.94,no
NA,175.4,25519,8.01,335.8,478.2,15.11,65.4,3.69,no
6.44,163,25047,5.38,428.8,412.2,1.96,85.8,4.53,no
6.83,224.9,27859,5.4,441.4,498,18.2,95.1,2.9,no
9.77,245.8,17915,6.01,228.9,334.7,12.98,72.4,3.42,no
6.49,233.1,33940,8.91,227.1,648.2,10.44,28.4,5.1,si
7.2,213.7,27504,8.57,413.3,497.2,16.66,75.4,3.63,si
7.12,182.6,11592,8.48,325.4,151.9,13.51,73.9,1.84,no
7.53,155.9,8407,8.84,315.3,195.6,10.39,78.1,4.94,no
7.02,201.4,19118,7.37,408.7,347.2,16.29,72.9,3.5,si
7.3,170.7,25883,7.64,267.3,506.2,12.69,57.6,4.64,si
7.85,187,28066,8.86,372.2,547.1,16.13,68.9,5.64,no
9.81,195.6,18645,8.99,327,376.2,15.25,70.9,4.35,no
NA,213.9,15558,4.83,384.2,321.2,14.65,79,2.69,no
5.94,233.8,24495,6.76,297.1,479.7,13.5,45.4,4.2,si
6.79,140.7,26058,8.27,262.6,560,13.88,48,4.88,si
7.76,233.8,26927,7.04,399.3,507,13.19,75.3,3.1,si
7.37,162.5,18312,9.57,284.6,373.7,12.26,98.5,2,no
7.42,192.1,30227,7.43,307.4,579.9,17.69,83.6,3.7,no
8.82,220.9,17120,8.68,420.6,347.6,13.84,58.4,3.93,si
7.42,163.1,35940,8.73,329.8,658.3,14.02,76.4,4.12,si
5.1,241.2,12588,7.11,340.5,229.7,12.79,48.9,4.56,si
6.8,196.8,9180,5.91,402.8,186.9,10.52,74.7,5.03,no
5.57,222,22024,8.92,271,437.6,14.94,68.3,3.04,no
11.6,185.9,35870,10.74,308.5,685,14.14,47.1,3.94,no
NA,113.7,21539,4.52,365.6,375.1,8.24,79.4,4.54,no
5.42,249,19105,9.41,293.7,299.6,16.37,70.2,4.25,si
6.11,162.3,23573,6.53,381.7,500.7,12.24,75.2,4.15,si
6.2,206.9,29411,8.78,301,554.5,18.96,64,2.61,si
6.56,195.4,14583,6.17,NA,294.1,20.07,73.5,4.07,si
7.53,204.1,11535,3.89,356.5,221.6,13.6,76,4.14,si
6.42,194.7,26168,5.23,338.9,505.6,12.79,53.3,4.22,si
5.59,326.2,9531,7.87,364.1,222.6,11.29,68.4,4.2,si
5.58,192,20909,5.92,276.6,401.5,12.6,64.9,5.47,no
8.19,196.7,38435,5.73,415.7,740.9,13.08,82.1,3.71,no
9.28,253.2,9698,6.99,366.8,142.1,19.09,64.1,3.3,no
5.49,225.8,8827,9.08,376.3,159.4,9.92,98.5,4.41,no
10.08,211.4,25326,7.48,425.2,470.6,18.49,74.5,3.81,no
6.07,174.2,23209,8.71,316.1,459.4,20.33,61.9,4.61,si
9.21,177.7,9794,6.68,240.4,199.4,13.84,41.3,3.56,si
7.48,205.7,11636,7.29,327.9,184.4,12.63,67.8,3.51,si
6.2,187.5,20046,7.42,365.1,389.9,11.36,71.1,2.74,no
4.8,156.4,27044,7.56,355.4,522.8,17.3,56.7,3.31,no
7.47,190.4,16722,5.61,310.2,304,8.16,66,4.84,si
5.92,181.2,20921,4.11,382,371.2,11.81,81.8,5.46,no
9.66,198.5,25150,8.72,312.1,500.1,9.73,41.5,7.4,no
8.62,134.3,28517,8.65,343.6,546.6,13.53,66.9,3.97,si
8.14,230.7,24242,4.76,313.3,454.7,10.31,44.9,4.84,si
9.14,197.5,26940,7.2,298.6,478,10.24,87.3,4.44,no
8.48,197.9,43863,8.76,308.3,820.5,12.34,75,3.68,no
4.53,217.7,19070,9.43,256.6,382.2,12.8,70.1,3.28,no
4.76,84.1,15048,6.96,351.9,289.4,11.33,41.7,4.11,no
6.77,184.7,11026,7.84,306,173.5,18.87,75.6,4.48,no
8.13,228,19770,6.21,272.7,399,11.04,49,3.33,si
8.93,210.1,34011,6.16,399.7,638.6,20.29,70.6,3.09,no
5.43,224,20172,5.88,317.5,371.4,13.71,93.7,5.53,no
7.25,206.3,11104,8.59,335.5,217.7,11.31,74.7,5.01,si
6.86,254.7,24613,6.3,328.4,448.6,18.56,45.2,4.42,no
4.8,183.9,8458,4.14,365.9,126.3,9,59,4.5,no
7.28,191.8,18597,6.5,389.5,362,12.88,36.9,4.91,no
8.66,139.4,14616,7.02,402.9,281.1,16.93,54.6,4.1,si
8.71,188.4,32300,6.51,309.7,609.9,18.85,35.1,3.32,no
6.77,148.5,6658,10.42,322.3,111.5,17.84,102.9,3.28,si
5.8,183.1,33824,9.29,327.7,694.9,10.9,69.2,3.98,si
7.34,236.4,7272,8.45,NA,169.9,18.54,80.1,4.27,no
5.17,287.6,25306,6.5,333.3,454.2,14.04,82.4,3.87,si
5.57,192.7,27180,9.36,375.6,508.5,8.89,82.3,4.82,no
5.92,186.1,19925,6.42,NA,389.3,12.35,93.9,3.77,no
6.68,231.5,6437,6.64,293.5,152.3,14.75,62.8,4,si
NA,195.9,24076,5.34,272.7,412.8,16.82,74.7,3.98,no
8.68,212.4,26553,5.98,379,536.9,12.26,60.6,4.23,si
6.71,153.9,23502,7.69,313,450,19.73,75.4,4.3,no
4.36,206.1,9064,3.88,345,139.1,16.15,67.4,4.32,no
6.9,176.7,18375,6.48,387.9,311.3,18.1,79,4.8,no
7.48,171.6,27784,6.69,289.3,512.9,3.61,66.6,4.28,si
6.48,202.3,28513,7.87,335.5,578.6,12.41,72.6,4.45,si
7.05,170.8,18546,6.2,397.6,361.4,17.37,65.3,4.08,si
7.75,209.4,20122,8.45,359.3,369.1,17.7,49.2,3.51,si
6.58,200.6,19797,8.63,NA,367.1,18.75,66,5.28,si
9.32,150.6,6768,7.55,381.9,115.3,17.58,64.9,4.32,no
7.75,160,12743,8.81,410.8,255.8,11.17,72.1,3.05,si
7.34,170.5,26444,8.34,324.8,509.3,14.49,65.3,3.96,si
5.88,199.7,22041,8.37,341.9,419.9,12.16,31.3,4.75,si
7.6,170.4,16336,5.97,304.2,376.4,16.21,67.3,4.97,no
8.2,177.3,35059,10.85,266.6,661.9,16.08,55.6,4.1,si
9.39,193.3,36508,7.85,424.6,718.3,13.9,104.8,3.24,no
6.15,174,28777,7.38,343,541.1,9.63,53.9,3.92,si
6.55,227.2,9266,8.65,203.9,155.4,10.27,72.5,3.4,si
8.46,154,26767,8.23,369.6,499.3,11.54,48.7,4.22,si
6.62,149.4,27783,6.28,300.7,555.6,14.72,83.6,3.75,si
6.83,92.1,20048,6.52,347.4,388.6,12.27,44.9,4.89,no
5.25,204.6,40929,7.71,350.3,811.1,14.44,78.7,4.08,si
NA,245.7,25919,5.22,376.2,458.4,16.48,76,4.94,no
6.58,180.7,29288,8.96,294,531,13.09,73.6,4.56,si
7.93,163.4,22353,8.2,280.2,434.2,11.35,59.4,4.53,si
5.19,208.5,12589,6.79,305.4,246.9,11.3,77.9,3.77,no
9.41,181.7,31479,8.62,346.7,576.3,9.82,53.5,4.41,no
6.55,216.1,32093,5.29,359.3,622.9,14.36,37,3.49,no
8.38,151.1,7092,6.68,354.5,128,14.83,39.1,4.71,no
NA,156,26643,8.71,328.1,470.8,16.63,73.5,5.1,no
5.64,226,16702,5.04,292.1,352.7,12.92,83.7,3.26,si
6.95,199.9,22384,8.43,NA,441.2,12.58,49,3.66,si
5.49,168.8,27657,6.1,323.6,571.7,13.67,69,5.64,no
8.25,226.1,11390,7.86,426.1,209.3,15.72,66.8,3.47,si
4.36,177.8,27562,10.12,309.5,593,11.33,49.8,3.84,no
9.42,207.2,15050,7.41,364.2,277.2,10.75,80.1,5.09,no
6,231.5,27627,8.09,306.4,539.7,12.95,71.1,3.62,si
6.15,177.7,21513,9.33,452.3,376.3,17.23,79.6,3.3,si
7.8,208.7,25581,7.27,340.8,486.9,11.65,60.9,3.37,si
6.68,191.3,8967,7.47,278.3,177.5,12.42,59.2,4.48,si
5.62,212.2,31451,3.59,337.9,599.7,14.38,80.4,3.8,si
5.04,224,17168,6.85,418.9,319.3,8.51,88.2,4.28,no
5.72,209.7,14243,6.63,378.9,281.6,19.12,80.7,5.27,no
7.54,201.6,26532,7.32,332.1,462.9,16.59,65.4,3.35,si
6.56,162.1,38966,7.65,390.4,778.3,10.02,62.5,4.09,si
8.04,167.2,24713,10.08,302.1,478.5,12.59,30.5,4.41,no
7.68,224.8,25637,9.43,399.8,509,13.11,94.1,5.14,no
8,185.8,18759,8.86,340.4,373,11.27,51.8,5,no
7.64,203.6,15349,7.5,333,312.5,11.41,70.3,4.09,si
6.77,214,35961,8.8,307.8,644,15.31,50.6,4.11,si
6.25,158.9,12319,9.5,366.6,202,18.02,48.1,4.49,si
6.66,125.7,3599,7.34,360.2,44.4,14.13,66.7,3.08,no
4.9,197.9,18623,6.66,372.1,333,11.76,78.4,4.47,no
8.07,226.1,29800,5.98,358.9,586.6,14.56,100.4,3.26,no
7.91,209,15277,8.36,270.9,266.5,15.8,69.2,1.73,no
4.51,173.8,25450,3.84,NA,499.7,10.94,82.4,4.44,no
5.1,198.5,38067,10.01,364.5,695.2,14.2,67.4,4.45,no
6.8,207.9,24430,6.92,372.5,417.9,17.16,57.1,3.23,no
5.28,207.1,12021,7.66,353.1,221,10.24,28.6,3.03,no
7.08,176.2,9877,9.14,304.8,158.4,13.35,50.2,4.35,si
6.35,147.3,17625,6.37,284,295,13.08,68.5,4.6,si
6.77,155.4,42248,6.66,326.3,784.6,14.26,54.6,3.42,si
7.11,111.3,19970,6.32,379.3,421.7,14.44,66.4,4.62,si
7.39,206.5,4106,8.23,337.4,77.2,20.35,63.9,4.88,si
7.2,127.9,18062,9.88,367.1,339.5,10.84,50.3,3.79,si
7.42,195.2,13004,6.72,374.3,278,12.29,70.9,4.69,si
8.95,223.6,22219,8.57,NA,391.8,13.18,59.2,3.6,no
9.55,169.5,33496,7.17,390.7,658.4,14.06,93.5,2.74,no
4.05,234.2,18210,8.57,NA,306.9,8.57,93.9,3.61,no
9.04,238.6,24970,7.82,401.3,458.1,11.34,88,3.38,no
5.61,187.6,19154,10.2,324.1,358,14.03,72.5,4.81,no
7,235.9,12696,5.85,340.1,228.6,11.61,64.4,3.28,si
6.86,246.2,13041,5.95,397.3,282.5,15.63,90,5.1,no
8.05,186.1,31421,8.83,346.2,551.7,15.8,50.2,4.29,si
5.17,210.4,28620,4.95,312.6,536.1,9.17,83.1,3.93,no
7.41,208.9,10603,6.01,332.4,209.3,14.37,43.4,3.86,si
6.64,208.6,25885,3.02,296,531.1,16.02,54.5,4.05,si
8.75,210.5,21691,6.24,255.6,391,10.78,54.6,4.46,si
8.64,225.7,11500,6.72,348.2,220.6,12.31,66.1,3.96,si
7.91,211.7,22299,7.57,313.9,420.6,16.19,72,3.47,si
5.86,141.6,35414,6.76,419.6,655.8,17.13,42.3,3.5,no
5.54,225,22599,5.39,280.3,398.1,8.28,97.4,3.03,no
6.84,185.1,29437,7.86,326.9,547.3,13.69,84.3,3.8,si
8.49,144,24820,5.79,NA,463.4,16.86,81.5,3.85,no
5.56,201.6,23306,9.72,303.7,501.9,17.45,60.6,4.15,no
9.3,183.9,38045,7.87,363.7,696.7,13.66,60.1,3.38,no
8.38,209.8,22368,6.13,329.7,446.7,15.36,53.2,2.99,no
9.27,159.9,16911,2.38,355.4,327.1,14.29,73.6,4.35,no
7.31,175.2,12553,4.92,355.1,227.7,12.41,84.2,4.83,no
