id_cliente,edad,dias_desde_registro,num_sesiones_mes,num_juegos_distintos,monto_apostado_mensual_mxn,monto_deposito_promedio_mxn,usa_app_movil,bono_reclamado,tasa_retorno_pct,prometedor
CL00195,27,83,8,4,801,361,si,no,90.2,si
CL00196,61,78,5,8,1354,683,si,no,94.2,si
CL00197,34,375,2,6,2365,1124,si,si,90.6,no
CL00198,57,303,5,5,5081,2733,si,no,86.6,no
CL00199,62,205,4,4,6565,2486,si,si,91.1,no
CL00200,30,305,8,4,2189,1089,no,si,92.5,no
CL00201,25,161,5,8,2989,1599,si,no,97.8,si
CL00202,20,117,6,3,7221,2508,si,si,86,no
CL00203,63,66,8,2,542,261,si,no,86.7,no
CL00204,21,214,6,6,8092,4332,si,si,95.9,si
CL00205,50,207,4,2,699,371,si,no,91.4,no
CL00206,51,51,6,3,3988,1031,no,no,87.3,no
CL00207,52,349,5,5,555,281,si,no,94.2,no
CL00208,25,359,7,5,3105,1217,si,no,88.6,si
CL00209,53,455,7,5,1448,866,no,si,94.1,no
CL00210,64,82,12,4,870,266,no,si,87.2,no
CL00211,64,38,6,3,4061,932,si,no,94.7,no
CL00212,58,230,8,3,1687,840,si,si,92.4,si
CL00213,66,56,6,3,1446,386,no,si,90.2,no
CL00214,37,75,5,3,2762,NA,si,no,85.5,no
CL00215,49,142,7,4,3888,2077,no,no,96.7,no
CL00216,55,128,4,4,980,361,no,si,88.6,no
CL00217,56,89,5,6,299,163,si,si,86.1,no
CL00218,20,170,10,2,1938,901,si,no,90.9,si
CL00219,63,123,8,4,1946,900,si,no,91.4,no
CL00220,25,386,6,4,6457,3121,si,si,92,no
CL00221,38,61,6,3,2698,1076,si,no,92.5,si
CL00222,62,104,4,5,724,370,si,no,93.9,no
CL00223,21,334,4,3,3501,1835,si,si,97,no
CL00224,29,243,8,4,1342,271,no,no,96.4,no
CL00225,35,346,5,4,740,286,no,si,83.5,no
CL00226,52,142,6,2,1106,266,si,si,100.2,no
CL00227,36,277,7,3,3970,2243,si,si,98,no
CL00228,37,49,4,5,8007,4375,si,no,91.5,no
CL00229,21,217,12,3,2819,1135,si,no,88.9,no
CL00230,20,176,11,3,10287,3074,si,si,91.1,no
CL00231,22,195,4,5,3246,1272,no,si,92.6,no
CL00232,51,80,7,7,5708,1484,si,no,88.5,no
CL00233,21,690,7,6,1205,463,no,no,98.4,no
CL00234,49,97,7,3,1444,338,si,no,90.1,no
CL00235,36,283,4,4,841,382,si,no,79.5,no
CL00236,40,107,6,3,737,152,si,no,96.4,no
CL00237,55,222,4,1,5682,1882,no,si,90.4,no
CL00238,20,72,6,3,688,281,no,si,86,no
CL00239,45,62,4,2,434,122,no,si,95.6,no
CL00240,65,1251,6,5,1168,388,no,si,92.3,si
CL00241,35,328,5,3,1919,971,no,no,93,no
CL00242,53,252,9,5,4039,1662,si,si,88.7,no
CL00243,18,175,2,2,2711,1611,no,no,95.8,no
CL00244,28,363,10,3,914,437,si,no,92,no
CL00245,38,91,7,6,1618,408,no,si,90.7,no
CL00246,63,78,3,5,3786,1625,no,no,92.7,no
CL00247,61,120,9,5,2677,752,no,no,92.7,no
CL00248,33,150,6,4,5516,2000,si,no,98.5,no
CL00249,46,138,7,6,2160,NA,no,no,96.9,no
CL00250,55,290,7,7,2953,1610,no,no,94.3,no
CL00251,63,148,6,4,142,NA,si,no,96.5,no
CL00252,55,479,4,5,1233,701,no,si,88.1,no
CL00253,50,502,6,4,1104,455,si,no,90.6,no
CL00254,51,246,7,4,1172,592,no,si,92.2,no
CL00255,30,88,9,4,255,116,no,no,94.8,no
CL00256,41,360,6,7,838,265,si,si,87.8,no
CL00257,41,705,3,6,8917,4930,si,no,93.1,no
CL00258,31,59,11,2,759,283,no,si,95,no
CL00259,24,321,7,7,1068,370,no,si,85.9,no
CL00260,28,217,7,3,2724,731,si,no,91.2,no
CL00261,39,274,3,4,1370,445,si,no,86,si
CL00262,41,201,9,4,879,244,si,no,92.9,no
CL00263,69,29,5,4,1007,229,si,no,92.7,no
CL00264,62,477,7,4,1984,432,no,no,97.1,no
CL00265,61,135,9,6,280,73,no,no,93.7,no
CL00266,70,435,6,4,1986,1072,no,no,98,no
CL00267,22,248,3,4,634,NA,si,no,94.6,no
CL00268,54,266,10,1,1335,488,si,no,95,no
CL00269,52,377,9,4,2102,875,no,no,83.1,no
CL00270,31,178,10,4,23021,8997,si,no,88.4,si
CL00271,27,40,6,2,313,175,si,no,92.5,no
CL00272,36,293,6,4,5328,2648,si,si,95.4,no
CL00273,22,51,3,7,6712,3974,si,si,92.1,no
CL00274,57,103,4,7,12773,5834,si,no,91.3,si
CL00275,36,351,1,2,1831,623,no,si,90.3,no
CL00276,32,844,6,2,14966,8343,no,si,87.4,no
CL00277,18,128,4,2,3952,1860,no,no,92.2,no
CL00278,50,166,5,2,302,116,no,no,91.6,no
CL00279,60,109,8,2,1049,602,no,si,86.6,no
CL00280,56,114,7,2,4326,1251,no,si,91.1,no
CL00281,38,293,3,3,1610,770,no,no,95.5,no
CL00282,50,286,7,3,2940,1100,no,no,90.8,no
CL00283,55,231,8,6,1298,343,si,si,88.2,si
CL00284,30,119,8,3,2355,940,no,no,92.6,no
CL00285,55,289,10,7,3876,2084,si,no,94.4,si
CL00286,47,98,8,4,995,347,si,si,94.5,no
CL00287,35,211,4,6,6820,1857,no,no,88.4,no
CL00288,24,360,7,5,1088,521,si,si,92.9,no
CL00289,19,166,5,3,3078,1179,si,si,89.3,no
CL00290,28,54,9,4,1118,434,no,no,93.2,no
CL00291,68,212,2,4,2162,866,no,no,89.6,no
CL00292,68,137,6,4,8907,2526,no,no,93.5,no
CL00293,24,259,7,4,1226,588,no,no,91.8,no
CL00294,40,606,5,4,183,78,si,no,91.7,no
CL00295,42,85,6,5,156,79,no,no,90.5,no
CL00296,44,265,5,2,1410,650,si,si,93.6,no
CL00297,27,77,6,3,411,173,no,no,94.8,no
CL00298,22,134,11,3,650,274,si,no,99.1,no
CL00299,24,264,5,6,1329,368,si,si,91.6,no
CL00300,55,86,6,4,5712,2731,no,no,91.8,no
CL00301,20,485,7,2,8932,2982,si,no,91.3,si
CL00302,67,263,4,5,202,113,si,si,96.8,no
CL00303,46,178,7,6,1366,299,no,no,95.1,no
CL00304,67,142,3,8,6245,2197,si,no,97,no
CL00305,44,391,5,7,8411,4933,si,no,91.1,no
CL00306,64,281,7,5,12831,4320,si,no,88.1,si
CL00307,59,219,7,4,6350,1679,no,no,92.7,no
CL00308,68,191,6,1,2452,696,si,si,93.8,no
CL00309,36,201,6,4,5303,1242,no,si,92,no
CL00310,69,286,3,3,82,22,si,no,85,no
CL00311,38,38,5,6,2613,1057,si,no,88.7,no
CL00312,46,120,6,4,3591,1725,si,si,89.2,no
CL00313,68,197,7,4,4360,2411,no,no,92.7,no
CL00314,28,101,5,6,854,296,no,no,91.9,no
CL00315,29,165,5,5,5221,1252,si,no,97.3,no
CL00316,18,256,12,4,304,NA,si,no,93.5,no
CL00317,67,71,8,1,1450,586,no,si,89.7,no
CL00318,32,217,6,7,782,219,no,si,88.6,no
CL00319,69,95,3,4,877,501,si,si,93.4,no
CL00320,53,63,9,1,185,47,si,no,89.1,no
CL00321,60,210,5,4,6138,3628,si,no,90.2,no
CL00322,39,107,7,6,2077,1138,si,no,77.8,no
CL00323,34,157,5,6,1355,655,no,no,91,no
CL00324,48,76,10,6,5405,1764,no,no,93.4,no
CL00325,40,128,9,5,2550,1089,si,si,87.7,no
CL00326,28,54,5,6,2835,754,no,si,92.1,no
CL00327,47,436,6,8,6211,3386,si,no,87.8,no
CL00328,69,189,3,3,1843,417,si,si,96.3,no
CL00329,59,153,7,10,10968,4577,no,no,91.7,si
CL00330,49,284,4,8,11630,5298,si,si,88.6,no
CL00331,33,329,4,3,945,553,no,no,91.4,no
CL00332,58,305,4,6,8378,3517,no,no,102.3,no
CL00333,67,159,6,2,1212,394,si,si,96.1,no
CL00334,54,23,6,4,6384,1530,si,no,88.1,no
CL00335,68,363,4,5,774,308,no,no,92,no
CL00336,49,84,7,2,993,281,no,si,98.5,no
CL00337,35,77,8,2,1032,348,si,si,96.3,no
CL00338,32,78,5,3,1976,873,no,no,96.5,no
CL00339,40,301,3,2,2317,1308,no,si,86.7,no
CL00340,57,145,5,3,507,174,si,no,96.9,no
CL00341,24,159,6,4,198,99,no,si,103.3,no
CL00342,27,104,4,5,1433,467,si,si,90.8,no
CL00343,36,93,4,1,1540,NA,no,si,87.4,no
CL00344,28,195,5,4,5516,1275,si,si,97.1,no
CL00345,23,46,4,6,282,147,si,no,93.2,no
CL00346,67,267,4,4,916,263,si,si,89.7,no
CL00347,41,141,1,2,347,75,no,no,95.6,no
CL00348,52,84,9,3,2355,713,si,si,94.5,no
CL00349,22,93,5,3,1692,416,si,no,86.3,no
CL00350,29,199,4,4,1480,753,si,si,84.5,no
CL00351,32,42,7,6,1942,698,si,si,96.4,no
CL00352,65,39,2,5,4644,1755,no,no,94,no
CL00353,61,26,10,5,3643,1015,si,si,81.9,no
CL00354,23,58,7,3,136,80,no,si,93.9,no
CL00355,46,249,4,1,728,298,no,no,84.7,no
CL00356,57,164,3,5,913,395,si,no,90.1,no
CL00357,59,166,6,2,2728,962,si,no,92.2,no
CL00358,68,185,5,5,8410,2985,si,si,94.6,no
CL00359,27,353,4,2,2200,1306,no,si,84.5,no
CL00360,56,161,6,6,1228,281,si,no,85.5,no
CL00361,65,472,7,8,5170,2051,si,si,93.4,no
CL00362,26,127,3,4,4845,1500,si,no,87.4,no
CL00363,29,132,6,7,628,260,no,si,89.4,no
CL00364,35,204,6,2,810,311,si,si,97.6,no
CL00365,52,389,8,1,4501,1221,si,si,85,no
CL00366,59,428,5,1,7785,3228,no,no,92.7,si
CL00367,45,441,4,2,2159,1091,no,no,89.3,no
CL00368,52,208,6,5,507,263,no,no,96.4,no
CL00369,29,79,2,2,1881,388,si,no,84.9,no
CL00370,20,614,7,3,4302,1608,no,si,90.2,no
CL00371,63,551,10,6,2078,961,no,si,85.4,no
CL00372,47,577,4,7,2476,991,si,no,93.9,no
CL00373,68,316,6,6,9831,5002,no,no,95.4,no
CL00374,52,184,5,4,6433,3610,no,si,88,no
CL00375,52,298,7,6,1621,520,no,no,87.7,no
CL00376,34,102,5,5,1073,246,si,no,86,si
CL00377,43,121,9,3,1448,NA,si,si,94.8,no
CL00378,39,43,7,4,1102,373,no,no,98.7,no
CL00379,68,166,4,2,2053,653,no,no,90.2,no
CL00380,39,116,4,3,5181,NA,no,si,90.9,no
CL00381,60,160,5,4,1867,982,no,no,86.3,no
CL00382,63,440,5,6,805,379,no,no,93.2,no
CL00383,40,56,6,8,245,111,no,si,94,no
CL00384,51,728,9,2,2136,591,no,no,93.6,no
CL00385,42,131,7,4,1332,749,no,si,93.1,no
CL00386,33,312,7,7,1290,272,no,no,92,no
CL00387,56,160,8,6,1155,389,no,no,90.8,no
CL00388,39,613,3,2,1904,703,no,no,91.7,no
CL00389,29,474,9,2,2200,783,si,si,85.7,si
CL00390,63,230,9,2,426,104,si,no,99.6,no
CL00391,33,80,6,4,5089,2318,si,no,95.1,no
CL00392,60,307,4,8,1501,607,si,no,87.6,no
CL00393,58,75,3,2,1928,597,si,no,87.6,no
CL00394,57,660,8,6,991,576,no,no,94.7,no
CL00395,46,182,5,7,12209,7103,no,si,94.9,no
CL00396,41,209,5,5,5862,NA,si,no,93.4,si
CL00397,54,355,4,2,2083,927,no,no,92,no
CL00398,35,310,6,2,2042,810,si,si,94.4,no
CL00399,25,154,6,7,1643,677,si,no,90.4,no
CL00400,64,247,9,5,640,318,si,no,88.7,no
CL00401,20,181,3,3,5439,2332,si,no,97.1,no
CL00402,46,350,7,6,1336,312,si,no,94.9,no
CL00403,64,208,5,2,2671,1456,no,no,90.3,no
CL00404,21,311,10,3,2142,675,no,si,96.3,no
CL00405,53,77,5,5,4475,NA,si,no,91.2,no
CL00406,21,284,10,7,496,184,si,si,87.1,no
CL00407,48,388,3,6,1718,587,no,no,98.4,si
CL00408,38,615,5,3,5235,2112,si,no,93.2,no
CL00409,42,292,6,3,9284,5250,si,no,91.2,no
CL00410,26,280,7,4,2010,1032,si,no,90,no
CL00411,29,62,7,5,1762,1048,no,no,91.1,no
CL00412,62,723,6,4,8346,3603,no,si,99.5,no
CL00413,41,71,1,6,3485,2070,si,no,99.1,si
CL00414,43,384,6,5,4253,1388,si,si,88.8,no
CL00415,46,123,7,5,1465,629,si,no,88.7,no
CL00416,40,86,7,3,1290,589,si,no,91.7,no
CL00417,51,74,5,6,239,88,no,no,96,no
CL00418,55,1034,6,2,1341,582,si,si,94.5,no
CL00419,46,164,9,4,9578,3720,si,no,87.4,si
CL00420,29,215,7,4,1731,354,no,no,90.4,no
CL00421,41,541,6,5,2431,1046,no,no,93.3,si
CL00422,53,199,7,4,831,281,si,si,100.2,no
CL00423,41,187,6,3,2659,1038,si,no,85.9,no
CL00424,31,112,11,1,1885,920,no,no,88.7,no
CL00425,23,620,8,2,3276,713,si,no,89.8,si
CL00426,49,343,3,3,2236,708,si,no,99,no
CL00427,50,237,4,3,17878,NA,si,si,92.7,si
CL00428,30,840,6,7,3470,2028,si,si,86.1,no
CL00429,32,230,4,7,2605,1199,si,no,97.2,no
CL00430,68,98,6,3,1846,453,si,no,92.7,no
CL00431,19,381,1,3,5275,2885,si,no,93.2,no
CL00432,25,607,11,3,571,297,si,no,88.3,no
CL00433,59,188,3,5,7248,3054,si,si,85.6,no
CL00434,51,188,3,1,2213,591,si,si,91.6,no
CL00435,64,473,9,3,1552,516,si,si,84.6,no
CL00436,51,294,4,2,3535,902,si,si,92.5,no
CL00437,54,74,4,7,5783,2585,si,no,91.7,no
CL00438,42,285,2,4,846,445,si,si,87.3,no
CL00439,42,390,10,2,469,157,no,si,90.6,no
CL00440,47,152,10,1,654,NA,si,no,94.3,no
CL00441,50,264,3,5,2798,1559,no,no,88.9,no
CL00442,53,464,5,3,2680,773,si,no,90.3,no
CL00443,38,73,7,5,1174,NA,no,no,95.1,no
CL00444,40,300,8,2,4244,2348,si,si,97.9,no
CL00445,56,300,11,5,17825,6064,no,si,96.9,si
CL00446,63,134,2,5,4667,2057,no,si,95.6,no
CL00447,19,84,5,6,5814,1903,no,no,90.2,no
CL00448,40,210,6,4,520,211,si,no,85,no
CL00449,58,93,6,3,460,172,si,si,95.7,si
CL00450,43,83,7,3,1494,430,no,no,93.2,no
CL00451,48,59,10,5,734,246,si,si,94.1,no
CL00452,47,371,7,3,3297,1538,no,no,87.6,no
CL00453,57,120,2,2,1196,479,si,si,91.4,no
CL00454,66,246,3,5,2357,1098,no,no,85.7,no
CL00455,58,567,6,1,1152,337,si,no,95.3,no
CL00456,51,380,6,2,2093,671,no,no,89,no
CL00457,58,178,5,5,3024,1020,no,si,91.5,si
CL00458,42,77,4,5,6877,3864,si,no,90.3,no
CL00459,61,515,7,3,771,435,no,si,87.6,no
CL00460,65,104,3,4,5988,3122,si,no,92.3,no
CL00461,40,29,4,5,1029,561,no,no,91.1,no
CL00462,34,19,7,4,187,62,si,si,91.9,no
CL00463,41,335,8,5,6456,1575,no,no,88.5,si
CL00464,31,722,7,1,1451,626,no,no,98.5,no
CL00465,60,203,3,2,2609,554,no,no,89.8,no
CL00466,40,247,5,5,1825,NA,si,no,96.5,no
CL00467,20,315,7,4,3264,1304,si,no,86,no
CL00468,36,90,5,4,5025,1786,si,no,85.5,no
CL00469,47,177,7,7,16966,7447,no,no,92.6,si
CL00470,26,169,6,5,2769,1454,no,no,87.1,no
CL00471,23,361,6,7,81,46,si,si,98.3,no
CL00472,70,315,6,2,267,86,si,si,86.1,no
CL00473,20,138,9,4,5141,2321,si,si,93.8,no
CL00474,44,32,6,4,2031,678,si,no,95.7,no
CL00475,69,177,7,4,875,422,si,si,96.8,no
CL00476,62,502,3,3,2433,1076,no,no,85.2,no
CL00477,46,390,7,4,3661,1398,si,si,90.3,no
CL00478,54,650,5,8,738,308,si,si,88.5,no
CL00479,31,207,8,2,1689,992,si,no,94.9,no
CL00480,24,188,4,6,1745,NA,si,si,98.5,no
CL00481,42,52,4,3,3276,838,si,si,87.3,no
CL00482,22,151,5,3,1034,286,no,no,93,no
CL00483,26,179,5,4,348,177,no,no,97,no
CL00484,37,246,4,7,1793,890,no,no,93.7,no
CL00485,64,201,7,3,5475,1607,no,no,91.1,si
CL00486,55,131,6,1,2268,605,si,no,89.9,no
CL00487,67,133,7,3,670,216,si,si,93.2,no
CL00488,25,172,8,5,718,288,no,no,88.7,no
CL00489,29,139,4,4,2098,670,no,no,88.2,no
CL00490,48,225,5,7,3171,640,si,no,87.1,no
CL00491,24,222,5,2,4938,2266,no,si,93.6,no
CL00492,39,108,2,4,1498,869,no,no,88.2,no
CL00493,53,438,4,2,799,323,no,si,85.6,no
CL00494,59,96,4,2,1736,555,si,si,93,no
