id_usuario,edad,antiguedad_dias,num_depositos_mes,monto_total_depositado_mxn,monto_promedio_apuesta_mxn,num_apuestas_mes,num_sesiones_mes,duracion_sesion_min,pct_apuestas_nocturnas,num_juegos_distintos,pct_uso_bonos,indice_persecucion_perdidas,monto_total_retirado_mxn,perdida_neta_mxn
US00090,34,565,3,890,79,40,6,14,31.8,5,28.6,0.013,419,471
US00091,50,744,3,914,71,36,5,29,19.1,3,13.6,0.208,399,515
US00092,46,346,2,1159,61,30,6,29,26.3,4,31.2,0.235,415,744
US00093,48,414,4,1131,86,49,7,33,22.9,5,10,0.107,483,648
US00094,19,220,5,3779,44,179,20,16,17.3,9,89.3,0.083,4293,-514
US00095,37,260,3,1068,55,44,9,24,31.6,5,24.4,0.063,479,589
US00096,47,439,2,1396,NA,36,8,41,21.4,4,35.9,0.085,629,767
US00097,34,302,2,1219,81,41,7,19,19,7,25.9,0.128,781,438
US00098,45,410,3,1339,82,41,6,26,19.8,4,27,0.136,649,690
US00099,36,460,2,626,67,34,8,30,26.2,6,24.9,0.277,368,258
US00100,26,841,18,14335,317,433,40,70,53,5,23.6,0.723,2551,11784
US00101,29,362,23,14990,124,254,54,102,66.1,6,28,0.782,2703,12287
US00102,22,159,4,5024,50,218,23,18,12.7,12,100,0.016,5551,-527
US00103,31,238,7,6510,37,253,18,22,22,11,88.5,0.043,6985,-475
US00104,35,422,4,1310,80,21,7,35,17,8,26.4,0.104,684,626
US00105,58,1041,8,17847,991,138,19,44,25.4,6,11.3,0.242,12431,5416
US00106,38,402,4,892,53,28,6,27,23,8,15.6,0.26,430,462
US00107,45,420,4,1053,78,22,6,29,20.5,5,27.8,0.155,483,570
US00108,47,865,8,32318,977,110,15,47,31,5,17.1,0.318,23171,9147
US00109,29,755,26,14667,NA,348,33,115,78.8,7,8.3,0.761,1325,13342
US00110,39,599,3,1211,64,37,7,35,22.1,4,31.6,0.074,600,611
US00111,38,260,3,822,52,48,7,32,24.7,7,17,0.177,477,345
US00112,33,225,4,1251,79,41,4,17,15.5,4,21.6,0.132,682,569
US00113,29,180,5,2907,NA,261,18,24,14.1,11,98.2,0,3234,-327
US00114,42,889,6,33149,744,51,17,56,19.9,8,11.3,0.286,13126,20023
US00115,44,322,3,1063,84,24,7,28,27.1,5,18.8,0.208,528,535
US00116,54,922,6,39391,583,96,15,62,22.6,7,18.3,0.337,26820,12571
US00117,40,573,3,1311,61,36,7,21,23.4,5,25.6,0.231,606,705
US00118,38,752,8,20594,812,102,19,45,26.5,4,25,0.313,11725,8869
US00119,54,473,3,885,52,42,8,31,20.3,5,18.2,0.201,459,426
US00120,40,520,2,1242,83,34,6,25,31.7,5,29.5,0.101,638,604
US00121,27,398,19,19489,157,411,41,92,71.6,3,11.4,0.84,3937,15552
US00122,36,516,3,1219,37,45,7,28,14.1,4,28,0.062,822,397
US00123,43,299,3,1051,62,36,7,41,21.3,5,20.8,0.083,330,721
US00124,44,591,4,1271,78,40,7,15,29,6,19.2,0.252,740,531
US00125,44,249,3,1414,73,28,8,35,20.8,4,13.3,0.163,472,942
US00126,37,484,2,941,97,51,9,23,23.7,6,28.9,0.261,575,366
US00127,26,717,19,13516,227,160,45,107,71.1,3,26,0.822,1622,11894
US00128,30,168,3,2622,31,271,22,23,27,10,100,0,3167,-545
US00129,39,1009,7,34630,778,117,14,58,30.9,5,23,0.416,14926,19704
US00130,39,618,3,1202,51,34,4,34,23.2,7,21.2,0.026,629,573
US00131,46,613,5,16479,715,61,16,55,28.4,8,17.6,0.295,9040,7439
US00132,36,513,3,998,45,29,8,29,24.4,5,26.1,0.143,439,559
US00133,41,507,4,1486,50,41,7,30,14.9,4,22.5,0.241,593,893
US00134,35,445,4,1443,63,34,7,22,18.5,7,19.1,0.233,825,618
US00135,39,541,4,577,82,45,8,29,25.1,4,26.3,0.18,331,246
US00136,45,421,5,1205,53,38,8,14,29.9,4,21.8,0.204,552,653
US00137,39,638,3,1104,66,47,5,42,27.1,7,17,0.274,613,491
US00138,36,217,3,763,74,36,7,32,23.2,4,22,0.167,211,552
US00139,41,587,5,1202,61,44,8,32,17.5,6,33.9,0.073,580,622
US00140,31,555,22,13625,233,141,40,117,61.7,1,20.1,0.916,234,13391
US00141,27,888,16,22089,321,312,36,119,55.2,4,17,0.663,5410,16679
US00142,27,270,6,5455,43,349,22,13,7.7,13,86.6,0.085,5887,-432
US00143,32,482,3,917,56,33,8,39,11.7,7,26.9,0.149,329,588
US00144,50,422,3,1261,70,24,8,27,28.3,2,18.4,0.107,641,620
US00145,26,606,30,21108,230,399,50,97,78.3,3,24.9,0.969,3615,17493
US00146,41,566,23,18975,265,361,60,67,70,7,20.6,0.767,4936,14039
US00147,44,595,4,866,59,31,7,29,21.3,4,32,0.001,625,241
US00148,41,739,5,24036,840,110,18,48,34.7,6,17.3,0.21,11878,12158
US00149,25,564,17,13642,324,299,42,90,66.4,3,24.2,0.803,2962,10680
US00150,23,434,16,19126,183,440,37,102,75.2,5,18.3,0.826,3474,15652
US00151,43,406,4,1095,64,37,8,50,23.7,7,16.8,0.156,576,519
US00152,44,945,8,22002,743,81,12,46,23.3,7,14.8,0.29,12019,9983
US00153,27,293,7,6847,28,190,11,14,18.7,14,99.7,0,6714,133
US00154,35,622,2,1267,48,33,11,46,10.7,5,13.4,0.072,538,729
US00155,40,376,3,1486,57,29,6,32,13.6,4,30.3,0.134,914,572
US00156,43,438,3,1366,90,56,5,33,25.9,5,11.4,0.184,557,809
US00157,46,464,3,633,65,33,9,30,15.7,5,23.8,0.208,441,192
US00158,38,308,3,934,67,22,8,26,22.7,5,25.3,0,398,536
US00159,43,412,3,915,80,26,8,38,23.9,6,31.7,0.026,426,489
US00160,49,856,8,26437,935,68,15,59,31.1,7,26.7,0.431,18677,7760
US00161,28,272,4,509,81,36,7,39,34.1,5,23.5,0.281,219,290
US00162,44,421,2,1064,57,33,7,32,22.1,6,27.5,0.153,643,421
US00163,48,1044,5,14258,829,78,15,51,26.6,4,22.2,0.445,7813,6445
US00164,40,573,4,1226,49,38,7,34,14.3,5,27.5,0,486,740
US00165,28,273,5,5737,56,271,17,15,21,8,87.1,0.1,6810,-1073
US00166,23,246,3,4884,34,266,22,24,4.9,10,96.9,0.217,5638,-754
US00167,44,445,4,1195,49,43,8,22,27.4,5,15.9,0.23,510,685
US00168,26,251,6,3225,56,270,19,15,19.4,8,89.4,0.085,3451,-226
US00169,27,173,8,5786,43,267,20,14,15.3,12,92.4,0,6298,-512
US00170,30,653,3,865,75,35,9,34,18,6,28.6,0.082,441,424
US00171,42,451,2,1071,66,35,8,25,20.3,3,20.9,0.127,615,456
US00172,39,925,9,24258,958,73,8,38,32.5,5,23.5,0.281,13303,10955
US00173,43,547,7,28445,989,97,15,51,31.5,8,20.3,0.307,17223,11222
US00174,34,746,7,34266,833,81,20,53,31.1,4,14.8,0.292,19971,14295
US00175,57,673,8,31498,982,114,18,55,33.9,5,19.1,0.143,15277,16221
US00176,36,849,8,20052,798,105,14,54,28.7,6,8.2,0.319,10956,9096
US00177,46,1346,9,20381,993,84,21,47,25.4,5,25.2,0.308,11012,9369
US00178,42,200,3,824,72,37,7,42,23.2,7,42.5,0.026,204,620
US00179,41,290,3,840,70,35,8,27,20.5,7,1.9,0.072,441,399
US00180,36,677,32,13140,289,313,49,107,66.8,4,26.2,0.828,3623,9517
US00181,40,446,3,1480,89,41,6,39,20.1,6,22.9,0.179,695,785
US00182,48,645,3,1122,49,40,6,35,21,4,26.9,0.107,581,541
US00183,38,584,9,19465,273,360,39,145,67.5,5,18.1,0.719,4222,15243
US00184,25,232,5,5530,34,301,12,21,7.5,15,88.3,0.173,5302,228
US00185,37,343,3,1319,56,46,6,27,35.6,4,16.2,0.036,616,703
US00186,41,604,3,799,60,31,7,36,33.1,3,28.1,0.194,495,304
US00187,33,487,2,884,47,30,7,32,26.9,3,21.1,0.083,440,444
US00188,44,254,18,12810,246,334,58,110,64.1,3,28.9,0.778,2991,9819
US00189,22,210,7,4172,30,238,17,15,16.9,11,97.4,0.077,4127,45
US00190,33,169,10,4178,38,293,15,19,28.5,13,100,0.109,4600,-422
US00191,38,330,2,1298,50,48,5,35,33.6,3,9.7,0.146,794,504
US00192,25,178,6,2812,39,247,20,23,15.2,13,84.4,0,3199,-387
US00193,56,362,4,1328,92,36,7,33,19.5,5,27.3,0.216,765,563
US00194,21,338,1,860,75,24,8,42,25.1,5,28,0.091,341,519
US00195,40,1125,7,26783,867,82,16,43,23.6,3,17.3,0.265,14904,11879
US00196,29,724,38,12442,288,322,33,86,71,5,17.6,0.741,1456,10986
US00197,39,835,21,18854,243,395,46,98,67.6,2,24.3,0.778,2715,16139
US00198,37,543,3,1136,53,32,9,36,14.9,5,23.4,0.071,624,512
US00199,37,330,24,17783,159,359,31,112,75.1,4,12.2,0.703,7297,10486
US00200,46,141,4,1190,66,30,5,27,22.7,5,31.5,0.167,603,587
US00201,47,480,2,1227,56,37,5,24,21.8,3,14.3,0.173,771,456
US00202,44,1291,10,26437,976,93,15,36,26.1,7,17.5,0.276,16615,9822
US00203,35,319,10,5302,38,251,29,13,24,12,94.4,0.198,5490,-188
US00204,39,720,6,30747,977,75,15,48,20.6,6,27,0.323,14753,15994
US00205,35,444,3,1169,62,38,8,30,3.4,4,18.5,0.107,680,489
US00206,23,213,5,6288,49,262,21,16,12.1,10,89.7,0.132,7061,-773
US00207,36,940,19,20106,201,206,46,93,71.5,5,19,0.673,5312,14794
US00208,45,725,4,1005,82,44,5,23,22.3,4,30.1,0.244,546,459
US00209,48,753,8,29890,781,110,22,47,35.6,5,16.7,0.267,12595,17295
US00210,36,452,19,13884,293,312,37,115,80.6,5,23.3,0.844,2514,11370
US00211,33,324,5,5846,26,185,20,17,11.3,11,81.5,0,5976,-130
US00212,46,479,2,1219,87,41,10,38,26.9,6,15.1,0.134,766,453
US00213,45,502,4,32116,745,77,18,70,23.1,5,20.9,0.171,21103,11013
US00214,50,722,4,1094,57,42,5,32,30.1,6,38.4,0.165,603,491
US00215,31,124,4,4455,52,233,12,10,20.8,12,95.5,0.06,4662,-207
US00216,32,232,5,4268,28,219,24,13,18.2,10,87.9,0,4429,-161
US00217,28,404,2,759,59,37,6,40,27.3,4,22.1,0.205,401,358
US00218,47,425,3,1374,53,39,11,28,24.7,7,13.5,0.189,690,684
US00219,30,443,2,1466,79,23,7,30,33.8,6,26.3,0.14,741,725
US00220,50,1330,9,31391,861,89,16,51,32.6,4,10.5,0.338,20565,10826
US00221,33,92,4,999,65,43,7,31,21.2,5,23,0.182,442,557
US00222,29,313,5,4049,NA,267,23,14,12.8,9,91.8,0.095,5209,-1160
US00223,37,565,2,1200,83,38,9,21,13.9,2,41.1,0.04,592,608
US00224,48,946,8,21182,785,106,18,42,27.7,7,12.4,0.261,12425,8757
US00225,46,1010,8,35087,832,105,16,37,33.2,4,21,0.247,21128,13959
US00226,42,591,3,1398,NA,33,7,28,32.2,6,2.5,0.13,885,513
US00227,53,799,7,23682,770,117,14,38,44.5,6,14.9,0.162,14783,8899
US00228,37,417,4,1152,78,43,6,26,24.6,6,13.6,0.192,597,555
US00229,39,1018,9,24871,900,117,18,52,26.4,8,8.7,0.266,14566,10305
US00230,36,739,10,24458,923,77,18,65,18.4,7,16.8,0.245,14199,10259
US00231,31,592,2,1080,63,43,8,39,22.5,5,27.3,0.108,564,516
US00232,37,729,33,10147,192,439,40,118,71.9,8,19.8,0.747,2070,8077
US00233,39,274,3,949,48,29,6,36,17.9,3,26.2,0.1,415,534
US00234,44,722,26,11483,199,270,31,82,58.8,5,17.9,0.768,724,10759
US00235,29,388,4,1291,37,32,9,29,18.7,3,14.7,0.037,557,734
US00236,37,439,3,899,77,44,9,33,32.4,4,18,0.067,446,453
US00237,30,513,22,19069,271,339,47,72,76.4,4,13.4,0.798,4684,14385
US00238,48,522,4,1268,60,36,9,12,10.9,6,30.3,0.14,775,493
US00239,25,193,8,3208,40,370,9,15,23.6,9,98.1,0.066,3556,-348
US00240,39,443,24,15369,228,298,30,94,74,6,14.6,0.867,3584,11785
US00241,36,926,8,36443,896,127,11,54,33.7,2,14.5,0.349,19039,17404
US00242,39,478,3,1056,62,42,9,30,18.3,7,24.2,0.209,709,347
US00243,24,707,18,12570,148,300,54,91,58.7,3,20.9,0.771,3054,9516
US00244,34,424,3,1120,68,33,8,23,14.5,9,20.5,0.144,463,657
US00245,26,782,14,13089,208,219,46,68,73.1,3,34.9,0.819,1592,11497
US00246,30,237,7,3036,33,237,17,15,14.5,10,98.3,0,3889,-853
US00247,34,215,22,9933,254,293,35,100,58.2,1,11.7,0.733,2177,7756
US00248,29,613,26,13974,258,282,48,74,72.6,3,25.1,0.781,4127,9847
US00249,33,560,3,900,60,24,8,30,23.6,6,22.5,0.068,325,575
US00250,46,535,4,750,69,25,7,20,20.3,5,23.5,0.197,410,340
US00251,41,352,4,1480,49,44,10,38,14.2,5,23.8,0.115,721,759
US00252,26,260,2,4252,29,218,23,16,30.7,12,95.1,0.016,3817,435
US00253,42,499,4,1106,66,30,9,42,11.5,3,21.6,0.14,569,537
US00254,23,135,6,3404,43,181,16,19,7.7,10,88.1,0.008,3768,-364
US00255,42,591,3,1276,49,31,8,27,32.2,5,24.2,0.11,679,597
US00256,45,236,2,1432,73,28,8,21,21,8,17.8,0.261,774,658
US00257,33,498,4,1202,72,43,9,33,23.2,4,18.5,0.204,568,634
US00258,25,224,4,3351,47,234,27,17,18.6,12,100,0.121,3512,-161
US00259,30,183,3,3299,54,188,14,16,17.7,10,94,0.118,3648,-349
US00260,50,438,2,889,69,33,7,33,17.5,5,27,0.088,386,503
US00261,26,850,24,13314,164,233,33,101,59.2,2,17.2,0.864,2587,10727
US00262,46,529,3,1253,66,34,9,33,13.6,5,13.1,0.041,678,575
US00263,51,476,3,1112,89,32,4,29,18.7,6,15.2,0.22,628,484
US00264,52,1002,7,30844,963,63,14,59,32.8,5,5.4,0.492,21179,9665
US00265,30,361,11,14641,226,211,45,101,58.7,4,20.5,0.712,3404,11237
US00266,40,222,3,707,60,33,6,32,19.7,5,19.5,0.168,392,315
US00267,52,1103,8,38105,1031,76,20,42,47.1,7,4.8,0.239,22778,15327
US00268,49,309,3,1192,54,37,8,35,21.8,4,23.3,0.055,409,783
US00269,21,192,4,3084,49,268,14,15,22.8,11,88.3,0.173,3546,-462
US00270,41,240,2,984,74,58,6,34,20,6,12.2,0.144,447,537
US00271,40,262,4,931,72,48,7,29,15.8,8,17.9,0.025,492,439
US00272,30,781,30,17148,310,243,38,96,60.7,4,31.1,0.696,4999,12149
US00273,26,297,9,3880,NA,127,12,17,16.5,11,93.8,0.204,4435,-555
US00274,26,155,5,5306,26,278,22,20,23.1,11,89.3,0.148,5078,228
US00275,36,315,3,934,74,44,7,29,30.4,3,22.1,0.203,487,447
US00276,38,791,5,24170,994,98,21,31,28.3,5,20.4,0.299,17473,6697
US00277,30,185,7,5196,NA,286,10,16,6.6,8,94.8,0.115,5853,-657
US00278,18,294,7,4800,40,316,22,15,19.7,13,86.1,0.145,4739,61
US00279,32,700,3,919,49,32,7,38,7.9,4,17.3,0.212,491,428
US00280,48,1157,8,32080,893,121,18,63,27.6,7,13.7,0.192,19991,12089
US00281,48,1020,7,26576,1150,117,12,59,38.6,5,19.9,0.35,12675,13901
US00282,32,405,4,976,56,45,7,37,24.6,3,28.5,0,492,484
US00283,42,1047,7,21116,549,93,12,44,22.5,4,18.1,0.328,13730,7386
US00284,33,206,5,4871,50,179,18,16,16.9,10,92.1,0.11,5183,-312
US00285,35,207,7,3929,39,270,15,15,25.9,9,88.1,0.168,3974,-45
US00286,38,590,3,1149,NA,38,10,14,28.8,5,19,0.05,533,616
US00287,30,231,7,5515,35,259,19,19,9.9,13,100,0.072,5600,-85
US00288,47,266,3,1422,61,21,6,34,17,2,21,0,745,677
US00289,44,1013,7,25117,545,151,13,49,36.5,6,14.6,0.353,14452,10665
US00290,34,603,4,1344,63,45,7,26,13.5,7,26.1,0.157,517,827
US00291,26,560,23,16338,NA,241,45,92,55.3,3,22.8,0.744,1829,14509
US00292,30,568,18,15962,209,230,29,106,63.6,4,29.5,0.956,2584,13378
US00293,36,348,3,989,74,41,7,27,23,8,13.3,0.185,584,405
US00294,47,742,7,26148,991,99,16,44,33.2,3,17.1,0.348,15119,11029
US00295,49,619,6,21562,829,115,16,49,45.4,3,14.9,0.352,9102,12460
US00296,19,357,5,4059,24,245,19,19,16.9,12,95.5,0.035,4825,-766
US00297,44,477,2,1083,50,43,7,24,11.8,4,26.4,0.277,462,621
US00298,42,1192,5,36727,751,100,13,41,25.9,5,25.6,0.198,18284,18443
US00299,41,1343,13,28564,687,55,13,52,31.9,5,18.7,0.211,11985,16579
US00300,43,434,3,844,61,16,7,31,31.9,5,13,0.118,502,342
US00301,42,618,3,1094,92,34,8,26,21.5,5,17.4,0.119,561,533
US00302,39,392,3,1097,35,37,7,32,28.2,8,27.2,0.129,434,663
US00303,30,313,4,1376,69,28,8,26,17.2,5,26.2,0.242,697,679
US00304,40,166,3,1181,87,37,7,30,35.9,6,9.6,0.085,486,695
US00305,32,396,3,1312,101,21,8,20,17,4,28.3,0.298,638,674
US00306,27,170,4,4711,36,282,20,12,22.3,11,87,0.105,4080,631
US00307,39,323,2,1118,68,11,7,36,10.7,3,26,0.242,436,682
US00308,33,684,10,17257,289,233,25,119,82.4,4,17,0.821,5174,12083
US00309,47,370,2,1333,46,36,6,31,30.7,3,19.1,0.276,790,543
US00310,57,511,2,1063,83,41,9,46,27.7,4,27.6,0.18,463,600
US00311,46,464,3,733,69,39,7,43,9.3,1,13.1,0,399,334
US00312,45,686,2,1409,46,39,9,12,32.5,6,22.2,0.196,676,733
US00313,49,659,11,22182,1077,33,10,31,26.2,3,14.3,0.3,9746,12436
US00314,39,927,6,32731,1028,103,18,59,25.8,6,12.1,0.335,18764,13967
US00315,27,164,5,4452,43,341,14,15,19.8,13,83.1,0.05,5351,-899
US00316,29,834,22,11299,245,231,37,121,58.6,2,21.1,0.792,2910,8389
US00317,39,469,3,767,53,19,9,24,31.2,9,24.8,0.057,358,409
US00318,33,385,2,944,31,24,6,25,38.8,3,26.2,0.204,370,574
US00319,45,558,9,31354,NA,107,8,56,39.5,6,23.6,0.412,17292,14062
US00320,28,811,28,11959,190,249,44,88,74.2,5,30.3,0.793,4089,7870
US00321,44,445,7,43804,733,110,18,33,51.3,4,10.6,0.315,28139,15665
US00322,21,250,5,4736,34,206,26,16,19.8,10,89.1,0.255,5053,-317
US00323,45,354,10,36410,837,85,9,66,51,7,4.4,0.3,19596,16814
US00324,39,394,4,1285,104,30,8,30,35.2,3,26.1,0.016,669,616
US00325,56,955,9,25307,836,93,12,42,25.5,9,3.4,0.213,14709,10598
US00326,39,434,3,1269,70,38,7,37,21,7,10.9,0.12,559,710
US00327,28,83,6,4110,58,235,12,12,20.6,7,100,0.092,4260,-150
US00328,42,313,5,959,83,34,8,30,14.6,5,16.9,0.116,461,498
US00329,39,314,7,5321,37,250,13,21,22.4,12,100,0.13,5257,64
US00330,38,688,3,1251,75,45,4,25,30.7,5,23.9,0.077,812,439
US00331,38,727,7,18668,857,105,20,62,38.3,5,14.4,0.292,9605,9063
US00332,29,173,4,5236,54,175,16,14,11.4,15,100,0,6200,-964
US00333,20,194,9,4852,45,196,13,21,17.1,12,95.7,0.123,4475,377
US00334,41,694,8,31218,664,71,13,42,40.8,4,14.2,0.335,15020,16198
US00335,18,167,9,3596,44,264,18,12,29.5,11,94.2,0.091,3937,-341
US00336,37,475,4,1520,69,34,8,34,19,4,20.5,0.161,757,763
US00337,39,322,2,1188,86,44,8,26,34.2,6,29.4,0.193,654,534
US00338,30,494,17,7395,220,252,50,104,75.5,4,22.8,0.732,1052,6343
US00339,44,360,3,1177,62,40,7,16,25.6,4,27.4,0.029,596,581
US00340,28,629,23,18139,206,396,52,84,65.9,4,24.9,0.816,4050,14089
US00341,43,1030,9,27338,581,70,9,40,19.2,4,8.2,0.274,10531,16807
US00342,50,1031,4,26525,681,84,16,54,31.6,7,19.5,0.454,15322,11203
US00343,27,17,4,4768,39,268,19,22,15.4,12,85,0,5010,-242
US00344,29,262,9,3585,39,260,21,15,19.9,7,86.9,0.05,3964,-379
US00345,27,633,7,14690,249,341,24,107,63.2,5,24.9,0.778,3580,11110
US00346,34,305,7,4042,52,291,18,16,14.7,12,94.9,0.063,4762,-720
US00347,31,692,21,14198,328,356,41,92,68.3,1,16.7,0.847,2658,11540
