id,edad,educacion,raza_negro,raza_hispano,casado,re74,re75,tratamiento,re78
77,26,12,1,0,1,966,0,0,7551
78,19,10,1,0,0,0,0,1,2329
79,29,10,0,1,0,4520,0,0,6584
80,27,9,1,0,0,11664,1311,0,3627
81,28,15,0,0,0,4018,0,0,9207
82,31,11,0,0,1,3851,18185,0,10072
83,25,11,1,0,0,0,2381,0,617
84,33,6,1,0,1,0,6962,1,11846
85,26,12,0,0,0,597,285,0,9040
86,30,8,1,0,0,3098,5935,0,3656
87,36,8,0,0,1,1494,0,0,4188
88,31,13,1,0,0,173842,6706,0,31318
89,26,9,1,0,0,2716,17320,0,8527
90,36,6,1,0,0,19490,1281,0,11548
91,35,15,0,0,0,0,21574,0,16282
92,32,5,0,0,0,5600,1271,0,3886
93,30,12,0,1,0,0,566,0,10575
94,24,13,0,0,0,4142,56789,0,19045
95,38,9,0,0,0,0,10718,0,15212
96,24,12,0,0,0,9622,10058,0,11206
97,43,12,0,0,0,0,0,0,13247
98,39,13,1,0,0,0,0,0,4600
99,26,12,0,0,0,2623,13500,0,11777
100,21,10,0,0,0,2678,22543,0,11556
101,23,13,0,0,0,0,618,0,9527
102,30,13,0,0,0,29273,1021,0,10435
103,26,8,0,0,1,0,1691,1,6248
104,26,7,1,0,0,0,7563,0,3642
105,21,11,1,0,0,1207,242,0,11489
106,28,10,0,0,0,2519,3331,0,9331
107,23,8,1,0,0,7032,706,0,9167
108,18,11,1,0,0,3918,0,1,5901
109,25,7,0,0,0,2172,585,1,7988
110,34,11,1,0,0,1087,0,0,6487
111,24,9,1,0,0,3381,2889,1,7502
112,32,13,0,0,0,5234,0,0,9169
113,18,17,0,1,0,9650,0,0,11235
114,28,8,0,0,0,1718,0,0,4480
115,32,13,1,0,1,9938,0,0,12302
116,30,13,0,0,0,1216,1914,0,14747
117,29,10,0,0,0,2552,1839,1,9911
118,24,9,0,1,0,8438,6127,0,10357
119,22,14,0,0,0,2141,2755,0,10341
120,21,5,1,0,0,1928,0,1,5529
121,29,9,1,0,0,4643,3227,0,8397
122,21,7,1,0,0,5128,0,0,4947
123,25,14,0,1,0,15084,803,0,7905
124,26,10,0,0,0,3714,13375,0,10934
125,41,9,1,0,0,0,0,0,9801
126,23,18,1,0,1,2237,24357,0,18185
127,30,10,1,0,0,2306,2715,0,8211
128,29,9,1,0,0,1606,6682,0,7120
129,21,11,0,0,1,7232,0,0,11394
130,28,7,0,0,0,98925,2957,0,15689
131,38,12,0,0,0,0,1136,0,8778
132,31,10,0,0,0,4081,14626,0,7326
133,28,12,0,0,1,8995,0,0,9533
134,25,8,1,0,0,0,8414,0,2853
135,18,8,1,0,1,0,1772,0,10046
136,36,9,0,0,1,0,0,0,6534
137,18,9,0,0,0,0,23228,0,10841
138,33,14,0,1,0,4242,0,1,14592
139,41,14,0,0,0,0,6003,1,15391
140,18,10,1,0,0,10746,5082,1,9055
141,33,10,1,0,0,4762,8805,0,3006
142,26,10,1,0,0,0,23621,0,14216
143,18,11,0,0,1,2410,4335,1,10625
144,18,11,0,0,0,6968,17415,0,10581
145,18,11,0,0,0,4601,241,0,6433
146,24,9,1,0,0,0,8571,0,4084
147,18,8,0,0,0,0,0,0,1843
148,33,13,0,0,0,0,4999,0,7063
149,43,9,0,0,0,0,4687,0,12171
150,19,11,0,0,0,25547,2324,0,8627
151,34,10,0,0,1,0,1905,0,8405
152,33,8,0,0,0,7179,14985,0,13246
153,30,12,1,0,0,1538,0,0,8368
154,21,11,1,0,1,3727,0,0,1862
155,27,14,0,1,0,7851,0,0,13713
156,26,11,0,0,1,1463,1193,1,11752
157,32,10,0,0,0,0,22831,0,16307
158,25,11,1,0,0,6391,3575,0,5191
159,35,8,0,0,0,0,0,0,5605
160,25,8,1,0,0,6598,0,0,5133
161,35,12,0,1,1,5378,0,0,11713
162,21,10,0,0,1,1794,0,0,4856
163,19,10,0,0,0,919,0,0,5650
164,51,10,0,0,1,0,19326,0,16457
165,25,9,0,0,0,0,7882,0,12103
166,30,5,0,0,0,4711,2190,0,4038
167,32,11,0,0,1,0,13098,0,16711
168,25,12,0,0,0,1612,9567,0,10286
169,32,7,0,0,0,6813,0,1,8645
170,31,14,1,0,0,17230,16740,0,16439
171,26,11,0,0,1,6022,11253,0,15245
172,28,14,1,0,0,1490,3213,0,6252
173,28,8,0,0,0,2986,64497,0,25766
174,43,11,0,0,1,18258,12625,0,12798
175,23,10,0,0,0,0,2172,0,10209
176,20,12,1,0,0,0,0,1,6509
177,28,9,0,0,0,0,6576,0,6283
178,30,10,0,0,0,7731,3262,0,12652
179,31,6,0,0,0,18606,80,0,10172
180,25,9,0,0,1,1529,2397,1,7025
181,21,11,1,0,0,7041,0,0,9617
182,37,9,1,0,0,3270,9586,0,8035
183,26,10,0,0,0,6261,6144,0,11480
184,22,9,1,0,0,0,5282,0,7892
185,26,12,0,1,0,8996,0,0,5740
186,27,13,0,1,1,2309,0,0,8952
187,36,8,0,0,0,3229,1134,0,7698
188,29,10,0,0,0,1569,2199,0,6933
189,33,14,0,1,0,0,0,0,2467
190,25,5,1,0,1,0,2019,1,5732
191,30,10,0,1,0,0,0,0,8171
192,26,16,1,0,0,2721,8222,0,13562
193,29,16,0,0,0,11526,0,0,15014
194,22,11,1,0,0,0,1663,0,8557
195,19,8,0,0,0,0,6792,0,7243
196,42,11,0,0,0,27222,2755,0,12235
197,32,9,1,0,1,5076,2823,0,6625
198,19,14,1,0,0,0,0,0,9866
199,24,8,0,0,1,5374,0,1,8396
200,20,11,1,0,0,1496,1997,0,7234
201,43,12,0,1,1,10734,1672,0,14163
202,37,9,0,0,0,1679,7723,0,10710
203,26,13,1,0,0,0,1213,1,9664
204,32,9,0,0,0,0,1728,0,6372
205,25,12,1,0,1,1293,0,0,4446
206,25,13,0,0,0,0,4877,1,10639
207,22,8,0,0,0,2120,0,0,4049
208,24,13,1,0,0,24744,979,1,13075
209,40,9,1,0,0,0,9516,0,8574
210,28,11,0,0,1,7523,2070,0,9636
211,29,11,0,1,0,0,4520,0,9920
212,30,9,1,0,0,5904,16783,1,16845
213,37,11,0,0,0,15572,0,0,10752
214,24,7,0,0,1,8330,13869,0,13540
215,21,10,0,0,0,11360,1017,0,5930
216,40,13,1,0,1,0,0,0,8600
217,25,5,0,0,0,0,5959,0,6833
218,23,7,0,0,0,340,16789,0,11573
219,19,8,1,0,0,3627,2140,1,8683
220,19,7,0,1,1,0,2963,0,7413
221,24,12,0,0,0,1519,12226,0,12459
222,32,8,0,0,0,7173,2332,0,5799
223,36,5,0,0,0,0,1049,0,6635
224,33,9,0,0,1,6544,0,0,4549
225,25,10,0,0,0,3494,3270,0,11322
226,28,13,0,0,0,0,0,1,12452
227,23,8,1,0,0,2289,10620,0,7700
228,23,13,0,0,1,5019,8013,0,17370
229,34,11,1,0,0,23378,11061,0,11227
230,21,11,0,0,0,1897,25710,1,19779
231,42,8,0,0,0,4243,13160,0,13330
232,27,15,0,0,0,5537,22870,0,22467
233,30,10,0,1,0,0,0,0,10507
234,23,6,1,0,0,3723,16197,0,10942
235,24,10,1,0,0,0,796,1,9447
236,19,6,0,0,1,0,0,1,9952
237,27,10,0,0,0,11639,29423,0,19042
238,31,9,0,0,0,5517,47520,0,22148
239,30,12,0,0,0,1320,5705,0,13525
240,23,13,0,0,0,300,10071,0,10492
241,22,9,0,1,0,3170,1103,1,13761
242,24,13,1,0,0,10967,639,0,8628
243,38,14,0,0,0,7207,3965,0,7655
244,20,9,0,0,0,3175,5719,0,12332
245,27,9,1,0,0,5219,3433,0,2824
246,41,12,0,0,0,5926,0,0,9854
247,27,11,1,0,0,1992,928,0,4236
248,18,12,0,0,0,5247,0,0,12410
249,23,14,1,0,0,0,13456,0,12610
250,31,11,1,0,0,2064,3324,0,5542
251,25,13,1,0,0,6234,30252,0,18646
252,24,12,0,0,1,7134,0,0,10924
253,26,12,0,1,0,9243,12998,0,14029
254,29,11,1,0,0,0,1798,0,9534
255,39,14,0,0,0,8042,8324,0,11316
256,27,8,1,0,0,0,8886,0,8074
257,36,8,1,0,0,4383,5697,0,1
258,32,12,0,0,0,8421,14900,1,14134
259,27,10,1,0,0,1072,3429,0,9407
260,18,11,0,0,0,10777,362,0,12064
261,24,12,0,0,0,0,2686,0,10455
262,25,12,0,0,0,81230,0,0,20975
263,28,10,0,0,0,0,425,0,9752
264,37,10,1,0,0,154,514,0,3718
265,44,11,0,0,0,25502,4135,0,11436
266,39,13,1,0,0,2396,4651,0,6435
267,27,12,1,0,0,0,17376,0,12050
268,18,14,0,0,0,6444,3738,0,10589
269,25,10,0,1,0,18317,7402,0,12230
270,29,13,1,0,0,1663,5586,0,9969
271,34,13,0,1,0,1180,0,0,11761
272,35,12,1,0,0,0,12081,0,15296
273,33,12,0,1,0,0,0,0,3723
274,18,10,0,0,1,780,0,1,11321
275,34,10,0,0,0,0,12117,0,8905
276,25,11,0,0,0,0,299,1,13757
277,29,11,1,0,0,75648,184,0,19841
278,29,13,0,0,0,7423,0,0,13338
279,31,10,0,0,0,3217,4189,0,5371
280,28,10,0,0,0,2315,0,0,7994
281,18,9,1,0,0,37106,11136,0,18188
282,33,10,1,0,0,1144,0,0,3725
283,31,10,0,0,0,0,13257,0,7879
284,26,5,1,0,0,0,3255,1,5984
285,29,7,0,0,0,2472,0,1,6416
286,29,10,1,0,0,31035,5802,0,14555
287,30,10,0,0,0,0,314,0,6312
288,39,7,1,0,0,4801,1206,0,5646
289,26,6,0,0,0,0,0,0,1653
290,29,10,0,0,0,79838,5413,0,21841
291,36,12,0,0,1,10282,843,0,13576
292,35,15,0,0,0,0,18897,0,10623
293,36,10,0,0,0,0,7243,0,13960
294,24,14,0,0,0,605,0,0,6105
295,42,11,1,0,0,14289,4079,0,11530
296,28,11,0,1,0,696,4360,0,8715
297,41,11,0,0,0,982,2815,0,6678
298,19,8,0,0,0,10228,3231,0,6835
299,28,10,0,0,0,4597,3368,1,13579
300,37,13,0,0,1,13581,0,0,12089
301,23,9,1,0,0,0,13354,0,8101
302,23,10,1,0,0,14695,0,0,10640
303,21,8,1,0,0,0,32698,0,14067
304,21,11,1,0,0,0,0,0,5241
305,25,12,1,0,0,0,0,1,8922
306,30,12,1,0,0,38180,11032,1,13089
307,18,7,1,0,0,5234,3419,1,8423
308,29,11,0,0,0,12946,9689,0,18786
309,37,8,1,0,0,1591,44632,0,16276
310,42,10,0,0,0,5152,3135,0,7982
311,37,14,0,0,0,447,13924,0,17123
312,33,9,1,0,0,0,4146,1,11090
313,18,12,0,0,1,824,0,0,13278
314,24,9,0,0,0,4190,0,0,9206
315,26,9,0,0,0,3684,0,1,10482
316,33,12,1,0,0,15779,2751,1,13871
317,27,9,0,0,0,2274,33320,0,13053
318,19,6,1,0,0,0,0,1,6457
319,40,14,1,0,0,0,3732,0,10354
320,34,11,0,0,0,10347,0,0,15252
321,30,9,0,0,0,18150,0,0,12394
322,37,6,0,0,0,3747,4654,0,12886
323,19,15,1,0,0,29036,37575,0,21375
324,33,18,0,0,0,3006,333,0,8860
325,24,11,0,1,0,1476,13970,0,8071
326,33,13,0,0,0,6470,0,0,5954
327,28,14,0,0,0,11199,0,0,5291
328,32,9,0,0,0,819,0,0,6191
329,37,10,0,0,0,0,11317,0,9237
330,28,6,0,0,0,5196,3083,0,11602
331,35,9,0,0,0,0,1934,0,2955
332,20,12,1,0,0,0,0,0,6777
333,23,10,0,0,0,634,1215,0,6265
334,39,10,0,0,0,0,2603,0,10573
335,31,10,0,1,0,0,3834,1,11827
336,18,6,0,0,0,0,7459,0,4645
337,18,13,1,0,0,20754,0,1,11003
338,27,7,0,0,1,0,17657,0,11116
339,34,10,0,0,0,4024,909,0,5374
340,27,9,0,0,0,24827,7831,0,12985
341,32,10,0,0,0,4457,0,0,7175
342,35,14,1,0,1,0,0,1,8901
343,40,9,0,0,0,1669,3447,1,7459
344,28,9,0,0,0,0,0,1,8975
345,28,7,0,0,0,0,0,0,6436
346,18,8,0,0,0,0,631,1,6125
347,29,8,0,0,1,0,0,0,12650
348,24,12,1,0,0,0,0,0,3017
349,21,8,0,0,0,0,654,0,5846
350,27,11,0,0,0,17706,7469,0,10091
351,35,10,0,1,0,5147,10379,0,12885
352,18,7,0,0,1,4218,305,1,12756
353,25,9,0,0,0,18534,36529,0,11379
354,29,13,1,0,1,0,17714,0,11038
355,22,13,1,0,0,4436,880,0,1975
356,30,16,0,0,0,0,1533,0,15793
357,31,10,1,0,1,8808,5167,0,10281
358,28,7,0,0,0,4486,6231,0,9747
359,18,9,1,0,1,490,964,1,8365
360,46,12,1,0,0,0,0,0,2929
361,27,15,1,0,0,2520,162834,0,44183
362,33,11,0,0,1,1297,12394,0,15187
363,30,13,0,0,0,1220,0,0,9969
364,35,12,0,0,0,2994,1553,0,7198
365,34,8,0,0,1,15402,2782,0,6820
366,27,10,1,0,0,1629,795,0,8370
367,31,14,1,0,0,5664,6216,0,7336
368,21,13,1,0,0,0,3788,0,6800
369,34,12,0,0,0,0,64485,0,26986
370,25,12,1,0,0,5147,2747,0,5358
371,45,9,0,0,0,4017,4076,0,5499
372,18,7,0,0,0,2438,1301,0,12189
373,25,14,0,0,0,14332,0,0,9432
374,34,7,1,0,0,19287,1571,1,15463
375,32,8,1,0,0,5031,1157,1,6745
376,24,12,1,0,0,249232,3551,0,46054
377,21,7,0,0,1,4897,1361,0,9694
378,29,9,0,0,0,164159,1429,0,28500
379,28,8,1,0,0,4185,7418,0,5371
380,18,12,1,0,0,746,14863,0,15627
381,28,12,0,1,0,889,0,0,7462
382,29,12,0,0,1,1727,0,0,12891
383,29,12,0,1,0,28972,4488,0,7999
384,21,12,0,0,0,0,0,0,10649
385,31,12,0,0,0,0,0,0,7441
386,38,6,0,1,0,7117,13339,0,9374
387,31,10,1,0,0,2580,0,0,4825
388,20,11,0,0,1,0,0,0,8382
389,25,12,0,0,0,2077,1845,0,9398
390,30,8,1,0,0,0,0,0,0
391,23,9,1,0,0,0,0,0,2845
392,18,8,1,0,0,2328,4941,0,7540
393,34,13,0,0,1,0,19396,0,14583
394,22,14,1,0,0,0,3663,1,10229
395,24,12,0,0,0,33652,0,0,12151
396,39,7,0,0,0,260,0,0,10444
397,23,12,0,0,0,8903,0,0,9291
398,34,13,1,0,1,3354,0,0,8865
399,19,11,1,0,0,0,1923,0,8401
400,26,9,0,0,0,685,1218,0,14196
401,27,8,1,0,0,4725,0,1,9193
402,20,9,1,0,0,1937,6002,0,10370
403,24,12,0,0,0,7532,2609,0,7305
404,28,9,0,1,0,1293,10794,1,11114
405,33,11,0,0,0,0,0,0,6570
406,18,14,0,0,0,1923,867,1,13489
407,26,12,1,0,1,3503,8880,0,10978
408,33,14,1,0,0,1125,0,0,9845
409,24,6,1,0,0,3327,3639,0,13554
410,30,10,1,0,0,63647,2898,0,14298
411,31,11,0,0,0,3089,1543,0,10459
412,30,12,0,1,0,10221,0,0,5946
413,33,8,1,0,0,1591,4150,0,4434
414,27,13,0,0,0,31133,7497,0,18415
415,25,11,0,0,1,8622,3811,0,10846
416,18,11,1,0,0,2080,0,0,7171
417,27,12,0,0,0,6480,8082,0,8993
418,31,10,0,0,0,3089,1547,1,9810
419,32,13,1,0,0,9049,0,0,5694
420,24,12,0,1,0,1861,73166,0,27551
421,40,10,0,0,0,8569,6074,0,8058
422,30,13,1,0,0,32854,9043,0,13431
423,29,11,1,0,0,0,6800,1,8556
424,37,12,1,0,0,0,18054,1,13929
425,23,9,0,0,0,7335,899,0,6866
426,25,14,1,0,0,0,1277,0,3784
427,45,10,1,0,1,0,4397,0,9890
428,28,13,0,0,1,7810,0,0,13260
429,39,10,1,0,1,10171,1011,0,14440
430,18,10,0,0,0,0,0,0,2542
431,27,12,0,0,0,6460,2285,0,13965
432,31,7,0,0,0,11667,0,0,5028
433,30,12,1,0,1,5268,59456,0,23094
434,21,11,0,0,1,0,0,0,5017
435,28,4,0,0,0,2940,576,0,10171
436,20,11,1,0,0,6201,9893,0,9722
437,33,5,0,1,0,5110,2104,0,6014
438,36,12,0,1,0,0,4692,0,10284
439,18,9,1,0,1,20715,9073,0,20144
440,37,9,1,0,0,1218,29493,0,11537
441,19,10,0,1,0,23533,4728,0,12205
442,31,14,0,0,0,0,1730,0,9874
443,33,9,1,0,0,1512,0,0,6490
444,27,12,1,0,0,13809,0,0,12066
445,23,11,0,0,0,4456,11904,0,11803
446,29,8,0,0,1,537,15876,0,11663
447,31,6,0,0,0,29855,5690,0,12798
448,34,6,0,0,1,248,1297,0,5520
449,18,12,0,0,0,0,4721,0,14505
450,18,10,0,0,0,0,0,0,12479
451,38,15,0,0,0,2486,16010,0,11886
452,35,12,0,0,0,0,7382,0,4731
453,31,13,1,0,1,3294,9351,0,17137
454,33,14,1,0,1,0,0,0,10427
455,34,9,0,0,0,4038,0,0,3686
456,18,12,1,0,0,6789,1936,1,7070
457,36,13,1,0,0,1760,12496,0,7799
458,25,14,0,0,1,0,2897,0,11169
459,30,12,0,0,1,1618,10987,0,11663
460,26,12,0,0,0,0,0,1,14024
461,34,8,0,1,0,10534,5485,0,14636
462,26,12,0,0,0,46360,2085,0,18304
463,32,12,0,0,1,1243,1846,0,10184
464,25,12,0,0,1,1698,3220,0,13663
465,20,12,1,0,0,1719,31499,0,12190
466,36,10,1,0,1,0,4948,0,6788
467,33,10,1,0,0,5103,5255,0,8302
468,40,12,1,0,0,0,27179,1,15338
469,28,11,1,0,0,12404,2849,0,6547
470,36,8,1,0,0,6617,0,0,7606
471,42,10,1,0,0,0,1690,1,6948
472,26,7,1,0,0,0,11137,0,10787
473,19,8,0,1,0,0,799,0,4496
474,26,10,0,0,0,2346,0,1,8369
475,27,6,1,0,0,1027,15572,0,8105
476,29,6,0,0,0,0,0,0,9936
477,40,13,0,0,1,15141,3627,0,15411
478,26,9,0,0,0,1032,229,0,8205
479,31,6,0,0,0,3025,28978,0,16723
480,26,10,0,0,0,15980,1906,0,6921
481,28,14,0,0,0,0,9526,0,14822
482,30,12,0,0,0,10752,525,0,10070
483,37,12,0,0,0,7315,2356,0,6006
484,29,13,1,0,0,4111,28489,0,13124
485,33,9,0,0,0,351,6072,1,9524
486,33,12,0,0,1,0,6077,1,17528
487,34,9,0,1,0,940,0,1,2449
488,24,11,0,0,0,0,782,0,6755
489,39,16,0,0,0,0,4180,0,8500
490,25,13,1,0,1,5801,7114,0,11607
491,27,12,0,0,1,2074,15668,0,13633
492,38,8,0,1,0,14277,0,0,11608
493,37,9,1,0,0,8863,0,0,10253
494,20,16,0,0,0,4463,0,0,12207
495,22,8,0,0,0,3740,347620,0,99153
496,18,11,0,0,0,4127,0,0,4674
497,29,13,1,0,0,0,234,0,5731
498,29,13,1,0,0,10336,4108,0,12621
499,31,13,0,0,0,0,5061,0,8266
500,32,10,0,0,0,0,10741,0,6538
501,24,8,0,0,0,13376,1739,0,9891
502,21,10,0,0,1,0,13303,0,14019
503,35,8,0,0,0,0,1752,0,5838
504,33,12,1,0,0,1516,3554,0,0
505,18,13,0,0,0,0,8305,0,6885
506,27,16,0,0,0,0,0,0,5984
507,22,11,0,1,1,21303,4455,0,10298
508,18,8,0,0,0,4296,0,0,5572
509,29,13,1,0,0,11278,2307,0,12402
510,27,13,1,0,0,378,0,0,2838
511,27,10,1,0,1,8376,0,0,6473
512,30,7,0,0,0,0,1570,0,4476
513,34,12,0,0,1,0,2916,0,14716
514,29,13,1,0,0,5600,0,0,3515
515,24,10,0,1,1,23243,0,0,6449
516,23,12,0,0,0,4005,16570,0,15812
517,27,10,0,0,0,0,1781,0,7898
518,30,12,0,1,0,0,2745,0,6439
519,21,10,1,0,0,10796,0,1,6805
520,27,10,0,0,0,1122,3311,0,591
521,35,11,0,0,0,10177,43793,0,21438
522,27,10,1,0,0,0,3740,1,8159
523,23,9,0,0,0,0,3892,0,11035
524,26,10,1,0,0,1719,0,0,4630
525,36,10,0,0,0,9414,934,1,14273
526,32,11,0,1,0,178052,12636,0,37824
527,37,14,0,0,0,31214,0,0,16355
528,29,7,1,0,1,0,1727,0,994
529,31,10,1,0,0,2338,6306,0,10952
530,24,12,0,1,0,7258,3230,1,13245
531,32,15,1,0,0,4064,0,0,12650
532,24,12,1,0,0,454,3506,0,7277
533,18,10,1,0,1,3684,25762,0,10339
534,29,10,1,0,0,0,2072,0,6042
535,42,12,0,0,0,0,12646,0,14326
536,34,13,0,1,1,2596,0,0,12334
537,36,10,0,0,0,10745,2883,0,14121
538,31,11,0,0,1,49134,1857,0,16785
539,24,11,1,0,0,19669,2590,0,14434
540,27,12,1,0,0,10853,2890,0,6635
541,26,13,0,0,0,5251,14894,0,4973
542,25,11,0,0,1,0,0,1,11336
543,33,10,0,0,0,19713,28911,0,17728
544,20,14,0,0,1,0,0,0,5888
545,34,11,1,0,0,2416,0,0,7376
546,34,14,1,0,0,15364,1721,0,6827
547,20,10,0,0,0,1188,0,1,6472
548,32,12,0,0,0,1175,32782,0,20970
549,45,7,1,0,0,33354,3074,0,2147
550,24,10,0,0,1,5138,0,0,10130
551,34,10,0,1,0,5118,5147,0,7584
552,23,9,1,0,0,15912,0,1,7570
553,36,8,0,1,1,3882,0,0,8374
554,30,13,0,0,1,1779,13173,0,12012
555,40,13,0,0,0,5802,919,0,8698
556,18,7,0,0,0,632,1241,0,1943
557,28,12,1,0,0,2788,2444,0,12527
558,24,8,1,0,0,0,2881,1,10136
559,27,8,0,0,0,0,14256,0,6308
560,24,12,0,0,0,6135,1905,0,8456
561,22,9,0,0,0,2040,3249,0,9796
562,32,13,0,1,0,18711,2700,0,9791
563,20,11,0,0,0,3508,27575,0,14955
564,38,12,0,0,0,0,22893,0,14774
565,20,9,0,0,0,6549,1130,0,12757
566,29,8,1,0,0,4611,6794,0,5185
567,32,13,0,0,0,0,0,0,11101
568,32,11,1,0,0,6365,1488,0,6046
569,26,10,1,0,0,3063,2002,0,5930
570,29,11,1,0,0,0,1456,0,6565
571,35,14,0,1,1,10696,5294,0,13614
572,18,9,1,0,0,34616,2763,0,11204
573,23,9,1,0,1,487,5811,1,8332
574,30,9,0,0,1,4176,0,0,8888
575,25,7,1,0,1,15925,16405,0,12999
576,38,13,1,0,0,0,335,0,8938
577,33,11,1,0,0,19934,0,0,5515
578,29,11,1,0,0,3118,7127,1,9737
579,18,10,1,0,0,0,0,0,10805
580,28,9,0,0,0,28811,2029,0,10124
581,26,8,0,0,0,14448,4691,0,9996
582,27,13,0,0,0,21103,28523,0,21833
583,20,7,0,0,0,347,5109,0,3470
584,31,12,1,0,0,1066,38219,0,12607
585,21,9,1,0,0,0,281,1,10531
586,26,11,1,0,0,1648,0,0,8332
587,31,9,0,0,1,2534,0,0,5415
588,23,9,0,0,0,25876,15673,0,18983
589,32,15,1,0,0,5652,14413,0,15575
590,19,12,1,0,0,5189,2551,0,12915
591,18,5,0,0,1,3660,2705,0,3696
592,31,11,0,0,0,722,6165,0,12725
593,34,9,1,0,0,515,0,0,6172
594,26,8,1,0,0,3785,5362,1,2970
595,32,11,0,0,0,7523,0,0,6592
596,20,11,0,0,0,1010,5298,0,11092
597,27,10,0,0,0,562,338,0,9820
598,18,15,0,0,0,0,0,0,4476
599,36,5,0,0,0,9031,2732,0,7876
600,41,13,0,0,0,8765,11064,0,7739
601,36,10,0,0,0,0,1408,0,10808
602,28,12,1,0,0,9563,0,0,9612
603,28,9,0,0,1,1385,636,0,13808
604,18,9,0,0,0,22031,678,0,9188
605,34,6,0,0,1,0,0,0,8799
606,27,10,0,0,1,2767,4143,0,7934
607,23,17,1,0,0,7334,150,0,6640
608,18,13,1,0,1,6886,18132,0,16308
609,26,15,0,0,0,9969,1843,0,14026
610,22,13,0,0,0,14072,0,0,11403
611,25,13,1,0,0,0,0,1,10120
612,19,13,0,0,0,1048,0,0,9258
613,40,12,1,0,1,1210,6674,0,11577
614,28,9,1,0,0,9793,1874,1,9805
615,36,9,1,0,0,2821,0,0,2365
616,18,6,1,0,0,8067,8690,1,2979
617,25,10,0,0,0,20324,0,0,6344
618,23,13,0,0,1,0,4024,0,14296
619,19,13,0,0,1,14908,1496,0,8601
620,39,11,1,0,1,2267,0,1,11990
621,18,9,0,0,0,10303,0,0,10440
622,30,18,0,0,1,0,0,0,12452
623,34,12,1,0,0,1771,611,1,10190
624,29,14,1,0,0,15328,0,0,11801
625,22,10,1,0,0,11697,1119,1,14183
