id_poliza,valor_auto_miles,valor_factura_miles,antiguedad_auto,km_anuales_miles,tipo_vehiculo,edad_conductor,anios_licencia,es_conductor_joven,siniestros_previos,multas_ultimo_anio,uso_principal,ciudad,tiene_garage,tipo_cobertura,forma_pago,prima_anual_mxn
41,NA,713.6,8,20,hatchback,41,19,no,1,0,personal,CDMX,si,limitada,anual,14018
42,139.5,136.5,0,10.5,sedan,44,20,no,0,1,comercial,Monterrey,si,limitada,anual,7721
43,800.9,813.2,13,20.4,compacto,24,1,si,0,0,mixto,CDMX,no,amplia,anual,18619
44,439.1,450.5,10,26.2,suv,45,21,no,0,1,personal,Monterrey,no,rc,anual,9593
45,411.7,429.1,6,19.7,sedan,35,8,no,1,1,mixto,Monterrey,si,amplia,anual,12092
46,120,110.1,1,15.8,sedan,32,12,no,0,3,personal,Monterrey,si,rc,anual,5665
47,201.7,219.2,2,7.3,suv,20,2,si,5,0,mixto,Monterrey,si,amplia,anual,18355
48,337.2,342.8,14,6.7,suv,37,15,no,0,1,mixto,CDMX,si,amplia,anual,10485
49,136.6,138.7,1,15.3,sedan,38,9,no,3,1,personal,CDMX,si,limitada,anual,10567
50,201.1,214.3,7,9,suv,54,25,no,0,2,personal,Guadalajara,no,amplia,anual,6600
51,483,486.6,6,13.3,hatchback,18,0,si,5,1,personal,CDMX,si,amplia,anual,20699
52,902.6,916.6,3,8.6,sedan,66,39,no,0,0,mixto,CDMX,si,limitada,anual,14714
53,351.8,355.7,6,25.7,compacto,36,12,no,0,0,personal,Otra,si,limitada,anual,7731
54,341.2,347.6,8,12.6,hatchback,55,31,no,1,1,comercial,Guadalajara,si,limitada,anual,8481
55,747.7,774.2,4,17.2,sedan,44,23,no,1,2,comercial,Otra,si,limitada,anual,14403
56,624.3,645.9,0,17,suv,51,28,no,5,3,personal,Otra,no,amplia,anual,20611
57,120,122.5,7,16.8,sedan,45,19,no,1,0,personal,Guadalajara,si,amplia,anual,5635
58,261.1,263,4,9.5,suv,35,12,no,4,1,mixto,CDMX,si,amplia,anual,16724
59,304,313.4,3,17,compacto,33,12,no,1,0,mixto,NA,no,amplia,anual,10630
60,1078.9,1101.7,7,NA,hatchback,24,2,si,1,0,personal,CDMX,NA,rc,anual,19628
61,120,115.7,2,10.5,sedan,46,21,no,0,2,comercial,Otra,si,limitada,anual,7925
62,330.4,338.2,9,32.4,pickup,23,3,si,0,2,personal,Guadalajara,no,rc,anual,11952
63,557.8,566.5,12,14.6,suv,39,16,no,1,1,personal,Monterrey,si,amplia,anual,12301
64,318.7,335.5,0,13.8,suv,33,14,no,3,1,mixto,Otra,si,amplia,anual,14349
65,204.4,221.9,3,11.4,suv,43,24,no,1,2,personal,CDMX,no,limitada,anual,9783
66,425.9,422.9,6,23.9,compacto,56,30,no,1,1,mixto,Otra,no,amplia,anual,10981
67,191.6,220.3,5,32.1,hatchback,19,0,si,0,0,personal,CDMX,si,limitada,anual,10350
68,122.9,134.9,3,12.1,pickup,44,18,no,2,0,comercial,Monterrey,no,limitada,anual,10258
69,596.6,611.3,7,11.3,compacto,35,17,no,0,3,mixto,CDMX,no,limitada,anual,12823
70,295.3,287.5,13,13,suv,46,26,no,2,0,mixto,Guadalajara,si,amplia,anual,10677
71,171.3,176.3,4,7.9,hatchback,27,5,no,0,0,mixto,Monterrey,si,rc,anual,5031
72,260.3,257.2,1,25.7,suv,23,3,si,1,1,mixto,Monterrey,si,limitada,anual,13776
73,483.6,487.2,3,11.5,suv,45,24,no,2,0,personal,Otra,no,amplia,anual,11979
74,NA,307.1,2,7.1,suv,44,18,no,0,0,personal,Guadalajara,no,amplia,anual,8528
75,435.5,449.3,15,8.3,hatchback,48,28,no,1,1,personal,NA,no,rc,anual,7823
76,569.3,586.8,6,13.7,pickup,27,7,no,0,0,personal,Guadalajara,si,limitada,anual,10149
77,402.4,419.8,0,7.3,sedan,18,0,si,2,1,personal,Otra,si,rc,anual,12410
78,399.4,413.8,5,17.7,hatchback,61,38,no,1,0,mixto,Monterrey,si,amplia,anual,10615
79,344,363,4,11.3,sedan,38,19,no,0,1,mixto,Monterrey,si,amplia,anual,12025
80,537.4,557.8,10,21.7,sedan,41,21,no,0,2,personal,Guadalajara,si,amplia,anual,11463
81,120,131.1,8,21.4,hatchback,41,21,no,0,1,personal,Otra,si,amplia,anual,4770
82,500.9,512.5,17,NA,compacto,35,13,no,0,0,personal,CDMX,no,limitada,anual,9115
83,650,660.8,2,17.9,compacto,22,4,si,0,1,personal,CDMX,no,amplia,anual,14827
84,627.6,646.6,12,17.3,sedan,43,21,no,1,0,personal,CDMX,no,limitada,anual,11981
85,399.9,392.2,4,14.2,sedan,31,10,no,0,1,mixto,Monterrey,si,amplia,anual,11519
86,310,317.3,14,13.6,compacto,34,13,no,1,1,comercial,Otra,no,amplia,anual,11368
87,268.3,263.2,9,17.9,suv,60,30,no,4,0,personal,CDMX,no,rc,anual,11927
88,389.6,400.2,1,12.2,compacto,42,21,no,2,0,personal,CDMX,si,amplia,anual,13115
89,582.3,587.9,10,13.7,pickup,24,6,si,2,2,personal,Guadalajara,si,amplia,anual,15651
90,434.7,449.5,3,13.5,hatchback,30,12,no,0,1,comercial,Otra,si,limitada,anual,10054
91,456.4,465,4,14.7,compacto,36,18,no,0,0,personal,Guadalajara,si,rc,anual,7345
92,632.9,651.8,8,8.4,suv,65,38,no,0,0,personal,Guadalajara,si,amplia,anual,10899
93,162.5,168.5,17,17.2,pickup,45,24,no,2,0,personal,Guadalajara,si,amplia,anual,8164
94,581.4,606.9,9,20.1,compacto,42,20,no,0,1,mixto,Guadalajara,no,limitada,anual,12056
95,274.3,268.7,4,21.5,sedan,42,18,no,1,2,mixto,Guadalajara,si,limitada,anual,10771
96,724.7,739.6,6,5.5,sedan,40,13,no,0,1,mixto,Otra,si,rc,anual,13866
97,136.6,132.1,0,10.5,compacto,32,10,no,0,0,personal,CDMX,no,limitada,anual,6340
98,427.1,426.9,6,24,hatchback,37,14,no,1,1,personal,CDMX,si,limitada,anual,11754
99,395.4,405,6,27.7,compacto,51,29,no,0,0,personal,CDMX,si,limitada,anual,9019
100,483.6,492.3,5,12.1,sedan,32,7,no,0,0,mixto,CDMX,no,amplia,anual,11638
101,444.7,462.3,2,16.2,sedan,18,0,si,0,0,mixto,Otra,no,amplia,anual,14042
102,612,627.2,0,11.3,pickup,61,39,no,0,0,personal,Monterrey,si,rc,anual,10011
103,586.3,602.3,6,3,suv,41,17,no,0,1,personal,Guadalajara,si,amplia,anual,11506
104,330.6,326.9,5,19.4,hatchback,52,27,no,1,0,mixto,CDMX,no,amplia,anual,10395
105,374.4,379.1,14,10.6,sedan,36,18,no,0,0,personal,CDMX,si,limitada,anual,6465
106,333.6,341,3,18.7,hatchback,56,24,no,0,0,mixto,CDMX,si,amplia,anual,9860
107,550.9,566.3,14,24.1,hatchback,47,25,no,0,0,mixto,Guadalajara,si,amplia,anual,10342
108,322.3,325,8,12.8,compacto,57,28,no,0,1,personal,Guadalajara,si,limitada,anual,6348
109,339,347.7,6,24.2,pickup,55,27,no,2,1,comercial,Monterrey,no,limitada,anual,12575
110,120,132.6,4,13,hatchback,49,28,no,2,2,personal,CDMX,no,limitada,anual,8739
111,674.6,692.6,12,26.1,compacto,18,0,si,2,0,personal,Guadalajara,no,amplia,anual,18314
112,120,122.8,11,21,sedan,33,9,no,0,2,mixto,Monterrey,no,amplia,anual,7576
113,151.1,156.4,6,16.8,hatchback,20,2,si,3,1,personal,Otra,si,rc,anual,11832
114,120,110.1,0,18.9,suv,26,3,no,0,0,personal,Otra,si,amplia,anual,6821
115,590.3,588.5,12,15.7,suv,35,12,no,2,0,mixto,Guadalajara,si,limitada,anual,14993
116,358.7,363,4,16.9,sedan,40,19,no,0,1,personal,Guadalajara,no,amplia,anual,8940
117,466.9,471.8,6,15.3,sedan,38,15,no,0,1,comercial,Otra,si,rc,anual,9990
118,739.5,760.5,2,11.7,hatchback,60,34,no,0,0,mixto,Otra,si,limitada,anual,10732
119,479.9,493,13,25.4,suv,43,22,no,0,0,mixto,CDMX,si,amplia,anual,11837
120,400.4,400.3,2,9.3,pickup,61,35,no,4,0,personal,CDMX,si,amplia,anual,14963
121,168.1,167.9,3,20.9,sedan,46,25,no,1,3,personal,Otra,si,amplia,anual,7882
122,681.4,693.6,13,27.9,sedan,38,11,no,0,0,personal,Otra,no,amplia,anual,11418
123,323.4,333.1,14,6.7,pickup,45,22,no,1,0,personal,CDMX,NA,limitada,anual,7700
124,433.4,439.3,5,9.6,suv,18,0,si,0,2,personal,CDMX,si,limitada,anual,14146
125,155.2,161.6,1,9,pickup,59,32,no,0,0,personal,Guadalajara,no,amplia,anual,7110
126,812.3,819.2,9,16.1,compacto,41,21,no,0,0,personal,Monterrey,si,limitada,anual,12298
127,207.6,208.2,11,12.8,compacto,55,24,no,0,0,personal,Monterrey,no,rc,anual,4010
128,419.4,438.9,7,21.2,pickup,48,30,no,0,3,personal,Otra,si,limitada,anual,9177
129,529.4,542.4,15,23.1,hatchback,42,16,no,0,2,comercial,Otra,si,limitada,anual,11110
130,577.7,588.9,3,26.1,pickup,40,16,no,2,3,personal,Guadalajara,no,limitada,anual,14862
131,135.7,127.8,11,13.4,compacto,55,30,no,0,0,personal,Otra,si,limitada,anual,1830
132,263.8,262.1,16,15.5,pickup,41,21,no,4,1,personal,Guadalajara,no,limitada,anual,12486
133,233.9,232.7,17,15.9,hatchback,36,13,no,0,0,personal,CDMX,si,limitada,anual,6381
134,509.6,516.5,3,9,sedan,56,31,no,0,2,personal,Monterrey,no,amplia,anual,11880
135,225.1,228.4,10,NA,suv,41,18,no,2,1,personal,Monterrey,si,amplia,anual,10491
136,610.7,622.9,7,8.7,hatchback,41,20,no,2,0,personal,Monterrey,no,amplia,anual,14740
137,607.2,619.3,3,14.8,sedan,51,29,no,0,0,personal,CDMX,si,amplia,anual,10759
138,1023.6,1047.4,14,13.9,pickup,51,30,no,0,0,personal,Otra,no,amplia,anual,13745
139,322.8,336.7,2,16.6,compacto,44,16,no,0,1,personal,Monterrey,si,limitada,anual,7656
140,926,963.1,6,14.4,compacto,46,24,no,0,0,personal,Guadalajara,si,limitada,anual,14206
141,202.9,212,11,8.9,sedan,50,26,no,0,1,mixto,CDMX,si,limitada,anual,5241
142,432.5,440.5,14,4.4,sedan,49,25,no,0,0,personal,CDMX,no,limitada,anual,7711
143,492.6,489.1,2,9.2,sedan,21,0,si,0,0,personal,Otra,no,amplia,anual,12864
144,251.6,261.7,10,20,sedan,50,24,no,1,0,personal,CDMX,no,rc,anual,9031
145,1463,1506,9,7.3,compacto,38,14,no,0,0,mixto,Guadalajara,si,amplia,anual,21303
146,504,522,0,17.8,sedan,22,4,si,2,2,personal,Guadalajara,si,limitada,anual,16514
147,1001.6,1025.1,2,12.6,sedan,21,0,si,4,2,personal,Otra,no,limitada,anual,24389
148,270,285.5,6,13.3,sedan,27,9,no,0,1,personal,Otra,si,limitada,anual,5456
149,502.3,514.8,9,19.6,pickup,61,32,no,2,1,mixto,Monterrey,no,limitada,anual,14708
150,304.9,307.1,2,13.1,sedan,52,26,no,0,1,mixto,Guadalajara,si,rc,anual,8060
151,370.1,367.8,6,19.8,sedan,38,19,no,0,0,personal,Monterrey,si,amplia,anual,8906
152,464.3,463.5,5,24.2,compacto,51,30,no,0,0,personal,Guadalajara,si,amplia,anual,8674
153,214,213.2,6,23,suv,40,22,no,0,0,mixto,Otra,si,amplia,anual,6721
154,192.4,203.7,5,10.2,compacto,18,0,si,0,2,personal,CDMX,si,amplia,anual,10668
155,438.9,444.7,10,17.1,compacto,46,21,no,0,0,mixto,Otra,si,amplia,anual,7960
156,126,128.5,9,17.4,sedan,44,21,no,0,0,personal,Otra,si,amplia,anual,4513
157,282.2,282.6,13,8.6,suv,49,20,no,0,0,personal,Otra,no,amplia,anual,7492
158,362.3,379.7,0,13.7,hatchback,32,5,no,0,1,mixto,Otra,si,amplia,anual,10321
159,315,310.5,2,21.8,sedan,52,27,no,0,1,mixto,Otra,si,amplia,anual,10536
160,285.5,287.1,0,20.7,compacto,37,12,no,1,3,personal,Monterrey,si,limitada,anual,9208
161,230.9,234.9,4,17.3,sedan,33,11,no,4,2,personal,Otra,si,limitada,anual,10864
162,358.6,358.8,9,17.8,compacto,25,6,si,1,0,personal,Guadalajara,no,amplia,anual,12315
163,1206.4,1222.1,11,NA,sedan,47,22,no,0,1,personal,Otra,no,limitada,anual,17058
164,519.3,527.4,2,19.2,sedan,25,7,si,4,0,personal,Otra,si,amplia,anual,18420
165,477.1,488.5,3,18.2,pickup,34,9,no,0,1,personal,Otra,si,limitada,anual,8609
166,176,181.8,2,16.9,suv,66,39,no,2,1,personal,Otra,no,rc,anual,9848
167,121.5,126.1,1,23.4,hatchback,24,6,si,0,1,mixto,Otra,no,limitada,anual,11332
168,686.6,692.8,7,12.9,suv,41,15,no,2,1,personal,Otra,si,amplia,semestral,13860
169,NA,160.9,0,10.6,suv,51,26,no,0,0,personal,Monterrey,no,limitada,anual,6574
170,503.7,500.9,7,16.4,compacto,48,23,no,3,1,personal,CDMX,si,rc,anual,13747
171,574.7,589.3,1,12.4,hatchback,34,16,no,3,1,personal,Otra,no,rc,anual,15826
172,165.7,168.3,4,9,sedan,44,20,no,0,0,mixto,Otra,no,limitada,anual,6950
173,464.7,480.8,15,5.9,compacto,41,23,no,1,2,mixto,CDMX,no,limitada,anual,10893
174,562.3,582.5,3,15,suv,39,21,no,0,2,personal,Monterrey,si,limitada,anual,12357
175,422.9,437.5,6,23.8,sedan,43,17,no,1,0,personal,CDMX,no,limitada,anual,12257
176,146.9,152.1,2,19.3,sedan,20,2,si,1,1,personal,Guadalajara,no,rc,anual,9908
177,692.9,698.9,11,20,suv,66,42,no,2,0,personal,Otra,si,rc,anual,13294
178,204.6,210.3,6,19.5,pickup,52,24,no,1,1,personal,CDMX,si,limitada,anual,8305
179,708.3,734.9,13,8.5,hatchback,54,31,no,0,0,personal,Otra,si,limitada,anual,8408
180,120,133.5,2,8.1,suv,49,22,no,2,0,personal,Monterrey,NA,amplia,anual,8203
181,366.8,381.2,6,19.2,suv,60,30,no,0,0,mixto,CDMX,si,amplia,anual,9185
182,120,126.9,10,13.9,suv,36,13,no,0,3,personal,Monterrey,no,amplia,anual,8820
183,142.9,155.9,10,9,sedan,37,15,no,0,0,personal,Otra,si,limitada,anual,3914
184,120,106,6,10.4,compacto,38,13,no,3,2,personal,CDMX,si,amplia,anual,9963
185,NA,267.7,5,12.5,compacto,55,33,no,0,1,personal,Otra,si,amplia,anual,3938
186,411.4,421.7,5,25.7,hatchback,48,22,no,0,1,comercial,Otra,si,rc,anual,8597
187,995,1015.5,14,8.5,suv,41,19,no,4,1,personal,Otra,no,rc,anual,19143
188,640.1,647.9,7,18,hatchback,45,25,no,0,0,personal,Monterrey,si,rc,anual,9198
189,225.8,242.2,0,14.7,compacto,53,28,no,3,2,mixto,Otra,si,limitada,anual,8695
190,120,108.5,11,26.9,sedan,24,6,si,0,1,personal,NA,no,rc,anual,8373
191,282.9,292.4,3,8.1,hatchback,25,7,si,1,0,personal,Otra,si,amplia,anual,10319
192,379.3,386.9,7,9.1,sedan,25,1,si,0,1,personal,Monterrey,si,limitada,anual,11299
193,441.1,453,8,11.6,hatchback,56,24,no,4,0,mixto,CDMX,si,limitada,anual,14255
194,125.2,139.4,8,4.8,suv,70,40,no,1,0,personal,Otra,no,limitada,anual,4320
195,140.8,140.7,9,13.4,sedan,38,14,no,2,0,personal,CDMX,no,amplia,anual,10266
196,318.7,321.5,5,8.7,hatchback,31,10,no,1,0,personal,Monterrey,si,amplia,anual,9535
197,397.6,409,12,11.4,hatchback,52,32,no,5,0,mixto,CDMX,si,rc,anual,14261
198,374.8,374.8,10,24.2,sedan,22,2,si,0,0,comercial,CDMX,no,amplia,anual,14952
199,367.9,368.3,8,16.4,sedan,33,9,no,0,0,personal,CDMX,si,limitada,anual,9757
200,1175.1,1216.5,4,22.5,sedan,63,38,no,0,0,personal,Guadalajara,si,amplia,anual,17209
201,865,883.4,4,15.7,compacto,29,2,no,0,1,mixto,Monterrey,NA,amplia,anual,16091
202,353.5,364.6,3,11.1,sedan,34,11,no,2,2,mixto,Monterrey,si,rc,anual,13153
203,230.5,227.2,6,16.9,compacto,22,0,si,0,1,mixto,Otra,no,limitada,anual,10392
204,308.4,309.7,4,14.3,sedan,47,24,no,1,2,comercial,CDMX,si,amplia,anual,12047
205,NA,217.5,15,20,suv,31,9,no,0,1,personal,Otra,no,limitada,anual,6939
206,609.4,615.4,3,11,hatchback,42,21,no,0,0,mixto,Monterrey,no,rc,anual,11207
207,257.8,256.9,4,17.9,hatchback,57,36,no,0,0,mixto,Otra,si,amplia,anual,7121
208,328.7,333.6,12,10.4,hatchback,64,38,no,1,1,personal,CDMX,si,amplia,anual,7825
209,962.6,973.2,4,19.2,sedan,52,30,no,5,3,personal,Otra,si,amplia,anual,22509
210,NA,232.5,2,14,compacto,43,20,no,0,1,personal,Otra,si,amplia,anual,7125
211,135.7,137.1,2,22.6,sedan,46,21,no,0,0,personal,Otra,si,amplia,anual,4942
212,713.2,730.7,6,15.5,sedan,33,15,no,0,0,comercial,Monterrey,si,limitada,anual,11935
213,509.8,525.5,3,18.9,hatchback,18,0,si,0,1,personal,CDMX,si,amplia,anual,16177
214,568.9,591.9,12,23.5,compacto,22,3,si,0,0,personal,CDMX,si,amplia,anual,14710
215,295.2,301.1,4,20,sedan,38,18,no,0,2,personal,Monterrey,no,amplia,anual,9878
216,459.2,473.2,0,16.9,hatchback,44,22,no,3,1,mixto,Otra,si,amplia,anual,13965
217,430.7,442.8,3,8.8,sedan,32,9,no,0,0,mixto,CDMX,no,amplia,anual,10920
218,427.3,435.4,4,18.6,compacto,51,24,no,0,2,personal,Guadalajara,si,amplia,anual,8864
219,396.7,409,11,7.6,sedan,51,25,no,1,0,mixto,Guadalajara,no,rc,anual,8444
220,658.5,671.5,8,21.7,suv,41,15,no,1,0,mixto,Guadalajara,si,limitada,anual,15446
221,168.4,166.1,12,12.3,sedan,54,28,no,0,1,personal,CDMX,si,amplia,anual,6281
222,120,122.5,12,17.6,compacto,49,27,no,0,0,comercial,Monterrey,si,limitada,anual,4291
223,463.5,477.7,4,10.3,sedan,58,26,no,0,1,personal,CDMX,no,amplia,anual,9813
224,621.6,630.4,2,NA,hatchback,67,35,no,0,0,personal,CDMX,si,amplia,anual,11557
225,303.3,318.6,9,16.3,compacto,26,6,no,4,1,personal,Guadalajara,no,amplia,anual,13424
226,210.8,225.9,2,15.4,suv,51,27,no,0,0,personal,Otra,no,limitada,anual,5435
227,162.8,163.3,7,13.2,hatchback,35,17,no,4,1,personal,Monterrey,si,amplia,anual,12754
228,297.4,302.2,3,7.3,hatchback,48,26,no,1,0,mixto,NA,si,rc,anual,7582
229,120,120.1,8,31.7,suv,39,18,no,1,1,mixto,Monterrey,si,rc,anual,8966
230,457.7,469.4,4,9.2,sedan,20,1,si,0,1,personal,Monterrey,si,rc,anual,11782
231,120,126.2,13,19.8,compacto,32,9,no,2,1,personal,Otra,si,amplia,anual,8153
232,120,116.5,5,10.7,suv,23,3,si,0,1,personal,Otra,no,limitada,anual,10222
233,430.2,441.9,3,8.3,compacto,25,7,si,1,0,personal,Monterrey,no,limitada,anual,13607
234,288,291.1,15,24.8,compacto,18,0,si,0,0,comercial,NA,si,amplia,anual,13054
235,1122,1159.9,7,13.1,sedan,39,12,no,0,0,personal,Otra,si,amplia,anual,15557
236,120,129.7,2,15.1,hatchback,23,4,si,0,0,personal,CDMX,si,amplia,anual,9986
237,622.8,642.7,1,27.5,suv,37,14,no,3,0,personal,CDMX,si,amplia,anual,18750
238,120,107.3,10,20.4,suv,41,18,no,0,2,personal,Guadalajara,no,limitada,anual,7827
239,120,135.3,3,18,sedan,39,12,no,1,1,mixto,Guadalajara,no,limitada,anual,7795
240,555.5,568.5,6,NA,pickup,31,11,no,2,1,mixto,Otra,si,rc,anual,11965
241,268.2,270.4,8,14.5,hatchback,37,15,no,3,1,personal,Monterrey,si,amplia,anual,11895
242,388.5,388.7,11,14.5,pickup,32,14,no,1,0,mixto,CDMX,si,rc,anual,11847
243,NA,229.2,12,13.6,hatchback,45,17,no,1,1,personal,Otra,no,amplia,anual,8102
244,365.3,377.5,2,24.6,suv,21,0,si,0,1,mixto,Monterrey,no,amplia,anual,14909
245,218.1,231.8,7,15.9,hatchback,58,32,no,0,0,personal,CDMX,no,amplia,anual,5524
246,449.5,457.2,14,11.4,sedan,24,4,si,0,1,personal,Monterrey,si,amplia,anual,11323
247,120,126.8,8,21.6,suv,33,10,no,0,1,personal,Otra,si,limitada,anual,6777
248,694.1,708.9,7,16.7,sedan,41,11,no,0,0,personal,Monterrey,NA,amplia,anual,13166
249,552.1,566.4,8,4.9,pickup,26,6,no,2,1,comercial,CDMX,no,amplia,anual,16981
250,577.5,588.5,3,10.5,sedan,37,16,no,2,1,personal,CDMX,no,limitada,anual,13372
251,451.9,456.6,1,12.6,compacto,60,31,no,0,0,personal,Otra,no,amplia,anual,8683
252,525.2,526.7,2,18.5,suv,41,18,no,0,0,mixto,CDMX,no,limitada,anual,13540
253,120,119.6,10,11.3,pickup,46,24,no,0,1,personal,Monterrey,si,amplia,anual,5889
254,438.3,451.2,9,15.8,sedan,54,32,no,0,0,personal,Otra,no,rc,anual,7377
255,NA,116.3,6,9.8,pickup,47,20,no,1,3,personal,Guadalajara,no,rc,anual,7608
256,940.1,963.2,2,22.9,sedan,42,22,no,0,0,personal,Otra,no,limitada,anual,13900
257,154.4,145.2,3,15.3,sedan,47,24,no,1,0,mixto,Monterrey,no,limitada,anual,8581
258,290,287.8,2,15.4,hatchback,40,22,no,1,2,mixto,Monterrey,si,limitada,anual,10021
259,NA,371.5,13,9.7,suv,50,22,no,1,0,comercial,Otra,si,rc,anual,7824
260,744.4,767.4,5,14,hatchback,34,12,no,1,0,personal,Otra,si,amplia,anual,14385
261,NA,554.8,5,21,compacto,33,7,no,0,1,mixto,Otra,si,rc,anual,10089
262,362.6,373.4,8,11.1,suv,56,37,no,2,2,personal,Guadalajara,no,limitada,anual,11414
263,634.5,664.6,2,13.1,compacto,77,48,no,0,3,mixto,Otra,si,amplia,anual,11855
264,631.1,648,12,14.3,hatchback,43,19,no,0,0,personal,NA,no,amplia,anual,12551
265,356.9,357.3,2,3.5,pickup,51,29,no,0,0,mixto,Monterrey,si,amplia,anual,9312
266,379.1,386.9,17,16.2,hatchback,40,15,no,2,0,personal,CDMX,si,amplia,anual,10934
267,1063.9,1095.3,1,2.9,sedan,18,0,si,0,1,personal,CDMX,si,amplia,anual,20741
268,178.2,179,5,25.8,suv,27,8,no,4,0,personal,Guadalajara,no,rc,anual,11229
269,1345.6,1373.7,6,15.5,hatchback,50,28,no,0,0,personal,Otra,si,rc,anual,17559
270,497.6,514.2,1,13.1,sedan,36,13,no,0,1,mixto,Monterrey,no,rc,anual,10845
271,603.8,632.5,9,14.6,sedan,49,26,no,0,1,comercial,CDMX,no,amplia,anual,13146
272,393.8,406.6,9,19.9,sedan,31,11,no,1,0,personal,Monterrey,no,amplia,anual,12287
273,601.1,624.8,2,14.9,hatchback,63,34,no,1,0,personal,Otra,no,limitada,anual,9553
274,601.3,614.2,5,17.2,sedan,53,28,no,0,0,mixto,CDMX,no,limitada,anual,11435
275,787.2,801.9,8,19,sedan,44,23,no,0,0,personal,CDMX,si,amplia,anual,14300
276,587.8,596.3,6,12.3,suv,20,2,si,0,1,personal,Otra,si,amplia,anual,13416
