id_sesion,edad,peso_kg,estatura_cm,genero,experiencia_meses,duracion_min,fc_promedio,fc_maxima,intensidad_rpe,temperatura_sala,tipo_ejercicio,turno,usa_smartwatch,kcal_quemadas
86,42,79.5,174,M,24,27,132,170,7,20.7,cardio_intenso,matutino,si,419.1
87,33,70.7,165,F,3,63,115,139,8,21.2,mixto,nocturno,si,560.8
88,25,68.4,171,M,7,65,114,136,7,14.5,fuerza,vespertino,si,542
89,46,102.4,150,F,26,79,135,158,6,23.2,mixto,nocturno,si,706.6
90,60,57.9,163,F,37,63,160,190,2,18.9,mixto,vespertino,si,492.8
91,16,70.3,177,F,31,60,109,140,3,24,cardio_intenso,vespertino,si,578.1
92,49,82.2,160,F,11,50,133,153,9,24.3,fuerza,matutino,si,507.2
93,28,76.3,180,M,35,73,120,148,4,22.3,cardio_intenso,matutino,si,641.9
94,44,92.2,167,F,25,50,145,168,6,20,cardio_intenso,matutino,si,567.9
95,16,80.2,169,F,20,58,172,202,3,19.4,cardio_moderado,NA,no,548.6
96,30,84.2,168,M,55,31,143,173,7,24,mixto,nocturno,si,445.5
97,22,87.3,170,F,44,31,144,174,3,20.2,cardio_intenso,matutino,si,345.4
98,28,52.9,171,M,27,57,143,168,8,21.3,fuerza,vespertino,si,512.1
99,21,73,160,F,7,73,123,159,5,24.6,cardio_moderado,nocturno,si,630
100,37,82.9,171,F,16,39,118,140,8,23.3,cardio_intenso,matutino,si,495.5
101,46,96.3,157,M,3,62,161,189,7,21.9,cardio_intenso,vespertino,si,674.3
102,28,46.6,177,F,22,55,108,136,5,20.2,mixto,matutino,si,466.4
103,30,60.2,180,M,8,54,118,134,4,17.4,cardio_moderado,vespertino,si,454
104,21,87.9,173,F,42,57,131,161,5,NA,fuerza,vespertino,si,552
105,44,87.8,158,M,9,57,167,194,8,20.3,fuerza,vespertino,si,644.3
106,39,66.7,162,M,3,57,163,188,5,22.1,cardio_moderado,NA,si,631.3
107,16,51.2,152,M,20,103,162,192,8,19.5,mixto,vespertino,si,799.8
108,49,60.3,178,M,11,120,141,170,3,20.3,cardio_intenso,vespertino,si,998.6
109,20,94.5,165,M,18,73,116,131,3,22.9,fuerza,vespertino,si,631.1
110,21,45,172,M,17,69,128,166,9,21.7,mixto,vespertino,si,611
111,17,69.5,165,M,22,55,117,142,7,21.5,cardio_moderado,nocturno,si,503.6
112,20,81.9,160,F,35,51,138,174,5,25.8,fuerza,matutino,si,401.3
113,29,72.2,162,M,8,37,146,178,4,25.4,cardio_moderado,matutino,si,465.9
114,39,73.4,169,M,18,47,108,148,3,20.1,cardio_moderado,vespertino,no,413
115,25,96.7,164,M,75,15,138,164,3,24.4,fuerza,nocturno,si,313.9
116,31,68.7,168,F,18,57,123,149,9,22.7,fuerza,vespertino,si,504.7
117,30,77.4,NA,M,15,52,129,164,8,22.5,cardio_intenso,vespertino,si,560.1
118,46,67.6,166,F,7,39,110,148,9,25.7,mixto,vespertino,si,398.8
119,58,81.1,183,M,12,44,151,178,7,18.1,cardio_moderado,vespertino,si,587.9
120,21,68.5,169,F,16,95,126,153,6,28.3,cardio_intenso,vespertino,si,760.5
121,54,78.8,170,F,44,45,128,161,5,25.3,cardio_moderado,nocturno,si,395.7
122,56,72.4,170,F,62,15,104,141,4,19.9,mixto,vespertino,si,188.2
123,36,107.3,170,M,13,59,119,142,4,NA,mixto,vespertino,si,457.1
124,43,97.9,177,F,51,54,125,164,2,NA,cardio_intenso,vespertino,si,452.5
125,16,65.2,173,F,16,29,110,136,10,19.8,cardio_moderado,vespertino,si,396.8
126,38,66.3,153,F,12,48,NA,155,3,NA,fuerza,matutino,no,357.7
127,27,54.1,176,F,9,47,124,144,5,16.8,cardio_moderado,matutino,si,434.8
128,31,58.9,164,F,15,42,102,134,6,20.7,cardio_moderado,nocturno,si,393.3
129,39,46.4,172,M,16,58,100,131,6,26.4,fuerza,matutino,si,418.4
130,44,83,165,F,5,60,130,155,8,22.2,fuerza,nocturno,si,499.7
131,32,60.5,160,F,33,64,137,159,4,16.3,fuerza,vespertino,si,506
132,62,72.2,163,M,67,72,111,142,4,25.9,cardio_intenso,nocturno,no,659
133,39,98.8,161,M,27,50,125,158,6,19.8,cardio_moderado,nocturno,si,505.5
134,31,83.2,167,F,14,48,101,125,9,20.4,fuerza,nocturno,si,437.1
135,38,55.8,166,M,44,47,120,152,7,29.9,cardio_moderado,nocturno,si,465.7
136,32,62.2,158,F,29,51,135,165,8,22.5,cardio_moderado,vespertino,si,483.4
137,21,48.1,175,F,40,71,133,160,8,19.1,fuerza,nocturno,si,561.7
138,39,57,174,M,21,74,134,160,9,20.3,cardio_moderado,matutino,si,753.9
139,43,94.8,166,M,51,53,134,161,8,NA,mixto,vespertino,si,548.8
140,37,80.4,153,F,21,84,143,179,7,24.4,cardio_moderado,nocturno,si,633.5
141,37,54.7,160,M,8,58,138,175,5,20.5,fuerza,nocturno,si,509.6
142,35,82.5,174,F,17,54,110,133,4,25.1,mixto,matutino,si,388.7
143,42,84.3,166,F,34,61,95,115,3,24.3,fuerza,vespertino,si,457.6
144,19,58.7,176,F,17,71,146,168,6,19,cardio_moderado,nocturno,si,616
145,46,71.9,163,F,12,48,141,173,2,16.7,fuerza,nocturno,si,442.1
146,23,75.5,166,M,14,71,156,195,6,22.4,cardio_moderado,vespertino,si,718.8
147,37,78.8,155,M,66,50,120,146,8,19.1,fuerza,matutino,si,455.4
148,42,85.2,178,M,13,86,139,175,8,24.5,cardio_moderado,matutino,si,736.4
149,36,81.5,168,F,15,83,130,143,5,23.6,cardio_moderado,NA,si,625.4
150,16,74.6,168,F,19,38,NA,140,7,22.5,cardio_intenso,NA,si,434.5
151,33,111,153,M,24,57,135,168,9,25.2,cardio_moderado,nocturno,si,642.3
152,37,73,173,M,19,18,179,205,4,18.6,fuerza,vespertino,si,409.2
153,44,49.8,153,M,7,61,151,183,6,25.9,cardio_intenso,matutino,si,620.8
154,39,60.9,194,F,23,84,142,166,6,28.5,mixto,vespertino,si,627.9
155,39,68.7,173,F,45,66,114,143,7,19,cardio_moderado,vespertino,si,578.5
156,46,86.1,157,F,12,41,154,183,4,16.6,fuerza,vespertino,si,414.1
157,25,54,164,F,15,30,140,177,2,22,mixto,vespertino,si,274.2
158,26,54.9,167,M,7,32,125,157,4,19.8,fuerza,matutino,si,389
159,33,70,169,F,82,40,134,161,5,28.9,mixto,vespertino,si,389.7
160,37,82.6,170,F,27,62,116,139,8,19.8,cardio_moderado,nocturno,si,525
161,48,84.5,168,M,13,62,152,189,3,26.5,fuerza,vespertino,si,597.9
162,23,69.3,164,M,29,64,153,179,5,18.6,mixto,NA,si,577.7
163,23,61.5,171,F,11,99,139,161,1,22.8,fuerza,vespertino,si,682.5
164,42,104.8,169,M,33,60,140,169,4,22.8,cardio_moderado,vespertino,si,645.9
165,29,80.4,162,F,15,72,172,205,6,23.6,fuerza,matutino,si,712.5
166,31,75.3,166,F,6,48,122,145,7,21.5,cardio_moderado,vespertino,si,461.8
167,40,82.1,169,M,30,48,137,168,5,18.9,cardio_intenso,matutino,si,480
168,26,63.5,165,F,36,81,116,134,5,24.8,fuerza,matutino,si,485.4
169,25,77.1,162,M,9,56,135,146,5,20.3,cardio_moderado,NA,si,530
170,30,80.6,176,F,5,77,108,139,7,24.3,fuerza,matutino,si,644.6
171,29,63.9,170,M,50,56,113,131,5,16.7,cardio_moderado,matutino,si,475.8
172,25,70.4,173,F,26,53,133,174,5,25.7,fuerza,vespertino,si,431.8
173,43,81.9,173,F,24,59,112,143,3,23.8,fuerza,matutino,si,380.7
174,28,52.1,179,F,20,88,134,164,4,27.6,fuerza,vespertino,si,665.3
175,34,90.1,NA,M,42,42,148,180,5,19.9,cardio_intenso,nocturno,si,504
176,35,71.3,156,F,2,56,118,150,6,20,fuerza,nocturno,si,483.9
177,16,65.8,155,M,27,49,141,168,7,22.8,fuerza,vespertino,si,554.5
178,37,63.3,166,F,24,83,116,146,5,NA,cardio_moderado,nocturno,si,603.2
179,50,96.1,175,F,38,57,120,151,5,26.2,fuerza,vespertino,si,521.6
180,33,68.9,173,F,12,44,133,158,4,24,cardio_intenso,vespertino,si,500.5
181,24,74.6,179,F,11,45,147,179,5,22.6,fuerza,vespertino,si,485.4
182,47,65.6,165,F,23,41,130,149,6,22.9,cardio_intenso,NA,si,413.5
183,36,61.1,159,F,36,36,131,157,7,21.4,mixto,vespertino,no,419.9
184,44,82.1,156,M,22,66,164,205,5,19.4,fuerza,nocturno,si,646.6
185,35,73,181,M,12,60,131,158,5,22.5,cardio_moderado,nocturno,si,617.5
186,40,76.6,183,M,24,45,132,161,3,23.3,fuerza,vespertino,si,426
187,49,64.5,160,F,79,47,119,142,5,20.5,cardio_moderado,vespertino,si,428.2
188,40,87.8,162,M,45,55,117,143,6,19.5,cardio_moderado,vespertino,si,533.4
189,37,81.4,NA,M,20,38,125,142,3,23,cardio_moderado,nocturno,si,407.4
190,26,79.8,160,F,6,63,143,174,5,23.2,fuerza,vespertino,si,502.1
191,39,80.2,160,F,32,27,130,145,6,16.7,fuerza,matutino,si,278.8
192,28,91.1,158,F,10,45,149,180,8,19.3,cardio_moderado,vespertino,si,483.9
193,57,85.1,NA,M,66,62,116,145,6,22,fuerza,vespertino,si,556.7
194,37,66.9,162,M,8,32,128,160,6,22.2,fuerza,vespertino,si,365.7
195,24,79.4,183,F,17,41,129,161,2,22,mixto,vespertino,si,429.9
196,51,74.5,164,F,22,61,133,163,8,23.1,cardio_intenso,nocturno,si,584.1
197,28,98.7,153,F,10,80,145,178,7,23,fuerza,matutino,si,655.5
198,16,55.7,173,M,43,58,142,175,8,24.4,mixto,nocturno,si,674.2
199,22,77.7,150,M,14,76,129,154,3,23.1,mixto,matutino,si,626.6
200,33,62.8,161,F,35,33,117,148,5,22.9,cardio_moderado,nocturno,si,308.6
201,28,49.5,179,F,71,68,NA,116,6,NA,cardio_intenso,nocturno,si,543
202,38,67.3,166,M,16,59,130,161,5,24.1,fuerza,vespertino,si,482.2
203,30,59.9,150,M,23,56,148,173,8,24.1,cardio_moderado,vespertino,si,643.9
204,16,74.7,180,M,3,57,142,170,4,25.1,mixto,nocturno,si,564.4
205,30,79.5,155,F,41,73,149,178,3,23.8,cardio_moderado,vespertino,si,619.6
206,52,75.4,166,M,3,65,111,145,6,21.1,cardio_intenso,vespertino,si,593.3
207,28,73.9,171,M,60,69,124,140,5,24,mixto,vespertino,si,618.7
208,27,83.6,155,F,7,40,135,151,5,NA,cardio_moderado,nocturno,si,507.7
209,32,67.3,161,M,43,56,123,147,6,27,fuerza,matutino,si,489.6
210,51,45,166,M,6,54,138,167,6,22.7,cardio_intenso,vespertino,si,548.6
211,23,89.8,164,F,24,88,146,171,7,20.6,cardio_intenso,vespertino,si,752.3
212,42,72.4,171,F,3,15,133,166,9,24.3,cardio_moderado,nocturno,si,339
213,26,84.3,168,F,20,30,93,120,8,20.5,mixto,matutino,si,385.1
214,29,81.6,154,F,23,57,128,164,4,26.8,mixto,matutino,si,558.4
215,29,72,156,F,14,84,152,180,6,22.8,cardio_moderado,matutino,si,703
216,42,83.3,163,M,14,77,131,164,8,20.2,cardio_moderado,matutino,si,715.9
217,40,56,170,F,16,85,126,145,8,22.9,fuerza,vespertino,si,622.2
218,45,80.8,182,M,71,58,125,161,7,23.8,cardio_intenso,vespertino,si,535.2
219,45,91.8,182,F,16,80,143,168,7,21.9,fuerza,matutino,si,698.6
220,57,95.4,168,M,39,78,134,177,5,19.5,fuerza,matutino,si,620.8
221,34,67.4,151,M,51,70,NA,179,7,20.8,cardio_moderado,vespertino,si,641.1
222,16,69.9,176,F,25,49,151,173,6,17.2,mixto,nocturno,si,442.3
223,27,89,178,F,20,46,133,166,5,22,fuerza,matutino,si,472.1
224,24,66.4,164,M,21,93,84,115,9,15.9,fuerza,vespertino,si,628.3
225,30,81.6,171,M,20,37,183,196,6,25.7,cardio_moderado,matutino,si,589.6
226,46,70.7,161,M,16,76,173,198,5,17.2,mixto,nocturno,si,755.1
227,27,64.4,167,F,19,73,121,160,4,19.5,fuerza,matutino,si,524.3
228,24,74.8,171,M,5,49,136,173,5,19.7,cardio_moderado,vespertino,si,528.9
229,38,71.9,176,M,30,80,129,147,6,19.5,cardio_moderado,matutino,si,645.8
230,41,68.2,173,F,18,60,176,205,4,30.7,fuerza,matutino,si,595.2
231,30,65.8,171,F,26,53,98,131,8,21.4,mixto,nocturno,si,441.8
232,38,83.8,157,F,14,60,NA,149,5,24.9,cardio_moderado,matutino,si,485.1
233,38,98.9,180,M,10,67,145,176,5,22.2,cardio_moderado,matutino,si,692.6
234,37,68.5,150,M,9,73,128,170,1,18.1,fuerza,vespertino,si,544.3
235,27,57.4,160,M,30,61,138,168,5,NA,fuerza,matutino,si,576.5
236,41,61.4,178,M,20,46,147,173,7,20.1,cardio_moderado,nocturno,si,459.3
237,16,76.8,162,F,15,47,133,156,5,19.1,cardio_intenso,matutino,si,444.6
238,40,74.2,164,F,3,48,154,175,6,17.5,fuerza,matutino,si,466.8
239,37,58.9,189,F,26,57,131,159,9,22.9,fuerza,vespertino,si,544
240,56,77.2,177,M,12,44,120,151,4,21.4,cardio_moderado,vespertino,si,384.9
241,36,72.6,155,M,37,60,153,178,8,19.2,cardio_intenso,vespertino,si,691.3
242,34,78.4,164,F,25,55,101,126,8,21.4,cardio_intenso,nocturno,si,516.5
243,46,72.4,160,F,13,59,132,169,7,26.5,cardio_moderado,vespertino,si,550.9
244,41,53.5,169,M,43,30,83,113,6,24.2,cardio_moderado,matutino,si,190.6
245,33,93.3,156,M,32,71,123,153,7,25.6,fuerza,matutino,si,576.4
246,33,93.2,165,F,10,56,116,147,9,NA,mixto,vespertino,no,499
247,35,74.6,181,F,3,32,147,176,5,17,fuerza,vespertino,si,335.2
248,21,95.7,174,M,25,57,NA,170,5,21.3,mixto,vespertino,si,570.4
249,47,86.9,173,M,38,52,116,151,5,19.3,cardio_moderado,vespertino,si,492.1
250,27,60,163,M,15,60,140,170,5,25.1,mixto,matutino,si,584.1
251,30,85.8,165,F,9,39,91,110,6,19,cardio_intenso,vespertino,si,395.9
252,41,58.4,172,M,78,54,132,166,4,23.3,fuerza,vespertino,si,512.7
253,29,69.3,156,F,9,51,111,142,5,20.7,cardio_moderado,nocturno,si,484.1
254,32,80.8,150,F,13,16,126,141,6,24.7,mixto,nocturno,si,360.8
255,50,92.7,165,F,18,67,124,151,9,20.4,cardio_moderado,vespertino,si,582.3
256,26,63.3,165,M,18,45,159,191,5,20.1,cardio_intenso,nocturno,si,614.6
257,31,77.3,175,M,12,52,117,138,3,25.3,cardio_intenso,nocturno,si,505.7
258,50,90.7,163,M,27,24,NA,131,6,22.1,fuerza,vespertino,si,306
259,29,74.5,NA,M,26,63,133,166,5,19.9,cardio_intenso,vespertino,si,606.1
260,27,48.8,173,M,47,40,137,170,3,24.5,mixto,matutino,si,447.7
261,36,87,NA,M,24,78,106,138,7,20.6,cardio_moderado,vespertino,si,639.4
262,40,82.7,182,F,9,67,158,193,8,23.7,cardio_moderado,vespertino,si,686.9
263,26,87.1,159,M,11,78,106,139,5,21.1,fuerza,vespertino,si,622.7
264,31,73.3,176,F,6,34,134,156,3,23.7,cardio_moderado,nocturno,si,376.4
265,32,91.1,150,M,57,67,155,182,6,22,cardio_intenso,nocturno,si,662.7
266,22,76.4,182,F,29,69,121,151,4,25.2,cardio_intenso,vespertino,si,625.6
267,33,74.7,167,M,22,110,156,176,7,21.2,cardio_intenso,vespertino,si,908.9
268,52,72.8,150,M,24,23,141,177,8,23,cardio_moderado,vespertino,si,406.4
269,43,106.3,155,F,26,15,104,134,7,19.4,cardio_intenso,vespertino,si,322.7
270,25,85.6,167,F,7,75,123,144,6,26,cardio_intenso,vespertino,si,609.5
271,37,45,184,M,52,41,137,163,5,19.1,cardio_moderado,matutino,si,484.3
272,30,67.6,163,F,11,16,134,159,8,26.5,fuerza,vespertino,si,248.6
273,31,84.7,166,M,7,32,132,157,1,19,cardio_moderado,matutino,si,418.3
274,43,65.2,176,F,18,58,147,168,3,21.3,cardio_moderado,nocturno,si,552.7
275,40,62.4,168,M,16,70,124,159,5,19.1,cardio_moderado,nocturno,si,582.2
276,43,63.1,165,M,24,76,128,142,7,25.7,cardio_intenso,vespertino,si,710.1
277,38,79,167,F,17,36,138,163,3,22.9,fuerza,nocturno,si,434.6
278,24,66.6,165,M,15,104,103,134,6,16.3,fuerza,vespertino,si,650.2
279,28,73.9,NA,M,102,57,145,172,3,25.2,cardio_moderado,vespertino,si,566.4
280,20,72.1,172,M,16,39,99,119,5,17.5,mixto,matutino,si,452.5
281,40,71.9,153,F,11,41,160,182,6,18.3,cardio_moderado,vespertino,si,519.8
282,48,66.6,165,F,54,68,133,168,5,28.1,cardio_intenso,nocturno,si,618.8
283,16,63,160,M,18,78,117,145,6,21.7,fuerza,vespertino,si,588.5
284,34,95.4,173,M,4,17,152,175,6,20.5,fuerza,matutino,si,432.4
285,39,86.4,167,F,15,53,111,136,7,23.9,fuerza,vespertino,si,460.2
286,31,75.9,156,M,3,68,149,175,6,13.4,cardio_moderado,vespertino,si,687
287,24,75.9,171,M,18,46,133,154,10,23.9,mixto,nocturno,si,552.1
288,22,77.2,150,F,36,56,162,183,5,20.4,fuerza,vespertino,si,512.7
289,47,99.9,176,M,33,48,124,148,7,22.3,cardio_moderado,vespertino,si,499
290,31,68.9,154,M,28,69,144,169,6,23.8,cardio_intenso,vespertino,si,661.4
291,46,57.9,184,F,24,22,116,134,7,23.7,fuerza,vespertino,si,262.7
292,26,75,162,F,4,56,115,147,3,17.8,cardio_moderado,vespertino,si,412.3
293,47,81.9,164,F,32,71,158,168,4,26.1,cardio_intenso,matutino,si,689.8
294,39,75.8,157,F,39,51,133,166,7,21.6,cardio_moderado,matutino,si,491
295,33,68.2,152,M,9,43,120,147,7,25.2,cardio_moderado,nocturno,si,564.3
296,46,86.1,170,M,7,64,147,166,8,26.6,fuerza,nocturno,si,668.6
297,29,95.3,154,M,16,79,134,168,3,21.9,mixto,vespertino,si,624.6
298,29,74.8,174,M,3,28,129,160,7,22.2,mixto,vespertino,si,473.7
299,33,100.1,150,F,17,38,115,128,10,23.2,fuerza,nocturno,si,429.1
300,32,54.3,162,M,53,64,153,190,5,24.2,fuerza,matutino,si,594.4
301,31,62.8,173,F,35,76,136,178,3,23.6,fuerza,vespertino,si,507.4
302,31,89.8,166,M,9,55,130,162,8,24.2,fuerza,nocturno,si,551.6
303,24,66,174,M,33,89,104,133,8,20.8,fuerza,matutino,si,678.9
304,44,90.2,169,F,36,79,144,179,7,21.9,cardio_moderado,nocturno,si,697
305,24,64.7,168,M,18,45,165,193,10,24.9,cardio_intenso,vespertino,si,627.8
306,25,91.2,184,M,13,59,133,154,8,24.1,mixto,vespertino,si,642.8
307,23,68.7,158,M,33,42,145,181,6,17.9,mixto,matutino,si,491.5
308,51,73.5,167,F,40,71,125,149,7,25.6,cardio_intenso,nocturno,si,624.2
309,39,79,160,M,36,74,127,154,6,23.6,fuerza,matutino,si,626.2
310,40,56.6,160,M,46,84,131,162,6,21.1,mixto,nocturno,si,662.7
311,16,73.4,165,M,15,65,142,169,5,22.9,cardio_intenso,matutino,si,636.9
312,29,74.3,159,F,63,61,161,198,9,22,mixto,matutino,si,600.8
313,46,91.4,174,F,93,80,NA,168,7,21.4,fuerza,vespertino,si,606
314,48,59.3,175,F,30,66,134,170,5,20.3,mixto,vespertino,si,561.9
315,16,91.9,171,F,35,58,129,151,5,21.4,cardio_intenso,vespertino,si,567.5
316,16,72.7,150,M,7,20,NA,166,6,21.1,mixto,matutino,si,353.6
317,18,68.8,163,F,17,90,140,172,3,20.5,fuerza,matutino,si,642
318,18,87,171,M,15,37,117,147,6,24,cardio_intenso,vespertino,si,449.4
319,41,78.2,166,F,13,52,146,173,5,20.4,mixto,matutino,si,522.9
320,38,86.4,180,F,62,49,113,146,2,28.8,cardio_moderado,matutino,si,470
321,53,96.7,164,F,18,19,105,139,5,20,mixto,vespertino,si,183.3
322,35,73.2,166,F,15,64,136,164,5,22.6,fuerza,matutino,si,568.5
323,29,49.5,170,F,13,109,190,205,7,21.8,cardio_moderado,matutino,si,916.6
324,51,66.8,172,F,53,72,148,172,4,24.8,fuerza,vespertino,si,573
325,42,71,171,F,21,52,111,144,4,16.5,cardio_intenso,matutino,si,414.3
