id_solicitud,edad,ingreso_mensual_mxn,monto_solicitado_mxn,plazo_meses,pago_mensual_estimado_mxn,pct_deuda_ingreso,score_historial,num_creditos_activos,antiguedad_empleo_anios,aprobado
CR0169,36,14474,82000,48,1708,0.118,523,0,3.4,no
CR0170,23,13276,65000,12,5417,0.408,572,1,6,no
CR0171,25,19044,135000,6,22500,1.181,625,0,1.4,no
CR0172,46,32026,116000,36,3222,0.101,755,3,3.1,si
CR0173,25,20926,66000,24,2750,0.131,702,1,1.9,no
CR0174,43,31154,110000,24,4583,0.147,687,0,9.8,si
CR0175,43,11617,18000,24,750,0.065,701,1,2.7,si
CR0176,64,16052,56000,24,2333,0.145,778,6,13.8,no
CR0177,47,14268,81000,6,13500,0.946,798,4,5.9,no
CR0178,35,30435,50000,24,2083,0.068,612,3,0.9,no
CR0179,57,18450,119000,12,9917,0.538,705,3,7.7,si
CR0180,26,9373,59000,48,1229,0.131,529,3,3.1,no
CR0181,38,26433,90000,6,15000,0.567,688,3,5.6,si
CR0182,55,14110,23000,24,958,0.068,595,1,9.4,no
CR0183,26,26770,122000,24,5083,0.19,695,1,4.7,si
CR0184,72,49268,344000,24,14333,0.291,NA,0,4.6,no
CR0185,33,17123,40000,24,1667,0.097,746,2,2.1,no
CR0186,33,14700,60000,36,1667,0.113,568,2,2,si
CR0187,29,20105,36000,6,6000,0.298,639,1,2.4,si
CR0188,25,28569,203000,36,5639,0.197,607,2,2.5,si
CR0189,19,54878,83000,48,1729,0.032,537,1,2,no
CR0190,52,14842,61000,12,5083,0.342,655,0,1.6,si
CR0191,26,25112,144000,6,24000,0.956,589,3,1.9,no
CR0192,65,12802,96000,12,8000,0.625,761,3,4.4,si
CR0193,45,29702,237000,24,9875,0.332,756,0,3.5,si
CR0194,18,20556,139000,36,3861,0.188,686,1,1,no
CR0195,47,29444,62000,24,2583,0.088,717,2,1.4,si
CR0196,39,54876,276000,12,23000,0.419,777,1,5.1,no
CR0197,47,45244,175000,24,7292,0.161,618,3,10.2,si
CR0198,39,24243,125000,36,3472,0.143,806,3,13.5,no
CR0199,29,11964,50000,36,1389,0.116,574,0,7.1,si
CR0200,57,56526,322000,6,53667,0.949,703,1,6.8,no
CR0201,24,55658,233000,24,9708,0.174,586,1,7,no
CR0202,58,51981,120000,24,5000,0.096,816,3,10.1,si
CR0203,69,33883,199000,24,8292,0.245,697,1,3.5,si
CR0204,31,14242,88000,24,3667,0.257,611,0,6.1,si
CR0205,32,12440,27000,60,450,0.036,799,0,2.8,si
CR0206,73,16316,26000,24,1083,0.066,646,1,4.5,no
CR0207,65,12571,42000,24,1750,0.139,606,0,2.5,si
CR0208,63,24354,41000,36,1139,0.047,682,3,3.9,si
CR0209,62,24714,54000,12,4500,0.182,761,3,7.8,no
CR0210,35,10680,36000,24,1500,0.14,544,1,1.9,no
CR0211,66,24760,62000,6,10333,0.417,534,0,5.8,si
CR0212,51,28801,79000,24,3292,0.114,534,1,19.4,no
CR0213,62,23134,45000,60,750,0.032,540,2,9.7,si
CR0214,65,37304,275000,24,11458,0.307,794,2,2.1,no
CR0215,75,48526,220000,24,9167,0.189,728,4,0.9,si
CR0216,53,28927,75000,6,12500,0.432,794,0,7.6,no
CR0217,71,43804,72000,36,2000,0.046,721,1,4.9,si
CR0218,24,40136,207000,12,17250,0.43,648,1,3.9,no
CR0219,39,31417,70000,60,1167,0.037,581,2,11.2,no
CR0220,53,29359,87000,24,3625,0.123,744,1,13.4,si
CR0221,27,24452,84000,36,2333,0.095,650,1,8.5,si
CR0222,27,8987,36000,12,3000,0.334,699,1,6.6,si
CR0223,50,17668,129000,12,10750,0.608,NA,1,11.1,no
CR0224,31,32839,190000,24,7917,0.241,706,3,11.2,si
CR0225,41,20647,99000,12,8250,0.4,573,0,4,si
CR0226,64,18137,142000,60,2367,0.131,555,1,7.2,si
CR0227,23,40982,178000,36,4944,0.121,724,0,6,si
CR0228,41,37516,163000,24,6792,0.181,555,0,7.5,si
CR0229,18,23144,53000,48,1104,0.048,691,3,1,no
CR0230,43,NA,73000,24,3042,0.08,NA,0,7.9,si
CR0231,33,11428,36000,12,3000,0.263,653,1,2.5,si
CR0232,43,50186,269000,6,44833,0.893,696,0,4.4,no
CR0233,50,8049,50000,24,2083,0.259,656,3,6.6,si
CR0234,19,23774,179000,12,14917,0.627,631,1,2,no
CR0235,22,24923,134000,12,11167,0.448,648,2,5,si
CR0236,30,83737,600000,24,25000,0.299,532,6,4.2,no
CR0237,21,44384,212000,12,17667,0.398,636,0,4,si
CR0238,47,22005,114000,24,4750,0.216,593,2,8.6,si
CR0239,54,15217,49000,36,1361,0.089,611,3,8.4,si
CR0240,24,32817,225000,36,6250,0.19,701,3,3,si
CR0241,63,18479,67000,12,5583,0.302,633,1,5.4,si
CR0242,44,28425,123000,24,5125,0.18,664,3,1.1,si
CR0243,58,24921,184000,24,7667,0.308,616,1,4.3,si
CR0244,46,18823,141000,36,3917,0.208,682,0,10.2,si
CR0245,23,48840,295000,6,49167,1.007,563,4,2,no
CR0246,28,10660,29000,12,2417,0.227,NA,2,4.6,no
CR0247,45,13964,70000,36,1944,0.139,738,2,2.9,si
CR0248,69,16475,121000,36,3361,0.204,587,3,5.4,si
CR0249,35,31070,149000,12,12417,0.4,693,1,7.5,si
CR0250,53,17173,84000,24,3500,0.204,653,2,4.2,si
CR0251,21,34676,126000,24,5250,0.151,850,2,2.7,no
CR0252,43,31425,93000,36,2583,0.082,850,1,6.6,no
CR0253,33,41509,319000,12,26583,0.64,533,1,4.6,no
CR0254,56,55425,95000,36,2639,0.048,634,1,6.1,no
CR0255,44,30347,163000,36,4528,0.149,725,2,4,si
CR0256,51,30349,106000,60,1767,0.058,674,0,1.1,no
CR0257,63,15243,73000,36,2028,0.133,788,2,3.5,no
CR0258,34,NA,109000,60,1817,0.101,624,3,1.1,si
CR0259,69,95699,685000,24,28542,0.298,651,0,6.5,si
CR0260,47,28204,166000,36,4611,0.163,793,2,6.5,si
CR0261,21,12070,57000,6,9500,0.787,478,2,2.7,no
CR0262,44,11192,38000,24,1583,0.141,501,1,3.4,no
CR0263,39,35849,283000,6,47167,1.316,815,0,2.6,no
CR0264,30,40348,316000,48,6583,0.163,631,1,3.1,no
CR0265,57,20046,134000,36,3722,0.186,717,2,13.1,si
CR0266,23,14864,55000,60,917,0.062,498,1,6,no
CR0267,43,6659,32000,48,667,0.1,617,1,4.3,si
CR0268,25,24504,143000,12,11917,0.486,471,4,2.9,no
CR0269,36,38646,132000,12,11000,0.285,656,3,10.7,si
CR0270,19,7893,61000,60,1017,0.129,578,0,2,no
CR0271,30,30361,141000,36,3917,0.129,652,2,8.5,si
CR0272,62,13218,79000,24,3292,0.249,635,5,0.8,si
CR0273,38,62698,159000,12,13250,0.211,575,2,20.5,si
CR0274,24,37304,66000,36,1833,0.049,533,1,4.3,no
CR0275,60,37551,112000,24,4667,0.124,796,1,4.7,no
CR0276,28,14427,83000,48,1729,0.12,676,3,3.3,no
CR0277,61,30524,180000,36,5000,0.164,549,1,19.5,no
CR0278,69,32226,95000,12,7917,0.246,553,1,8.1,no
CR0279,25,10239,70000,24,2917,0.285,583,1,4.1,no
CR0280,21,27954,147000,60,2450,0.088,713,3,4,si
CR0281,38,47615,358000,48,7458,0.157,647,1,2.1,si
CR0282,43,19559,69000,60,1150,0.059,791,4,4.4,si
CR0283,72,13619,94000,36,2611,0.192,504,0,8,no
CR0284,63,15440,76000,24,3167,0.205,541,2,6.1,si
CR0285,59,35743,220000,24,9167,0.256,743,0,2.8,no
CR0286,28,22284,150000,36,4167,0.187,692,3,5.1,si
CR0287,66,20644,157000,24,6542,0.317,521,0,4.1,no
CR0288,35,72728,441000,12,36750,0.505,749,1,10.8,no
CR0289,58,18036,113000,36,3139,0.174,612,3,7.1,si
CR0290,58,11639,72000,24,3000,0.258,721,2,1.9,si
CR0291,63,13008,68000,36,1889,0.145,793,0,4.1,si
CR0292,48,25475,82000,24,3417,0.134,703,2,2.2,si
CR0293,31,8201,16000,24,667,0.081,595,1,4.2,si
CR0294,22,28133,167000,12,13917,0.495,684,0,5,si
CR0295,39,56577,140000,48,2917,0.052,686,1,10.2,si
CR0296,66,16970,40000,12,3333,0.196,657,1,8.2,si
CR0297,57,22997,89000,24,3708,0.161,756,1,3.7,si
CR0298,64,28919,137000,48,2854,0.099,594,1,6.7,si
CR0299,26,13267,33000,24,1375,0.104,533,2,9,no
CR0300,41,30480,187000,6,31167,1.023,672,0,15,no
CR0301,71,19522,105000,12,8750,0.448,602,0,9.3,si
CR0302,53,6511,51000,60,850,0.131,715,5,6.9,si
CR0303,54,NA,300000,24,12500,0.261,684,1,3.9,si
CR0304,72,14863,82000,12,6833,0.46,662,3,9.5,no
CR0305,30,51806,160000,60,2667,0.051,648,2,8.3,si
CR0306,69,16168,129000,60,2150,0.133,NA,3,6.5,si
CR0307,37,18226,60000,12,5000,0.274,658,2,2.5,si
CR0308,18,NA,76000,36,2111,0.179,637,0,1,si
CR0309,62,17493,91000,60,1517,0.087,616,3,1.9,si
CR0310,60,23447,54000,36,1500,0.064,682,1,1.7,si
CR0311,63,31533,197000,6,32833,1.041,716,0,4.5,no
CR0312,45,26941,144000,24,6000,0.223,677,1,2.7,si
CR0313,30,25212,72000,24,3000,0.119,NA,0,5.4,si
CR0314,47,62633,158000,6,26333,0.42,NA,2,5.1,si
CR0315,24,43976,163000,36,4528,0.103,NA,2,1.2,si
CR0316,44,19835,149000,24,6208,0.313,470,2,10.5,no
CR0317,35,19813,77000,48,1604,0.081,562,3,2.2,no
CR0318,60,27726,104000,24,4333,0.156,648,4,5.9,si
CR0319,61,29607,182000,36,5056,0.171,577,1,4.4,no
CR0320,49,23326,137000,12,11417,0.489,850,3,10.9,no
CR0321,60,18593,141000,6,23500,1.264,625,4,3.2,no
CR0322,25,38513,235000,24,9792,0.254,621,1,4.9,si
CR0323,39,17453,71000,24,2958,0.169,614,0,5.5,si
CR0324,63,50159,79000,36,2194,0.044,686,4,1.3,si
CR0325,55,13123,21000,48,438,0.033,733,1,3,si
CR0326,36,NA,86000,36,2389,0.127,653,0,1.9,si
CR0327,56,19115,136000,36,3778,0.198,602,4,12.4,si
CR0328,66,32461,248000,12,20667,0.637,NA,2,3,no
CR0329,35,11331,76000,36,2111,0.186,NA,2,8.2,no
CR0330,23,30244,190000,24,7917,0.262,704,5,4.6,si
CR0331,36,10363,68000,48,1417,0.137,570,1,0.6,si
CR0332,42,21467,44000,6,7333,0.342,673,2,0.9,si
CR0333,29,11149,67000,24,2792,0.25,719,2,12,si
CR0334,44,12960,21000,60,350,0.027,775,2,3.6,si
CR0335,73,10245,43000,6,7167,0.7,669,1,3.9,no
CR0336,21,13811,45000,36,1250,0.091,NA,1,1.9,si
CR0337,45,8770,33000,36,917,0.105,634,0,14.3,no
CR0338,73,31659,219000,48,4562,0.144,559,2,12,no
CR0339,55,45283,190000,48,3958,0.087,546,1,10.6,no
CR0340,51,15894,42000,36,1167,0.073,710,1,7.5,no
CR0341,67,16409,80000,12,6667,0.406,594,1,5.6,no
CR0342,29,19383,69000,6,11500,0.593,728,1,8,no
CR0343,70,10436,19000,60,317,0.03,813,0,10.7,no
CR0344,28,20119,43000,6,7167,0.356,809,2,2.7,no
CR0345,39,37003,216000,36,6000,0.162,846,0,7.4,no
CR0346,21,25300,184000,6,30667,1.212,620,1,3,no
CR0347,36,19887,103000,24,4292,0.216,686,0,4.6,si
CR0348,30,16752,69000,12,5750,0.343,760,1,13,no
CR0349,71,12035,44000,36,1222,0.102,627,0,4.6,si
CR0350,36,55519,137000,36,3806,0.069,640,0,18.6,si
CR0351,26,NA,110000,24,4583,0.176,684,2,2,si
CR0352,54,17211,81000,60,1350,0.078,619,2,1.4,si
CR0353,20,9435,24000,12,2000,0.212,597,4,3,no
CR0354,43,31431,143000,12,11917,0.379,676,3,5,si
CR0355,51,16659,130000,12,10833,0.65,770,1,4.8,si
CR0356,25,26943,109000,12,9083,0.337,585,2,3.3,si
CR0357,22,22449,176000,60,2933,0.131,690,1,2,no
CR0358,22,37430,260000,6,43333,1.158,680,2,5,no
CR0359,27,18539,138000,60,2300,0.124,705,0,8.4,si
CR0360,68,25634,81000,24,3375,0.132,629,2,7.5,si
CR0361,65,21288,168000,24,7000,0.329,673,0,7.3,si
CR0362,43,15800,83000,48,1729,0.109,652,2,1.4,no
CR0363,22,26504,58000,24,2417,0.091,752,2,0.8,si
CR0364,36,26174,64000,6,10667,0.408,618,2,3.2,si
CR0365,33,9278,32000,6,5333,0.575,694,2,3.7,no
CR0366,40,35000,203000,6,33833,0.967,609,0,11.7,no
CR0367,61,28791,206000,24,8583,0.298,720,3,26.6,si
CR0368,36,8958,48000,36,1333,0.149,383,0,9,no
CR0369,27,32394,165000,6,27500,0.849,483,0,10,no
CR0370,20,82590,555000,12,46250,0.56,562,5,3,no
CR0371,67,48010,240000,60,4000,0.083,732,2,5.7,no
CR0372,44,28372,130000,12,10833,0.382,611,2,8.7,si
CR0373,69,13734,109000,24,4542,0.331,578,2,9.2,si
CR0374,24,39952,241000,6,40167,1.005,785,4,7,no
CR0375,24,45608,162000,24,6750,0.148,721,1,1.8,si
CR0376,35,31096,112000,12,9333,0.3,563,7,10.7,no
CR0377,50,11094,86000,24,3583,0.323,444,1,2.3,no
CR0378,19,35369,100000,36,2778,0.079,538,0,2,no
CR0379,47,72010,464000,36,12889,0.179,661,1,3.5,si
CR0380,33,25246,158000,48,3292,0.13,542,3,10.7,no
CR0381,74,58765,202000,24,8417,0.143,788,3,4.9,no
CR0382,73,30116,156000,48,3250,0.108,554,1,11.1,no
CR0383,58,15861,72000,6,12000,0.757,683,3,6.4,no
CR0384,46,27366,111000,24,4625,0.169,751,3,2.7,no
CR0385,54,11804,92000,24,3833,0.325,585,0,1.3,si
CR0386,66,15739,51000,24,2125,0.135,850,2,1.6,no
CR0387,21,11867,73000,24,3042,0.256,527,2,4,no
CR0388,73,16557,86000,12,7167,0.433,673,3,10.3,no
CR0389,71,9354,37000,24,1542,0.165,475,1,13.3,no
CR0390,55,90185,512000,36,14222,0.158,535,3,3.7,no
CR0391,43,10746,68000,60,1133,0.105,578,1,8,no
CR0392,28,49527,373000,6,62167,1.255,763,0,11,no
CR0393,51,15144,82000,6,13667,0.902,704,2,4.2,no
CR0394,71,68447,116000,12,9667,0.141,578,4,8.3,no
CR0395,20,57786,403000,6,67167,1.162,712,1,3,no
CR0396,40,12478,47000,60,783,0.063,692,1,3.5,no
CR0397,32,39774,110000,60,1833,0.046,715,2,2.3,no
CR0398,36,28861,205000,36,5694,0.197,621,2,5.2,si
CR0399,38,16451,65000,48,1354,0.082,742,0,3.9,no
CR0400,51,26422,70000,24,2917,0.11,790,3,2.8,si
CR0401,28,26476,134000,6,22333,0.844,673,1,5.2,no
CR0402,25,NA,54000,36,1500,0.067,676,1,5,si
CR0403,68,11141,85000,12,7083,0.636,NA,4,1.2,no
CR0404,37,23578,167000,24,6958,0.295,NA,1,10.3,no
CR0405,39,49093,265000,24,11042,0.225,604,2,1.1,si
CR0406,28,21290,118000,48,2458,0.115,614,2,11,no
CR0407,70,16486,40000,24,1667,0.101,537,4,3.6,no
CR0408,43,8556,43000,12,3583,0.419,749,2,4.7,si
CR0409,71,35145,243000,24,10125,0.288,659,1,3.4,si
CR0410,48,14940,105000,6,17500,1.171,672,0,10.9,no
CR0411,31,19903,137000,12,11417,0.574,NA,3,6.1,no
CR0412,50,20628,117000,6,19500,0.945,748,5,9.1,no
CR0413,60,56126,224000,12,18667,0.333,797,3,2.5,no
CR0414,46,12374,26000,36,722,0.058,710,0,2.9,no
CR0415,49,29379,230000,24,9583,0.326,703,2,14.3,no
CR0416,53,7354,36000,36,1000,0.136,563,2,1,no
CR0417,33,24140,166000,24,6917,0.287,586,0,6,si
CR0418,72,20893,35000,24,1458,0.07,644,2,2.1,no
CR0419,42,NA,66000,48,1375,0.065,736,5,13.1,si
CR0420,42,17320,43000,24,1792,0.103,627,1,5.5,si
CR0421,61,23365,86000,24,3583,0.153,466,2,0.4,no
CR0422,46,40491,195000,24,8125,0.201,825,4,6.2,si
CR0423,55,22032,46000,24,1917,0.087,582,1,5,si
CR0424,46,31206,200000,60,3333,0.107,533,4,16.2,no
CR0425,39,40226,239000,36,6639,0.165,534,2,3.5,no
CR0426,52,50653,344000,12,28667,0.566,532,3,7.5,no
CR0427,41,17415,27000,12,2250,0.129,682,2,9.8,si
CR0428,58,15326,26000,48,542,0.035,685,2,9,si
CR0429,19,18294,113000,24,4708,0.257,576,1,2,si
CR0430,43,43265,312000,48,6500,0.15,549,0,7.4,no
CR0431,31,24494,121000,24,5042,0.206,683,3,7.5,si
CR0432,30,16467,127000,24,5292,0.321,606,0,13,si
CR0433,30,9838,60000,36,1667,0.169,686,1,0.3,si
CR0434,73,45168,313000,48,6521,0.144,520,3,4.9,no
CR0435,53,23123,154000,6,25667,1.11,NA,1,4.7,no
CR0436,26,15082,79000,48,1646,0.109,632,6,2.9,si
