id_transaccion,monto_transaccion_mxn,monto_promedio_historico_mxn,hora_del_dia,dias_desde_ultima_compra,num_transacciones_24h,distancia_km_domicilio,es_compra_internacional,categoria_comercio,fraude
TX000059,592,1195,19,17,3,77.5,no,abarrotes,no
TX000060,2121,1620,11,8,2,26.6,si,electronica,no
TX000061,2647,792,11,14,3,51.9,no,abarrotes,no
TX000062,352,402,22,12,4,173,no,viajes,no
TX000063,367,235,9,5,3,8.4,no,servicios,no
TX000064,154,304,5,10,4,22.2,no,entretenimiento,no
TX000065,1112,903,4,1,5,6.7,no,electronica,no
TX000066,1395,1374,14,18,1,51.4,no,entretenimiento,no
TX000067,904,668,4,6,3,67,no,restaurantes,no
TX000068,1492,1493,6,14,2,53.6,no,entretenimiento,no
TX000069,356,446,2,10,6,6.8,no,restaurantes,no
TX000070,1391,696,1,1,5,12.7,no,entretenimiento,no
TX000071,1443,968,20,2,0,39.9,no,servicios,no
TX000072,478,637,12,12,3,103.5,no,viajes,no
TX000073,2309,910,4,5,6,19.2,no,entretenimiento,si
TX000074,1234,902,14,7,2,48.1,no,viajes,no
TX000075,241,224,9,6,2,93.5,no,restaurantes,no
TX000076,426,344,14,7,2,2.9,no,abarrotes,no
TX000077,2513,894,0,4,1,65.1,no,electronica,no
TX000078,833,1130,18,4,4,18.8,no,restaurantes,no
TX000079,433,340,9,4,5,8.2,no,viajes,no
TX000080,1405,1436,18,15,3,11.8,no,abarrotes,no
TX000081,1849,2048,0,4,5,15.3,no,entretenimiento,no
TX000082,1926,1216,20,1,2,36.9,no,abarrotes,no
TX000083,1469,1074,17,18,0,35.6,no,electronica,no
TX000084,1260,1615,17,17,4,17.8,no,viajes,no
TX000085,172,214,9,17,1,28.9,no,restaurantes,no
TX000086,232,790,3,6,4,88.5,no,abarrotes,no
TX000087,615,617,10,22,6,94.5,no,entretenimiento,no
TX000088,1214,1321,5,2,2,14.8,no,entretenimiento,no
TX000089,966,1253,13,11,2,51.1,no,viajes,no
TX000090,869,436,23,3,0,49.2,no,entretenimiento,no
TX000091,801,685,4,3,4,53.1,no,viajes,no
TX000092,2297,3082,7,1,4,118.9,no,servicios,no
TX000093,1201,970,19,5,4,29,no,restaurantes,no
TX000094,5642,1943,15,7,4,26.7,no,servicios,no
TX000095,188,358,16,1,1,35.7,no,viajes,no
TX000096,2800,2034,6,1,4,18.8,no,electronica,no
TX000097,1805,867,8,9,4,5.7,no,viajes,no
TX000098,338,684,19,10,3,12,no,restaurantes,no
TX000099,1762,1000,21,1,7,54.4,no,electronica,no
TX000100,457,676,21,13,2,14,no,restaurantes,no
TX000101,514,339,23,16,3,37.2,no,viajes,no
TX000102,758,322,19,37,5,25.1,no,entretenimiento,no
TX000103,239,775,20,13,4,37.1,no,restaurantes,no
TX000104,1295,1269,3,10,2,NA,no,abarrotes,no
TX000105,2095,929,0,4,3,11.2,no,electronica,no
TX000106,1365,982,0,2,4,6.1,no,viajes,no
TX000107,1127,743,12,0,5,30.3,no,viajes,no
TX000108,844,1039,5,4,4,4.8,no,abarrotes,no
TX000109,1281,590,5,25,3,52.8,no,servicios,no
TX000110,414,492,23,2,3,81.9,no,viajes,no
TX000111,820,992,5,2,4,42,no,electronica,no
TX000112,433,277,5,4,3,45.5,no,abarrotes,no
TX000113,697,520,21,2,3,19.2,no,entretenimiento,no
TX000114,695,458,4,7,3,NA,no,restaurantes,si
TX000115,239,253,20,3,1,17.3,no,abarrotes,no
TX000116,1288,1017,8,6,1,31.1,no,electronica,no
TX000117,471,582,0,14,3,3.3,no,electronica,no
TX000118,848,1219,11,3,4,18.5,no,restaurantes,no
TX000119,391,331,15,3,1,32.1,no,entretenimiento,no
TX000120,6394,2737,23,4,6,36.2,no,restaurantes,no
TX000121,253,411,19,7,2,28.9,no,entretenimiento,no
TX000122,1046,694,2,4,3,26.5,no,entretenimiento,no
TX000123,986,787,12,8,1,114.8,no,entretenimiento,no
TX000124,883,771,6,15,2,69.2,no,electronica,no
TX000125,1075,1233,18,6,0,101.9,no,entretenimiento,no
TX000126,827,414,3,5,1,30.2,no,servicios,no
TX000127,2226,1231,11,3,5,7.7,no,restaurantes,no
TX000128,4403,2033,2,8,5,12.6,no,restaurantes,no
TX000129,424,1043,4,2,4,38.3,si,viajes,no
TX000130,272,311,22,9,2,9.7,no,entretenimiento,no
TX000131,543,574,4,22,1,22.9,no,entretenimiento,no
TX000132,1668,558,5,2,5,106.7,no,abarrotes,no
TX000133,863,644,13,7,4,52.7,no,viajes,no
TX000134,508,407,5,5,5,19.5,no,servicios,no
TX000135,881,1095,16,12,0,11.2,no,servicios,no
TX000136,481,788,9,1,3,59.9,no,restaurantes,no
TX000137,1348,1327,13,4,5,69.9,no,restaurantes,si
TX000138,585,574,1,23,3,43.9,no,electronica,no
TX000139,154,255,18,0,2,22.1,no,electronica,no
TX000140,2482,1067,17,10,4,3.1,si,electronica,no
TX000141,306,198,11,7,3,90.3,no,viajes,no
TX000142,512,1034,12,2,4,23.1,no,viajes,no
TX000143,346,581,2,7,4,33.4,si,abarrotes,no
TX000144,1689,1531,10,6,2,35.6,no,restaurantes,no
TX000145,396,594,9,1,3,13.7,no,electronica,no
TX000146,7001,3547,21,23,1,2.4,no,restaurantes,no
TX000147,733,559,1,7,5,17.9,no,viajes,no
TX000148,942,1308,1,6,2,14.1,no,entretenimiento,no
TX000149,532,303,2,2,5,23.4,no,electronica,no
TX000150,1116,829,17,5,1,51.8,no,restaurantes,no
TX000151,161,249,23,3,1,NA,no,abarrotes,no
TX000152,199,172,15,1,3,3.6,no,restaurantes,no
TX000153,1538,616,4,14,3,21.7,no,abarrotes,no
TX000154,402,764,20,3,4,15.2,no,restaurantes,no
TX000155,2297,3775,20,9,3,11.3,si,electronica,no
TX000156,1155,1819,15,10,2,24.2,no,electronica,no
TX000157,762,446,0,15,1,13.3,no,abarrotes,no
TX000158,344,301,3,8,6,40.1,no,servicios,no
TX000159,679,545,14,12,2,11.5,no,restaurantes,si
TX000160,169,213,17,10,0,120.6,no,abarrotes,no
TX000161,964,1367,2,6,2,0.1,no,electronica,no
TX000162,764,468,22,6,3,24.4,no,servicios,no
TX000163,1475,1195,18,4,1,47.4,no,viajes,no
TX000164,1187,1858,7,10,2,6.9,no,viajes,no
TX000165,1388,1067,0,6,4,23.3,no,electronica,no
TX000166,108,128,4,21,1,31.9,no,entretenimiento,no
TX000167,1027,1100,14,4,1,24.3,no,restaurantes,no
TX000168,898,1029,23,6,4,7.9,no,abarrotes,no
TX000169,993,1341,4,5,3,141.3,no,restaurantes,no
TX000170,1709,794,14,25,3,49.8,no,abarrotes,no
TX000171,367,459,0,13,3,71.2,si,entretenimiento,no
TX000172,523,477,6,6,5,54.7,no,servicios,no
TX000173,415,786,2,22,5,6.2,no,abarrotes,no
TX000174,142,263,8,1,2,2.3,no,entretenimiento,no
TX000175,1627,2131,13,5,3,4.4,no,viajes,no
TX000176,262,240,19,14,2,10.8,no,abarrotes,no
TX000177,1868,1732,16,4,3,39.8,no,entretenimiento,no
TX000178,430,569,11,15,1,7.3,no,abarrotes,no
TX000179,390,738,5,1,2,15.6,no,viajes,no
TX000180,376,335,8,16,4,19.5,no,electronica,no
TX000181,497,888,14,4,5,17.5,no,electronica,no
TX000182,436,328,3,13,2,14.1,no,abarrotes,no
TX000183,633,678,6,1,3,21.7,no,viajes,no
TX000184,627,1497,11,0,1,17.3,no,restaurantes,no
TX000185,958,859,17,2,2,15,no,restaurantes,no
TX000186,1130,652,6,8,5,NA,no,restaurantes,no
TX000187,1015,855,17,1,0,22.3,no,electronica,no
TX000188,444,397,4,26,2,11.6,no,restaurantes,no
TX000189,811,506,15,9,3,68.4,no,electronica,no
TX000190,1962,677,5,19,2,76.4,no,servicios,no
TX000191,474,402,13,12,4,11.5,no,electronica,no
TX000192,1166,587,2,10,6,34.6,no,viajes,no
TX000193,2171,1632,5,21,0,95.1,no,servicios,no
TX000194,1630,617,11,12,3,5.6,no,abarrotes,no
TX000195,646,551,6,11,2,151.8,no,electronica,no
TX000196,1434,1429,6,9,5,22.2,no,servicios,no
TX000197,407,413,6,19,3,85.3,no,viajes,no
TX000198,481,644,17,13,5,31.4,no,viajes,no
TX000199,696,1010,14,3,3,NA,no,restaurantes,no
TX000200,2616,1421,12,14,2,179.8,si,restaurantes,si
TX000201,1101,2042,11,15,3,21.2,no,viajes,no
TX000202,179,621,18,7,2,69,no,electronica,no
TX000203,2952,1596,18,6,2,24.6,no,entretenimiento,no
TX000204,170,186,19,8,0,6.1,no,entretenimiento,no
TX000205,1480,785,2,17,2,27,no,entretenimiento,no
TX000206,977,1163,0,1,6,54.5,no,abarrotes,no
TX000207,1348,1400,17,1,1,119,no,electronica,no
TX000208,1627,847,19,17,5,2.1,no,viajes,no
TX000209,1091,1174,10,10,6,NA,no,abarrotes,no
TX000210,396,219,15,2,5,38.3,no,entretenimiento,no
TX000211,757,839,15,12,2,95.8,si,servicios,no
TX000212,557,473,20,3,4,21.1,no,abarrotes,no
TX000213,769,889,16,2,3,21.3,no,electronica,no
TX000214,269,288,0,3,1,73.8,no,abarrotes,no
TX000215,672,689,9,6,2,18.8,si,electronica,no
TX000216,3518,2189,3,2,2,4.6,no,viajes,no
TX000217,599,389,6,13,7,64.2,no,restaurantes,no
TX000218,270,359,6,4,2,51,no,restaurantes,no
TX000219,195,367,11,10,2,121.4,no,abarrotes,no
TX000220,2599,889,16,4,0,55.3,si,entretenimiento,no
TX000221,90,152,15,9,4,46,no,abarrotes,no
TX000222,1076,1420,16,20,3,17.9,no,abarrotes,no
TX000223,822,1033,6,4,1,81.8,no,abarrotes,no
TX000224,1092,319,23,22,1,27.2,no,abarrotes,no
TX000225,296,363,0,20,6,36.2,no,electronica,no
TX000226,467,352,2,13,1,43.8,no,restaurantes,si
TX000227,776,488,15,6,4,87.8,no,servicios,no
TX000228,1216,1059,18,9,1,42.8,no,restaurantes,no
TX000229,446,916,6,1,5,47.8,no,entretenimiento,no
TX000230,1546,984,2,17,4,31.3,no,servicios,no
TX000231,467,422,22,22,3,18.5,no,servicios,no
TX000232,240,269,13,13,7,7.6,no,viajes,no
TX000233,533,566,11,7,0,37.8,no,entretenimiento,no
TX000234,1283,572,5,14,5,77.9,no,electronica,si
TX000235,250,298,3,0,2,5.7,no,electronica,no
TX000236,379,412,4,12,3,12,no,electronica,no
TX000237,279,368,20,5,4,23.7,no,electronica,no
TX000238,723,453,2,14,3,31.7,no,viajes,no
TX000239,1552,1178,12,4,2,9.1,no,restaurantes,no
TX000240,668,777,8,8,2,16.3,no,electronica,no
TX000241,600,997,21,7,6,16.1,no,electronica,no
TX000242,902,922,16,14,2,1,no,abarrotes,no
TX000243,953,573,20,10,1,24.8,si,servicios,no
TX000244,1585,867,13,4,1,33.3,si,servicios,no
TX000245,308,442,20,10,2,2.2,no,entretenimiento,no
TX000246,524,561,2,8,4,20.4,no,electronica,no
TX000247,746,1550,0,23,4,39.1,no,electronica,no
TX000248,1746,2855,17,4,3,14.5,no,electronica,no
TX000249,256,198,22,4,4,18.9,si,electronica,no
TX000250,1521,1486,20,21,4,37.8,no,servicios,no
TX000251,984,545,10,1,4,54.9,no,restaurantes,no
TX000252,507,855,5,17,3,15.6,si,entretenimiento,si
TX000253,1415,672,0,1,1,84.6,no,servicios,no
TX000254,432,430,1,2,2,77.8,no,electronica,no
TX000255,472,477,19,3,3,19,no,electronica,no
TX000256,874,1345,12,6,3,106.4,no,servicios,no
TX000257,2939,1268,18,3,4,43.9,no,abarrotes,no
TX000258,265,567,7,6,6,75.3,si,abarrotes,si
TX000259,1456,1118,19,10,1,6.1,no,viajes,no
TX000260,1216,719,17,6,3,60.2,no,servicios,no
TX000261,546,252,4,14,2,38,si,restaurantes,no
TX000262,2273,1822,5,6,2,40.8,no,restaurantes,no
TX000263,131,409,12,7,3,74.7,no,viajes,no
TX000264,441,836,22,13,5,11.1,no,viajes,no
TX000265,1622,857,23,3,1,7.2,no,electronica,no
TX000266,1043,1574,9,10,2,114.8,no,entretenimiento,no
TX000267,719,464,11,8,2,19.5,no,restaurantes,no
TX000268,1254,897,6,7,4,59.7,no,restaurantes,no
TX000269,493,565,1,20,3,68.8,si,viajes,no
TX000270,1659,1255,3,10,2,4.7,no,restaurantes,no
TX000271,1458,1580,1,5,4,12.8,no,electronica,no
TX000272,552,534,16,3,2,22.2,no,abarrotes,no
TX000273,703,1208,2,15,5,NA,no,electronica,no
TX000274,1992,809,9,31,3,47.3,no,entretenimiento,no
TX000275,274,338,23,3,0,80.3,no,restaurantes,no
TX000276,859,461,0,23,0,33.7,no,entretenimiento,no
TX000277,633,534,23,24,1,28.7,no,servicios,no
TX000278,131,384,16,11,3,9.7,no,restaurantes,no
TX000279,459,382,4,3,0,28.9,no,viajes,no
TX000280,324,314,3,15,7,10.4,no,entretenimiento,si
TX000281,1339,1204,5,1,2,NA,no,restaurantes,no
TX000282,865,497,21,10,1,NA,no,abarrotes,no
TX000283,648,651,17,17,2,59.3,no,viajes,no
TX000284,136,490,14,7,3,31.6,no,entretenimiento,no
TX000285,627,598,7,20,7,111.2,no,servicios,no
TX000286,1378,767,14,4,3,41,no,restaurantes,no
TX000287,210,563,0,2,2,92.8,no,electronica,no
TX000288,849,470,7,33,1,86.4,no,abarrotes,no
TX000289,467,311,10,3,2,177.5,no,servicios,no
TX000290,217,237,11,4,2,64.2,no,abarrotes,no
TX000291,1572,1361,0,6,2,22.2,no,entretenimiento,no
TX000292,1828,644,10,8,3,87.7,no,abarrotes,no
TX000293,675,866,17,9,4,4.9,no,abarrotes,no
TX000294,311,236,16,4,3,9.9,no,electronica,no
TX000295,935,1322,20,17,5,40.9,no,servicios,no
TX000296,2345,2536,12,1,2,NA,no,restaurantes,no
TX000297,1680,1128,8,21,5,2.7,no,electronica,no
TX000298,340,686,1,5,4,85.2,no,restaurantes,no
TX000299,548,407,6,6,2,76.7,no,electronica,no
TX000300,623,829,11,26,7,62.5,no,abarrotes,no
TX000301,1117,728,12,1,2,17.9,no,electronica,si
TX000302,297,526,17,7,2,44.4,si,restaurantes,no
TX000303,1484,790,3,5,3,40.2,no,viajes,no
TX000304,205,243,22,9,5,10.9,no,servicios,no
TX000305,390,407,1,9,5,12.3,no,restaurantes,no
TX000306,430,199,0,3,2,61.3,no,electronica,no
TX000307,571,1221,15,13,5,57.5,no,electronica,no
TX000308,5146,2214,13,9,6,22.3,no,servicios,si
TX000309,483,237,0,6,1,34.1,no,entretenimiento,no
TX000310,352,466,9,5,1,NA,no,entretenimiento,no
TX000311,113,163,23,8,5,19.6,no,electronica,no
TX000312,761,384,7,12,3,21.7,no,electronica,no
TX000313,475,313,22,17,1,24.2,no,electronica,no
TX000314,1773,818,15,10,6,107.4,no,electronica,no
TX000315,152,334,3,19,4,69.6,no,abarrotes,si
TX000316,1575,2938,23,1,5,36.2,no,electronica,no
TX000317,107,148,9,1,6,109.9,si,restaurantes,si
TX000318,902,1212,4,3,6,NA,no,abarrotes,no
TX000319,1104,1297,9,5,1,167.7,no,entretenimiento,no
TX000320,444,327,17,11,2,69.6,no,viajes,no
TX000321,379,1405,9,4,4,26,no,restaurantes,no
TX000322,58,49,9,32,2,20.8,no,servicios,no
TX000323,2470,2009,10,3,3,18.9,no,restaurantes,no
TX000324,1661,1316,13,4,1,24.9,no,entretenimiento,no
TX000325,393,575,8,4,2,6.8,no,servicios,no
TX000326,259,630,8,7,2,47.2,no,servicios,no
TX000327,2298,1019,0,22,1,34.6,no,electronica,no
TX000328,425,662,23,26,0,74.2,no,restaurantes,no
TX000329,905,927,4,2,6,4.6,no,electronica,no
TX000330,611,703,9,1,2,68.1,no,electronica,no
TX000331,1039,616,8,6,0,12.6,no,servicios,no
TX000332,1451,700,21,13,7,19.3,no,entretenimiento,no
TX000333,1390,1173,15,6,1,96.2,no,electronica,no
TX000334,1942,1869,9,4,4,16.7,no,servicios,no
TX000335,2559,2470,12,2,6,5.1,no,electronica,no
TX000336,2514,2623,11,30,1,41.2,no,servicios,no
TX000337,1971,1386,23,2,3,4.2,no,viajes,no
TX000338,943,1195,13,10,4,56,no,entretenimiento,no
TX000339,1104,3304,16,1,4,104.1,no,entretenimiento,no
TX000340,923,700,15,5,3,33.2,no,entretenimiento,no
TX000341,634,630,7,4,5,15.8,no,entretenimiento,no
TX000342,1603,1124,22,8,2,73.4,no,abarrotes,no
TX000343,227,365,13,4,1,NA,no,viajes,no
TX000344,171,193,20,5,4,27.4,no,viajes,no
TX000345,480,1173,22,6,5,29.6,no,viajes,no
TX000346,768,785,13,3,4,15.8,no,restaurantes,no
TX000347,417,374,5,12,3,59.5,no,electronica,no
TX000348,1274,719,17,11,6,18.3,no,viajes,no
TX000349,110,194,9,15,2,5.8,no,servicios,no
TX000350,1449,1079,23,33,5,37.5,no,abarrotes,no
TX000351,206,317,2,2,2,25.2,si,servicios,no
TX000352,980,545,10,47,6,53.1,no,viajes,no
TX000353,669,700,6,2,3,23.1,no,entretenimiento,no
TX000354,1253,1558,15,6,0,87.8,si,restaurantes,no
TX000355,1099,1026,18,11,1,7.3,no,restaurantes,no
TX000356,373,352,23,39,3,56.6,no,abarrotes,no
TX000357,313,276,10,38,2,5.9,no,electronica,no
TX000358,1485,1206,17,12,6,6.3,no,electronica,no
TX000359,202,236,7,14,2,43.8,no,restaurantes,si
TX000360,826,545,13,36,4,NA,no,servicios,no
TX000361,278,347,9,5,1,33.3,no,electronica,no
TX000362,1290,914,9,8,1,29.7,no,electronica,no
TX000363,318,592,5,26,1,26.8,no,electronica,no
TX000364,694,650,18,23,3,79.3,no,electronica,no
TX000365,461,769,7,4,4,NA,no,entretenimiento,no
TX000366,243,448,23,5,0,103.7,si,electronica,no
TX000367,555,1055,16,10,4,41.6,no,viajes,no
TX000368,2159,651,1,4,1,99.2,no,abarrotes,no
TX000369,316,336,15,23,2,17.1,no,servicios,no
TX000370,360,381,0,12,9,4.5,no,viajes,no
TX000371,1490,1264,10,6,4,10.9,no,entretenimiento,no
TX000372,873,795,17,7,3,39.9,no,entretenimiento,no
TX000373,743,541,18,8,3,156.8,si,viajes,no
TX000374,4759,1012,22,11,0,4.2,no,abarrotes,no
TX000375,328,406,18,2,2,44.3,no,servicios,no
TX000376,796,303,9,5,3,22.2,no,entretenimiento,no
TX000377,641,330,3,4,2,55.7,no,servicios,no
TX000378,1309,1340,6,1,2,26.2,no,servicios,no
TX000379,1878,1265,4,3,3,59.3,no,electronica,no
TX000380,551,332,18,2,2,27.6,no,entretenimiento,no
TX000381,891,583,15,14,4,43.6,no,abarrotes,no
TX000382,1208,899,4,3,4,88.2,si,entretenimiento,no
TX000383,3712,2777,5,6,6,25.4,no,viajes,no
TX000384,369,277,21,5,6,27.7,no,abarrotes,no
TX000385,1544,1385,8,3,3,33.7,no,entretenimiento,no
TX000386,816,896,8,8,4,10.9,no,viajes,no
TX000387,483,902,13,1,1,15.6,no,servicios,no
TX000388,666,431,13,8,2,85.2,no,abarrotes,no
TX000389,499,303,22,19,2,9.3,no,electronica,no
TX000390,912,755,2,14,1,9.4,si,abarrotes,no
TX000391,1518,1296,14,18,6,60.1,no,entretenimiento,no
TX000392,2313,1434,16,9,3,7.4,no,viajes,no
TX000393,133,217,5,4,2,60.3,no,entretenimiento,no
TX000394,311,211,18,34,2,NA,no,electronica,no
TX000395,868,1559,11,12,3,1.8,no,servicios,no
TX000396,453,734,19,17,3,21.6,no,abarrotes,no
TX000397,643,340,16,3,1,19.6,no,abarrotes,no
TX000398,65,94,8,7,4,12.9,no,servicios,no
TX000399,262,301,14,19,2,72,no,entretenimiento,no
TX000400,291,282,8,4,2,7.7,no,servicios,no
TX000401,7896,3433,6,6,1,95.4,no,abarrotes,no
TX000402,892,363,1,3,2,2,no,abarrotes,no
TX000403,200,504,3,11,5,5.3,no,viajes,no
TX000404,1540,1029,9,6,4,27.3,no,entretenimiento,no
TX000405,438,716,14,6,1,101,no,entretenimiento,no
TX000406,1693,1158,7,2,1,23.5,no,abarrotes,no
TX000407,2181,1340,12,2,2,21.9,no,entretenimiento,no
TX000408,235,574,7,1,1,18.2,no,restaurantes,no
TX000409,508,437,16,5,2,38.6,no,electronica,no
TX000410,1087,678,5,12,6,6.6,no,entretenimiento,no
TX000411,606,382,12,0,0,12.8,no,abarrotes,no
TX000412,617,445,22,9,4,35.6,no,entretenimiento,no
TX000413,261,457,1,7,2,11.8,no,entretenimiento,no
TX000414,1081,1106,16,14,3,74.2,no,servicios,no
TX000415,510,671,10,9,1,10.8,si,restaurantes,no
TX000416,3044,1842,4,10,3,6.4,no,electronica,no
TX000417,374,567,9,2,2,15.7,no,abarrotes,no
TX000418,222,166,15,13,6,7.6,no,electronica,no
TX000419,564,439,1,2,4,102.4,no,restaurantes,no
TX000420,320,338,13,35,3,62.8,no,servicios,no
TX000421,2145,1680,20,2,2,117,no,viajes,no
TX000422,114,295,0,30,1,21.7,no,viajes,no
TX000423,1915,2102,22,1,1,80.4,no,abarrotes,si
TX000424,628,791,16,14,3,16.5,no,abarrotes,si
TX000425,430,428,5,6,1,59.5,no,abarrotes,no
TX000426,501,546,8,5,4,57.8,si,viajes,no
TX000427,547,442,11,1,4,104.9,si,servicios,no
TX000428,1705,966,18,6,2,3.3,no,electronica,no
TX000429,658,966,12,3,3,26.6,no,entretenimiento,no
TX000430,361,434,8,5,2,36.3,no,servicios,no
TX000431,5955,2049,3,18,3,25.3,no,abarrotes,no
TX000432,682,391,20,13,4,11.2,si,servicios,no
TX000433,370,564,9,18,3,50.4,no,viajes,no
TX000434,262,302,14,11,5,39.4,no,restaurantes,no
TX000435,1582,742,17,6,1,43.3,no,electronica,no
TX000436,90,324,22,6,2,12.8,no,abarrotes,no
TX000437,512,597,1,20,5,41.4,no,abarrotes,no
TX000438,137,484,21,1,1,11.2,no,electronica,no
TX000439,249,258,16,7,4,8.9,no,electronica,no
TX000440,403,560,20,3,1,23.7,si,electronica,no
TX000441,915,1015,21,3,1,29.4,no,servicios,no
TX000442,399,504,16,13,3,0.7,si,abarrotes,no
TX000443,1188,1615,4,3,4,56.2,no,entretenimiento,no
TX000444,510,564,4,7,5,79.5,no,restaurantes,no
TX000445,545,546,4,9,2,59.7,no,servicios,no
TX000446,875,759,13,3,2,22.8,no,restaurantes,no
TX000447,538,418,0,19,3,21.1,no,electronica,no
TX000448,2434,1320,15,6,5,19.9,no,servicios,no
TX000449,1207,936,20,11,1,24.8,no,servicios,no
TX000450,3352,2031,13,3,6,22.4,no,electronica,no
TX000451,527,324,0,20,3,5.9,no,electronica,no
TX000452,476,559,4,14,1,18.5,no,servicios,no
TX000453,383,494,4,8,4,12.4,no,servicios,no
TX000454,981,865,7,7,3,0.2,si,electronica,no
TX000455,929,1598,21,11,2,72.7,no,servicios,no
TX000456,1658,1100,20,0,2,13.4,no,abarrotes,no
TX000457,1996,1311,22,2,1,36.6,no,abarrotes,no
TX000458,278,171,13,5,4,113.8,no,entretenimiento,no
TX000459,673,690,8,2,3,26.5,no,viajes,no
TX000460,691,564,12,11,1,26.8,no,viajes,no
TX000461,470,809,17,2,4,24,no,restaurantes,no
TX000462,1433,3348,15,7,6,4.5,no,entretenimiento,no
TX000463,1694,1631,7,2,3,52.5,no,abarrotes,no
TX000464,377,473,11,6,1,50,no,entretenimiento,no
TX000465,790,1067,20,3,2,63.5,si,viajes,no
TX000466,1027,769,14,3,2,10.1,no,abarrotes,no
TX000467,1561,1454,0,4,2,23.2,no,electronica,no
TX000468,569,630,0,4,1,11.1,no,restaurantes,no
TX000469,544,766,3,9,4,7.2,no,viajes,no
TX000470,737,1031,3,5,1,7.3,no,entretenimiento,si
TX000471,1382,1039,18,9,2,70.7,no,abarrotes,no
TX000472,2197,2395,17,6,1,31.4,no,entretenimiento,no
TX000473,900,813,17,3,2,21.6,no,restaurantes,no
TX000474,846,1468,4,2,3,20.5,no,abarrotes,no
TX000475,293,348,7,16,5,19.3,no,servicios,si
TX000476,509,662,17,16,2,6.8,no,servicios,no
TX000477,1887,2491,18,2,3,9.5,no,electronica,no
TX000478,614,814,15,13,5,101.1,no,entretenimiento,no
TX000479,439,623,20,13,4,31.5,no,abarrotes,si
TX000480,388,390,12,2,3,13.4,no,servicios,no
