restaurante_id,estado,cadena,periodo,tratamiento,post,tratamiento_post,salario_minimo,empleo
86,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,26.4
86,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,26.4
87,Nueva Jersey,Wendys,Antes,1,0,0,4.25,21.3
87,Nueva Jersey,Wendys,Despues,1,1,1,5.05,23.9
88,Nueva Jersey,KFC,Antes,1,0,0,4.25,16.5
88,Nueva Jersey,KFC,Despues,1,1,1,5.05,19
89,Nueva Jersey,Burger King,Antes,1,0,0,4.25,19.7
89,Nueva Jersey,Burger King,Despues,1,1,1,5.05,17.6
90,Nueva Jersey,Wendys,Antes,1,0,0,4.25,25.1
90,Nueva Jersey,Wendys,Despues,1,1,1,5.05,14.1
91,Nueva Jersey,KFC,Antes,1,0,0,4.25,15.8
91,Nueva Jersey,KFC,Despues,1,1,1,5.05,15.9
92,Nueva Jersey,Burger King,Antes,1,0,0,4.25,23
92,Nueva Jersey,Burger King,Despues,1,1,1,5.05,16.6
93,Nueva Jersey,KFC,Antes,1,0,0,4.25,23.7
93,Nueva Jersey,KFC,Despues,1,1,1,5.05,28.1
94,Nueva Jersey,Burger King,Antes,1,0,0,4.25,21.1
94,Nueva Jersey,Burger King,Despues,1,1,1,5.05,24.8
95,Nueva Jersey,KFC,Antes,1,0,0,4.25,17.7
95,Nueva Jersey,KFC,Despues,1,1,1,5.05,24.8
96,Nueva Jersey,KFC,Antes,1,0,0,4.25,14.6
96,Nueva Jersey,KFC,Despues,1,1,1,5.05,21.9
97,Nueva Jersey,Wendys,Antes,1,0,0,4.25,14.3
97,Nueva Jersey,Wendys,Despues,1,1,1,5.05,20.9
98,Nueva Jersey,Burger King,Antes,1,0,0,4.25,26.4
98,Nueva Jersey,Burger King,Despues,1,1,1,5.05,25.8
99,Nueva Jersey,Wendys,Antes,1,0,0,4.25,18.8
99,Nueva Jersey,Wendys,Despues,1,1,1,5.05,18.3
100,Nueva Jersey,Wendys,Antes,1,0,0,4.25,16.7
100,Nueva Jersey,Wendys,Despues,1,1,1,5.05,18.5
101,Nueva Jersey,Burger King,Antes,1,0,0,4.25,22.5
101,Nueva Jersey,Burger King,Despues,1,1,1,5.05,17.2
102,Nueva Jersey,Burger King,Antes,1,0,0,4.25,35.4
102,Nueva Jersey,Burger King,Despues,1,1,1,5.05,23.3
103,Nueva Jersey,KFC,Antes,1,0,0,4.25,16.2
103,Nueva Jersey,KFC,Despues,1,1,1,5.05,24.2
104,Nueva Jersey,KFC,Antes,1,0,0,4.25,20.4
104,Nueva Jersey,KFC,Despues,1,1,1,5.05,20.5
105,Nueva Jersey,Burger King,Antes,1,0,0,4.25,24
105,Nueva Jersey,Burger King,Despues,1,1,1,5.05,23.4
106,Nueva Jersey,KFC,Antes,1,0,0,4.25,26.1
106,Nueva Jersey,KFC,Despues,1,1,1,5.05,19.6
107,Nueva Jersey,Wendys,Antes,1,0,0,4.25,30
107,Nueva Jersey,Wendys,Despues,1,1,1,5.05,15.1
108,Nueva Jersey,Wendys,Antes,1,0,0,4.25,21.7
108,Nueva Jersey,Wendys,Despues,1,1,1,5.05,24.5
109,Nueva Jersey,Burger King,Antes,1,0,0,4.25,27.1
109,Nueva Jersey,Burger King,Despues,1,1,1,5.05,15.6
110,Nueva Jersey,KFC,Antes,1,0,0,4.25,15.3
110,Nueva Jersey,KFC,Despues,1,1,1,5.05,30.6
111,Nueva Jersey,Wendys,Antes,1,0,0,4.25,23
111,Nueva Jersey,Wendys,Despues,1,1,1,5.05,25.8
112,Nueva Jersey,KFC,Antes,1,0,0,4.25,17
112,Nueva Jersey,KFC,Despues,1,1,1,5.05,31.9
113,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,21.4
113,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,24.6
114,Nueva Jersey,Burger King,Antes,1,0,0,4.25,20.6
114,Nueva Jersey,Burger King,Despues,1,1,1,5.05,26.7
115,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,19.1
115,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,33.5
116,Nueva Jersey,Wendys,Antes,1,0,0,4.25,28.9
116,Nueva Jersey,Wendys,Despues,1,1,1,5.05,12.5
117,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,17.9
117,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,22.1
118,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,12.4
118,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,17
119,Nueva Jersey,KFC,Antes,1,0,0,4.25,18.1
119,Nueva Jersey,KFC,Despues,1,1,1,5.05,24.7
120,Nueva Jersey,Burger King,Antes,1,0,0,4.25,21.5
120,Nueva Jersey,Burger King,Despues,1,1,1,5.05,19.3
121,Nueva Jersey,KFC,Antes,1,0,0,4.25,20.6
121,Nueva Jersey,KFC,Despues,1,1,1,5.05,36.7
122,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,26.9
122,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,25
123,Nueva Jersey,Wendys,Antes,1,0,0,4.25,24.9
123,Nueva Jersey,Wendys,Despues,1,1,1,5.05,19.4
124,Nueva Jersey,Wendys,Antes,1,0,0,4.25,21.5
124,Nueva Jersey,Wendys,Despues,1,1,1,5.05,23.7
125,Nueva Jersey,Burger King,Antes,1,0,0,4.25,18.6
125,Nueva Jersey,Burger King,Despues,1,1,1,5.05,20
126,Nueva Jersey,Wendys,Antes,1,0,0,4.25,23.5
126,Nueva Jersey,Wendys,Despues,1,1,1,5.05,20.2
127,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,20.1
127,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,20.7
128,Nueva Jersey,Burger King,Antes,1,0,0,4.25,25.2
128,Nueva Jersey,Burger King,Despues,1,1,1,5.05,24.7
129,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,19.5
129,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,20.8
130,Nueva Jersey,KFC,Antes,1,0,0,4.25,25.9
130,Nueva Jersey,KFC,Despues,1,1,1,5.05,21.4
131,Nueva Jersey,KFC,Antes,1,0,0,4.25,27.7
131,Nueva Jersey,KFC,Despues,1,1,1,5.05,21.8
132,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,19.4
132,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,12.7
133,Nueva Jersey,KFC,Antes,1,0,0,4.25,17.8
133,Nueva Jersey,KFC,Despues,1,1,1,5.05,15.3
134,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,30.7
134,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,24.6
135,Nueva Jersey,Burger King,Antes,1,0,0,4.25,23.6
135,Nueva Jersey,Burger King,Despues,1,1,1,5.05,22.1
136,Nueva Jersey,KFC,Antes,1,0,0,4.25,7.4
136,Nueva Jersey,KFC,Despues,1,1,1,5.05,22
137,Nueva Jersey,KFC,Antes,1,0,0,4.25,21
137,Nueva Jersey,KFC,Despues,1,1,1,5.05,16.1
138,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,22.3
138,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,30.3
139,Nueva Jersey,Burger King,Antes,1,0,0,4.25,20.8
139,Nueva Jersey,Burger King,Despues,1,1,1,5.05,27.4
140,Nueva Jersey,Burger King,Antes,1,0,0,4.25,19
140,Nueva Jersey,Burger King,Despues,1,1,1,5.05,22.6
141,Nueva Jersey,Wendys,Antes,1,0,0,4.25,31.2
141,Nueva Jersey,Wendys,Despues,1,1,1,5.05,25.5
142,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,27.4
142,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,19.1
143,Nueva Jersey,Wendys,Antes,1,0,0,4.25,27.8
143,Nueva Jersey,Wendys,Despues,1,1,1,5.05,30.6
144,Nueva Jersey,Burger King,Antes,1,0,0,4.25,26.9
144,Nueva Jersey,Burger King,Despues,1,1,1,5.05,22.3
145,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,27.5
145,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,21.8
146,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,15.4
146,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,25.2
147,Nueva Jersey,KFC,Antes,1,0,0,4.25,21.4
147,Nueva Jersey,KFC,Despues,1,1,1,5.05,21.1
148,Nueva Jersey,Wendys,Antes,1,0,0,4.25,28.4
148,Nueva Jersey,Wendys,Despues,1,1,1,5.05,20.5
149,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,23.1
149,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,11.8
150,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,14.1
150,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,18.8
151,Nueva Jersey,Burger King,Antes,1,0,0,4.25,19.4
151,Nueva Jersey,Burger King,Despues,1,1,1,5.05,20.7
152,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,25.4
152,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,12.8
153,Nueva Jersey,Burger King,Antes,1,0,0,4.25,24.7
153,Nueva Jersey,Burger King,Despues,1,1,1,5.05,26.2
154,Nueva Jersey,Wendys,Antes,1,0,0,4.25,22
154,Nueva Jersey,Wendys,Despues,1,1,1,5.05,26.9
155,Nueva Jersey,KFC,Antes,1,0,0,4.25,27.2
155,Nueva Jersey,KFC,Despues,1,1,1,5.05,18.8
156,Nueva Jersey,Wendys,Antes,1,0,0,4.25,23.6
156,Nueva Jersey,Wendys,Despues,1,1,1,5.05,19.9
157,Nueva Jersey,Wendys,Antes,1,0,0,4.25,18.5
157,Nueva Jersey,Wendys,Despues,1,1,1,5.05,12.4
158,Nueva Jersey,KFC,Antes,1,0,0,4.25,18.2
158,Nueva Jersey,KFC,Despues,1,1,1,5.05,24.6
159,Nueva Jersey,KFC,Antes,1,0,0,4.25,27.1
159,Nueva Jersey,KFC,Despues,1,1,1,5.05,22.8
160,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,21.4
160,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,21.2
161,Nueva Jersey,KFC,Antes,1,0,0,4.25,18.5
161,Nueva Jersey,KFC,Despues,1,1,1,5.05,27.7
162,Nueva Jersey,Burger King,Antes,1,0,0,4.25,25.6
162,Nueva Jersey,Burger King,Despues,1,1,1,5.05,24.1
163,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,22.5
163,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,24.9
164,Nueva Jersey,Burger King,Antes,1,0,0,4.25,25.8
164,Nueva Jersey,Burger King,Despues,1,1,1,5.05,31.8
165,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,28.5
165,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,20.7
166,Nueva Jersey,Wendys,Antes,1,0,0,4.25,25.7
166,Nueva Jersey,Wendys,Despues,1,1,1,5.05,21.8
167,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,20
167,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,25.9
168,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,26.1
168,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,20.7
169,Nueva Jersey,KFC,Antes,1,0,0,4.25,24.8
169,Nueva Jersey,KFC,Despues,1,1,1,5.05,22.1
170,Nueva Jersey,Wendys,Antes,1,0,0,4.25,28.5
170,Nueva Jersey,Wendys,Despues,1,1,1,5.05,24.5
171,Nueva Jersey,Burger King,Antes,1,0,0,4.25,21.9
171,Nueva Jersey,Burger King,Despues,1,1,1,5.05,24.2
172,Nueva Jersey,KFC,Antes,1,0,0,4.25,14.6
172,Nueva Jersey,KFC,Despues,1,1,1,5.05,23.4
173,Nueva Jersey,Wendys,Antes,1,0,0,4.25,24.6
173,Nueva Jersey,Wendys,Despues,1,1,1,5.05,21
174,Nueva Jersey,Wendys,Antes,1,0,0,4.25,19.4
174,Nueva Jersey,Wendys,Despues,1,1,1,5.05,27.2
175,Nueva Jersey,Wendys,Antes,1,0,0,4.25,25.1
175,Nueva Jersey,Wendys,Despues,1,1,1,5.05,24.2
176,Nueva Jersey,KFC,Antes,1,0,0,4.25,28.3
176,Nueva Jersey,KFC,Despues,1,1,1,5.05,25.6
177,Nueva Jersey,KFC,Antes,1,0,0,4.25,19.1
177,Nueva Jersey,KFC,Despues,1,1,1,5.05,30
178,Nueva Jersey,Burger King,Antes,1,0,0,4.25,32.6
178,Nueva Jersey,Burger King,Despues,1,1,1,5.05,29.2
179,Nueva Jersey,Burger King,Antes,1,0,0,4.25,16.3
179,Nueva Jersey,Burger King,Despues,1,1,1,5.05,26.4
180,Nueva Jersey,KFC,Antes,1,0,0,4.25,24.7
180,Nueva Jersey,KFC,Despues,1,1,1,5.05,22.9
181,Nueva Jersey,Wendys,Antes,1,0,0,4.25,28.8
181,Nueva Jersey,Wendys,Despues,1,1,1,5.05,29.4
182,Nueva Jersey,Wendys,Antes,1,0,0,4.25,19.2
182,Nueva Jersey,Wendys,Despues,1,1,1,5.05,19.8
183,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,11.6
183,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,16.6
184,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,18.7
184,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,28.1
185,Nueva Jersey,KFC,Antes,1,0,0,4.25,19.4
185,Nueva Jersey,KFC,Despues,1,1,1,5.05,22.5
186,Nueva Jersey,Burger King,Antes,1,0,0,4.25,20.1
186,Nueva Jersey,Burger King,Despues,1,1,1,5.05,33.7
187,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,17
187,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,28.4
188,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,20.8
188,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,18.9
189,Nueva Jersey,Burger King,Antes,1,0,0,4.25,19.8
189,Nueva Jersey,Burger King,Despues,1,1,1,5.05,34.9
190,Nueva Jersey,Burger King,Antes,1,0,0,4.25,21.8
190,Nueva Jersey,Burger King,Despues,1,1,1,5.05,26
191,Nueva Jersey,Wendys,Antes,1,0,0,4.25,18.9
191,Nueva Jersey,Wendys,Despues,1,1,1,5.05,18.6
192,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,21.7
192,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,18.7
193,Nueva Jersey,Burger King,Antes,1,0,0,4.25,27.6
193,Nueva Jersey,Burger King,Despues,1,1,1,5.05,14.4
194,Nueva Jersey,Burger King,Antes,1,0,0,4.25,21.2
194,Nueva Jersey,Burger King,Despues,1,1,1,5.05,22.1
195,Nueva Jersey,KFC,Antes,1,0,0,4.25,28.1
195,Nueva Jersey,KFC,Despues,1,1,1,5.05,26.4
196,Nueva Jersey,Wendys,Antes,1,0,0,4.25,21.9
196,Nueva Jersey,Wendys,Despues,1,1,1,5.05,28.9
197,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,27
197,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,26.6
198,Nueva Jersey,Burger King,Antes,1,0,0,4.25,20.4
198,Nueva Jersey,Burger King,Despues,1,1,1,5.05,24
199,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,16.1
199,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,27.9
200,Nueva Jersey,Roy Rogers,Antes,1,0,0,4.25,22.1
200,Nueva Jersey,Roy Rogers,Despues,1,1,1,5.05,26.8
201,Pensilvania,KFC,Antes,0,0,0,4.25,21.9
201,Pensilvania,KFC,Despues,0,1,0,4.25,7.9
202,Pensilvania,Burger King,Antes,0,0,0,4.25,17.9
202,Pensilvania,Burger King,Despues,0,1,0,4.25,17.4
203,Pensilvania,KFC,Antes,0,0,0,4.25,27.3
