id_escuela,matricula,n_clases,tamano_clase,tratamiento,puntaje,pct_pobreza,experiencia_docente
257,24,1,24,0,52.1,29.2,11.8
258,42,2,21,1,62.7,15.6,6.6
259,43,2,21.5,1,62.2,26.1,13.2
260,45,2,22.5,1,69,34.5,3.9
261,49,2,24.5,1,71,29.4,11.1
262,25,1,25,0,54.3,27.1,13.8
263,32,1,32,0,54.2,33.5,11.3
264,58,2,29,1,70.1,29.1,13.6
265,40,1,40,0,66.7,33.1,8.3
266,25,1,25,0,61.6,21.4,10.1
267,55,2,27.5,1,64.3,25.4,14.1
268,28,1,28,0,55.3,20.4,5.4
269,57,2,28.5,1,74.7,32.1,13.9
270,55,2,27.5,1,69.4,30.5,6.5
271,25,1,25,0,60.3,35.7,7.8
272,51,2,25.5,1,67.3,30.9,18.4
273,38,1,38,0,61.2,36.6,11.4
274,25,1,25,0,56.2,38.2,9
275,55,2,27.5,1,79.2,29,13.7
276,33,1,33,0,60.7,31.2,8.9
277,33,1,33,0,54.3,25.1,11.5
278,36,1,36,0,57,33.3,8.8
279,39,1,39,0,60.8,24.5,2.9
280,35,1,35,0,52.8,24.4,11.2
281,39,1,39,0,54.3,31.3,8.4
282,22,1,22,0,51.2,28.7,7.4
283,27,1,27,0,55.1,30,9.4
284,59,2,29.5,1,74.4,32.2,15
285,33,1,33,0,57.1,26.7,10.5
286,27,1,27,0,56.6,28,11.9
287,40,1,40,0,59.8,38.1,11.9
288,21,1,21,0,52.2,28,9.4
289,34,1,34,0,62.3,22.8,11.7
290,21,1,21,0,51,23.9,8.6
291,55,2,27.5,1,68.8,26,7
292,49,2,24.5,1,66.7,26.4,11.5
293,33,1,33,0,59.5,23,2.8
294,35,1,35,0,63.3,16.4,6.8
295,33,1,33,0,59.4,32.6,9.5
296,24,1,24,0,59.3,31.7,8.7
297,50,2,25,1,70.3,29.7,9.2
298,44,2,22,1,64.3,26.8,13.2
299,26,1,26,0,56,24.5,6.1
300,21,1,21,0,58.4,30.1,1.2
301,39,1,39,0,55,31,12.3
302,38,1,38,0,60.4,31.9,10
303,22,1,22,0,54.1,28.2,8.8
304,33,1,33,0,60.5,32.4,8.5
305,55,2,27.5,1,71.8,33.7,5.7
306,57,2,28.5,1,71,34.5,8
307,36,1,36,0,63.3,32.1,11.3
308,26,1,26,0,51.2,36.9,9.4
309,33,1,33,0,60.6,24,5.4
310,32,1,32,0,52.9,36.7,11.4
311,24,1,24,0,57,26.7,11.6
312,59,2,29.5,1,71,31.6,10.5
313,40,1,40,0,62.9,30.4,10
314,24,1,24,0,55.4,26.2,13.4
315,28,1,28,0,51.7,16,10.6
316,57,2,28.5,1,64.1,30.1,14.5
317,32,1,32,0,59.2,29.4,9.5
318,46,2,23,1,66.6,21.9,14.7
319,56,2,28,1,68.1,34.3,10.6
320,60,2,30,1,70.1,29,13.8
321,37,1,37,0,57.1,36.9,8.8
322,36,1,36,0,58.3,30.9,6.6
323,26,1,26,0,53,24.7,12.3
324,31,1,31,0,51.4,29.9,16.4
325,43,2,21.5,1,65.2,31.6,9.2
326,57,2,28.5,1,73.2,36.3,15.3
327,34,1,34,0,63.8,28.6,9
328,54,2,27,1,69.2,21.2,13.5
329,49,2,24.5,1,67.5,24.4,7.5
330,50,2,25,1,70.9,26.7,11.3
331,57,2,28.5,1,70.3,33.8,8.6
332,20,1,20,0,52.7,26.6,4.9
333,26,1,26,0,50.6,25.5,11.3
334,36,1,36,0,55,25.4,14.6
335,47,2,23.5,1,68.3,31.5,8
336,39,1,39,0,55.3,25.6,7.3
337,41,2,20.5,1,68.4,28.1,6.8
338,33,1,33,0,53.9,24.6,8.3
339,53,2,26.5,1,68.3,24.4,12.6
340,32,1,32,0,57.6,34,11.7
341,36,1,36,0,58.8,23,11.1
342,24,1,24,0,55.7,28.8,11.5
343,52,2,26,1,70.4,28.4,9.2
344,34,1,34,0,57.8,24.1,9.2
345,22,1,22,0,53.9,29.5,11.1
346,22,1,22,0,55.1,30.1,8.3
347,58,2,29,1,69.1,38.1,8
348,35,1,35,0,63.1,31.1,5.6
349,52,2,26,1,62.1,30.5,18.7
350,56,2,28,1,72.9,44.6,5.7
351,38,1,38,0,58.7,26.5,10
352,43,2,21.5,1,67.2,25.3,16
353,23,1,23,0,57.9,25.6,11.7
354,27,1,27,0,58.6,28.1,8.8
355,50,2,25,1,66,34,12.1
356,39,1,39,0,64.4,32,15.3
357,47,2,23.5,1,62.2,30.2,10.9
358,58,2,29,1,73,27.5,9.2
359,40,1,40,0,58.5,35.6,14.4
360,39,1,39,0,53.9,34.5,15.6
361,42,2,21,1,60,26.6,7.1
362,46,2,23,1,67.5,34,12.5
363,31,1,31,0,64,31.4,9.9
364,59,2,29.5,1,71.5,37.1,13.1
365,46,2,23,1,70.2,31.3,11.9
366,43,2,21.5,1,68.4,24.6,10.1
367,45,2,22.5,1,64.5,34.5,11.6
368,57,2,28.5,1,73,28.1,7.2
369,36,1,36,0,59.9,32.2,5.6
370,32,1,32,0,58.2,37.6,11.8
371,24,1,24,0,58.2,21.3,9.5
372,33,1,33,0,60.1,37.1,9.3
373,50,2,25,1,66.1,37.8,5.5
374,24,1,24,0,56.4,25.8,7.5
375,48,2,24,1,64.7,29.5,11
376,59,2,29.5,1,72.6,28.5,9.5
377,28,1,28,0,55.1,25.9,9.6
378,24,1,24,0,56.6,31.3,10.4
379,22,1,22,0,55.7,23.7,8.7
380,53,2,26.5,1,68.1,30.3,11.9
381,43,2,21.5,1,67.3,29.6,9.4
382,39,1,39,0,61.4,29.4,9
383,35,1,35,0,57.8,30.4,9
384,31,1,31,0,60.8,37.1,11.5
385,44,2,22,1,70.4,28.1,12.7
386,53,2,26.5,1,66.9,27.3,17.7
387,24,1,24,0,52.9,32.4,6.3
388,59,2,29.5,1,72.2,33.8,8.8
389,27,1,27,0,53.4,29.9,11.3
390,23,1,23,0,53.6,31.3,14.1
391,54,2,27,1,71.6,24.3,14.4
392,41,2,20.5,1,63.6,35.4,8.6
393,46,2,23,1,61,32.9,8.3
394,29,1,29,0,58.7,33.7,14.5
395,49,2,24.5,1,62.9,27.9,15.1
396,40,1,40,0,55.9,20.8,10.6
397,59,2,29.5,1,61.6,29.5,16.1
398,56,2,28,1,72.3,27.1,10.8
399,42,2,21,1,66.4,41.3,7.6
400,23,1,23,0,56.3,26.2,9
401,21,1,21,0,56.8,27,9.3
402,41,2,20.5,1,65.2,35.4,5.4
403,45,2,22.5,1,63.2,33.6,9.7
404,37,1,37,0,60.8,33.1,8.6
405,55,2,27.5,1,73.4,44.7,12.2
406,24,1,24,0,50.7,29.2,7.6
407,59,2,29.5,1,68.9,41.4,12.4
408,31,1,31,0,56.4,30.4,11.2
409,23,1,23,0,51,21,8.3
410,35,1,35,0,60.6,18.4,9.6
411,25,1,25,0,53.7,31.7,16.4
412,43,2,21.5,1,69.7,25.3,14.8
413,30,1,30,0,57.2,29.2,14.2
414,49,2,24.5,1,69.9,39.8,10.6
415,26,1,26,0,60.5,30.3,6.8
416,26,1,26,0,56.6,27.2,11
417,30,1,30,0,60.2,19.4,9.7
418,51,2,25.5,1,68.9,27.1,21.3
419,37,1,37,0,54.6,26.8,4.1
420,22,1,22,0,54.7,31.6,8.5
421,25,1,25,0,57.7,30.9,13.7
422,39,1,39,0,61.2,30,3.7
423,59,2,29.5,1,70.2,32.8,10.2
424,52,2,26,1,64.9,29.8,11.6
425,42,2,21,1,67.5,30.4,9.4
426,23,1,23,0,52.2,29.7,6.4
427,39,1,39,0,55.9,32.1,9.6
428,34,1,34,0,60,38.5,13.7
429,48,2,24,1,63.7,25.2,6.4
430,41,2,20.5,1,66,37.5,14.3
431,41,2,20.5,1,65.3,33.5,12.8
432,42,2,21,1,61.6,22.5,6.4
433,38,1,38,0,62.9,28.4,5.4
434,23,1,23,0,53.1,25.2,9.3
435,57,2,28.5,1,73.7,27,11.7
436,21,1,21,0,52.9,20.4,12.6
437,37,1,37,0,57.4,27.2,9.7
438,29,1,29,0,56.6,26.7,10.7
439,24,1,24,0,54.1,26.8,13.1
440,39,1,39,0,58.6,19.6,13.5
441,46,2,23,1,64.2,32.8,12.8
442,57,2,28.5,1,66.5,35.4,11.8
443,35,1,35,0,60.3,33.4,10.9
444,54,2,27,1,66.8,35.3,14.3
445,32,1,32,0,53.5,30.2,12.9
446,39,1,39,0,58.2,37.2,9.8
447,26,1,26,0,53.4,24.2,10.4
448,52,2,26,1,62,25.1,15.7
449,47,2,23.5,1,66.2,32.4,14.8
450,22,1,22,0,55.1,30.4,6.2
451,37,1,37,0,60,26,14.2
452,36,1,36,0,60,29.8,9.5
453,48,2,24,1,64.4,32.4,5.7
454,46,2,23,1,65.8,32.5,14.2
455,36,1,36,0,55.8,34,10.1
456,32,1,32,0,55.7,33.9,12.5
457,30,1,30,0,53.4,16.9,15.3
458,47,2,23.5,1,63.8,39.3,13.6
459,56,2,28,1,71.7,33.9,9.7
460,54,2,27,1,68.4,28.5,10.3
461,36,1,36,0,58,24,6.8
462,23,1,23,0,60.1,32.8,6.7
463,53,2,26.5,1,68.7,32.9,12.1
464,23,1,23,0,53.3,33.7,8.3
465,25,1,25,0,57.7,28.2,11.2
466,46,2,23,1,65.3,29.4,12.8
467,33,1,33,0,62,40.5,10.7
468,28,1,28,0,55.3,18.6,8.2
469,36,1,36,0,57,31.6,5.3
470,54,2,27,1,65.7,33.3,11
471,34,1,34,0,59.2,31.6,6.6
472,20,1,20,0,58.4,30.8,10.9
473,56,2,28,1,68.7,30.2,13.1
474,58,2,29,1,71.2,37.6,11.8
475,40,1,40,0,61,17.7,6.9
476,39,1,39,0,64,25.9,7.7
477,44,2,22,1,68.2,29.8,8.7
478,56,2,28,1,66.6,32.4,11.2
479,27,1,27,0,54,30.7,16.4
480,51,2,25.5,1,66.1,34.3,7.8
481,29,1,29,0,57.1,21.4,3
482,43,2,21.5,1,65.9,30.3,9.8
483,54,2,27,1,70.3,34,8.2
484,25,1,25,0,53.5,35.1,2.7
485,56,2,28,1,68.7,31,8.2
486,38,1,38,0,61.6,37.8,8.8
487,56,2,28,1,69.5,30.2,7.5
488,30,1,30,0,55,28.8,11.6
489,23,1,23,0,57.8,29.1,11.9
490,22,1,22,0,54.6,25.7,8.1
491,59,2,29.5,1,68,35.5,6.5
492,39,1,39,0,64.8,23.2,11.7
493,54,2,27,1,65.7,31.4,8.1
494,37,1,37,0,53.8,27,7.4
495,40,1,40,0,53.2,27.3,10.4
496,27,1,27,0,58.1,34.5,6.4
497,50,2,25,1,66.4,36.3,9.6
498,32,1,32,0,56.8,37.2,7.3
499,27,1,27,0,57,27.4,10.5
500,21,1,21,0,52.9,28.3,6.5
