jugador_id,sesiones_semana,duracion_sesion_min,velocidad_apuestas_min,num_juegos_distintos,apuesta_promedio_mxn,num_depositos_mes,pct_juego_madrugada,pct_incremento_tras_perdida,retiros_mes,ratio_perdida_pct,dias_desde_registro,deposito_mensual_mxn
JUG0264,5,38,7.9,8,159,3,8.9,9.4,2.7,72,506,405
JUG0429,14,97,8.1,3,206,10,24,37.8,0.3,86.4,85,1793
JUG0474,2,65,4.9,6,1131,3,5,9.4,1.5,39.7,665,3899
JUG0031,1,23,2.3,1,64,2,7.2,2.3,0.5,14.7,368,412
JUG0290,5,24,6.1,5,163,2,12.5,9.8,2.5,39,761,588
JUG0288,3,61,7.5,5,165,2,11.7,16.7,1.7,28.9,775,509
JUG0396,8,118,16.2,4,147,10,48.8,57.1,0.9,60.9,164,1978
JUG0405,9,115,17,4,92,9,56.3,58.6,0.2,54.7,95,1200
JUG0328,5,40,7.5,5,75,3,8,7.7,3.4,40.4,434,95
JUG0186,3,24,3.3,3,56,2,9.1,0,0.6,23.3,225,63
JUG0344,4,36,7.3,6,158,3,19.2,7.9,3,35,688,369
JUG0074,1,29,5.1,1,52,3,3.8,1.3,0.7,35.7,264,111
JUG0174,2,19,3,3,46,1,9.9,0,0.8,33,470,0
JUG0378,8,100,9.6,5,366,8,18.1,45.2,0.5,60.6,360,2368
JUG0315,2,66,3.8,4,116,2,8.8,2.6,1.4,39.4,643,0
JUG0240,8,49,8.1,6,169,1,14.1,6.9,1.7,50.3,1023,510
JUG0114,3,18,2.9,1,66,2,5,3.7,1.1,37.3,410,0
JUG0343,7,57,5.6,6,121,2,9.1,3,0,47.5,1002,120
JUG0389,10,79,20.1,5,162,11,39,45.3,0.5,58,456,2003
JUG0032,2,5,3.1,3,42,2,10.1,1.4,0.4,36.7,474,170
JUG0422,13,88,13.7,3,268,9,53.9,50.9,0,67.4,271,2363
JUG0195,1,25,3.1,1,60,2,5.9,2.2,1.1,20.2,411,169
JUG0373,13,72,16.4,5,312,9,47.4,48.6,0.3,50,564,3209
JUG0233,6,56,7.3,7,111,2,11.9,6.7,2.6,39.1,262,326
JUG0318,3,38,6,9,58,5,8.5,6.3,2.6,48.7,374,121
JUG0055,1,15,3.8,3,34,2,13,0.6,0.8,16.7,633,0
JUG0072,2,15,2.3,2,56,2,5.7,1.7,1.7,27.9,534,0
JUG0284,5,32,5.4,3,125,2,18.9,4.1,2.9,44.8,868,302
JUG0272,5,29,7.7,4,108,4,19.1,6.8,2,46,412,288
JUG0178,2,33,3.9,2,43,2,10.4,5.6,0.6,17.2,333,304
JUG0018,2,25,3,2,53,1,3.9,3.5,0.8,29.4,297,42
JUG0040,1,23,3.4,2,50,2,1.3,4.7,0,37.8,412,112
JUG0349,5,42,3.7,4,48,4,19.3,10.2,2.6,41.8,843,0
JUG0479,2,50,11.2,3,1066,6,3.1,15.2,1.6,42.5,875,5497
JUG0266,4,50,5,7,174,3,14.6,16,1.4,28.5,380,318
JUG0109,1,12,1.5,2,52,1,7.4,1.5,1.1,40,535,10
JUG0064,2,17,3.3,2,55,1,3.9,3.9,1.1,14.1,604,560
JUG0222,1,36,6.4,4,50,3,19.3,5.1,0,46.3,212,273
JUG0478,6,35,6.5,3,1138,4,20.9,14.8,1.2,74.2,595,4610
JUG0423,16,92,21.1,6,241,10,17.4,42.4,0.4,76.3,464,2895
JUG0377,13,96,18,8,343,9,34.1,46.9,0.3,70.6,255,2469
JUG0121,4,27,1.4,4,47,0,4.9,1.1,0.2,17.5,51,0
JUG0312,4,49,4.8,5,101,3,9,11.5,4.7,22.7,515,58
JUG0463,5,50,6.2,5,1455,6,8.8,21.7,2.6,55.3,998,10694
JUG0172,1,15,4.2,1,55,1,2.2,1.9,1,30.8,321,0
JUG0006,0,18,2.4,2,49,1,7.8,3.6,1.1,44.9,330,5
JUG0196,4,14,3.6,1,44,1,2.2,2.3,1.1,49.3,480,0
JUG0447,8,48,8.7,4,1455,7,10.7,8.1,1.4,40.1,1118,10367
JUG0043,1,27,3,2,34,2,5.6,2.3,0.9,33.7,506,766
JUG0333,4,43,8,7,148,4,18.6,13.1,1,53.2,773,618
JUG0364,8,92,11.3,5,250,11,58.2,32.8,0.7,78.8,30,2419
JUG0247,5,42,7.5,5,158,2,6.8,14,3.8,59.4,888,547
JUG0475,1,75,10.3,3,1479,6,12.4,18.2,3.5,34.7,1022,10576
JUG0274,6,66,3.1,5,165,4,12.7,12.1,0.5,36.3,404,614
JUG0225,5,57,7.2,6,123,4,21.6,14.1,2.7,49.7,216,368
JUG0017,3,9,3,1,61,2,5.5,0,0.6,30.9,544,136
JUG0289,7,31,5,6,92,5,12.9,7.8,2.8,38,331,718
JUG0300,5,49,6.8,9,28,2,4.3,10.9,1.4,55.5,399,160
JUG0457,5,34,5.1,4,997,6,3,6.8,1.6,43.5,780,5095
JUG0048,2,16,2.9,4,28,2,6.9,1.7,0.6,27.2,239,103
JUG0162,1,18,2.3,2,48,2,4.5,2.5,0.9,39.2,442,0
JUG0439,7,91,18.5,5,267,5,60.8,20,0,76.4,120,1339
JUG0058,1,14,3.2,3,18,0,3.5,0.2,0.9,35.5,459,0
JUG0113,2,34,4.9,3,18,1,1.5,5.9,1.6,18.6,687,257
JUG0472,0,38,7.5,4,1665,1,9.4,14.1,2.1,45.9,175,NA
JUG0009,2,20,2.5,2,32,2,7.5,3.5,1.1,33.9,205,0
JUG0342,6,39,6.6,5,170,3,2.4,12.3,2.8,37.6,839,605
JUG0372,13,90,13.7,5,277,7,49.7,55.3,0.4,68.7,560,1931
JUG0334,4,42,8.8,6,78,1,11.1,6.4,2.5,43.7,612,0
JUG0414,15,135,13.9,4,269,11,43.1,54.6,0,67.9,215,3188
JUG0466,5,64,8.2,6,854,4,7.4,13,3.5,58.2,829,3863
JUG0485,7,40,7.9,6,1442,4,10.9,0.5,1.3,33.2,1080,5545
JUG0317,3,48,3,4,106,3,18.3,5.9,2.9,39,697,460
JUG0028,2,24,4.2,2,32,2,0,1.8,1.3,33.8,580,231
JUG0054,2,18,3.2,2,41,2,9,0,0.4,49.6,224,225
JUG0216,6,46,5.9,6,135,3,4.8,0,2.1,35.4,609,676
JUG0360,10,28,17.1,6,207,10,43.1,43.9,0.6,77.4,44,2284
JUG0432,14,109,13.6,4,247,7,23.2,49.2,0.4,63.4,191,2115
JUG0227,4,36,6.7,8,133,4,13.6,3.9,2.9,61.7,1019,642
JUG0385,10,93,14.9,5,260,9,44.7,33.9,0.7,58.5,595,2849
JUG0468,3,53,6.5,3,443,3,6.5,1.2,2,54.7,980,871
JUG0159,2,27,1.8,2,35,1,3.2,1.9,0.6,36,493,354
JUG0242,5,53,5.3,8,114,4,11.9,20.4,3.5,41.9,630,261
JUG0445,5,52,7.7,2,1149,3,14.7,14.2,2.3,54.1,950,3074
JUG0116,2,8,2.7,2,61,2,7.6,2.3,0.8,35.2,409,39
JUG0338,3,44,5.3,7,120,3,13.1,4.2,5.2,53.6,597,430
JUG0008,1,15,3.1,3,43,2,0,0.3,1,45.4,405,7
JUG0081,1,18,3,2,40,2,5.6,1.3,1.8,41.3,213,81
JUG0149,2,14,3.1,3,31,2,5.7,5.6,0,24,589,0
JUG0112,1,14,3.1,2,60,2,1.8,1.3,0.4,50.1,388,472
JUG0252,6,46,5.2,7,164,4,10.6,10.1,2.4,13.7,676,531
JUG0079,2,26,3.5,2,47,1,4.3,4,0.7,17.9,76,0
JUG0214,5,66,8.2,6,167,3,11.5,9.6,0.7,76.9,404,541
JUG0299,5,69,7.4,8,85,1,18.4,12.8,2,52.8,413,319
JUG0200,2,13,3.6,2,43,2,4.8,2,0.7,21,427,241
JUG0075,2,33,3.1,1,24,2,5.9,1.5,1.2,30.1,494,204
JUG0173,3,15,3.1,2,66,1,3.3,2.1,0.8,16,552,26
JUG0223,4,60,5.2,6,62,3,9.6,8.3,3.7,48.3,771,563
JUG0346,6,53,4.5,6,158,3,13.7,3.2,2.7,24.2,916,77
JUG0332,5,71,4.4,6,141,2,17.5,4.6,1,48.6,406,83
JUG0350,6,40,3.9,6,174,2,1.3,13.9,1.9,24.9,597,357
JUG0256,4,26,7,5,131,2,20.2,7.4,3.7,36.2,481,270
JUG0180,2,24,4.5,1,10,1,1.5,0,0.4,19.2,660,48
JUG0129,3,24,3.9,2,33,2,1.4,3.9,0.5,26.7,294,0
JUG0246,5,36,8,7,75,3,11.5,14.3,4.7,53.1,564,159
JUG0480,2,58,7.3,2,1041,3,0,25.9,3.9,64.1,988,3439
JUG0138,3,26,5.3,4,43,2,3.5,0,0.9,26.7,412,0
JUG0351,15,127,14.3,3,266,8,64.9,33.5,0.5,81.6,464,2199
JUG0141,2,25,0.9,2,22,1,8.5,3.5,0.2,33.5,443,0
JUG0295,5,42,6.3,4,155,5,12.3,15.9,2.3,38.3,397,903
JUG0220,8,58,5.7,9,54,3,7.6,3.5,2.5,25.6,706,442
JUG0122,4,15,4.6,2,26,1,1.5,0.3,1.6,8,442,0
JUG0211,4,50,7.9,6,24,3,7.3,9.2,2,56.6,568,255
JUG0068,3,26,2.3,2,39,1,7.9,3.8,0.6,36.2,357,115
JUG0461,5,25,9.5,5,1461,5,23,15.2,2.3,45.3,1177,7822
JUG0418,15,91,12.6,5,370,10,49.1,41.2,0,74.8,379,2932
JUG0142,2,13,3.3,1,23,3,2.1,2.4,0.8,39.9,464,0
JUG0453,4,60,4.5,4,1135,4,23.4,9.1,2.1,62,897,4287
JUG0345,4,47,5.4,4,117,2,4.9,16.4,2.4,56.6,940,295
JUG0369,14,111,14,6,154,5,71.9,48.3,0.9,78.1,451,877
JUG0193,4,12,3.7,1,27,2,7,5.6,0.9,35.4,304,46
JUG0393,5,106,14.5,4,170,8,57.5,28.6,0.4,91.1,270,1516
JUG0428,7,103,10.8,4,310,10,37.4,49.8,0,81.4,275,2884
JUG0442,5,36,9.2,5,1452,3,5.6,9.2,3,65.4,897,3911
JUG0387,14,73,13.3,6,322,10,35,39.8,0.1,78.2,125,2327
JUG0096,2,19,4.8,3,28,1,3.4,1.2,0,48,426,217
JUG0492,4,61,10.4,5,1360,2,4.6,17.3,2.8,41.4,576,2973
JUG0165,2,15,3.7,3,44,1,7,1.9,1.3,18.1,577,0
JUG0433,18,122,19.3,4,229,7,38.2,30.7,0.1,58.4,361,1956
JUG0279,4,35,7.8,8,94,4,11.8,3.7,3.8,78.2,508,498
JUG0060,1,35,1.7,1,15,1,9.9,0.8,1.1,32.3,661,19
JUG0066,2,25,2.2,2,29,2,5.9,1.4,0,38.3,541,205
JUG0267,5,45,8.6,7,150,3,13,1.5,0.7,47.1,689,248
JUG0327,7,48,2,6,149,3,17.6,18.7,0.1,26,529,410
JUG0002,1,23,3.9,2,42,2,5.7,2.9,0.6,18.4,531,52
JUG0001,3,29,4.8,1,43,1,2.2,3.3,1.4,13.7,554,0
JUG0198,0,36,1.7,2,47,2,4,0,1,36.5,406,0
JUG0014,2,18,1.4,3,46,1,8.7,2.9,1.1,29.7,514,190
JUG0371,14,90,17.8,6,138,13,47.7,42.9,0.6,74.2,197,1326
JUG0258,7,62,5.5,7,132,3,9.6,4.1,2.2,31.2,666,215
JUG0391,6,121,13.2,4,396,13,36.3,46.5,0.6,67.4,229,5410
JUG0324,7,58,2.5,5,71,3,4.9,8.7,3,47.5,964,88
JUG0156,3,31,2.4,1,35,1,3.4,3.2,1,19.1,301,12
JUG0310,6,65,5.2,5,179,3,5.1,7.1,3.2,46.7,833,940
JUG0281,6,49,4.8,9,97,4,10,9.5,2.7,40.4,624,624
JUG0458,6,64,5.3,5,1238,4,12.5,9.6,2.4,55,837,5008
JUG0500,2,102,6.4,5,1906,4,4.7,9.2,1.4,45.6,1119,8359
JUG0095,0,13,4.5,2,28,2,9.1,0.9,0,42.4,460,341
JUG0057,1,13,3,2,33,1,2.6,2.3,0.9,37.6,366,29
JUG0094,3,23,2.5,2,39,1,6.4,7.4,1.3,30.7,551,191
JUG0366,15,107,10.9,6,300,13,53.4,36.7,0.5,65.2,283,4009
JUG0053,1,24,3,2,47,3,2.7,0.4,0,24.5,343,216
JUG0409,12,61,18.4,5,256,7,52.7,38.8,0.4,80.2,310,1740
JUG0144,1,14,1.8,2,65,1,5.7,2.2,1.6,30.9,406,0
JUG0230,6,44,4.7,5,79,3,10.7,2.6,1.3,34.3,572,161
JUG0368,12,95,10.1,4,215,4,36.7,35.2,1.2,95.9,305,1114
JUG0175,2,12,2.9,3,30,3,1.3,6,0.6,30,422,214
JUG0244,6,41,4.8,6,123,4,17.7,5.8,2.9,24.7,784,361
JUG0139,3,21,2,3,10,0,6.9,2.1,0.9,44.6,157,0
JUG0201,4,59,6.4,4,92,2,14.4,12.9,2.1,60.2,360,447
JUG0353,17,75,12.2,5,396,6,27.4,21.9,0.2,80.2,309,2293
JUG0301,5,26,3.7,4,101,4,15.5,8.1,2.1,43.1,919,548
JUG0469,8,62,8.4,8,1625,5,9.6,17.4,2,50.4,410,7944
JUG0374,8,88,8.8,5,269,11,62.3,37.8,0.6,86.8,283,3707
JUG0270,4,54,4.2,6,86,4,14,2,1.8,46.1,696,348
JUG0108,3,17,3.8,2,54,2,1.7,2.3,1.2,30,588,80
JUG0046,3,17,2.1,3,32,2,1.7,3.7,1.1,23.2,405,0
JUG0352,10,95,14.4,7,336,10,29.4,45.7,1.3,59.5,337,3312
JUG0197,2,26,3.1,1,57,2,6.6,0.6,0.6,15.8,421,0
JUG0205,5,52,7.5,5,113,2,6,4.1,1.7,46.8,754,601
JUG0253,4,49,5.6,7,137,1,1.6,2.5,2.3,31.4,781,444
JUG0259,4,55,4,4,133,3,10.8,6.3,2.8,34.5,688,136
JUG0147,2,17,4,1,29,2,7.9,4.9,0,37.1,196,0
JUG0177,0,9,4.3,3,32,1,4.4,0.5,1.5,33.8,282,0
JUG0473,3,52,9.1,4,937,7,0.4,15,1.2,98,1043,7415
JUG0030,4,35,5.3,2,36,2,2.3,3.4,0.7,36.3,622,0
JUG0157,1,14,3.1,3,50,2,2.3,0.4,0.4,37.1,312,357
JUG0217,6,44,5.2,7,152,2,25.1,12.3,3.7,57.5,597,895
JUG0427,10,101,9.7,4,272,12,60.9,37.1,0,72.2,107,3216
JUG0499,3,73,8.5,5,775,2,17.5,15.8,0,66.5,847,971
JUG0459,5,57,7.4,4,809,5,27.4,12.4,0.9,42.4,916,4169
JUG0477,4,72,6.8,6,752,5,21,9.5,0.7,31.9,637,4558
JUG0411,14,121,13,4,235,8,55.5,51.5,0.3,77.3,347,1916
JUG0091,0,17,1.2,1,46,2,0,4.4,1.5,15.5,499,0
JUG0123,2,7,3.5,1,35,0,1,1.9,0.9,28.6,504,0
JUG0103,2,20,1.7,1,56,0,4.9,2.4,0.9,27.4,343,NA
JUG0016,3,10,1.8,3,41,2,1.9,0.7,1.3,35.1,662,34
JUG0070,2,21,3.6,3,57,0,5.6,5,0.3,26.4,354,126
JUG0323,4,38,5.2,6,106,4,8.8,13.2,3.3,38.9,1069,NA
JUG0061,2,19,4.3,3,27,1,2.8,4.6,1,29.9,428,134
JUG0384,13,54,12.2,5,116,10,26.6,45.5,1,78.7,285,1453
JUG0154,3,13,3.5,3,31,1,5.5,1.1,1.2,29.4,342,234
JUG0394,13,92,17.9,7,218,6,52,59.7,1.1,63,177,1094
JUG0005,1,20,4.1,2,31,1,5.2,0,0.4,27.7,197,0
JUG0357,13,89,12.8,5,96,11,29.6,16.1,0.5,82.5,236,908
JUG0302,5,39,4,5,128,3,14.7,13,2,64,520,445
JUG0431,11,56,11.1,6,285,6,57,65.7,0,69.4,264,NA
JUG0052,2,22,2.5,1,36,3,3.9,6.4,0,18,411,192
JUG0241,5,50,6.2,8,142,2,8.1,12.4,2.3,40.6,934,107
JUG0120,1,22,3.3,3,35,2,4.7,0.4,1.5,16.2,334,0
JUG0426,15,80,12.3,4,255,8,29.4,35.3,0.8,76.5,199,1707
JUG0238,6,61,7,8,81,4,7.4,14.3,1,66,719,244
JUG0245,5,50,4.4,8,149,2,11.4,6.1,2.7,61.7,678,279
JUG0067,0,18,3.8,2,42,1,2.6,3.6,1.1,39.9,506,75
JUG0291,7,19,4.5,5,123,2,6.5,5.3,4.5,40.3,355,444
JUG0250,4,47,6.3,7,180,3,7.9,6.2,4.4,39.4,224,1002
JUG0132,5,14,3.1,1,36,2,7,4.2,1.3,14.5,563,472
JUG0086,3,22,3,2,39,2,9,0.1,0.7,15,356,136
JUG0376,11,80,13.9,4,242,8,52.9,47.1,0.3,85.6,281,1961
JUG0337,5,22,8.2,6,154,2,5.4,8.8,1.9,45.2,576,632
JUG0321,8,73,4.3,6,0,1,10.1,7.2,3.2,39.8,617,492
JUG0446,2,71,8.2,3,1099,3,11.6,14.7,1.5,87.1,1001,3900
JUG0104,1,24,1.9,3,45,2,5.5,0,0.6,32.4,439,28
JUG0494,6,57,7,4,1007,5,0,15.3,3.2,38.9,331,6080
JUG0160,2,10,5,3,39,2,1.5,0,1.1,22.4,94,157
JUG0424,8,103,19.1,5,282,10,35.3,32.4,0.6,74.3,352,3314
JUG0226,7,24,5.3,5,79,1,15.7,9.4,0.9,44.5,184,137
JUG0188,3,12,4.6,2,58,2,8.3,2.8,0.6,39.6,345,0
JUG0063,2,12,2.4,3,24,1,1.2,0.4,1.6,31.5,566,308
JUG0415,13,86,18.9,1,300,10,58.7,43.7,1.1,78,232,NA
JUG0209,5,20,2.1,6,151,3,8.9,7.7,2.6,51.7,527,178
JUG0189,2,9,3.2,2,11,0,4.8,4.6,0.6,34.4,222,0
JUG0145,3,6,2.7,4,44,1,1.3,2.7,0.8,34.6,194,0
JUG0131,2,8,2.7,1,39,2,1.6,3,1.1,32.7,228,0
JUG0192,2,14,2.9,1,26,1,4.2,4.5,1.1,43.9,280,0
JUG0206,8,45,4.1,10,159,2,14.2,9.8,2.5,38.6,551,421
JUG0380,14,60,12.8,3,296,10,61,46.2,0.8,81.8,215,2432
JUG0489,2,65,9.1,5,1309,5,12.5,12.6,0.1,53.8,1215,6945
JUG0235,4,52,5.8,5,86,3,16.6,11.2,2.6,43.1,800,178
JUG0370,13,100,14.5,5,342,9,53.8,39,0,67.2,495,3604
JUG0294,6,57,5.7,5,91,2,11.5,12.8,2.6,55.9,385,0
JUG0417,15,30,14.7,3,93,8,42,30,0.1,83.7,425,1015
JUG0412,9,85,15.7,2,256,7,32.9,55.7,0.5,76.8,439,1696
JUG0224,4,52,7.5,5,125,4,11.2,14,2.4,39.9,323,653
JUG0325,6,37,7.5,5,65,3,5.4,7.6,2.6,39.9,722,171
JUG0024,3,20,3.6,1,34,1,7,1.5,1.2,29.8,438,93
JUG0495,3,64,8.8,3,1147,4,10.9,4.6,2.5,32.2,677,5221
JUG0202,6,37,7.1,4,164,4,18.3,16,1.5,36.1,207,620
JUG0481,5,79,8.1,3,1465,5,5.4,8.3,2.3,58.6,1656,7507
JUG0062,2,29,3.8,3,38,1,0.5,3.2,1,28.5,421,482
JUG0255,7,43,5.7,6,63,4,1.1,9.7,2.6,33.5,530,212
JUG0410,8,65,7.2,5,323,7,58.4,46.4,0.2,76.7,369,2047
JUG0056,2,32,1.9,1,26,3,3,4.1,0,30.3,588,0
JUG0451,5,59,13.3,5,1670,7,0,4,1.9,50.3,353,9692
JUG0482,6,60,6.8,2,1728,2,7.9,13.2,2.1,50.3,958,3126
JUG0219,7,38,5.9,7,83,5,15.2,9.9,1.5,45,404,220
JUG0359,9,102,10.6,6,336,7,58.4,31.1,0.2,84.1,38,2757
JUG0035,2,22,4.1,1,6,2,0.6,0,1.3,14.8,102,0
JUG0126,2,30,3.3,2,37,3,4,2.2,1.1,29.6,473,226
JUG0464,5,61,12.4,5,706,3,8.2,12.9,0.9,39.6,872,2424
JUG0073,3,28,4.3,3,48,1,4.1,0,1.2,40.7,335,0
JUG0322,5,43,3.3,6,91,4,15,5.1,3.7,40.2,784,314
JUG0117,2,20,3.8,2,14,3,8.6,0.5,1.3,28.6,285,47
JUG0329,6,40,6.5,6,128,4,16.2,10.9,4.4,43.9,489,507
JUG0283,3,32,4.2,7,102,2,4.2,5.8,3.6,39.7,712,319
JUG0413,14,101,13.6,6,252,11,60,56.3,0.7,73.5,339,3299
JUG0163,1,20,4.2,1,24,2,8.9,2.5,0.4,32.2,377,263
JUG0335,4,38,6.2,7,208,2,5.3,2.4,2.7,22.6,972,247
JUG0107,0,15,1.6,2,22,3,9.7,1.3,1.1,38,581,77
JUG0356,12,105,9.6,6,304,8,34.2,48.3,0.8,63.1,348,2479
JUG0234,6,65,7,6,59,3,8.2,13.4,5.3,31.7,255,285
JUG0237,2,29,6.8,8,100,4,2.8,15,2.5,28.7,279,486
JUG0213,4,47,8.2,4,123,2,12.2,10.9,3.3,47.1,532,408
JUG0143,3,29,2.5,1,43,3,5.6,4.5,0.9,34.9,262,617
JUG0033,2,31,3.5,4,34,2,6.9,3.5,0.3,28,486,0
JUG0169,1,16,2.3,1,58,2,6.6,0,1.2,24.7,368,0
JUG0408,17,113,11.1,5,91,9,51.3,7.1,0.2,95.3,228,372
JUG0251,5,50,4.6,7,136,1,9.6,9.9,3.6,48.9,473,132
JUG0153,3,21,3.3,1,18,1,6.1,2.9,1.3,37.8,706,58
JUG0398,11,65,9.5,5,340,11,24.1,33.1,0.5,76.9,321,3494
JUG0119,4,23,2,2,42,1,3.7,1.5,0.9,23,389,395
JUG0448,4,70,9.6,5,1640,3,23.5,16.5,0.7,43.3,903,4527
JUG0010,2,27,3.4,1,18,1,2.7,0,1.2,27.8,253,0
JUG0158,1,35,2.8,4,14,1,5.2,2.6,1.1,26.2,412,157
JUG0440,16,138,15.4,3,280,6,40.2,36.2,1.1,98,419,1631
JUG0007,1,21,3.7,2,35,1,10.5,4.4,1.2,31.4,276,0
JUG0191,3,23,0,3,24,2,5.4,1.5,0.8,48.2,568,495
JUG0190,1,23,3.6,3,47,1,2.5,1.2,0.7,31.2,256,0
JUG0179,4,11,3.8,3,44,1,1,5.1,1.3,37.2,318,5
JUG0355,7,73,9.1,4,420,8,46.5,47.9,0.4,98,104,2776
JUG0065,0,19,2.9,3,31,1,0.7,0.5,1,49.3,562,0
JUG0397,13,66,16.9,5,112,5,39.2,44.7,0.1,89.2,237,196
JUG0273,5,38,5.7,3,130,4,0.6,5.6,0.5,24.4,391,277
JUG0027,4,15,3.6,1,44,3,5.4,0.7,1.1,32.6,533,0
JUG0493,3,40,9.6,4,1062,6,20.8,8.1,1.6,58.8,764,5728
JUG0039,3,16,3,1,40,3,3.7,2.8,1.2,28,241,118
JUG0036,3,31,2.7,1,37,2,0.4,0,0,19.4,430,327
JUG0399,17,95,13.8,8,328,4,22.8,33.3,0.1,78.8,178,1389
JUG0416,12,72,12.9,5,238,4,52.5,54.9,0.8,71.4,64,522
JUG0491,7,47,8.9,4,410,4,14.4,12.9,2,42.1,306,1467
JUG0363,6,99,11,5,288,6,50.5,43.1,0,78.4,324,1970
JUG0484,3,61,9.2,3,1323,5,0,4.6,1.9,26.8,1397,7678
JUG0497,5,48,11.5,2,1352,3,6.8,6.6,3.1,40,762,4116
JUG0441,5,58,5.2,3,1339,6,7.5,6.7,1.6,56.2,1117,7372
JUG0382,13,117,13.9,5,350,8,42,32,0.8,77.3,208,2957
JUG0476,5,65,7.6,3,1214,4,6.9,9.7,2.1,56.6,549,NA
JUG0276,6,64,4,5,128,2,10.7,4.3,1.7,42.4,216,232
JUG0111,1,25,2.9,2,62,1,0.3,0.2,0,43.3,298,21
JUG0105,3,16,2.1,1,33,2,4.6,4.5,0.5,23.1,496,0
JUG0130,3,16,4.3,2,35,0,0,2.5,0.8,23.2,415,0
JUG0280,3,35,5.3,3,41,4,10.6,14.6,0,51.7,621,142
JUG0401,16,100,18.8,5,289,10,50.7,25.9,0,69.1,137,2785
JUG0125,0,24,2.5,2,42,3,4.4,3.6,0.7,27.1,468,247
JUG0490,1,37,8.8,6,1787,1,13.6,17.9,3.5,65.7,1122,1760
JUG0236,6,31,8.4,6,186,2,12.6,7.2,1.9,42.3,508,448
JUG0320,6,38,5.6,6,157,3,2.4,10.4,2.3,48.4,912,579
JUG0080,3,25,4.4,2,45,1,1.2,0,1.3,17.7,466,0
JUG0303,4,31,8.3,6,108,1,9,8.2,2.6,44.8,434,444
JUG0185,2,21,3.7,3,27,0,2.7,5.1,1,31.6,495,149
JUG0092,3,21,3.2,2,26,2,6.7,1.2,0.4,34.3,331,0
JUG0084,0,26,4.2,4,49,1,0,2.2,0.8,22,591,21
JUG0137,1,11,4.5,2,66,2,6.8,4.4,0.8,18.2,386,624
