municipio,pct_urbano,pct_ocupados_primario,pct_ocupados_servicios,densidad_pob_km2,pct_poblacion_indigena,escolaridad_prom_anios,pct_viviendas_internet,pct_agua_entubada,tasa_mort_infantil,pib_per_capita_mxn,gasto_pub_per_capita_mxn,indice_rezago_social
Municipio_076,73.3,0,67.6,1112,0,10.6,74.4,93.5,7.7,234973,7863,-0.85
Municipio_384,30.9,66.1,21.3,536.4,37.1,5.2,8.5,62.6,20.8,20625,9643,1.39
Municipio_253,80.2,3.9,74,1008.9,2.8,7.1,13.4,65,14.8,20000,7242,1.1
Municipio_396,10.8,68.4,32,354.6,40.1,5.5,17.2,64.1,22.2,87686,9175,1.56
Municipio_260,78.4,17.6,61.2,1647.3,0,5.7,26.9,77.4,19.8,70318,8515,0.73
Municipio_285,91.2,4,60.1,1460.7,2.8,7.8,4.1,64.2,20.6,43662,7718,1.03
Municipio_196,100,6.6,89.4,1677.8,6.7,6.9,10.7,75.1,20.1,49102,8108,1.17
Municipio_088,75.9,0,75.5,1745.2,4.1,12.4,77,83.6,7.2,233322,7053,-1.14
Municipio_350,32.3,53.4,34.8,5,37.6,7.9,22,70.5,25.1,85880,6829,0.58
Municipio_395,22.3,57.1,27.2,7.3,39.1,4.5,39.9,70.6,22.5,20486,7995,0.87
Municipio_186,32.4,52.2,12.4,225.9,33.4,12.3,80,93.7,6.7,240693,6916,-1.44
Municipio_137,11.9,50.9,22.6,519.2,26,12.9,78.9,94.3,10.7,276211,7563,-1.07
Municipio_147,29,54.3,19.4,256.7,39.7,10.6,90.1,100,9.4,267766,4745,-1.05
Municipio_273,83,11.4,86.8,1633.9,0.1,6.9,10.3,67.4,25.5,82911,5088,0.81
Municipio_386,5.1,65.9,28.9,156.7,36.6,7.2,39.5,76.1,23.7,43668,7089,0.29
Municipio_372,27.4,68.7,37.6,5,32,7,27.7,64.1,21.5,70972,7830,0.82
Municipio_247,86.7,8.6,65.2,1572.3,0,7.6,32,69.9,20.7,66778,9096,0.67
Municipio_340,30.8,51.5,19.9,181.6,41.3,6.6,4.9,76.1,17.2,49996,6598,1.09
Municipio_094,96.8,0,72.9,1428.8,14.5,11.2,68.3,88.6,7.3,247772,8599,-0.62
Municipio_232,89.9,11.9,74.9,1445.8,2.4,5.9,24.1,77.8,26.1,32520,7432,0.61
Municipio_169,16.3,53.9,27,119.5,36.1,12.4,64.6,98,1,178881,8425,-0.86
Municipio_245,84.9,23.1,71.7,1439.8,8.4,7.4,21.4,69.7,18.8,127494,7691,0.82
Municipio_234,89.4,3.6,69.4,1658.2,2,5.3,34,68.8,19.5,47032,10836,0.74
Municipio_059,86.6,1.6,77,1118.7,0,9.8,62.4,91,7.7,218601,8541,-0.68
Municipio_292,77.2,12.1,76.3,1812.3,9.5,7.2,13,71.9,23.5,20000,6605,1.08
Municipio_067,63.4,24.4,61.3,1955,2.8,11.4,78.2,94.3,6.4,190084,8290,-1.09
Municipio_338,11.6,41.7,48.1,124.3,37.3,6.7,29.2,66.5,15.8,69614,10681,1.07
Municipio_026,100,0,76.3,1346.6,1.5,11.7,74.6,90.8,4.9,223834,8633,-0.79
Municipio_185,27.6,26.9,15.6,199.4,24,10.5,71.4,96.7,7.1,197426,7933,-0.72
Municipio_061,83.3,1.5,65.5,1381.8,4.7,10.5,81.8,91.3,7.5,239942,7948,-0.87
Municipio_391,2.7,77,0,5,32.2,8.4,12.3,69.8,17.6,64902,8273,0.66
Municipio_106,31.7,57.1,32.7,187.9,18.4,11.2,65.1,100,6,234509,7885,-0.7
Municipio_139,36.4,60.3,24.4,252.3,35.1,9.5,89.8,86.7,3.6,219928,7743,-0.82
Municipio_028,85.7,22.3,70,1310.8,6.5,10.8,81.8,96.7,8.4,267130,8816,-1.16
Municipio_307,14.6,52.1,12.7,118.4,27.7,6.8,3.2,77.2,17.7,45008,5867,0.85
Municipio_202,90.5,6.8,82.6,948.3,5.7,7.7,22.1,70.2,17.4,100081,6313,0.46
Municipio_082,100,0,83.6,1154.5,9.9,9.9,89.7,93.2,7.4,192696,6393,-0.94
Municipio_111,7.3,53,37.3,5,32.1,12.6,60.7,93.3,9.8,229235,5679,-0.94
Municipio_164,34.3,59.2,26.7,5,24.4,11.6,70.3,90.1,3.9,231398,6952,-1.15
Municipio_237,57.8,16.2,72,976.1,0,6.2,33.1,68.4,20.2,66233,7488,0.63
Municipio_008,72.8,0,76.3,1517,2.2,11.5,53.3,87.4,4.3,225485,7904,-0.64
Municipio_144,9.6,49.5,22.9,360.6,35,12.8,85.8,91.8,2.9,NA,9494,-1.32
Municipio_015,54.4,3.1,91.2,1802.2,0,13.2,80.4,88,8.3,212808,6951,-0.99
Municipio_335,15.7,49,6.4,5,39.8,8.7,19.6,66,24.2,69712,7750,0.6
Municipio_054,90.4,4.4,68.9,1741.4,0,11.3,81.2,81.6,6.9,204813,6486,-0.72
Municipio_080,94.4,15,58.6,1352.2,7.6,11.6,69.3,97.2,7.8,165804,8692,-0.72
Municipio_100,89.4,15.6,70.8,1616.4,3.8,12.8,95,91.3,11.3,220247,6406,-1.56
Municipio_150,6.3,63,15,5,28.1,12,72.6,94.5,13,205795,6322,-1.26
Municipio_221,85.8,0,69.6,1573.8,1.9,6,4,76,22.7,53776,6450,0.94
Municipio_325,34.3,44.9,21.4,268.2,38,5.4,27.6,68,18.5,118382,7668,1.08
Municipio_287,75.1,20.2,68.2,1295.6,0,7.1,18.3,79.1,20.7,59474,10077,0.72
Municipio_344,16.9,58.3,14.3,5,28.7,7.6,31.5,70.2,24.3,110319,8135,0.32
Municipio_193,100,0,63.1,1524.9,3.6,5.9,33.4,76.2,18.1,77510,7744,0.61
Municipio_236,93.9,5.9,70.9,1250.8,0,8.2,22.4,61,20.2,61241,6822,0.73
Municipio_275,92.3,14.8,75.2,1792.2,0.6,7.7,41.1,70.6,19.9,29116,5838,0.42
Municipio_347,32.2,57.3,35.2,131.3,34.5,6.6,6.9,74,20,39215,7924,1.2
Municipio_170,21.9,53.2,18.9,162.6,33.3,11.6,50.7,97.1,5,171619,6637,-0.79
Municipio_271,89.2,31,85.1,1283.1,0,7.1,7.7,70.7,16.7,67623,7604,0.77
Municipio_368,25.6,57.6,7.5,97.4,37.8,6.3,18.5,62.2,18.5,20000,10302,1.1
Municipio_342,29.3,48.3,28.6,205.2,27.7,7.9,28.4,64,23.2,45275,7838,0.62
Municipio_362,0,59,19.5,288.7,33.3,6.2,17.2,68.2,19.4,56556,8789,1.3
Municipio_383,9.3,66.1,43.9,5,31.1,7.4,11.5,66.8,20,76688,10058,0.87
Municipio_217,92.3,4.7,74.1,1546.6,12.6,7.4,37.8,69.9,21.7,43341,8953,0.5
Municipio_215,80.7,8,72,1920.5,12.5,6.9,20.1,72.8,17.8,20000,8700,0.74
Municipio_230,93.4,9.8,96.3,1655.8,10.5,5.8,6.9,64.3,23,58574,6083,1.19
Municipio_027,100,11.9,76.7,1608.3,11.9,11.5,76.9,94.7,6.1,181811,8311,-1.32
Municipio_118,39.1,48.6,24.2,125.4,33.6,11.3,64.2,96.8,9,246623,6261,-0.88
Municipio_243,99.3,0,74.1,1680.5,0.9,8.7,40.7,70,17.2,20051,7264,0.34
Municipio_105,36.9,55.5,34.8,34.2,38.6,10.8,67.1,94.9,7,188433,6884,-0.84
Municipio_115,16.5,41.6,22.1,5,26.6,11.1,75.2,97,8.8,178950,8756,-0.84
Municipio_157,16.5,63.6,11.9,15.4,42.8,11.9,72.6,100,10.6,235682,6645,-1.02
Municipio_303,14.7,52.1,13.9,5,39,6.4,35.9,68.8,15.8,32511,7638,0.62
Municipio_089,99.1,16.9,67.1,1301.6,1.9,11.3,77.2,99.7,6.5,261942,4512,-1.38
Municipio_366,35.7,51,22.9,166.3,26.7,7.3,19.4,72,21.9,65422,7965,0.56
Municipio_040,75.1,0,89,1866.2,10.2,11.9,77.9,99.9,5.8,206068,5313,-0.92
Municipio_140,29.6,51.5,44.8,52.1,33.9,10,83.2,88.1,7.6,211482,7415,-0.68
Municipio_073,100,12.6,64,1433,1.5,11.8,66.2,94.1,13.4,221664,8559,-1.06
Municipio_381,26.8,52,21.9,78.8,39.9,6,34.6,65.2,22,40507,9372,0.8
Municipio_378,8.7,43.2,34.2,5,38.2,8,19.4,78.4,18.1,75035,8238,0.69
Municipio_357,27.4,42.9,27.2,184,33.4,4.9,17.4,64.4,20.5,32290,7967,1.28
Municipio_228,75.3,0,85.1,1186.8,8.1,6.1,35.2,54,22.8,57542,6587,0.89
Municipio_096,81.9,9.6,83.8,1524.5,6.6,10.6,100,96.1,7.2,224229,5012,-1.06
Municipio_179,43,47.8,20.5,328,27.3,11.5,65.4,100,10.5,185631,8623,-1.15
Municipio_322,27.3,62.4,41.1,40.1,40.4,6,23.9,63,21.6,89054,8893,1.06
Municipio_392,49.9,47.2,25.4,140.4,28.9,5.8,10.4,67.5,22.1,88287,9206,1.04
Municipio_069,73,0,81,1033.2,10.9,10.3,86.6,87.4,1.9,177266,6830,-0.89
Municipio_288,72.8,15.2,82.3,1748.9,6.1,7.7,25.8,65.6,22.7,86163,6525,0.85
Municipio_097,73.5,0.6,61.3,1690.8,5.6,12.6,78.5,87,6.3,197057,8139,-0.98
Municipio_279,79,16.3,79,1908.6,2.7,6.1,9.1,67.9,24.2,36398,9088,1.27
Municipio_309,31.7,76.2,11.7,5,33.5,6.8,18,73.2,18.9,56773,6715,0.93
Municipio_007,76.2,0,84.3,1685.2,4.4,11,77.6,96.8,10.9,208767,8359,-0.92
Municipio_019,75.3,0.8,59.4,1458.8,0.1,10.8,66,100,5.2,211709,8428,-0.76
Municipio_011,80.1,0,68.9,1831.6,2.3,12.3,72.1,92.6,9.6,191754,5497,-1.08
Municipio_178,29.2,53.5,12.6,5,32.9,11.5,95.8,96.2,13.3,128245,7128,-1.54
Municipio_239,89.8,4.2,74.4,1883.8,4.2,6.4,4.7,66.7,17.3,103341,7551,1.41
Municipio_301,23.2,43.6,34,5,35.9,6.3,9.3,69.7,19.2,22521,7023,1.29
Municipio_359,12.8,46.3,14.8,130.2,33.1,7.7,22.6,65.9,24.1,62275,7140,0.61
Municipio_321,46.3,43.6,10.3,5,27.7,3.3,24.9,68.9,18,53488,8292,1.35
Municipio_074,74.8,20.1,70.9,947.2,0,12.1,71.9,99.5,6.6,136512,7296,-1.23
Municipio_280,70.4,0.6,87.2,1380.4,10,4.9,15.2,62.4,25.9,76501,4467,1.19
Municipio_133,32.1,41.3,37.8,480.6,31.1,12.1,87.6,91.4,3.3,209657,7557,-1.28
Municipio_330,38,55.6,38.3,6.6,37.8,6.2,18,58.9,19,38953,7306,1.02
Municipio_219,97.8,1.5,69.2,1617.6,0.4,5.9,17.8,60.4,21.5,36815,6285,1.08
Municipio_398,20.1,54.5,14,134.6,39.9,7.7,27.3,67.3,26.5,78032,8009,0.67
Municipio_341,30.7,51,6,92.8,38.1,8,12.5,75.1,18.3,NA,8410,0.64
Municipio_242,86.3,13.7,75.4,1645,8,6.6,37,66.1,23,94071,8676,0.87
Municipio_030,100,11,90,1237.8,3.4,11.1,77,97.7,7.7,227716,7270,-1.01
Municipio_227,78.2,6.6,79.7,1093.4,2.7,7,36.7,69.7,17.3,145733,7954,0.58
Municipio_295,85.3,0,88.7,1585.1,0,7.5,23.1,76,20.6,76194,7244,0.47
Municipio_001,91.2,0,58.6,1559.5,7.1,11.5,79.1,100,5.7,270514,8982,-1.35
Municipio_354,16.2,55.9,30.8,252.5,34.8,7.7,51.8,69.8,25.5,20000,8416,0.27
Municipio_190,16.9,62.7,13.8,5,39.2,11.7,73.2,85.6,7.4,234791,7349,-0.98
Municipio_132,56.7,73.6,31.9,5,34.9,11.1,79.1,91.4,3.9,199823,8772,-0.87
Municipio_025,85.6,5.8,67.3,1706,3.4,9.9,69.1,96.5,1.6,245485,6840,-0.81
Municipio_197,79.5,20.3,67.6,1739.2,0,7.8,17.4,66.5,22.4,26524,7103,0.92
Municipio_087,84.9,0,64.5,1402.1,0.9,11.4,96.9,97,8.6,206097,6890,-1.24
Municipio_038,74.3,22.4,73.1,1669.2,0,11.3,69.5,93,9.6,163145,7088,-0.74
Municipio_189,29.5,57.7,28.8,672.4,34.6,9.5,76.8,99.6,8.4,218311,6959,-0.94
Municipio_252,93.3,2.4,69,1460.7,0,7.7,15.1,67.1,21.4,75217,7409,0.86
Municipio_313,38.9,53.7,44.4,320.5,31.8,7,14.7,62.9,19.8,103338,7956,1.04
Municipio_261,88.1,14.6,86.1,1684.3,4.6,6.4,18,65.1,14.9,20000,7509,1.28
Municipio_293,100,15.2,62.8,1696.1,6.2,6.7,36.3,64.3,16,29555,9205,0.82
Municipio_058,73.5,0,76.7,1385.5,0,10,75.1,92.1,8.4,229716,7696,-0.68
Municipio_187,42.4,60.1,30.1,56.2,37.2,9.9,79.6,94.4,9.3,230195,7070,-0.92
Municipio_050,90.1,20.8,70.4,1535.3,0,13,55.9,92.1,9.3,198594,8620,-1.17
Municipio_305,14.9,49.6,17.6,227,40.2,5.3,10.2,68.4,27.1,109631,7348,1.29
Municipio_149,27.8,51.8,22.9,5,51.7,10.8,74.3,92.3,2.9,199212,4633,-0.96
Municipio_268,100,12.5,67.6,1275.8,4.4,6.6,26.5,74,22.6,47100,6135,0.71
Municipio_353,46.1,51.7,28.7,28.2,35.3,8.4,5.1,70.9,23.2,44281,7227,0.63
Municipio_269,95.6,9.7,75.4,1541.2,0,6.4,34,73.7,21.2,82039,7846,0.6
Municipio_072,85.1,30.1,71.9,1791.9,7,12.3,87.8,91.9,3,218341,9680,-1.28
Municipio_158,17.6,63,28.1,165.7,30,9.7,58.9,93.9,9.8,188646,8329,-0.42
Municipio_361,38.5,54.2,11,373.1,30.3,7.1,21.5,60.3,17.3,76870,7640,0.87
Municipio_314,41.7,37.7,25.1,266.9,40.1,6.6,23.6,69.1,19.7,98974,7960,1.26
Municipio_114,31.4,58.1,43.6,250.7,35.8,12.9,73.6,99.3,7.3,232574,8219,-1.31
Municipio_191,92,8.8,67,1407.4,6.2,5.7,24.3,70.1,23,38244,7409,0.76
Municipio_032,87,0,94.9,1209.2,5.3,11.4,73.6,88.4,3,255959,6464,-0.86
Municipio_316,0,54.1,22.7,300.6,35.2,5.5,22.1,73.5,22.8,99606,6941,0.88
Municipio_107,6.2,53.7,25.7,5,32.8,10.2,62.5,89.5,4.2,206607,8183,-0.55
Municipio_276,96.1,0.2,65.8,1428.4,7.5,6.9,18,65.7,22.4,79031,6509,1.09
Municipio_299,84.9,0,68.3,1551.6,0,5.9,13.3,77.8,17.5,42215,6895,1.38
Municipio_334,14.2,38.3,21.8,12.8,31.1,5.7,20.7,70.5,24,44259,7473,0.86
Municipio_134,22.6,55.7,14.1,636.3,36.1,12.2,90.1,99.3,7.5,263165,7351,-1.64
Municipio_182,40.7,46.1,25.9,111.8,33.3,11.9,76.6,87.2,7.7,215040,7196,-0.67
Municipio_104,11.7,41.8,35.3,168.4,42.9,11.6,81.4,95.8,9.5,236385,6979,-1.16
Municipio_397,29,63.8,26.8,534.1,44.2,5.1,4.4,71.8,16.4,31294,7010,1.16
Municipio_109,11,54.4,11,309.4,34.3,12.1,77,90.6,5.1,217378,8103,-1.04
Municipio_320,30.5,44,28.6,536.4,33.3,7.5,23,68.5,23.4,77552,7235,0.49
Municipio_085,84.3,0,73.1,1134.7,0,10.7,81.2,94.5,4.8,270074,9132,-1.09
Municipio_317,8.6,56.2,33.3,5,40.9,6.4,16,75.2,24.5,33330,7921,1.07
Municipio_181,15.7,57.8,36.1,127.7,20.1,12.9,74.5,98.8,4,232299,8188,-1.14
Municipio_084,66.3,14.6,56.1,1365,0,11.8,77.7,97.6,3.1,157142,7437,-1.17
Municipio_349,24.9,66,27,369.9,39.6,5,21.9,70.1,19.8,78811,7587,0.9
Municipio_035,87.2,0,68.1,1448.1,10.3,9.2,77,90.4,4.4,243960,8739,-0.86
Municipio_024,100,17.8,84.1,1752.2,5.3,10.9,78.1,93,7.4,204660,8416,-0.84
Municipio_051,71,0,88.1,1221.8,0,11.9,88,93.4,8.4,185030,7831,-1.27
Municipio_246,84.7,14.2,65.3,1509.4,2.3,5.7,19.6,63.3,20.3,21798,10154,1.14
Municipio_274,95.5,6.1,94.1,1054,4,7.7,12,66.9,23.4,54151,5101,0.92
Municipio_078,93.3,0,76.4,1391.5,4.2,9.9,72.2,93.2,7.3,278311,5958,-0.83
Municipio_332,25.2,49,27.3,310.8,36.2,7.2,16.7,72.5,21.8,84569,5677,0.75
Municipio_315,0.9,56.3,26,81.5,51,6.6,17.3,66.2,18.4,69987,6217,0.62
Municipio_200,85.5,18.9,96.4,1653.7,0,6.9,32.8,68.5,25.2,83428,7247,0.59
Municipio_020,93.3,6.2,68.1,1418.8,0,11.9,68.8,94.9,9.5,193887,10091,-1.13
Municipio_044,88.7,17.8,67.1,1261.1,1.4,11,57.7,95.5,3.8,223676,6784,-0.6
Municipio_130,37.4,36.4,39.5,5,36.8,11,84.1,89.6,8.9,176619,7613,-0.9
Municipio_068,98.8,13,74.1,1503.5,1.1,11.2,51.5,84.2,6.2,215667,7046,-0.5
Municipio_385,18.9,51.9,33,361.1,27.4,6.8,36.5,65,17.2,20000,8604,0.3
Municipio_016,100,5.7,58.8,1461.1,2.6,11.3,72.4,92.1,11.1,224101,8621,-0.75
Municipio_374,7.7,37.9,25.9,5,25,6.9,34.2,77.4,22,NA,8411,0.43
Municipio_272,82,10.9,67.6,1409.6,3.9,6.4,12.6,70.2,21.3,100896,6916,1.04
Municipio_249,99.8,13,74.9,1626,8.7,6.7,24.3,64.3,19.7,77272,6011,0.81
Municipio_218,97.9,14.1,73.8,1355.3,0,7.1,19.9,67,20,46421,8221,0.62
Municipio_195,75.4,13.2,76.2,1599.9,9.7,7.9,30.4,67.4,22.1,123207,8128,0.76
Municipio_369,32.5,52,19.2,748.4,17.8,5.6,14.6,71.8,27.2,88602,9281,1.17
Municipio_203,82.2,5,86.8,1211.1,2.6,5.5,0,78.2,21.3,61373,7049,1.2
Municipio_002,72,0,69.2,1680.1,0,11.5,70.3,94,3.5,224386,7109,-0.64
Municipio_206,100,7.1,68,1338.3,1,7.6,37.1,73.9,20.1,55198,7490,0.56
Municipio_156,38.7,40.4,24.5,5,39.7,11,96.4,83.4,9.5,215407,7874,-1.08
Municipio_248,72.2,6.8,73.3,1697.6,5.8,6.7,20,72.4,14.7,28631,7941,0.76
Municipio_122,50.6,47.1,23.1,5,43.5,10.5,75.3,94,5.3,196760,9409,-0.69
Municipio_041,71.1,0,77.2,1512.9,2.3,10.1,78.1,87.7,9.2,243776,8520,-0.8
Municipio_201,79.8,0,91,1912.8,12,6.1,18.9,64.2,19.7,60995,6992,0.82
Municipio_005,77,14.1,81.2,1755.9,6.2,10.7,53.5,87.3,10.3,259671,6569,-0.53
Municipio_328,22.4,58.9,31.4,135.8,38,5.7,17.4,67.7,21.2,86092,8568,1.43
Municipio_194,89.1,1.4,72.4,1833,8.2,6.9,10.4,73.5,19.4,98193,6776,0.94
