acidez_fija,acidez_volatil,acido_citrico,azucar_residual,cloruros,dioxido_azufre_libre,dioxido_azufre_total,densidad,ph,sulfatos,alcohol
6.5207,0.4001,0.3475,2.0215,0.0424,23.7387,92.4007,0.997,3.2698,0.5409,11.2779
8.6679,0.5491,-0.1137,2.3609,0.1176,13.723,63.0152,0.9944,3.0934,0.6056,9.046
5.6497,0.2164,0.4223,8.3273,0.0681,56.0058,193.6224,0.9961,3.1996000000000002,0.4294,9.9041
6.823,0.3926,0.435,9.8028,0.0563,46.3426,160.4125,0.9968,2.9756,0.5324,10.6335
7.2154,0.0769,0.4854,7.949,0.0512,44.2601,153.0796,0.9949,3.3613,0.675,11.0978
6.321,0.2471,0.2581,6.4044,0.0799,44.708,157.3736,0.9966,3.0489,0.7714,11.2618
7.0158,0.4149,0.3998,7.8667,0.0666,34.0843,131.2606,0.9949,3.1952,0.5542,10.4875
7.1219,0.3341,0.4202,4.3842,0.0454,33.0584,126.1742,0.9968,3.2119,0.6595,12.4819
6.0364,0.3378,0.4732,8.7336,0.0509,39.5468,143.9499,0.9915,3.3072,0.631,10.9769
8.2373,0.1838,0.4014,2.9375,0.0338,39.9133,142.388,0.9953,3.1188,0.8593,12.5263
8.4701,0.5968,0.1438,3.3008,0.0543,19.5575,90.68,0.993,3.1438,0.6223,10.7687
6.699,0.4617,0.3394,3.4529,0.0352,34.6978,125.7708,0.9949,3.4565,0.8058,10.2274
7.5178,0.4314,0.1948,2.8206,0.0716,19.9774,86.8469,0.9992,3.3626,0.8129,9.2627
8.1133,0.5079,0.4983,2.7681,0.0212,20.5664,76.4184,0.9931,3.3319,0.5768,10.298400000000001
9.5231,0.4463,0.2711,-1.7657,0.0839,22.1056,97.8958,0.9966,3.3131,0.476,9.3601
7.2777,0.5073,0.6631,1.5595,0.0613,33.7017,115.9273,0.9983,3.3449,0.5973,11.6524
7.7145,0.2732,0.2839,3.3969,0.0998,8.9599,50.201,0.9981,3.2418,0.5138,9.7614
9.5105,0.5154,0.1759,2.3806,0.0656,20.1444,100.3505,0.9987,3.28,0.4109,10.5897
8.6457,0.5915,0.041,2.1528,0.124,16.9508,77.9196,0.9956,3.0841,0.3077,10.0586
5.7931,0.4594,0.421,5.6987,0.0551,41.7086,146.5875,0.9966,3.3343,0.3593,10.5626
6.2655,0.3634,0.4224,7.5985,0.0643,45.3242,157.6896,0.9943,3.3339,0.3577,12.0388
7.2937,0.2201,0.3331,3.8339,0.058,29.6687,113.8399,0.9931,3.1779,0.5888,10.3889
8.5269,0.3671,0.2551,2.1644,0.0813,11.0956,61.2997,0.9965,3.3292,0.5336,9.5877
9.3533,0.6426,0.1161,1.9209,0.0773,15.321,66.3282,0.9969,3.0733,0.6862,9.772
8.6156,0.5329,0.1392,-0.4541,0.0782,22.907,87.6169,0.9978,3.1175,0.528,10.4106
7.591,0.2558,0.5869,2.7645,0.058,27.1751,92.1024,0.9938,3.1339,0.4531,11.5833
6.5616,0.2297,0.4235,-1.014,0.056,31.3997,139.0173,0.9942,3.2262,0.5773,12.2275
6.5014,0.4783,0.2126,4.1775,0.046,23.6016,96.4606,0.9926,3.3662,0.6289,12.6481
7.7356,0.3898,-0.0105,3.346,0.0925,8.8661,37.7025,0.9964,3.2331,0.4131,7.6632
6.4005,0.4528,0.5094,8.015,0.0688,57.8187,209.6118,0.9973,3.3933,0.326,9.5475
7.2459,0.0597,0.1766,2.1777,0.0566,30.8162,127.5307,0.9932,3.3525,0.7297,9.7096
8.0295,0.5651,0.1826,0.8401,0.1101,10.5921,50.0841,0.9955,3.0678,0.8246,10.2831
8.357,0.4601,0.0745,2.8098,0.0704,9.1422,63.1697,0.9961,3.2046,0.6307,10.5192
7.4085,0.4813,0.4209,1.5784,0.0581,31.983,117.335,0.9905,3.4188,0.8406,10.7757
7.122,0.1301,0.1653,2.8383,0.0498,33.7993,134.7316,0.9925,3.3707,0.4663,10.5489
7.308,0.4521,0.0358,3.0197,0.0759,12.0536,72.5942,0.9974,3.2474,0.5323,8.9821
8.0308,0.5892,0.089,1.7584,0.074,27.7088,103.9852,0.9924,3.1086,0.5374,9.9254
6.0385,0.2336,0.4329,9.0893,0.0355,59.2294,207.7185,0.9957,3.289,0.4407,8.8666
8.7522,0.5979,0.0972,2.4804,0.1086,15.0509,58.5299,0.9975,3.1838,0.6703,10.0903
7.6897,0.3964,0.323,7.6815,0.0617,48.1487,179.1364,0.9951,3.228,0.6727,10.8053
5.8339,0.2248,0.4506,7.4224,0.0594,36.1666,149.126,0.9958,3.4645,0.4274,10.9997
6.0933,0.4411,0.4967,0.2893,0.0865,27.9232,100.081,0.9945,3.1687,0.7531,10.9286
7.2891,0.456,0.4913,3.4293,0.0372,21.7182,74.1422,0.9943,3.2362,0.5525,11.8717
6.7198,0.4642,0.1569,5.4507,0.0432,42.6053,151.8361,0.9963,3.1687,0.5664,10.7866
7.024,0.1705,0.2584,1.529,0.0587,15.2293,55.4302,0.9932,3.2773,0.6136,11.2183
6.6829,0.1681,0.2526,6.9368,0.0401,30.5714,117.2247,0.9958,3.3387,0.437,11.1425
6.8268,0.4077,0.4079,0.8957,0.0587,26.7712,103.3316,0.995,3.3109,0.605,12.3624
8.6743,0.4747,-0.0266,1.8396,0.0884,2.7777,22.2781,0.9973,3.3373,0.5474,9.6093
6.369,0.3615,0.3427,8.9166,0.0533,38.3229,136.5181,0.9929,3.0543,0.5799,9.9891
8.5441,0.3985,0.3725,0.876,0.0374,14.7665,62.8189,0.9936,3.5613,0.6721,11.7781
8.8852,0.3619,0.1564,2.7915,0.0756,22.4393,79.0294,0.9969,3.2507,0.4838,10.4475
5.3468,0.2856,0.6144,7.4638,0.0449,38.8499,143.8417,0.995,3.3141,0.3779,11.3873
7.9537,0.5343,0.6203,4.812,0.0582,35.4411,133.7734,0.9956,3.514,0.6499,11.9476
7.5087,0.3987,0.5064,6.8048,0.0122,56.0411,186.634,0.9945,3.0649,0.3484,10.273
8.988,0.5821,0.1794,3.8614,0.0774,6.8812,39.1704,0.9988,3.0934,0.5174,7.9636
7.3649,0.0798,0.5623,6.9149,0.045,51.9214,182.8266,0.999,3.1509,0.1293,10.1862
6.8032,0.1446,0.3989,8.7734,0.0773,39.3572,157.8567,0.998,3.2907,0.5931,9.659
9.733,0.6775,0.1234,2.4323,0.1144,9.5644,57.4697,0.9972,3.253,0.5077,9.6792
6.2895,0.3812,0.1984,7.2701,0.0499,37.62,124.8632,0.9947,3.1594,0.5444,10.5746
8.0787,0.2981,0.4963,9.1952,0.0691,47.6036,167.2766,0.9949,3.3291,0.5303,10.7293
7.7373,0.3655,0.2801,0.8733,0.0564,39.3763,133.0079,0.9951,3.2143,0.7067,12.4893
7.0573,0.4658,0.4214,1.8753,0.0603,20.5294,94.1011,0.9959,3.3508,0.5632,11.9346
9.0344,0.5898,0.1463,2.9991,0.0817,4.9173,31.4686,0.9971,3.1849,0.7255,9.1098
7.1304,0.3439,0.3885,6.4784,0.0783,39.139,136.6856,0.9972,3.0219,0.6398,11.9172
7.516,0.2716,0.3697,1.9911,0.0254,34.2246,114.3739,0.991,3.2634,0.4282,12.7278
5.8014,0.5756,0.039,3.3888,0.0804,14.0562,61.4598,0.9989,2.9869,0.3624,10.3884
5.6316,0.1862,0.4214,7.9789,0.0473,44.8462,153.0951,0.9926,3.2274,0.4342,10.3116
6.9531,0.449,0.313,8.4283,0.0439,39.1549,124.2315,0.9966,3.3636,0.5239,10.5555
6.6895,0.2766,0.6007,9.4048,0.0331,45.2512,149.5383,0.9973,3.4447,0.3934,10.973
6.5207,0.2355,0.5432,8.1499,0.0468,40.1237,146.301,0.9967,3.3852,0.6767,10.9265
6.8425,0.1232,0.4587,7.696,0.0704,38.4835,139.0528,0.9964,3.2959,0.602,11.1159
9.3842,0.469,0.174,1.4104,0.0969,9.8295,43.5852,0.9974,3.2712,0.5261,11.3633
9.7463,0.6055,-0.0213,2.4388,0.081,17.0131,69.4277,0.996,3.1634,0.4498,11.013
6.7565,0.3662,0.1977,1.8109,0.0781,34.7249,130.1139,0.994,3.2025,0.4896,11.2855
8.8262,0.612,0.0185,3.4242,0.0926,16.4449,68.3464,0.9975,3.1824,0.4886,10.695
8.2693,0.8061,0.0571,2.7518,0.0912,22.1084,81.9148,0.9926,3.2835,0.7737,10.4508
6.1615,0.4494,0.4626,0.3209,0.0383,25.8373,100.5035,0.9923,3.2129,0.6314,12.4087
6.7766,0.4059,0.372,8.6223,0.0541,45.8916,162.0637,0.9917,3.3185,0.343,10.3438
6.2095,0.3077,0.5194,4.5589,0.0592,38.1793,139.7117,0.9963,3.277,0.4428,10.0636
7.6024,0.2179,0.2968,6.0116,0.0375,42.5645,139.5505,0.9985,3.1149,0.4752,8.7585
7.4449,0.2162,0.3702,1.0409,0.0288,34.175,138.2316,0.9943,3.1134,0.5919,11.8628
7.4282,0.2739,0.3965,8.1152,0.0306,47.2775,159.6805,0.9959,3.3253,0.5227,9.7966
7.1415,0.1558,0.3848,-1.3115,0.0668,21.2102,90.9124,0.9962,3.2469,0.6231,11.6341
7.8042,0.4401,0.3806,2.2969,0.0379,41.578,161.0699,0.9943,3.3159,0.4869,10.415
7.3747,0.218,0.3574,7.5573,0.0597,39.3118,137.7212,0.9957,3.3711,0.3949,11.5735
6.3451,0.2293,0.4028,7.3573,0.0599,46.8487,154.958,0.9955,3.2847,0.4683,9.5455
9.3031,0.5275,0.0955,2.1054,0.0822,16.1178,72.7442,0.9975,3.3141,0.5577,9.8377
8.988,0.2719,0.4335,9.2929,0.0416,33.8343,144.9421,0.9938,3.3043,0.5867,11.9764
7.42,0.2878,0.3229,-0.1877,0.079,30.239,118.0744,0.996,3.1937,0.6664,10.6673
6.8322,0.5014,0.3804,2.1202,0.0159,29.453,108.2246,0.9938,3.1569,0.5741,12.0406
6.1612,0.3326,0.4212,4.2925,0.043,27.6039,108.2394,0.9942,3.1515,0.6711,11.3451
6.6076,0.2029,0.399,1.6315,0.0425,39.1276,131.1019,0.9919,3.4775,0.5241,12.8557
5.5399,0.342,0.4396,7.418,0.0444,44.4003,151.3284,0.9964,3.1567,0.5155,8.9291
6.9601,0.4901,0.4314,2.5481,0.0524,31.9784,116.9529,0.992,3.2285,0.7513,11.3802
7.2666,0.0488,0.5291,7.9371,0.0475,45.4044,173.1607,0.9968,3.187,0.6646,10.3109
5.9986,0.2829,0.4827,1.8258,0.0406,29.7166,110.2488,0.9939,3.2693,0.664,11.9392
7.8918,0.2819,0.5939,2.6324,0.0553,29.1623,118.7924,0.9951,3.105,0.7539,11.1895
6.4196,0.3771,0.4042,2.2835,0.0473,25.8275,99.268,0.9907,3.1858,0.74,12.4725
6.5334,0.2745,0.4001,8.0078,0.0606,44.7787,155.918,0.9949,3.3979,0.6783,9.5975
6.6613,0.242,0.3354,8.1877,0.0437,44.2064,155.3256,0.9933,3.2605,0.69,9.437
6.2186,0.4546,0.2722,7.3072,0.0413,47.9049,151.7477,0.9933,3.1984,0.399,10.1817
5.4032,0.2464,0.3807,3.8786,0.0362,21.5813,77.0966,0.9955,3.3117,0.6633,11.4761
6.6739,0.5553,0.4182,1.7561,0.0381,30.4148,117.3669,0.9921,3.2328,0.659,12.2002
7.5101,0.2699,0.0739,2.7579,0.0986,18.0548,71.7402,0.9962,3.0753,0.623,9.4469
5.5733,0.3859,0.3952,7.7978,0.0543,54.0021,176.5006,0.9957,3.2538,0.4534,11.7478
7.3012,0.1936,0.4273,5.2137,0.0529,53.9035,174.0688,0.9959,3.015,0.5356,10.2742
6.4532,0.5656,0.0683,4.4034,0.0857,17.7764,77.7567,0.9962,3.0999,0.6667,9.4921
7.1586,0.2146,0.2184,3.618,0.0305,23.4871,97.4978,0.9934,3.3386,0.6121,11.1912
6.7415,0.4458,0.3986,4.3271,0.0326,24.7399,87.9447,0.9912,3.259,0.66,11.4356
7.6248,0.2475,0.4047,3.4104,0.0345,28.7183,98.8159,0.9941,3.1972,0.5827,12.248
8.3442,0.4722,0.1245,0.9733,0.0737,18.787,74.3495,0.9959,3.2805,0.4706,11.6525
7.2975,0.3364,0.2939,6.6427,0.0366,41.766,146.538,0.9948,3.3236,0.5962,10.7982
7.688,-0.0402,0.3368,3.247,0.0478,39.2847,138.8072,0.9955,3.4489,0.6602,12.06
7.1748,0.6873,0.0968,4.1283,0.09,18.3136,74.2944,0.9983,3.0119,0.66,8.5022
9.1107,0.3348,0.0869,5.275,0.0832,20.2858,71.1688,0.9957,3.3692,0.5863,10.5292
7.3673,0.3055,0.3578,2.0879,0.0119,21.0139,81.9589,0.9952,3.4408,0.7411,11.17
8.4367,0.4987,0.1887,1.6441,0.1147,15.7173,56.3301,1.0012,3.1039,0.6364,9.6154
7.7508,0.4974,0.419,7.8339,0.044,36.9497,131.5392,0.9965,3.183,0.561,12.0051
6.0304,0.4127,0.1619,3.6043,0.0615,29.6929,111.8475,0.9971,3.1771,0.6698,11.2562
7.3837,0.0886,0.4079,1.6389,0.047,22.9882,88.4337,0.992,3.2816,0.7665,10.7237
8.5798,0.5981,0.076,1.7312,0.094,15.1152,60.4459,0.9962,3.1142,0.7841,9.4766
6.6342,0.1585,0.2507,8.6851,0.0518,44.1916,148.5558,0.9938,3.2759,0.7228,10.8975
7.2146,0.6402,0.093,1.7584,0.1131,16.4279,67.2763,0.999,2.9652,0.7311,10.2254
7.1531,0.2681,0.494,8.2946,0.0432,44.4312,156.6856,0.9942,3.2306,0.8117,10.0438
7.7729,0.5216,0.1344,1.8602,0.0993,8.3051,33.6889,0.9948,3.2668,0.6231,8.8429
7.7546,0.1499,0.2209,7.2989,0.0602,45.7832,148.4012,0.9942,3.2661,0.6048,10.9803
6.248,0.144,0.0372,2.7149,0.0528,35.0948,118.2826,0.9967,3.4048,0.6813,11.8542
7.0213,0.2483,0.416,7.6519,0.0344,43.2466,156.3702,0.9979,3.2171,0.4175,11.1116
5.8676,0.256,0.3541,8.3397,0.0836,41.2887,149.1223,0.9939,3.3475,0.5946,11.3661
6.6969,0.197,0.3221,7.842,0.0555,47.6531,172.8222,0.9966,3.259,0.6107,10.2624
7.0514,0.4007,0.3594,0.9055,0.0398,34.1208,126.2703,0.9928,3.4033,0.7489,12.7014
6.7403,0.1926,0.4158,2.7173,0.0553,26.8535,106.2086,0.9998,3.4534,0.6134,12.0727
9.0664,0.3943,0.4147,1.5633,0.0648,14.4344,73.9754,0.9945,3.268,0.6492,8.5046
7.7418,0.5093,0.0702,2.6126,0.103,19.6656,76.6364,0.9939,3.1521,0.6447,10.6066
5.4911,0.0015,0.4151,6.1187,0.06,39.4482,147.8582,0.9977,3.0263,0.4688,10.1546
8.1211,0.353,0.2595,2.3983,0.0754,12.6585,72.1551,0.9962,3.141,0.5845,9.5243
6.5714,0.3007,0.5269,7.5913,0.0642,46.6298,164.0867,0.9958,3.2976,0.2892,10.1808
7.7408,0.3889,0.5553,2.7292,0.0392,29.7661,106.2887,0.9929,3.3957,0.5841,12.0543
6.2397,0.3283,0.3581,6.6592,0.0433,34.0196,137.0654,0.993,3.266,0.6951,10.7776
7.2278,0.142,0.4838,8.7842,0.0736,45.9913,149.5599,0.996,3.5011,0.5727,9.8728
9.459,0.6475,0.0322,1.555,0.0873,13.7058,60.2442,0.9952,3.0388,0.7098,10.3982
7.6837,0.364,0.134,2.511,0.0908,14.143,68.0712,0.9953,3.2007,0.3904,9.9893
5.9572,0.1059,0.593,8.3939,0.0522,37.8465,136.5523,0.9964,3.0732,0.7848,9.9346
7.0146,0.2395,0.4763,8.6952,0.0454,46.374,169.5349,0.9982,3.3943,0.5047,9.956
7.1669,0.2431,0.6453,5.3961,0.0588,47.6327,162.0616,0.9919,3.291,0.7022,11.3602
8.101,0.1978,0.3691,1.8674,0.0375,32.7186,132.0518,0.996,3.4351,0.7052,11.1659
7.4348,0.2365,0.4263,8.0498,0.0416,40.1663,165.9167,0.9923,3.3403,0.7503,9.5411
8.1905,0.3774,0.4598,1.2165,0.0393,19.7551,88.0913,0.9948,3.3419,0.4993,11.483
6.9254,0.2195,0.3402,9.5479,0.0315,58.491,199.0578,0.9947,3.1033,0.3409,9.0518
6.621,0.271,0.3715,7.3103,0.0679,50.8199,175.1337,0.9987,3.5026,0.4819,9.759
6.2344,0.382,0.4117,7.2908,0.0292,42.2526,148.031,0.9952,3.1576,0.5018,9.1492
6.1426,0.3949,0.3534,5.6648,0.0463,42.7151,151.1396,0.996,3.253,0.6718,10.8967
9.1315,0.4356,0.2168,1.9446,0.0828,18.4133,68.9266,0.9992,3.241,0.8672,10.4557
8.7948,0.6141,0.1167,2.5395,0.0832,20.3054,86.8106,0.9982,3.4653,0.5347,9.724
6.4204,0.3542,0.3525,7.375,0.0442,50.5826,174.9392,0.9958,3.1958,0.5435,9.0243
7.2549,0.2947,0.3147,8.2052,0.0473,41.3447,146.7087,0.9962,3.2098,0.6717,11.1129
5.2316,0.219,0.3647,7.0616,0.0791,47.0568,170.7478,0.9987,3.4211,0.4585,10.8722
6.5935,0.3599,0.4434,0.6079,0.0613,24.7827,106.1275,0.9951,3.5522,0.5391,10.4527
7.8235,0.4557,0.1422,0.7925,0.0683,15.3986,66.3246,0.9965,3.4252,0.506,9.0478
8.5023,0.6256,0.0723,2.4778,0.0639,19.1058,69.2316,1.0004,3.1975,0.6081,11.2701
6.5434,0.3098,0.4104,8.5599,0.0574,50.5048,167.4206,0.9959,3.175,0.4608,10.8019
6.5647,0.2549,0.5185,8.9774,0.0583,42.8619,141.4165,0.9945,3.1724,0.627,10.0182
7.0966,0.3535,0.4095,-0.0251,0.0552,26.1212,94.214,0.9941,3.4055,0.695,11.9982
10.1173,0.5007,0.1243,2.3412,0.1161,17.3153,94.6678,0.9958,3.0725,0.615,8.4521
7.2081,0.2217,0.3846,0.9947,0.0433,20.5221,81.8289,0.995,3.3438,0.5873,12.6507
6.4631,0.2912,0.3499,6.4482,0.0405,40.9654,158.3203,0.9956,3.2527,0.3178,11.6458
7.5052,0.3037,0.3699,4.7326,0.0544,21.5153,91.2364,0.9953,3.1598,0.5839,11.8293
7.5823,0.4919,0.1873,1.0185,0.0769,22.1901,92.8933,0.9992,3.048,0.5273,9.3263
8.2685,0.5015,0.0865,0.789,0.0554,14.1722,60.3754,0.9964,3.0003,0.684,11.6166
8.1553,0.6718,0.0639,0.6312,0.0745,9.0646,52.3,0.9956,3.2899,0.6267,8.8472
6.5391,0.2968,0.2828,2.6052,0.0384,30.1863,112.891,0.9947,3.3556,0.6329,11.6884
7.378,0.353,0.4602,0.4026,0.0601,30.7745,97.2881,0.9927,3.3597,0.5549,10.2776
8.0919,0.3533,0.3127,1.7654,0.0801,15.1146,69.6099,1.0001,3.0765,0.5777,9.2353
6.5912,0.2806,0.3481,3.9765,0.0428,20.3864,92.2412,0.9937,3.3244,0.3722,12.0248
8.2437,0.4491,0.0188,3.353,0.0991,16.5973,80.2124,0.9998,3.3267,0.6729,10.67
6.2264,0.4808,0.2975,0.4745,0.0601,26.4672,123.3603,0.993,3.3597,0.5631,12.3173
5.7999,0.4461,0.3156,6.5083,0.0366,45.3401,159.3001,0.994,3.1052,0.4781,9.8537
6.8946,0.4499,0.2789,2.6103,0.0299,30.2946,119.4215,0.9937,3.4256,0.7131,10.9627
7.1507,0.3264,0.3585,2.2291,0.0512,25.8065,115.0812,0.9984,3.3178,0.5322,10.4817
4.8233,0.2126,0.2919,6.8,0.0749,39.1886,153.0243,0.9955,3.0833,0.3592,10.3407
6.0689,0.2896,0.4145,1.7375,0.0249,37.0999,142.7993,0.996,3.379,0.6621,11.7466
9.3077,0.6621,-0.0734,2.9971,0.0992,15.6067,80.4586,0.9994,3.0854,0.5722,11.2229
9.3113,0.4237,-0.0279,2.7417,0.085,26.7518,113.2081,0.9963,3.1039,0.5428,10.0651
8.5222,0.6986,0.0066,2.6715,0.0767,11.602,40.0107,0.9989,3.2787,0.7017,10.5838
6.5143,0.3493,0.5295,8.9261,0.0716,43.6651,166.0993,0.9933,3.2555,0.4919,10.6033
7.1965,0.2837,0.5454,7.8988,0.0529,35.3923,129.804,0.993,3.1796,0.5474,11.1827
6.7601,0.438,0.2397,1.9781,0.0485,34.9527,133.4375,0.9921,3.3041,0.9718,11.6729
6.4102,0.2987,0.4944,2.1561,0.0396,24.0898,101.4171,0.9943,3.5282,0.5287,11.5989
6.2745,0.1224,0.2804,7.9083,0.0325,39.5214,139.3561,0.9987,3.081,0.5828,9.726
6.9274,0.5417,0.1959,3.6621,0.1067,14.0521,65.2497,0.9969,3.17,0.3769,10.5787
8.9104,0.4946,0.0486,4.4876,0.0558,26.5751,104.0874,0.9976,3.3097,0.4414,10.302
5.7885,0.3717,0.4324,1.242,0.0407,15.692,87.1398,0.9967,3.2121,0.5936,10.2823
8.0375,0.6465,0.1163,1.9326,0.0771,19.1483,66.8394,0.997,3.1779,0.7587,8.8939
7.787,0.6704,-0.0682,2.206,0.074,17.9897,84.3148,0.9987,3.138,0.6079,9.7594
6.0486,0.2078,0.3049,6.6914,0.0716,45.0352,158.8196,0.9943,3.3697,0.8489,10.655
6.8005,0.0882,0.2839,6.8657,0.0406,56.0436,205.4642,0.9938,3.6107,0.6081,10.1176
7.9141,0.1803,0.3397,2.1148,0.0545,30.3348,116.9981,0.9928,3.0082,0.9206,12.0689
7.2473,0.1911,0.3628,6.7391,0.0419,44.0753,150.8376,0.9969,3.2262,0.4994,10.1805
6.483,0.2311,0.4036,9.7782,0.0758,46.3394,152.1792,0.9948,3.0737,0.6729,10.9123
5.9514,0.2042,0.5129,0.891,0.053,27.2104,106.1584,0.9922,3.2291,0.8561,10.9485
6.8561,0.4461,0.2824,2.1673,0.0445,36.6136,141.4975,0.9963,3.1648,0.6035,11.281
6.5983,0.351,0.3683,1.1716,0.0371,33.7511,130.4178,0.9955,3.3677,0.7135,12.982
7.1821,0.3995,0.2155,7.4908,0.0528,52.6978,182.8402,0.9986,3.2588,0.379,10.7122
6.2736,0.339,0.4799,8.3149,0.0311,28.4849,120.1802,0.9946,3.2962,0.5986,11.5548
7.7156,0.4388,0.1396,4.6454,0.084,23.7535,95.0355,0.9981,3.0238,0.6096,8.7681
6.4002,0.1327,0.2498,1.9468,0.0667,30.0548,105.7743,0.9933,3.1702,0.714,11.7127
6.822,0.1904,0.2068,0.8117,0.0521,30.9327,123.8169,0.9947,3.3317,0.5804,10.2347
6.1952,0.4774,0.2793,8.6932,0.0363,45.615,158.823,0.9945,3.1984,0.3883,10.7549
