id,edad,genero,region,nivel_educacion,departamento,años_experiencia,ingreso_mensual,gastos_mensual,score_desempeño,horas_extras_semana,num_dependientes
115,51,Masculino,Norte,Posgrado,Ventas,13,11800,6100,47.8,1.1,3
116,39,Masculino,Occidente,Posgrado,Finanzas,17,8000,6300,99.1,15.7,2
117,30,Masculino,Sur,Posgrado,Operaciones,3,24000,14100,81.8,1.8,1
118,36,Femenino,Centro,Licenciatura,Ventas,12,25100,17100,65.2,0.0,2
119,22,Masculino,Norte,Licenciatura,Marketing,5,14700,9800,54.2,0.0,0
120,32,Masculino,Sur,Posgrado,Ventas,5,,4300,79.9,17.5,2
121,47,Femenino,Centro,Licenciatura,Operaciones,19,13800,9900,82.3,3.2,2
122,31,Femenino,Norte,Posgrado,Marketing,12,,12300,83.5,2.8,1
123,44,Femenino,Norte,Posgrado,Marketing,14,14400,9300,86.4,2.3,1
124,60,Femenino,Sur,Posgrado,TI,25,10600,6100,87.6,0.7,1
125,35,Femenino,Centro,Posgrado,Operaciones,0,11600,7000,70.6,1.2,2
126,43,Masculino,Norte,Licenciatura,RH,13,11800,7400,,18.1,3
127,25,Masculino,Centro,Posgrado,Finanzas,2,10900,6100,63.9,2.6,5
128,49,Femenino,Sur,Licenciatura,TI,18,13200,7500,86.0,1.7,2
129,49,Masculino,Centro,Preparatoria,Marketing,15,9000,6400,,1.6,2
130,33,Masculino,Occidente,Preparatoria,Ventas,7,5500,3400,95.7,28.7,2
131,30,Masculino,Centro,Posgrado,TI,6,12900,8500,76.8,5.8,4
132,36,Femenino,Occidente,Posgrado,Marketing,10,,6200,54.2,20.1,1
133,27,Femenino,Centro,Licenciatura,TI,8,11400,6400,99.4,16.4,1
134,45,Femenino,Occidente,Posgrado,RH,8,12100,8900,82.0,0.0,1
135,51,Femenino,Centro,Posgrado,Operaciones,15,13300,10500,68.2,0.0,0
136,41,Femenino,Occidente,Posgrado,Ventas,11,27200,23000,87.3,0.0,0
137,22,Masculino,Norte,Posgrado,Finanzas,6,10700,7100,78.1,13.6,3
138,56,Femenino,Sur,Doctorado,Operaciones,24,45700,27300,66.2,6.3,1
139,45,Masculino,Sur,Licenciatura,Ventas,17,16700,11900,96.4,13.0,4
140,42,Masculino,Centro,Posgrado,RH,9,16400,13600,84.3,13.7,2
141,24,Femenino,Centro,Posgrado,Ventas,3,17600,15100,98.4,21.2,0
142,39,Femenino,Centro,Licenciatura,Ventas,14,10700,8300,86.6,0.0,1
143,40,Femenino,Norte,Licenciatura,TI,12,10200,8000,97.6,25.6,0
144,41,Femenino,Occidente,Preparatoria,Marketing,12,14500,7600,74.5,0.0,2
145,46,Femenino,Occidente,Posgrado,Finanzas,11,,12600,37.6,21.4,4
146,32,Masculino,Occidente,Preparatoria,RH,4,,4600,74.1,22.8,2
147,35,Masculino,Norte,Preparatoria,TI,16,6100,3500,85.0,1.1,0
148,32,Masculino,Occidente,Licenciatura,RH,11,10800,6600,60.3,16.7,1
149,38,Masculino,Centro,Posgrado,Operaciones,6,11000,8600,74.1,16.6,3
150,22,Masculino,Occidente,Posgrado,Operaciones,0,11200,6900,84.8,1.4,3
151,50,Femenino,Occidente,Posgrado,Marketing,15,17400,8100,68.2,3.0,3
152,45,Femenino,Occidente,Posgrado,Ventas,14,15200,10500,92.1,15.9,0
153,,Masculino,Sur,Doctorado,RH,14,21300,11300,63.3,26.0,2
154,38,Masculino,Occidente,Licenciatura,TI,14,7800,5500,85.5,12.9,5
155,43,Masculino,Centro,Doctorado,Operaciones,14,26800,15400,77.9,3.0,0
156,35,Femenino,Sur,Licenciatura,Ventas,11,10300,6700,98.1,1.3,2
157,56,Masculino,Centro,Preparatoria,Operaciones,23,7100,4600,99.3,24.0,1
158,27,Femenino,Centro,Licenciatura,TI,2,10800,7200,99.1,1.9,1
159,26,Masculino,Sur,Licenciatura,Ventas,1,,5500,96.1,10.4,1
160,39,Femenino,Centro,Preparatoria,Marketing,9,,189300,60.8,22.8,2
161,42,Femenino,Centro,Doctorado,Marketing,11,34000,22500,85.1,3.1,2
162,63,Masculino,Centro,Licenciatura,Ventas,25,17800,11900,87.1,26.9,1
163,50,Masculino,Sur,Preparatoria,Operaciones,21,,6700,87.6,2.2,3
164,45,Masculino,Centro,Posgrado,Marketing,13,14400,8900,89.5,2.9,3
165,31,Masculino,Centro,Licenciatura,Ventas,5,8100,6400,58.3,0.7,2
166,30,Femenino,Centro,Licenciatura,TI,8,16400,11000,84.9,2.4,0
167,30,Femenino,Centro,Secundaria,Marketing,6,8400,6800,93.1,8.9,2
168,48,Femenino,Centro,Licenciatura,RH,11,18700,18600,,17.6,1
169,49,Femenino,Norte,Secundaria,Marketing,14,2800,2000,80.6,17.4,0
170,49,Femenino,Centro,Licenciatura,RH,19,14400,12800,63.5,17.9,2
171,30,Femenino,Norte,Preparatoria,TI,5,,3100,82.3,17.1,2
172,26,Femenino,Occidente,Posgrado,Marketing,2,18300,12400,61.2,16.7,1
173,41,Femenino,Norte,Preparatoria,Marketing,13,10300,7900,69.5,18.4,2
174,,Femenino,Occidente,Posgrado,Finanzas,17,12300,9700,88.9,3.0,0
175,42,Femenino,Norte,Preparatoria,RH,15,,6100,98.9,3.0,3
176,48,Masculino,Centro,Posgrado,TI,13,,10500,90.3,0.8,2
177,48,Femenino,Occidente,Posgrado,Marketing,14,,9600,54.7,17.9,1
178,53,Femenino,Sur,Posgrado,RH,23,14600,9600,63.5,16.7,4
179,48,Masculino,Sur,Secundaria,RH,18,5100,3800,77.2,3.2,0
180,24,Femenino,Sur,Licenciatura,Marketing,3,,5800,73.5,15.2,1
181,33,Masculino,Centro,Licenciatura,Finanzas,5,9000,6500,96.3,35.0,0
182,38,Femenino,Occidente,Licenciatura,RH,11,7800,6000,,10.4,4
183,58,Femenino,Centro,Licenciatura,Ventas,26,10500,7900,62.8,5.0,4
184,33,Femenino,Sur,Preparatoria,Ventas,5,5000,3700,88.2,19.1,2
185,37,Femenino,Norte,Licenciatura,Ventas,5,7800,6600,91.7,23.5,3
186,38,Masculino,Norte,Licenciatura,RH,13,6000,3500,55.8,21.0,4
187,47,Femenino,Centro,Doctorado,Ventas,15,,23600,84.8,12.2,1
188,37,Femenino,Norte,Licenciatura,RH,8,17400,9000,75.2,18.9,2
189,43,Femenino,Occidente,Posgrado,Marketing,17,16000,9700,66.5,17.6,5
190,26,Femenino,Norte,Posgrado,Marketing,1,12500,9700,91.7,15.2,3
191,41,Masculino,Occidente,Licenciatura,TI,12,14700,9300,56.7,0.0,2
192,52,Masculino,Centro,Posgrado,TI,25,31600,18300,75.1,2.3,5
193,46,Masculino,Centro,Preparatoria,Marketing,12,6000,4500,88.1,1.7,2
194,38,Femenino,Norte,Preparatoria,Finanzas,13,389859,217200,79.7,19.9,2
195,49,Masculino,Centro,Posgrado,Operaciones,18,,13900,90.1,12.9,0
196,48,Masculino,Sur,Preparatoria,TI,16,9100,5900,56.7,9.3,0
197,44,Femenino,Sur,Posgrado,Marketing,13,20200,13800,96.6,1.6,2
198,47,Femenino,Norte,Secundaria,Operaciones,11,3400,2100,73.2,3.0,1
199,50,Masculino,Norte,Secundaria,TI,18,5900,4600,94.0,2.4,0
200,33,Masculino,Norte,Preparatoria,Ventas,0,4200,3000,54.6,22.9,2
201,34,Femenino,Centro,Posgrado,TI,8,16900,13600,86.5,2.2,0
202,46,Masculino,Norte,Doctorado,Ventas,15,23600,16700,91.5,1.6,2
203,57,Femenino,Centro,Posgrado,TI,24,25500,18700,98.2,0.1,4
204,39,Femenino,Centro,Preparatoria,RH,11,8600,6100,63.7,37.9,2
205,30,Masculino,Centro,Licenciatura,RH,6,10500,6000,77.9,3.7,3
206,52,Femenino,Norte,Licenciatura,Finanzas,23,15700,9300,79.5,3.5,0
207,37,Femenino,Centro,Licenciatura,RH,9,12200,9900,60.6,35.3,4
208,36,Femenino,Sur,Posgrado,TI,6,15600,14000,67.0,3.1,1
209,22,Femenino,Centro,Posgrado,Operaciones,0,7800,4200,56.9,18.8,2
210,39,Femenino,Centro,Licenciatura,Marketing,12,12300,8400,92.5,0.0,4
211,46,Femenino,Sur,Posgrado,Ventas,13,23600,19100,68.9,2.4,1
212,30,Masculino,Occidente,Doctorado,Ventas,3,24100,19700,75.3,6.3,2
213,49,Femenino,Norte,Posgrado,TI,22,21000,7700,82.8,2.7,3
214,,Femenino,Norte,Posgrado,TI,2,11200,8200,97.5,3.5,2
215,34,Masculino,Norte,Posgrado,TI,10,17800,15600,,0.0,1
216,30,Femenino,Centro,Doctorado,Finanzas,6,16900,14200,80.0,2.4,1
217,31,Femenino,Centro,Licenciatura,RH,5,5300,3600,80.4,3.1,2
218,25,Masculino,Norte,Licenciatura,Operaciones,9,,5700,70.3,20.7,1
219,36,Femenino,Centro,Preparatoria,Ventas,11,,8700,,2.5,5
220,35,Masculino,Norte,Posgrado,TI,9,8200,5500,68.0,2.3,0
221,36,Femenino,Occidente,Posgrado,Marketing,9,26300,15400,72.4,15.9,1
222,41,Femenino,Norte,Preparatoria,Finanzas,17,8100,6500,96.0,12.7,3
223,23,Femenino,Norte,Licenciatura,Finanzas,3,4600,2200,82.5,4.2,1
224,44,Masculino,Norte,Licenciatura,Operaciones,14,8200,5300,66.7,0.0,5
225,45,Masculino,Centro,Licenciatura,Operaciones,11,13000,10300,65.1,2.3,3
226,38,Femenino,Occidente,Preparatoria,TI,8,9500,6500,52.5,1.1,1
227,45,Masculino,Centro,Posgrado,TI,16,15500,11200,90.4,2.1,3
228,39,Femenino,Centro,Posgrado,Operaciones,13,12700,6200,86.0,3.2,0
229,58,Masculino,Norte,Posgrado,Operaciones,26,29100,24800,73.1,18.9,0
230,50,Femenino,Norte,Doctorado,RH,15,35800,29800,61.6,3.1,2
231,48,Masculino,Sur,Posgrado,RH,18,14100,6800,62.3,17.3,4
232,26,Femenino,Centro,Licenciatura,Operaciones,0,7800,5600,89.5,20.1,2
233,40,Femenino,Occidente,Preparatoria,Operaciones,10,6800,6000,95.2,5.5,0
234,47,Femenino,Norte,Licenciatura,TI,19,11300,9200,55.5,15.5,1
235,49,Masculino,Centro,Posgrado,TI,15,14000,9400,93.2,0.3,2
236,39,Masculino,Norte,Posgrado,RH,15,27500,14900,79.9,15.0,0
237,60,Masculino,Occidente,Licenciatura,Ventas,25,16500,11600,68.2,4.0,0
238,44,Masculino,Norte,Posgrado,Finanzas,11,11500,7600,35.4,14.3,0
239,34,Femenino,Norte,Posgrado,RH,5,9900,7400,30.2,2.3,2
240,33,Femenino,Norte,Licenciatura,Operaciones,7,7400,5600,92.5,2.2,3
241,45,Masculino,Sur,Licenciatura,TI,12,14600,9000,69.9,18.7,2
242,48,Masculino,Sur,Secundaria,Ventas,20,8100,4700,66.0,18.3,1
243,46,Masculino,Norte,Licenciatura,Ventas,17,6200,4600,81.5,1.0,3
244,38,Masculino,Sur,Secundaria,Finanzas,12,10100,6500,72.6,12.5,0
245,51,Masculino,Centro,Secundaria,Operaciones,24,5500,4000,76.4,17.1,2
246,25,Masculino,Centro,Posgrado,Operaciones,4,17700,11900,,19.6,2
247,34,Femenino,Sur,Posgrado,Operaciones,9,22900,14200,57.0,25.0,2
248,42,Femenino,Sur,Licenciatura,Marketing,11,8300,5900,69.7,2.0,2
249,,Masculino,Norte,Preparatoria,RH,19,,4400,59.5,1.2,0
250,45,Masculino,Norte,Preparatoria,TI,14,8800,5300,58.6,18.9,3
251,30,Femenino,Centro,Licenciatura,Finanzas,6,5600,4700,78.7,19.5,1
252,51,Femenino,Sur,Preparatoria,Ventas,19,6400,4500,63.1,0.7,2
253,55,Femenino,Centro,Posgrado,RH,22,17300,11300,89.8,12.4,1
254,58,Masculino,Occidente,Posgrado,RH,24,24600,11800,95.8,19.2,3
255,43,Masculino,Centro,Preparatoria,TI,12,,6200,49.1,12.3,2
256,,Masculino,Occidente,Licenciatura,TI,23,,6500,82.2,0.0,5
257,47,Masculino,Centro,Preparatoria,Ventas,18,8900,4600,94.5,17.6,4
258,44,Masculino,Centro,Posgrado,Operaciones,13,19600,14900,73.5,0.0,1
259,41,Femenino,Norte,Doctorado,Ventas,15,23200,15200,65.9,0.0,0
260,33,Masculino,Sur,Preparatoria,Ventas,6,,3400,54.2,16.3,0
261,37,Masculino,Norte,Licenciatura,Finanzas,8,5100,3200,21.7,0.0,1
262,41,Masculino,Norte,Licenciatura,Operaciones,14,,7400,94.3,1.2,3
263,36,Masculino,Centro,Preparatoria,Marketing,7,7700,5600,93.0,15.9,2
264,40,Masculino,Norte,Preparatoria,TI,10,4500,2500,81.1,0.9,3
265,22,Masculino,Occidente,Posgrado,RH,2,9300,7200,91.2,4.2,0
266,50,Masculino,Sur,Licenciatura,Ventas,14,13500,10900,92.6,16.4,1
267,23,Masculino,Centro,Preparatoria,Ventas,0,,5700,87.3,22.0,2
268,42,Masculino,Norte,Posgrado,Marketing,12,23200,12400,63.2,4.1,2
269,41,Masculino,Occidente,Posgrado,Ventas,8,8200,5200,82.5,16.2,2
270,39,Femenino,Occidente,Doctorado,Marketing,13,21900,13900,74.9,1.4,2
271,34,Masculino,Norte,Preparatoria,Operaciones,10,8900,3700,97.3,2.9,4
272,49,Masculino,Centro,Preparatoria,TI,16,4900,3500,89.8,3.9,2
273,46,Femenino,Occidente,Posgrado,Ventas,16,11200,8000,90.1,3.5,2
274,48,Masculino,Occidente,Preparatoria,Marketing,17,,151100,71.4,13.0,0
275,33,Femenino,Centro,Doctorado,TI,7,16300,12600,81.1,2.2,2
276,51,Masculino,Sur,Licenciatura,Operaciones,21,17300,12200,,0.7,0
277,30,Femenino,Norte,Doctorado,Marketing,7,22600,17100,99.4,15.8,0
278,43,Femenino,Centro,Preparatoria,Finanzas,10,5700,4200,67.6,26.6,0
279,29,Femenino,Norte,Preparatoria,Operaciones,5,4700,3000,,1.9,2
280,47,Femenino,Sur,Preparatoria,Operaciones,16,,5100,98.2,4.2,0
281,31,Masculino,Norte,Licenciatura,Ventas,9,10900,7500,79.5,2.3,2
282,51,Masculino,Norte,Doctorado,Marketing,18,19700,12700,78.7,2.2,2
283,22,Femenino,Sur,Licenciatura,Ventas,0,8400,5900,64.8,2.8,3
284,,Masculino,Centro,Licenciatura,RH,2,8200,7900,71.5,0.7,1
285,38,Masculino,Norte,Posgrado,TI,9,9200,5600,87.1,0.0,1
286,41,Masculino,Occidente,Posgrado,TI,4,,10500,95.0,16.1,0
287,54,Femenino,Centro,Secundaria,Operaciones,21,6000,4600,67.0,16.4,0
288,41,Masculino,Centro,Licenciatura,Finanzas,10,11300,5700,80.6,12.3,5
289,46,Femenino,Centro,Secundaria,Operaciones,14,6900,4200,95.8,1.5,0
290,30,Femenino,Centro,Posgrado,TI,14,294243,223200,83.6,0.0,3
291,36,Masculino,Norte,Posgrado,Marketing,8,16800,6300,46.1,2.0,2
292,31,Masculino,Occidente,Posgrado,Marketing,9,15200,8400,86.3,18.3,3
293,38,Femenino,Norte,Posgrado,TI,9,8500,5500,66.5,0.4,0
294,41,Femenino,Sur,Posgrado,Marketing,7,12800,9500,53.8,3.0,3
295,33,Masculino,Norte,Doctorado,Marketing,5,27200,22500,83.7,15.6,3
296,44,Masculino,Centro,Licenciatura,Operaciones,17,9400,6800,68.6,0.0,1
297,46,Masculino,Norte,Posgrado,TI,15,14400,10000,88.1,3.3,2
298,22,Femenino,Occidente,Posgrado,Ventas,1,12100,6800,,3.4,1
299,27,Femenino,Norte,Licenciatura,RH,4,21600,19100,90.3,0.3,0
300,31,Masculino,Centro,Secundaria,TI,7,3900,2600,84.4,0.2,3
